System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;05:41:19.504;0.0196;0.381;0.0514;0.757;3.76;11.8;0.683;0.311;0.000547;0.00172;0.67;0.827;6.87e+03;1.81e+04;2.13e+03;0.761;19;0.0391;0.978;998;6.79;12.5;0.0678;80.7;0;26.3;0;0;0;133;32.2;0.0711;0.375;0.19;0.761;1.42;4.64;0.694;0.223;0.000228;0.000747; 49040;331;507;0.152;0.229;47;0.00226;0.388;0.00582;0.713;0.757;2.49;0.696;0.315;0.00381;0.0125; 41440;38;37;0.24;0.283;52;0.00209;0.365;0.00573;0.684;0.732;2.26;0.676;0.309;0.00398;0.0123; 38320;14;66;0.118;0.14;54;0.00317;0.576;0.00552;0.762;0.851;2.45;0.653;0.43;0.00305;0.00878; 34400;52;37;0.161;0.176;52;227;120;137;  1%;  0%;  0%;61.7;47.4;92.4;  0%;  0%;  0%;42.6;59.3;52.5;  0%;  0%;  0%;31.8;47.4;79.7;  0%;  0%;  0%;24.9;13.9;0.155;61;0;18.3;0;0;0;0.817;10.2;0.0473;88.9;0;17.3;0;0;0;0.838;3.54;0.0344;95.6;0;69.6;0;0;0;0.724;22.2;0.0345;77;0;0;0;0;0;39.1;30.6;30.9;32.4;8.19 ;8.33 ;8.16 ;7.54 ;
2017-09-05;05:41:20.523;0.0627;0.382;0.164;0.762;0.338;4.17;0.919;0.236;1.57e-05;0.000193;0.127;0.148;2.16e+04;5.65e+04;2.21e+03;0.764;19.1;0.125;3.13;136;21.5;31.8;0.125;46.6;0;23.2;0;0;0;155;23.2;0.249;0.382;0.652;0.762;0.241;3.61;0.933;0.258;1.12e-05;0.000167; 50160;12;107;0.0251;0.0216;47;0.00014;0.39;0.000357;0.755;0.0526;0.285;0.816;0.0489;0.00438;0.0238; 41280;1;11;0.0152;0.0574;52;7.8e-05;0.297;0.000262;0.761;0.0215;0.153;0.86;0.0454;0.00321;0.0229; 38080;1;2;0.0684;0.0541;54;8.05e-05;0.257;0.000313;0.757;0.0227;0.123;0.815;0.0738;0.00329;0.0177; 34240;1;1;0.0183;0.0152;52;58.6;23.9;3.52;  0%;  0%;  0%;3.76;1.08;11.7;  0%;  0%;  0%;3.81;15.2;4.09;  0%;  0%;  0%;3.87;1.16;5.22;  0%;  0%;  0%;85.5;11.4;0.496;2.51;0;0;0;0;0;0.0473;31.2;0;68.8;0;30.4;0;0;0;0.0345;30;0;70;0;31.5;0;0;0;0.0414;54.5;0;45.4;0;31.1;0;0;0;53.6;32.5;33.5;35.6;6.59 ;5.79 ;5.72 ;5.11 ;
2017-09-05;05:41:21.513;0.119;0.664;0.179;0.762;138;154;0.106;0.148;0.00348;0.00389;16.6;12.1;3.96e+04;5.97e+04;2.1e+03;1.33;33.2;0.238;5.95;2.56e+04;23.5;72.1;0.0625;4.32;0;0;0;0;0;212;55.5;0.475;0.664;0.715;0.762;138;152;0.0952;0.149;0.00348;0.00385; 52000;5286;15751;4.08;1.77;46;0.000858;0.999;0.000858;0.762;0.0512;1.64;0.969;0.0457;0.000717;0.0229; 41920;1;7;3.79;2.99;52;8.16e-05;0.245;0.000332;0.762;0.0173;0.123;0.859;0.0853;0.00255;0.0181; 37520;0;4;4.34;3.71;53;9.63e-05;0.247;0.00039;0.762;0.0276;0.154;0.821;0.0826;0.00344;0.0192; 33200;1;3;4.41;3.67;51;2.33e+03;2.89e+03;2.86e+03; 12%; 15%; 15%;592;602;4.25e+03;  3%;  3%; 22%;592;4.77e+03;629;  3%; 25%;  3%;629;603;4.83e+03;  3%;  3%; 25%;93.8;3.61;0.25;2.29;0;0;0;0;0;0.113;92.8;0;7.06;0;0;0;0;0;0.0436;92.4;0;7.58;0;0;0;0;0;0.0513;99.6;0;0.342;0;0;0;0;0;69.2;46.5;48.5;48.2;12.9 ;13.9 ;15.2 ;13.6 ;
2017-09-05;05:41:22.522;0.158;0.819;0.192;0.762;251;278;0.0974;0.138;0.0047;0.00521;28.1;15.3;5.35e+04;6.52e+04;2.12e+03;1.64;41;0.315;7.88;4.27e+04;25.3;74.5;0.102;0.102;0;0;0;0;0;240;71.9;0.625;0.832;0.75;0.762;251;276;0.0884;0.138;0.00474;0.0052; 51840;8415;24845;7.37;2.33;45;0.00595;0.319;0.0187;0.762;0.0559;2.69;0.979;0.0469;0.000111;0.00534; 41760;1;2;6.41;3.91;51;6.53e-05;0.205;0.000318;0.761;0.0166;0.08;0.792;0.149;0.003;0.0144; 37680;0;7;7.12;4.57;52;8.08e-05;0.248;0.000325;0.761;0.0287;0.098;0.707;0.136;0.0042;0.0143; 33280;0;2;7.21;4.52;50;3.23e+03;3.73e+03;3.71e+03; 16%; 19%; 19%;1.16e+03;1.17e+03;7.67e+03;  5%;  6%; 39%;1.16e+03;8.56e+03;1.22e+03;  5%; 44%;  6%;1.22e+03;1.17e+03;8.65e+03;  6%;  6%; 44%;98.5;0.708;0.409;0.407;0;0;0;0;0;2.45;97.5;0;0;0;0;0;0;0;0.0418;100;0;0;0;0;0;0;0;0.0427;100;0;0;0;0;0;0;0;79.9;52.4;54.3;53.1;16.9 ;17.9 ;19.6 ;17.5 ;
2017-09-05;05:41:23.531;0.155;0.841;0.184;0.762;221;245;0.0977;0.142;0.00423;0.00469;24.4;13.7;5.24e+04;6.23e+04;2.12e+03;1.68;42;0.309;7.73;3.73e+04;24.1;75.4;0.111;0.399;0;0;0;0;0;233;67.3;0.617;0.841;0.733;0.762;221;243;0.0884;0.143;0.00424;0.00465; 51840;7544;21459;6.41;2.08;45;0.00125;1.13;0.00111;0.762;0.0572;2.4;0.976;0.0476;0.000539;0.0226; 41760;1;8;5.59;3.52;51;7e-05;0.197;0.000355;0.761;0.0161;0.08;0.799;0.162;0.00272;0.0135; 37680;0;5;6.18;4.09;52;8.51e-05;0.243;0.00035;0.761;0.0198;0.11;0.819;0.131;0.00275;0.0152; 33440;1;4;6.27;4.04;50;2.89e+03;3.31e+03;3.3e+03; 14%; 17%; 17%;994;1.01e+03;6.71e+03;  5%;  5%; 34%;994;7.45e+03;1.05e+03;  5%; 38%;  5%;1.05e+03;1.01e+03;7.53e+03;  5%;  5%; 38%;96.2;1.71;0.442;1.6;0;0;0;0;0;0.146;99.9;0;0;0;0;0;0;0;0.0466;100;0;0;0;0;0;0;0;0.046;100;0;0;0;0;0;0;0;77.5;50.7;53.1;51.5;15.7 ;17 ;18.4 ;16.2 ;
2017-09-05;05:41:24.540;0.144;0.771;0.187;0.762;212;236;0.101;0.138;0.00434;0.00483;23.8;13;4.88e+04;6.34e+04;2.12e+03;1.54;38.5;0.288;7.2;3.6e+04;24.5;73.2;0.0491;2.18;0;0;0;0;0;232;64.9;0.57;0.783;0.728;0.762;212;234;0.0927;0.138;0.00439;0.00484; 50320;7449;20694;6.27;1.99;45;0.00576;0.306;0.0188;0.762;0.0429;2.09;0.979;0.0478;8.79e-05;0.00428; 41760;1;2;5.42;3.32;51;6.31e-05;0.195;0.000324;0.761;0.015;0.0775;0.807;0.161;0.0028;0.0145; 37680;0;4;5.99;3.87;52;0.000343;0.742;0.000462;0.762;0.027;0.174;0.844;0.183;0.000929;0.00597; 33600;1;3;6.07;3.81;50;2.74e+03;3.16e+03;3.13e+03; 14%; 16%; 16%;975;989;6.49e+03;  5%;  5%; 33%;975;7.2e+03;1.03e+03;  5%; 37%;  5%;1.03e+03;990;7.28e+03;  5%;  5%; 37%;95.5;2.43;0.196;1.85;0;0;0;0;0;2.47;96.4;0;1.15;0;0;0;0;0;0.0425;97.5;0;2.47;0;0;0;0;0;0.0607;96.7;0;3.25;0;0;0;0;0;76.3;51;52.7;51.7;15.4 ;16.2 ;17.5 ;15.7 ;
2017-09-05;05:41:25.548;0.155;0.83;0.187;0.762;244;270;0.0969;0.137;0.00464;0.00514;27.2;15;5.25e+04;6.33e+04;2.12e+03;1.66;41.5;0.31;7.75;4.13e+04;24.5;74.8;0.0344;0.63;0;0;0;0;0;238;70.7;0.619;0.83;0.745;0.762;244;267;0.088;0.138;0.00465;0.0051; 52240;8432;23784;7.17;2.31;45;0.00133;1.21;0.0011;0.762;0.038;2.55;0.985;0.0472;0.000336;0.0225; 41920;1;1;6.21;3.84;51;6.31e-05;0.198;0.000319;0.761;0.0158;0.0785;0.798;0.162;0.00296;0.0147; 37680;0;2;6.85;4.46;52;7.2e-05;0.224;0.000321;0.761;0.0174;0.0804;0.784;0.156;0.00285;0.0132; 33440;0;7;6.94;4.39;50;3.18e+03;3.65e+03;3.61e+03; 16%; 18%; 18%;1.11e+03;1.13e+03;7.44e+03;  5%;  5%; 38%;1.11e+03;8.25e+03;1.17e+03;  5%; 42%;  6%;1.17e+03;1.13e+03;8.34e+03;  6%;  5%; 43%;97.8;1.02;0.138;1.06;0;0;0;0;0;0.145;98.4;0;1.46;0;0;0;0;0;0.0419;100;0;0;0;0;0;0;0;0.0421;100;0;0;0;0;0;0;0;79;51.6;54.2;52.8;16.5 ;17.7 ;19.3 ;17.1 ;
2017-09-05;05:41:26.558;0.151;0.826;0.182;0.762;212;235;0.0982;0.144;0.00414;0.00459;23.5;13.1;5.11e+04;6.19e+04;2.12e+03;1.65;41.3;0.301;7.54;3.57e+04;23.9;73.9;0.00295;2.15;0;0;0;0;0;231;65.4;0.602;0.826;0.728;0.762;212;233;0.0893;0.145;0.00415;0.00456; 47360;7080;20295;6.2;1.99;45;0.00116;1.13;0.00102;0.762;0.0472;2.22;0.979;0.0476;0.00048;0.0225; 41760;2;1;5.37;3.34;51;6.6e-05;0.201;0.000328;0.761;0.0196;0.0884;0.778;0.151;0.0035;0.0158; 37840;1;5;5.95;3.9;52;7.82e-05;0.247;0.000317;0.761;0.0201;0.0902;0.777;0.145;0.00304;0.0136; 33600;1;3;6.03;3.84;50;2.74e+03;3.15e+03;3.13e+03; 14%; 16%; 16%;958;972;6.44e+03;  4%;  5%; 33%;959;7.16e+03;1.01e+03;  4%; 36%;  5%;1.01e+03;972;7.24e+03;  5%;  5%; 37%;95.6;2.13;0.0118;2.26;0;0;0;0;0;0.134;99.9;0;0;0;0;0;0;0;0.0431;100;0;0;0;0;0;0;0;0.0416;93.6;0;6.33;0;0;0;0;0;76.7;50.4;52.6;50.8;15.5 ;16.3 ;17.7 ;15.8 ;
2017-09-05;05:41:27.567;0.142;0.781;0.181;0.762;205;228;0.102;0.139;0.00426;0.00475;22.6;12.3;4.8e+04;6.15e+04;2.12e+03;1.56;39;0.283;7.08;3.42e+04;23.8;75.6;0.0272;0.599;0;0;0;0;0;231;63.2;0.565;0.781;0.723;0.762;205;225;0.0926;0.14;0.00427;0.00471; 52720;6876;19941;5.96;1.89;45;0.00114;1.09;0.00104;0.762;0.0486;2.19;0.978;0.0474;0.000504;0.0227; 41840;1;2;5.16;3.14;51;8.31e-05;0.236;0.000353;0.761;0.0178;0.127;0.859;0.121;0.00253;0.018; 37840;0;2;5.71;3.66;52;9.6e-05;0.258;0.000372;0.761;0.0204;0.149;0.863;0.106;0.00251;0.0183; 33920;1;2;5.79;3.61;50;2.59e+03;2.99e+03;2.96e+03; 13%; 15%; 15%;931;944;6.18e+03;  4%;  4%; 31%;932;6.86e+03;980;  4%; 35%;  5%;980;945;6.94e+03;  5%;  4%; 35%;94.9;2.59;0.109;2.39;0;0;0;0;0;0.137;99.9;0;0;0;0;0;0;0;0.0464;100;0;0;0;0;0;0;0;0.0489;100;0;0;0;0;0;0;0;75.7;50.4;53;51.4;15 ;15.8 ;17.1 ;15.4 ;
2017-09-05;05:41:28.577;0.155;0.824;0.188;0.762;250;277;0.0978;0.136;0.00475;0.00527;28.1;15.7;5.25e+04;6.37e+04;2.12e+03;1.65;41.2;0.31;7.74;4.29e+04;24.7;74.6;0;0.757;0;0;0;0;0;239;72.1;0.618;0.824;0.75;0.762;249;274;0.0886;0.137;0.00476;0.00522; 52160;8570;24236;7.3;2.37;44;0.00139;1.12;0.00124;0.762;0.0488;2.75;0.982;0.0454;0.000415;0.0233; 41760;0;2;6.41;4.02;51;6.45e-05;0.201;0.000321;0.761;0.0201;0.084;0.761;0.155;0.00367;0.0153; 37920;0;4;7.13;4.67;51;6.87e-05;0.221;0.000311;0.761;0.0162;0.078;0.792;0.157;0.00278;0.0134; 33840;0;0;7.22;4.63;50;3.3e+03;3.8e+03;3.78e+03; 17%; 19%; 19%;1.15e+03;1.16e+03;7.69e+03;  5%;  5%; 39%;1.15e+03;8.58e+03;1.21e+03;  5%; 44%;  6%;1.21e+03;1.16e+03;8.68e+03;  6%;  5%; 44%;98.4;0.791;0;0.801;0;0;0;0;0;0.163;97.6;0;2.23;0;0;0;0;0;0.0421;100;0;0;0;0;0;0;0;0.0408;100;0;0;0;0;0;0;0;79.7;51.4;54.5;53.2;16.8 ;18 ;19.8 ;17.5 ;
