System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;05:29:39.452;0.00371;0.482;0.00769;0.571;3.89;11.1;0.65;0.356;0.00307;0.00877;0.423;0.334;1.27e+03;2.63e+03;2.12e+03;0.964;24.1;0.00741;0.185;626;1.34;17.9;0.0568;80.7;0;13;0;0;0;121;32.8;0.0041;0.505;0.00811;0.571;1.17;3.77;0.691;0.306;0.00335;0.0108; 43040;48;96;0.0779;0.0668;50;0.00629;0.45;0.014;0.571;1.09;3.13;0.652;0.416;0.00203;0.00584; 48720;41;119;0.101;0.0787;51;0.00201;0.492;0.00408;0.571;0.709;1.87;0.621;0.335;0.00412;0.0109; 32720;24;72;0.0739;0.0701;55;0.00244;0.53;0.0046;0.571;0.927;2.33;0.603;0.359;0.00443;0.0112; 40800;67;59;0.17;0.119;52;69.6;35;54.2;  0%;  0%;  0%;58.1;64.8;48.6;  0%;  0%;  0%;32.1;30.2;60;  0%;  0%;  0%;42.7;51.7;79.2;  0%;  0%;  0%;1.42;15.9;0.0646;82.6;0;20.2;0;0;0;2.45;16.5;0.043;81.1;0;8.55;0;0;0;0.715;14.5;0.0587;84.7;0;23.4;0;0;0;0.805;24.6;0.061;74.5;0;0;0;0;0;30.6;29.9;29.7;30.4;8.13 ;8.32 ;8.4 ;7.98 ;
2017-09-05;05:29:40.493;0.0903;0.385;0.234;0.571;13.7;20.9;0.344;0.157;0.00043;0.000656;3.73;6.26;3.19e+04;8.27e+04;2.16e+03;0.771;19.3;0.181;4.52;5.88e+03;41;24.9;0.3;33.8;0;17.1;0;0;0;172;35.7;0.167;0.396;0.423;0.571;6.15;9.96;0.382;0.158;0.000418;0.000677; 47920;885;2082;1.01;1.68;49;0.194;0.377;0.514;0.571;7.48;10.6;0.291;0.16;0.000437;0.000616; 47760;682;2857;0.721;1.14;50;0.000143;0.551;0.00026;0.571;0.0433;0.272;0.841;0.0476;0.00343;0.0215; 32000;0;3;1.07;1.84;54;8.27e-05;0.414;0.0002;0.572;0.0259;0.111;0.766;0.0833;0.00355;0.0152; 40000;1;1;0.937;1.6;52;962;707;526;  4%;  3%;  2%;701;690;1.15e+03;  3%;  3%;  5%;263;285;39.9;  1%;  1%;  0%;40.2;280;234;  0%;  1%;  1%;74;13.2;0.695;12.1;0;2.95;0;0;0;89.9;5.68;0.504;3.88;0;0;0;0;0;0.0455;30;0;70;0;32.9;0;0;0;0.035;50.6;0;49.3;0;32.7;0;0;0;49.2;49.4;36.1;36.9;9.56 ;8.71 ;9.26 ;8.15 ;
2017-09-05;05:29:41.465;0.213;0.762;0.279;0.571;268;294;0.0881;0.157;0.00385;0.00422;28.6;17.9;6.97e+04;9.14e+04;2.1e+03;1.52;38.1;0.426;10.6;4.62e+04;48.9;41;0.0278;10.1;0;0.1;0;0;0;227;69.1;0.423;0.757;0.559;0.571;134;146;0.0822;0.158;0.00384;0.00418; 50960;4178;12690;7.41;4.12;48;0.425;0.767;0.554;0.571;134;146;0.0838;0.157;0.00386;0.00422; 48880;3108;13270;6.7;3.76;49;0.000823;1.05;0.000784;0.571;0.0553;1.59;0.965;0.0425;0.000822;0.0237; 32160;1;9;7.15;4.96;54;9.2e-05;0.424;0.000217;0.572;0.0377;0.126;0.702;0.0929;0.00502;0.0168; 40000;1;1;7.34;5.05;52;7.35e+03;2.38e+03;2.72e+03; 39%; 12%; 14%;2.85e+03;2.62e+03;7.34e+03; 15%; 14%; 39%;4.92e+03;4.32e+03;1.17e+03; 26%; 23%;  6%;1.18e+03;4.82e+03;4.56e+03;  6%; 25%; 24%;97.8;1.01;0.0857;1.1;0;0.397;0;0;0;96.9;1.62;0.0249;1.42;0;0;0;0;0;0.137;85.5;0;14.3;0;0;0;0;0;0.038;76.3;0;23.7;0;0;0;0;0;66;64.5;49.1;47.1;17.1 ;16.8 ;18.4 ;16.9 ;
2017-09-05;05:29:42.479;0.229;0.82;0.28;0.571;316;346;0.0885;0.158;0.00405;0.00444;32.6;18.2;7.8e+04;9.52e+04;2.13e+03;1.64;41;0.458;11.5;5.16e+04;48.9;45.1;0.0276;5.92;0;0.124;0;0;0;239;74.6;0.459;0.82;0.559;0.571;158;172;0.0836;0.158;0.00403;0.0044; 50960;4879;13498;8.6;4.34;47;0.457;0.819;0.558;0.571;158;173;0.0837;0.159;0.00406;0.00443; 55120;4313;14279;7.7;3.77;48;0.000882;1.11;0.000793;0.571;0.0401;1.79;0.978;0.043;0.000534;0.0239; 32000;0;2;8.12;5.08;53;7.38e-05;0.442;0.000167;0.572;0.0172;0.0857;0.799;0.124;0.00274;0.0136; 39760;0;3;8.22;5;51;7.85e+03;2.79e+03;2.86e+03; 40%; 14%; 14%;2.86e+03;2.78e+03;7.77e+03; 14%; 14%; 39%;5.41e+03;5.46e+03;1.41e+03; 27%; 28%;  7%;1.41e+03;5.73e+03;5.26e+03;  7%; 29%; 27%;97.9;1.23;0.0456;0.854;0;0;0;0;0;97.7;1.13;0.0649;1.14;0;0.495;0;0;0;0.139;92.1;0;7.8;0;0;0;0;0;0.0292;86.1;0;13.9;0;0;0;0;0;69.1;67.4;52.2;50.1;18.7 ;18.1 ;19.8 ;18 ;
2017-09-05;05:29:43.493;0.235;0.842;0.279;0.571;312;342;0.0874;0.157;0.00389;0.00426;31.8;17.3;8.03e+04;9.53e+04;2.13e+03;1.68;42.1;0.471;11.8;4.91e+04;48.9;47.8;0.00298;3.3;0;0;0;0;0;240;73;0.471;0.842;0.559;0.571;156;170;0.0823;0.157;0.00389;0.00424; 49040;4920;12998;8.42;4.12;47;0.47;0.842;0.558;0.571;156;170;0.0825;0.157;0.00389;0.00424; 52960;4674;13760;7.5;3.51;48;0.00089;1.1;0.000809;0.571;0.0432;1.82;0.976;0.0441;0.00057;0.024; 32400;0;1;7.86;4.85;53;8.6e-05;0.433;0.000198;0.572;0.0196;0.111;0.823;0.119;0.00267;0.0151; 39600;1;0;7.97;4.78;51;7.37e+03;2.71e+03;2.75e+03; 37%; 13%; 14%;2.68e+03;2.63e+03;7.11e+03; 13%; 13%; 36%;5.08e+03;5.43e+03;1.37e+03; 26%; 27%;  7%;1.37e+03;5.45e+03;5.18e+03;  7%; 27%; 26%;97.8;1.21;0;0.975;0;0;0;0;0;97.6;1.28;0.0119;1.11;0;0;0;0;0;0.142;94.4;0;5.43;0;0;0;0;0;0.0347;94.3;0;5.68;0;0;0;0;0;69.1;67.5;52.3;50.9;18.3 ;17.8 ;19.3 ;17.5 ;
2017-09-05;05:29:44.507;0.229;0.811;0.282;0.571;319;349;0.0867;0.155;0.00409;0.00447;32.4;18.2;7.8e+04;9.61e+04;2.13e+03;1.62;40.6;0.458;11.4;5.17e+04;49.4;45.4;0.00598;5.22;0;0;0;0;0;239;74.1;0.458;0.811;0.565;0.571;159;173;0.0829;0.156;0.00406;0.00443; 49280;4076;14686;8.56;4.53;47;0.456;0.811;0.563;0.571;160;174;0.0803;0.155;0.00412;0.00448; 51040;4714;13884;7.67;3.68;48;0.000887;1.13;0.000788;0.571;0.0407;1.8;0.977;0.0432;0.000538;0.0239; 32320;1;0;8.03;5.02;52;0.00035;1.16;0.0003;0.572;0.034;0.194;0.824;0.175;0.00114;0.00651; 39840;1;9;8.19;4.98;51;8.46e+03;3.14e+03;2.96e+03; 43%; 16%; 15%;2.44e+03;2.64e+03;7.59e+03; 12%; 13%; 38%;4.54e+03;6.2e+03;1.39e+03; 23%; 31%;  7%;1.39e+03;5.18e+03;5.73e+03;  7%; 26%; 29%;98.9;0.822;0.0239;0.293;0;0;0;0;0;98.4;1.13;0;0.43;0;0;0;0;0;0.138;88.8;0;11;0;0;0;0;0;0.0525;90.8;0;9.11;0;0;0;0;0;69.2;67.5;51.9;50.7;18.8 ;18 ;19.7 ;17.7 ;
2017-09-05;05:29:45.519;0.227;0.814;0.279;0.571;293;321;0.0866;0.156;0.00379;0.00415;29.6;16.8;7.74e+04;9.5e+04;2.13e+03;1.63;40.7;0.455;11.4;4.73e+04;48.9;44.8;0.0184;6.28;0;0;0;0;0;236;69.3;0.456;0.815;0.56;0.571;146;159;0.0834;0.155;0.00376;0.0041; 49840;3500;13166;7.77;4.16;47;0.453;0.813;0.557;0.571;147;160;0.0796;0.157;0.00382;0.00415; 49280;4218;13043;7.01;3.4;49;0.000873;1.11;0.000785;0.571;0.0395;1.78;0.978;0.0433;0.000531;0.0239; 32080;0;1;7.34;4.63;53;7.76e-05;0.414;0.000187;0.572;0.0211;0.0934;0.774;0.13;0.0032;0.0142; 39760;1;5;7.49;4.57;51;7.82e+03;2.91e+03;2.69e+03; 40%; 14%; 13%;2.2e+03;2.42e+03;6.97e+03; 11%; 12%; 35%;4.07e+03;5.75e+03;1.27e+03; 20%; 29%;  6%;1.27e+03;4.72e+03;5.25e+03;  6%; 24%; 27%;97.9;1.12;0.0418;0.929;0;0;0;0;0;97.4;1.25;0.0318;1.32;0;0;0;0;0;0.137;88.9;0;11;0;0;0;0;0;0.0328;88.1;0;11.9;0;0;0;0;0;68.2;66.5;51.5;50;17.6 ;16.8 ;18.3 ;16.6 ;
2017-09-05;05:29:46.533;0.213;0.78;0.274;0.571;274;300;0.0892;0.159;0.00377;0.00414;28.1;15.3;7.26e+04;9.31e+04;2.13e+03;1.56;39;0.427;10.7;4.29e+04;47.9;44.9;0.0237;7.21;0;0.0918;0;0;0;232;66.9;0.427;0.779;0.549;0.571;137;149;0.085;0.156;0.00376;0.00411; 50400;4342;11452;7.36;3.64;47;0.426;0.781;0.545;0.571;137;149;0.0843;0.163;0.00378;0.00412; 51520;4134;11718;6.66;3.13;48;0.000724;1.03;0.000705;0.571;0.0406;1.47;0.972;0.0442;0.00066;0.0238; 32320;1;0;6.99;4.31;53;7.73e-05;0.364;0.000212;0.572;0.0243;0.0965;0.749;0.125;0.00369;0.0147; 40000;1;2;7.11;4.22;51;6.36e+03;2.58e+03;2.32e+03; 32%; 13%; 11%;2.19e+03;2.43e+03;5.88e+03; 11%; 12%; 30%;4.26e+03;5.03e+03;1.22e+03; 21%; 25%;  6%;1.22e+03;4.69e+03;4.71e+03;  6%; 24%; 24%;96;1.85;0.0711;2.08;0;0.169;0;0;0;95.4;2.23;0.0236;2.3;0;0.199;0;0;0;0.123;87.8;0;12.1;0;0;0;0;0;0.0371;87.6;0.00023;12.4;0;0;0;0;0;66.8;65.1;50.5;49.2;16.8 ;16.3 ;17.7 ;16.1 ;
2017-09-05;05:29:47.545;0.243;0.859;0.283;0.571;337;369;0.0871;0.157;0.00408;0.00447;34.1;18.8;8.26e+04;9.62e+04;2.13e+03;1.72;43;0.486;12.1;5.29e+04;49.4;44.1;0.0407;6.45;0;0;0;0;0;241;76.8;0.485;0.859;0.564;0.571;168;184;0.0833;0.157;0.00408;0.00445; 51200;5525;14051;8.87;4.28;47;0.485;0.859;0.564;0.571;169;183;0.0805;0.158;0.00409;0.00445; 51200;4722;15497;8.09;3.87;48;0.000988;1.13;0.000871;0.571;0.0445;2.02;0.978;0.0434;0.000529;0.024; 32240;0;1;8.55;5.37;53;9.66e-05;0.442;0.000219;0.572;0.0283;0.133;0.787;0.113;0.00344;0.0161; 40160;3;6;8.59;5.27;51;7.76e+03;2.93e+03;2.78e+03; 39%; 15%; 14%;2.97e+03;3.07e+03;7.51e+03; 15%; 15%; 38%;5.72e+03;5.73e+03;1.47e+03; 29%; 29%;  7%;1.47e+03;5.92e+03;5.59e+03;  7%; 30%; 28%;98.8;0.815;0.0638;0.358;0;0;0;0;0;98.8;0.727;0.0991;0.401;0;0;0;0;0;0.152;86.7;0;13.1;0;0;0;0;0;0.0383;88;0;11.9;0;0;0;0;0;70;68.5;52.2;50.8;18.8 ;18.9 ;20.4 ;18.6 ;
2017-09-05;05:29:48.557;0.228;0.822;0.278;0.571;310;339;0.0867;0.157;0.00399;0.00437;31.4;17.1;7.76e+04;9.44e+04;2.13e+03;1.64;41.1;0.456;11.4;4.78e+04;48.6;45.2;0.00818;6.23;0;0;0;0;0;236;72.4;0.457;0.826;0.553;0.571;155;169;0.0833;0.158;0.00399;0.00436; 49520;5536;12222;8.12;3.84;47;0.454;0.817;0.556;0.571;154;168;0.0808;0.157;0.004;0.00435; 51520;4033;14047;7.46;3.6;48;0.000823;1.1;0.000747;0.571;0.0356;1.67;0.979;0.0436;0.000509;0.0239; 32240;1;1;7.86;4.87;53;7.21e-05;0.404;0.000178;0.572;0.0182;0.0842;0.784;0.134;0.00297;0.0137; 39920;0;2;7.96;4.82;51;6.59e+03;2.63e+03;2.4e+03; 33%; 13%; 12%;2.74e+03;2.96e+03;6.78e+03; 14%; 15%; 34%;5.38e+03;5.07e+03;1.37e+03; 27%; 26%;  7%;1.37e+03;5.83e+03;4.7e+03;  7%; 30%; 24%;96.8;1.8;0.0185;1.36;0;0;0;0;0;97.3;1.58;0.0142;1.09;0;0;0;0;0;0.131;87.8;0;12;0;0;0;0;0;0.0312;89.5;0;10.4;0;0;0;0;0;68.1;66.7;51.4;50.1;17.9 ;17.6 ;19.2 ;17.6 ;
