System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;05:07:10.124;0.024;0.344;0.0698;0.941;6.07;18.8;0.678;0.29;0.000726;0.00225;1.14;1.48;8.36e+03;2.43e+04;2.12e+03;0.689;17.2;0.0481;1.2;1.72e+03;7.42;16.7;0.102;75.8;0;21;0;0;0;152;34.7;0.033;0.34;0.0972;0.944;1.76;5.72;0.692;0.313;0.000615;0.002; 53520;415;268;0.457;0.647;47;0.0403;0.326;0.124;0.946;1.76;5.82;0.697;0.235;0.000503;0.00166; 52800;202;658;0.256;0.308;48;0.019;0.375;0.0506;0.919;1.27;3.8;0.665;0.238;0.00077;0.0023; 50080;81;350;0.17;0.232;50;0.00389;0.497;0.00783;0.952;1.27;3.47;0.634;0.377;0.00375;0.0102; 36400;81;149;0.256;0.29;51;196;120;124;  0%;  0%;  0%;167;155;299;  0%;  0%;  1%;135;155;115;  0%;  0%;  0%;61.6;83;111;  0%;  0%;  0%;10.3;10.9;0.0994;78.7;0;17.7;0;0;0;13.1;21.5;0.224;65.2;0;18.4;0;0;0;5.51;8.09;0.0352;86.4;0;47.7;0;0;0;0.823;26.4;0.0507;72.7;0;0;0;0;0;39.6;39.7;36.4;36.5;9.01 ;8.8 ;8.75 ;8.17 ;
2017-09-05;05:07:11.134;0.221;0.376;0.586;0.952;3.78;17.4;0.783;0.152;5.04e-05;0.000232;0.503;0.487;7.5e+04;1.99e+05;2.17e+03;0.753;18.8;0.441;11;660;61.6;17.8;1.58;19.1;0;9.26;0;0;0;243;27.7;0.301;0.374;0.807;0.952;1.28;6.96;0.815;0.131;4.99e-05;0.000271; 50320;69;119;0.0961;0.149;46;0.297;0.375;0.793;0.952;1.26;5.09;0.753;0.174;4.98e-05;0.000201; 48560;75;111;0.231;0.207;47;0.283;0.381;0.743;0.952;1.19;5.14;0.768;0.159;4.97e-05;0.000214; 51760;26;114;0.139;0.11;49;0.000108;0.433;0.000248;0.934;0.0423;0.188;0.774;0.0652;0.00464;0.0206; 36640;2;1;0.0369;0.0212;50;116;61.6;9.76;  0%;  0%;  0%;90.1;19.6;105;  0%;  0%;  0%;98.6;104;13.3;  0%;  0%;  0%;11.4;19.4;11.5;  0%;  0%;  0%;84.7;9.15;2.12;3.99;0;0.107;0;0;0;83.3;9.62;3.19;3.87;0;1.84;0;0;0;78;13.9;1.02;7.1;0;0.895;0;0;0;0.0266;38.6;0;61.3;0;34.3;0;0;0;68.2;66.4;68.4;39.9;7.28 ;7.27 ;7.1 ;6.09 ;
2017-09-05;05:07:12.136;0.33;0.492;0.671;0.952;283;321;0.117;0.175;0.00255;0.00289;34.2;26.7;1.11e+05;2.26e+05;2.1e+03;0.984;24.6;0.66;16.5;5.49e+04;70.5;22.6;0.425;6.47;0;0.219;0;0;0;337;78;0.438;0.491;0.893;0.952;95;108;0.118;0.178;0.00258;0.00292; 53200;3722;10999;9.02;6.75;43;0.437;0.487;0.897;0.952;93.7;105;0.112;0.173;0.00255;0.00287; 48400;2709;10664;7.9;5.6;45;0.446;0.498;0.895;0.952;94.5;107;0.118;0.174;0.00252;0.00286; 50800;3413;11151;8.39;6.66;45;0.000331;0.748;0.000442;0.952;0.0392;0.538;0.927;0.134;0.00141;0.0193; 36080;1;4;8.88;7.67;49;5.4e+03;6.43e+03;2.95e+03; 28%; 33%; 15%;5.86e+03;3.03e+03;5.4e+03; 30%; 15%; 28%;5.71e+03;6.27e+03;2.61e+03; 29%; 32%; 13%;3.25e+03;4e+03;3.94e+03; 16%; 20%; 20%;93.8;3.3;0.564;2.37;0;0.594;0;0;0;94.2;3.34;0.598;1.89;0;0.0194;0;0;0;94;2.76;0.539;2.73;0;0.264;0;0;0;0.0464;81.1;0;18.9;0;0;0;0;0;91.8;89.9;94.6;61;19.4 ;18.7 ;20.4 ;19.4 ;
2017-09-05;05:07:13.145;0.405;0.591;0.684;0.952;355;402;0.116;0.178;0.00259;0.00293;37.1;21.4;1.37e+05;2.32e+05;2.13e+03;1.18;29.6;0.809;20.2;5.94e+04;71.9;27;0.441;0.701;0;0.0965;0;0;0;365;77;0.536;0.59;0.909;0.952;120;135;0.113;0.179;0.00263;0.00296; 53600;3420;11256;9.9;5.6;43;0.54;0.589;0.918;0.952;118;133;0.114;0.177;0.00258;0.00291; 51520;2876;11045;9.02;4.88;44;0.542;0.595;0.91;0.952;117;133;0.119;0.178;0.00255;0.0029; 49360;3740;10095;9.1;5.34;45;0.000405;0.899;0.00045;0.952;0.0287;0.664;0.957;0.14;0.000836;0.0193; 36240;1;0;9.04;5.59;49;6.75e+03;6.53e+03;2.87e+03; 34%; 33%; 14%;6.23e+03;2.55e+03;6.39e+03; 32%; 13%; 32%;6.11e+03;6.31e+03;2.45e+03; 31%; 32%; 12%;3.96e+03;4.31e+03;4.98e+03; 20%; 22%; 25%;95.4;2.91;0.926;0.712;0;0;0;0;0;96.4;2.22;0.672;0.7;0;0.386;0;0;0;95.5;2.9;0.165;1.39;0;0;0;0;0;0.0473;100;0;0;0;0;0;0;0;98.9;97.7;101;67.4;19.7 ;19.2 ;19.9 ;18.2 ;
2017-09-05;05:07:14.156;0.37;0.545;0.679;0.952;286;325;0.12;0.178;0.00227;0.00259;30;17.4;1.26e+05;2.3e+05;2.12e+03;1.09;27.3;0.74;18.5;4.87e+04;71.3;27.2;0.377;1.05;0;0.328;0;0;0;344;66.7;0.495;0.542;0.912;0.952;95.6;108;0.117;0.179;0.00228;0.00258; 50960;2512;9014;7.99;4.6;44;0.49;0.549;0.893;0.952;96.2;109;0.117;0.177;0.00231;0.00262; 54240;2424;8663;7.3;3.94;44;0.496;0.544;0.911;0.952;93.9;107;0.122;0.178;0.00223;0.00254; 53040;2769;8128;7.38;4.34;46;0.000609;0.93;0.000654;0.952;0.054;0.644;0.916;0.15;0.00105;0.0125; 36240;0;3;7.29;4.51;49;5.82e+03;5.29e+03;2.36e+03; 30%; 27%; 12%;4.84e+03;1.92e+03;5.54e+03; 24%;  9%; 28%;4.73e+03;5.32e+03;2.12e+03; 24%; 27%; 10%;3.51e+03;3.36e+03;3.86e+03; 18%; 17%; 19%;95.8;2.53;0.186;1.52;0;0.371;0;0;0;93.8;4.02;1.16;1.07;0;0.275;0;0;0;95.7;2.51;0.164;1.61;0;0.668;0;0;0;0.0687;99.9;0;0.0112;0;0;0;0;0;93.3;91.2;95.2;64.4;17 ;16.5 ;17.3 ;15.9 ;
2017-09-05;05:07:15.168;0.411;0.594;0.692;0.952;379;427;0.114;0.178;0.00271;0.00306;39.6;22.5;1.4e+05;2.35e+05;2.12e+03;1.19;29.7;0.822;20.5;6.24e+04;72.7;25.4;0.374;1.57;0;0.0953;0;0;0;370;79.3;0.548;0.595;0.921;0.952;125;141;0.114;0.18;0.00269;0.00303; 50640;4076;10499;10.5;5.81;42;0.548;0.597;0.919;0.952;126;143;0.115;0.181;0.00271;0.00306; 49200;4297;10793;9.56;4.9;44;0.547;0.59;0.928;0.952;127;143;0.109;0.175;0.00273;0.00307; 51760;3477;11139;9.84;5.81;44;0.000456;0.873;0.000523;0.952;0.0397;0.773;0.949;0.139;0.00102;0.0199; 36320;1;1;9.67;5.96;48;6.77e+03;7.07e+03;2.75e+03; 34%; 36%; 14%;6e+03;2.58e+03;6.55e+03; 30%; 13%; 33%;5.88e+03;7.47e+03;3.08e+03; 30%; 38%; 15%;5.27e+03;4.64e+03;4.3e+03; 27%; 23%; 22%;96.8;2.02;0.503;0.707;0;0.0699;0;0;0;96.5;2.16;0.526;0.82;0;0.197;0;0;0;97.4;1.45;0.466;0.653;0;0.114;0;0;0;0.0549;95.8;0;4.1;0;0;0;0;0;100;98.1;104;67.9;20.4 ;19.3 ;20.5 ;19 ;
2017-09-05;05:07:16.180;0.403;0.586;0.688;0.952;359;405;0.115;0.18;0.00262;0.00296;37.6;21.6;1.37e+05;2.34e+05;2.13e+03;1.17;29.3;0.806;20.2;5.99e+04;72.2;25.8;0.251;1.76;0;0.13;0;0;0;366;76.1;0.537;0.585;0.918;0.952;120;136;0.113;0.18;0.00264;0.00297; 50720;3320;10876;9.92;5.6;42;0.538;0.589;0.914;0.952;120;135;0.114;0.181;0.00262;0.00295; 52400;3670;10428;9.06;4.7;43;0.536;0.584;0.919;0.952;119;134;0.113;0.178;0.00261;0.00294; 50720;3384;10424;9.39;5.57;43;0.000395;0.892;0.000442;0.952;0.0281;0.639;0.956;0.147;0.000836;0.0191; 36400;2;0;9.2;5.69;48;6.49e+03;6.92e+03;2.87e+03; 33%; 35%; 14%;5.63e+03;2.37e+03;6.53e+03; 28%; 12%; 33%;5.98e+03;6.86e+03;2.76e+03; 30%; 35%; 14%;4.8e+03;4.17e+03;4.51e+03; 24%; 21%; 23%;96.4;2.26;0.303;1.03;0;0.208;0;0;0;95.9;2.56;0.677;0.824;0;0.124;0;0;0;96.5;2.23;0.024;1.25;0;0.19;0;0;0;0.0465;96;0;3.95;0;0;0;0;0;99.4;97.2;102;67.1;19.4 ;18.7 ;19.8 ;18.2 ;
2017-09-05;05:07:17.190;0.411;0.596;0.689;0.952;357;404;0.116;0.18;0.00256;0.0029;37.1;21.1;1.4e+05;2.34e+05;2.13e+03;1.19;29.8;0.822;20.5;5.83e+04;72.4;23.9;0.179;3.53;0;0.192;0;0;0;366;75.9;0.547;0.595;0.919;0.952;119;135;0.116;0.181;0.00256;0.0029; 52000;3897;10476;9.72;5.38;43;0.547;0.598;0.915;0.952;119;135;0.113;0.18;0.00257;0.0029; 47520;3386;10070;9.03;4.68;43;0.549;0.596;0.921;0.952;119;134;0.117;0.18;0.00255;0.00288; 51760;3510;10324;9.22;5.38;44;0.000403;0.936;0.000431;0.952;0.0313;0.661;0.953;0.147;0.000915;0.0193; 36400;0;1;9.12;5.61;48;5.86e+03;6.72e+03;2.75e+03; 30%; 34%; 14%;5.79e+03;2.56e+03;6.03e+03; 29%; 13%; 31%;6.1e+03;6.57e+03;2.59e+03; 31%; 33%; 13%;4.53e+03;4.44e+03;4.36e+03; 23%; 22%; 22%;96.5;2.06;0.195;1.26;0;0.298;0;0;0;96.1;2.49;0.512;0.893;0;0.0964;0;0;0;96.8;1.97;0.00936;1.26;0;0.372;0;0;0;0.0452;89.2;0;10.7;0;0;0;0;0;99.5;97.8;103;66.2;19.5 ;18.6 ;19.8 ;18.1 ;
2017-09-05;05:07:18.200;0.391;0.57;0.687;0.952;340;386;0.119;0.178;0.00256;0.00291;35.7;20.5;1.33e+05;2.33e+05;2.12e+03;1.14;28.5;0.782;19.6;5.69e+04;72.1;26.5;0.211;1.22;0;0.0747;0;0;0;358;74.2;0.52;0.567;0.917;0.952;114;129;0.117;0.179;0.00259;0.00293; 50240;3336;10253;9.46;5.29;42;0.52;0.571;0.911;0.952;114;129;0.116;0.178;0.00258;0.00292; 49760;3075;9868;8.62;4.56;43;0.524;0.57;0.918;0.952;112;127;0.119;0.179;0.00251;0.00285; 52480;3134;10575;8.85;5.28;44;0.000402;0.744;0.000541;0.952;0.0386;0.67;0.942;0.142;0.00113;0.0196; 36400;2;3;8.77;5.38;48;6.14e+03;6.18e+03;2.67e+03; 31%; 31%; 13%;6.17e+03;2.38e+03;5.71e+03; 31%; 12%; 29%;5.94e+03;6.4e+03;2.54e+03; 30%; 32%; 13%;4.25e+03;4.13e+03;4.43e+03; 21%; 21%; 22%;96.3;2.34;0.203;1.19;0;0.0116;0;0;0;95.6;2.86;0.594;0.909;0;0.14;0;0;0;96.4;2.34;0.0484;1.18;0;0.147;0;0;0;0.0568;98.3;0;1.61;0;0;0;0;0;97.2;94.7;99.7;66.4;18.9 ;18.2 ;19.6 ;17.5 ;
2017-09-05;05:07:19.212;0.419;0.606;0.691;0.952;384;434;0.114;0.18;0.0027;0.00305;40.7;23;1.42e+05;2.35e+05;2.12e+03;1.21;30.3;0.838;20.9;6.32e+04;72.5;26.2;0.221;1.07;0;0.0742;0;0;0;376;80.7;0.559;0.609;0.919;0.952;127;144;0.116;0.183;0.00268;0.00303; 52160;3969;10734;10.9;5.78;42;0.558;0.606;0.92;0.952;128;145;0.112;0.18;0.00271;0.00305; 53520;3708;11041;9.85;5.09;42;0.558;0.604;0.924;0.952;129;145;0.112;0.178;0.00271;0.00305; 52320;3808;11638;10.1;5.99;44;0.000452;0.927;0.000488;0.952;0.0308;0.755;0.959;0.143;0.000801;0.0197; 36480;0;0;9.91;6.12;48;6.58e+03;6.86e+03;2.79e+03; 33%; 35%; 14%;6.77e+03;2.8e+03;6.24e+03; 34%; 14%; 32%;6.67e+03;6.97e+03;2.98e+03; 34%; 35%; 15%;5.01e+03;4.79e+03;4.71e+03; 25%; 24%; 24%;96.5;2.13;0.245;1.16;0;0.0617;0;0;0;96.6;2.18;0.467;0.756;0;0.167;0;0;0;97.1;1.79;0.174;0.961;0;0.0686;0;0;0;0.0512;98.5;0;1.41;0;0;0;0;0;102;99.8;105;69.7;20.7 ;20 ;20.9 ;19.2 ;
