System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;04:57:21.289;0.00561;0.387;0.0145;0.818;5.02;14.7;0.658;0.355;0.00262;0.00765;0.483;0.336;1.91e+03;4.95e+03;2.12e+03;0.773;19.3;0.0112;0.28;745;1.77;17.1;0.0864;81;0;22.5;0;0;0;133;33;0.00674;0.399;0.0169;0.819;1.33;4.27;0.688;0.352;0.00231;0.00742; 46080;72;103;0.114;0.0785;48;0.00696;0.32;0.0217;0.83;1.13;3.27;0.655;0.332;0.0019;0.00551; 37360;51;56;0.123;0.0899;49;0.00369;0.396;0.00933;0.752;1.24;3.57;0.652;0.328;0.00394;0.0113; 46160;48;88;0.0867;0.0743;52;0.00504;0.499;0.0101;0.857;1.32;3.55;0.628;0.401;0.00306;0.00823; 29360;100;67;0.16;0.093;48;81.8;54;58.9;  0%;  0%;  0%;82.1;52.6;50.8;  0%;  0%;  0%;47;48.8;83.2;  0%;  0%;  0%;49.3;53.1;84;  0%;  0%;  0%;2.06;17.9;0.12;79.9;0;19.6;0;0;0;2.61;18.3;0.0883;79;0;19.2;0;0;0;1.24;5.5;0.0884;93.2;0;51.2;0;0;0;1.18;26.6;0.0493;72.2;0;0;0;0;0;33.9;33.1;31.7;33.9;8.26 ;8.41 ;8.45 ;7.93 ;
2017-09-05;04:57:22.300;0.173;0.373;0.465;0.857;5.29;27.7;0.809;0.113;8.98e-05;0.000469;1.28;1.82;5.89e+04;1.58e+05;2.14e+03;0.745;18.6;0.347;8.67;1.84e+03;54.3;9.96;0.425;35.3;0;21;0;0;0;200;29.4;0.193;0.377;0.513;0.857;1.59;9.07;0.824;0.107;9.7e-05;0.000552; 33600;238;233;0.538;0.799;48;0.23;0.368;0.623;0.857;1.67;7.98;0.79;0.122;8.57e-05;0.000409; 48160;202;496;0.359;0.444;48;0.0387;0.393;0.0986;0.856;0.594;2.59;0.771;0.0812;0.000181;0.000788; 23680;71;241;0.17;0.273;52;0.232;0.371;0.625;0.857;1.43;8.01;0.821;0.122;7.28e-05;0.000407; 49680;113;322;0.215;0.302;48;194;123;154;  1%;  0%;  0%;140;146;315;  0%;  0%;  1%;143;145;57.5;  0%;  0%;  0%;48.2;117;256;  0%;  0%;  1%;59.9;9.98;0.608;29.5;0;11.9;0;0;0;72.7;7.91;0.686;18.7;0;5.71;0;0;0;11.5;13.1;0;75.4;0;60.9;0;0;0;73;8.9;0.405;17.7;0;5.48;0;0;0;52.2;53.9;38.3;55.5;8.14 ;7.56 ;6.9 ;6.83 ;
2017-09-05;04:57:23.316;0.141;0.393;0.358;0.856;3.28;26.2;0.875;0.0941;6.92e-05;0.000553;0.325;0.196;4.74e+04;1.21e+05;2.1e+03;0.786;19.6;0.282;7.04;394;41.9;11.3;6.42;40.4;0;23.2;0;0;0;187;27.3;0.165;0.388;0.424;0.856;1.08;8.83;0.877;0.0953;7.82e-05;0.000638; 42000;46;32;0.0947;0.0554;47;0.11;0.402;0.273;0.856;0.673;4.79;0.86;0.0911;7.29e-05;0.000519; 47360;11;18;0.0609;0.0388;49;0.171;0.39;0.439;0.857;0.881;6.96;0.873;0.105;6.1e-05;0.000482; 38320;17;34;0.107;0.0678;51;0.118;0.395;0.297;0.856;0.645;5.66;0.886;0.0806;6.49e-05;0.000569; 48240;6;44;0.0618;0.0338;48;36.5;49.7;33;  0%;  0%;  0%;28.1;20.2;35.9;  0%;  0%;  0%;25.6;49.1;26.5;  0%;  0%;  0%;26.6;23.6;39;  0%;  0%;  0%;49.5;10.7;5.78;34;0;15.9;0;0;0;31.9;11.6;6.58;49.8;0;32.7;0;0;0;51.2;12.8;0.962;35;0;15.3;0;0;0;34.8;10.2;12.3;42.7;0;29;0;0;0;49.1;43;50.2;45;7.27 ;6.8 ;7.02 ;6.23 ;
2017-09-05;04:57:24.334;0.264;0.368;0.718;0.857;6.49;25.7;0.747;0.129;7.13e-05;0.000282;1.3;1.83;9.1e+04;2.47e+05;2.16e+03;0.735;18.4;0.528;13.2;1.89e+03;83.8;9.45;1.75;5.04;0;1.22;0;0;0;235;30.1;0.266;0.365;0.727;0.857;1.72;6.44;0.732;0.135;7.52e-05;0.000281; 50080;154;375;0.391;0.429;47;0.265;0.368;0.72;0.857;1.64;7.62;0.785;0.11;7.18e-05;0.000333; 50480;102;350;0.273;0.437;48;0.267;0.365;0.732;0.857;1.5;5.46;0.726;0.14;6.51e-05;0.000237; 50240;78;381;0.305;0.458;50;0.258;0.372;0.692;0.857;1.62;6.14;0.736;0.134;7.33e-05;0.000277; 48960;113;375;0.335;0.51;47;154;187;187;  0%;  0%;  0%;161;144;125;  0%;  0%;  0%;122;149;179;  0%;  0%;  0%;155;180;147;  0%;  0%;  0%;84.9;9.07;2.07;3.99;0;0.87;0;0;0;84;9.19;1.92;4.9;0;1.67;0;0;0;85.5;8.07;1.51;4.96;0;1.45;0;0;0;80.7;11.5;1.49;6.3;0;0.897;0;0;0;59.2;57.4;59.9;58.9;7.87 ;7.61 ;7.57 ;7.02 ;
2017-09-05;04:57:25.346;0.22;0.361;0.61;0.857;9.63;32.7;0.706;0.111;0.000128;0.000435;2.17;3.41;7.52e+04;2.08e+05;2.14e+03;0.722;18.1;0.44;11;3.4e+03;71.2;11.1;5.23;12.5;0;5.25;0;0;0;224;32.5;0.204;0.368;0.553;0.857;2.62;9.02;0.71;0.108;0.00015;0.000519; 53440;322;644;0.54;0.885;47;0.234;0.353;0.663;0.857;2.46;7.92;0.689;0.114;0.000123;0.000397; 54000;124;774;0.329;0.485;48;0.204;0.374;0.546;0.857;2.14;7.59;0.719;0.112;0.000122;0.000435; 49920;309;552;0.739;1.17;51;0.239;0.353;0.678;0.857;2.41;8.2;0.706;0.109;0.000118;0.000402; 50400;221;643;0.563;0.868;47;212;333;294;  1%;  1%;  1%;298;257;301;  1%;  1%;  1%;240;326;296;  1%;  1%;  1%;334;200;309;  1%;  1%;  1%;64.6;15.7;10.4;9.27;0;6.2;0;0;0;77.3;6.6;5.07;11;0;4.95;0;0;0;63.7;15.6;1.17;19.5;0;7.7;0;0;0;79.1;6.37;4.26;10.2;0;2.17;0;0;0;55.7;55.5;55.7;57.5;8.47 ;7.79 ;8.48 ;7.77 ;
2017-09-05;04:57:26.358;0.31;0.403;0.768;0.857;97.1;121;0.195;0.175;0.000922;0.00115;12.1;11.8;1.05e+05;2.61e+05;2.13e+03;0.806;20.2;0.619;15.5;1.94e+04;89.6;6.54;1.61;2.21;0;0.571;0;0;0;273;47.1;0.304;0.404;0.753;0.857;24.2;30.5;0.204;0.176;0.000937;0.00118; 50320;960;3080;3.16;2.96;47;0.313;0.4;0.782;0.857;24.3;29.9;0.189;0.173;0.000912;0.00112; 51600;1007;3198;2.83;2.54;48;0.306;0.406;0.754;0.857;24.2;30.1;0.196;0.18;0.000932;0.00116; 49920;1055;3083;2.88;2.96;50;0.315;0.402;0.784;0.857;24.4;30.1;0.192;0.172;0.000908;0.00112; 46480;1210;3010;3.18;3.37;47;1.6e+03;1.71e+03;1.76e+03;  8%;  8%;  9%;1.51e+03;1.6e+03;1.63e+03;  7%;  8%;  8%;1.45e+03;1.62e+03;1.72e+03;  7%;  8%;  8%;1.62e+03;1.52e+03;1.67e+03;  8%;  7%;  8%;87.8;8.4;1.69;2.08;0;0.358;0;0;0;91.3;5.39;1.51;1.81;0;1.01;0;0;0;88;7.82;1.48;2.75;0;0.321;0;0;0;91.5;4.55;1.77;2.19;0;0.596;0;0;0;68.3;66.7;69.4;68.5;12.2 ;11.6 ;11.9 ;11.5 ;
2017-09-05;04:57:27.375;0.381;0.482;0.79;0.857;186;217;0.146;0.196;0.00143;0.00167;18.6;10.4;1.3e+05;2.69e+05;2.13e+03;0.965;24.1;0.762;19;3e+04;92.1;4.85;1.76;1.26;0;0.366;0;0;0;301;52;0.378;0.487;0.776;0.857;46.2;54.4;0.15;0.2;0.00144;0.00169; 43280;1295;3406;5.01;2.79;45;0.378;0.482;0.783;0.857;46.3;54.3;0.147;0.195;0.00144;0.00169; 47280;1105;3929;4.57;2.42;46;0.384;0.479;0.8;0.857;46.8;54.4;0.14;0.194;0.00143;0.00166; 51760;1301;3645;4.44;2.61;47;0.384;0.481;0.798;0.857;46.3;54.2;0.146;0.194;0.00141;0.00165; 52640;1498;3603;4.54;2.6;45;2.73e+03;2.62e+03;2.38e+03; 14%; 13%; 12%;2.17e+03;2.73e+03;2.72e+03; 11%; 14%; 13%;2.45e+03;2.54e+03;2.22e+03; 12%; 13%; 11%;2.49e+03;2.56e+03;2.35e+03; 12%; 13%; 12%;90.6;6.08;1.75;1.61;0;0.141;0;0;0;91.4;5.26;1.81;1.54;0;0.57;0;0;0;93.4;3.99;1.71;0.894;0;0.279;0;0;0;93.2;4.08;1.77;0.976;0;0.472;0;0;0;75.3;73.9;77.2;75;13.4 ;13 ;13.2 ;12.4 ;
2017-09-05;04:57:28.386;0.446;0.546;0.816;0.857;309;355;0.132;0.199;0.00203;0.00234;30.4;17.2;1.52e+05;2.78e+05;2.13e+03;1.09;27.3;0.892;22.3;5.01e+04;95.2;2.99;0.413;1.4;0;0.197;0;0;0;338;66.8;0.447;0.548;0.815;0.857;78.2;90;0.131;0.199;0.00205;0.00236; 50960;2206;5907;8.2;4.59;46;0.445;0.544;0.817;0.857;76.9;88.6;0.133;0.199;0.00203;0.00234; 48880;1620;6940;7.54;4.1;47;0.444;0.548;0.811;0.857;76.1;87.5;0.13;0.197;0.00201;0.00231; 51360;1909;5831;7.26;4.33;48;0.447;0.545;0.821;0.857;77.4;89.2;0.133;0.201;0.00203;0.00234; 49440;2611;6348;7.39;4.21;46;4.53e+03;4.1e+03;4.27e+03; 23%; 21%; 21%;4.14e+03;4.35e+03;4.41e+03; 21%; 22%; 22%;4.24e+03;4.41e+03;3.48e+03; 21%; 22%; 17%;3.97e+03;4.3e+03;3.89e+03; 20%; 22%; 19%;95.1;3.2;0.868;0.856;0;0.0922;0;0;0;95.4;2.83;0.133;1.67;0;0.262;0;0;0;94.6;3.42;0.266;1.72;0;0.225;0;0;0;95.8;2.5;0.383;1.35;0;0.21;0;0;0;84.7;83.7;86.6;83.2;17.2 ;16.6 ;17.3 ;15.7 ;
2017-09-05;04:57:29.403;0.48;0.575;0.834;0.857;369;420;0.12;0.199;0.00226;0.00257;37.1;21;1.63e+05;2.84e+05;2.13e+03;1.15;28.8;0.959;24;6.05e+04;97.3;1.72;0.22;0.791;0;0.0784;0;0;0;357;75.5;0.482;0.576;0.837;0.857;91.3;104;0.122;0.198;0.00223;0.00254; 49200;2713;7319;10;5.61;45;0.479;0.573;0.836;0.857;91.1;103;0.119;0.196;0.00223;0.00254; 48800;2361;7311;9.26;4.97;46;0.478;0.575;0.831;0.857;93.4;106;0.121;0.202;0.00229;0.00261; 54480;2317;8010;8.88;5.31;47;0.48;0.578;0.831;0.857;93.2;106;0.119;0.199;0.00228;0.00259; 50960;2662;7434;8.97;5.12;45;5.17e+03;4.94e+03;5.53e+03; 26%; 25%; 28%;5.2e+03;4.84e+03;4.92e+03; 26%; 24%; 25%;5.45e+03;5.15e+03;4.47e+03; 27%; 26%; 22%;5.04e+03;4.46e+03;5.37e+03; 25%; 22%; 27%;97.6;1.41;0.519;0.424;0;0.0917;0;0;0;97.6;1.53;0.034;0.876;0;0.0448;0;0;0;96.9;2.01;0.0458;1.01;0;0.0701;0;0;0;97;1.92;0.281;0.85;0;0.107;0;0;0;89.7;88.5;90.8;87.6;19.4 ;18.9 ;19.4 ;17.8 ;
2017-09-05;04:57:30.414;0.501;0.596;0.84;0.857;401;457;0.121;0.204;0.00235;0.00268;40.2;23;1.71e+05;2.86e+05;2.13e+03;1.19;29.8;1;25;6.48e+04;98;1.29;0.149;0.595;0;0.083;0;0;0;364;79.7;0.502;0.596;0.842;0.857;102;115;0.118;0.199;0.00238;0.00269; 48080;3199;7785;10.8;6;44;0.501;0.595;0.843;0.857;98.7;112;0.121;0.207;0.00231;0.00263; 49840;2590;8136;10;5.36;45;0.499;0.597;0.835;0.857;102;116;0.121;0.203;0.0024;0.00272; 51520;2763;9136;9.6;5.86;47;0.501;0.598;0.838;0.857;99.4;113;0.124;0.206;0.00233;0.00266; 51920;2839;8054;9.8;5.74;44;5.29e+03;5.64e+03;5.61e+03; 27%; 28%; 28%;5.47e+03;5.2e+03;5.12e+03; 28%; 26%; 26%;5.5e+03;5.75e+03;5.2e+03; 28%; 29%; 26%;5.44e+03;5.11e+03;5.48e+03; 27%; 26%; 28%;98.3;1.16;0.317;0.263;0;0.0421;0;0;0;98.3;0.963;0.0193;0.693;0;0.0958;0;0;0;97.5;1.6;0.081;0.852;0;0.0757;0;0;0;97.8;1.43;0.179;0.574;0;0.118;0;0;0;91.5;90.3;93.1;89.2;20.5 ;20 ;20.3 ;18.9 ;
