System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-08;22:16:48.755;0.132;1.4;0.0942;1.24;71.9;653;0.89;0.323;0.000163;0.00148;7.51;9.07;4.42e+05;3.17e+05;2.1e+04;2.79;69.8;0.263;6.58;1.4e+04;7.61;69;0.717;22.7;0;4.83;0;0;0;3.06e+03;414;0.0952;1.37;0.0695;1.24;12.2;140;0.912;0.277;0.000153;0.00174; 49520;417;1167;1.99;2.41;44;0.125;1.31;0.0957;1.24;15.7;143;0.89;0.337;0.000149;0.00136; 50720;501;1426;1.8;2.23;47;0.175;1.45;0.12;1.24;25.1;215;0.883;0.326;0.000171;0.00147; 53280;825;2570;1.85;2.14;48;0.131;1.43;0.0915;1.24;18.9;156;0.879;0.344;0.000171;0.00141; 54000;703;2035;1.87;2.29;48;1.43e+03;1.7e+03;1.57e+03;  0%;  0%;  0%;1.12e+03;940;850;  0%;  0%;  0%;1.06e+03;1.08e+03;1.15e+03;  0%;  0%;  0%;1.19e+03;936;967;  0%;  0%;  0%;5.6;60.7;0.384;33.4;0;0.832;0;0;0;7.73;75.2;0.584;16.5;0;6.38;0;0;0;9.72;71.2;0.982;18.1;0;9.36;0;0;0;7.39;68.8;0.919;22.9;0;2.74;0;0;0;714;768;831;743;104 ;105 ;104 ;101 ;
2018-01-08;22:16:58.764;0.234;1.5;0.156;1.24;129;1.46e+03;0.912;0.313;0.000164;0.00186;11.2;12.2;7.85e+05;5.25e+05;2.1e+04;2.99;74.8;0.467;11.7;2.02e+04;12.6;67.5;0.491;19.4;0;0;0;0;0;3.38e+03;428;0.14;1.49;0.0936;1.25;22;262;0.916;0.275;0.000187;0.00223; 49840;557;1607;2.92;3.25;42;0.268;1.5;0.179;1.24;38.2;405;0.906;0.319;0.000169;0.0018; 50240;916;2911;2.76;2.95;46;0.272;1.5;0.181;1.24;36.8;413;0.911;0.32;0.000161;0.00181; 50880;1018;3003;2.77;2.97;47;0.255;1.49;0.171;1.24;31.5;384;0.918;0.322;0.000147;0.00179; 51360;851;2589;2.78;3.04;46;2.21e+03;2.19e+03;2.08e+03;  1%;  1%;  1%;1.65e+03;1.54e+03;1.42e+03;  0%;  0%;  0%;1.66e+03;1.4e+03;1.52e+03;  0%;  0%;  0%;1.57e+03;1.6e+03;1.36e+03;  0%;  0%;  0%;7.52;55.2;1.48;35.8;0;0;0;0;0;14.4;73.6;0.067;11.9;0;0;0;0;0;14.6;71.8;0.195;13.3;0;0;0;0;0;13.8;69.5;0.227;16.5;0;0;0;0;0;746;870;918;842;107 ;109 ;109 ;103 ;
2018-01-08;22:17:08.769;0.229;1.5;0.152;0.812;159;1.46e+03;0.891;0.304;0.000207;0.00189;12.8;14.2;7.68e+05;5.12e+05;2.1e+04;3;74.9;0.457;11.4;2.31e+04;18.8;59.2;0.864;21.1;0;0;0;0;0;1.96e+03;386;0.15;1.49;0.1;0.814;24.6;278;0.912;0.275;0.000196;0.00221; 48800;593;1711;3.33;3.84;47;0.275;1.5;0.183;0.811;49.1;425;0.885;0.311;0.000213;0.00184; 51120;1133;3452;3.14;3.4;49;0.279;1.5;0.185;0.811;54.1;428;0.874;0.307;0.000231;0.00183; 52720;1238;3785;3.15;3.33;51;0.211;1.5;0.141;0.813;31.4;324;0.903;0.314;0.000177;0.00182; 55760;840;2451;3.17;3.63;49;2.5e+03;2.6e+03;2.1e+03;  1%;  1%;  1%;2.13e+03;1.65e+03;1.62e+03;  1%;  0%;  0%;2.07e+03;1.65e+03;1.7e+03;  1%;  0%;  0%;1.91e+03;1.79e+03;1.37e+03;  0%;  0%;  0%;12.3;49.5;1.49;36.7;0;0;0;0;0;22.6;64.9;1.04;11.5;0;0;0;0;0;22.8;59.6;0.46;17.1;0;0;0;0;0;17.3;63;0.463;19.2;0;0;0;0;0;445;506;519;486;96.9 ;97 ;98.5 ;93.2 ;
2018-01-08;22:17:18.782;0.248;1.49;0.166;0.81;183;1.59e+03;0.885;0.3;0.00022;0.00191;14.4;16.3;8.33e+05;5.6e+05;2.1e+04;2.98;74.4;0.495;12.4;2.61e+04;20.5;57;0.966;21.5;0;0;0;0;0;1.97e+03;365;0.132;1.48;0.089;0.81;23.1;254;0.909;0.266;0.000208;0.00229; 48640;521;1497;3.72;4.43;48;0.235;1.48;0.159;0.81;35.7;359;0.9;0.31;0.000181;0.00182; 51600;789;2315;3.56;4.18;49;0.331;1.5;0.221;0.81;63;518;0.878;0.305;0.000227;0.00186; 53760;1435;4360;3.56;3.84;51;0.293;1.49;0.196;0.81;61.6;462;0.867;0.304;0.00025;0.00188; 51920;1272;3955;3.58;3.86;49;2.21e+03;2.81e+03;2.8e+03;  1%;  1%;  1%;2.14e+03;2.13e+03;1.37e+03;  1%;  1%;  0%;1.94e+03;1.78e+03;2.52e+03;  1%;  0%;  1%;2.56e+03;1.98e+03;1.84e+03;  1%;  1%;  0%;11;45.3;1.92;41.8;0;0;0;0;0;19.7;66.7;0.302;13.3;0;0;0;0;0;27.3;59.4;0.661;12.7;0;0;0;0;0;24.2;56.5;0.98;18.2;0;0;0;0;0;430;487;540;515;91.1 ;93.2 ;94.5 ;86.6 ;
2018-01-08;22:17:28.794;0.254;1.5;0.17;0.81;170;1.63e+03;0.896;0.302;0.0002;0.00191;13.5;14.6;8.53e+05;5.7e+05;2.1e+04;2.99;74.8;0.507;12.7;2.42e+04;20.9;52.8;1.01;25.3;0;0;0;0;0;1.96e+03;361;0.175;1.49;0.117;0.81;31.2;324;0.904;0.275;0.000212;0.0022; 50880;667;1882;3.49;3.88;48;0.234;1.49;0.158;0.81;34.5;359;0.904;0.311;0.000175;0.00183; 52400;784;2403;3.3;3.71;50;0.298;1.5;0.198;0.81;50.2;465;0.892;0.308;0.000201;0.00186; 53120;1175;3638;3.32;3.52;52;0.308;1.5;0.205;0.81;54.3;484;0.888;0.308;0.00021;0.00187; 51920;1298;3821;3.35;3.51;49;2.26e+03;2.61e+03;2.73e+03;  1%;  1%;  1%;1.84e+03;1.94e+03;1.54e+03;  0%;  1%;  0%;1.7e+03;1.74e+03;2.13e+03;  0%;  0%;  1%;2.09e+03;1.76e+03;1.85e+03;  1%;  0%;  0%;14.5;48.5;2.49;34.5;0;0;0;0;0;19.5;56.3;0.144;24.1;0;0;0;0;0;24.5;51.5;0.944;23.1;0;0;0;0;0;25.4;54.8;0.471;19.4;0;0;0;0;0;453;474;515;519;89.8 ;92.1 ;93.4 ;85.6 ;
2018-01-08;22:17:38.832;0.261;1.49;0.175;0.81;173;1.68e+03;0.897;0.306;0.000196;0.00192;13.9;15.1;8.78e+05;5.88e+05;2.1e+04;2.99;74.6;0.522;13;2.49e+04;21.6;54.1;0.616;23.7;0;0;0;0;0;1.99e+03;363;0.179;1.49;0.121;0.81;30;331;0.909;0.276;0.000198;0.00219; 49680;702;2025;3.62;4.05;48;0.304;1.49;0.204;0.81;53;476;0.889;0.313;0.000207;0.00186; 53120;1218;3617;3.43;3.63;49;0.284;1.5;0.189;0.81;45.8;443;0.897;0.312;0.000192;0.00185; 53440;1122;3355;3.42;3.7;51;0.276;1.5;0.185;0.81;43.7;432;0.899;0.314;0.000188;0.00186; 50160;1187;3429;3.46;3.76;49;2.68e+03;2.5e+03;2.47e+03;  1%;  1%;  1%;2.03e+03;2e+03;1.79e+03;  1%;  1%;  0%;2.11e+03;1.7e+03;1.9e+03;  1%;  0%;  0%;1.91e+03;2.07e+03;1.7e+03;  0%;  1%;  0%;14.9;47.5;1.42;36.2;0;0;0;0;0;25.2;55.7;0.252;18.9;0;0;0;0;0;23.4;55.7;0.536;20.3;0;0;0;0;0;22.8;57.4;0.259;19.6;0;0;0;0;0;456;507;515;509;90.5 ;92.4 ;94 ;86.1 ;
2018-01-08;22:17:48.905;0.234;1.5;0.156;0.81;162;1.53e+03;0.894;0.3;0.000205;0.00194;12.8;14.1;7.91e+05;5.28e+05;2.11e+04;2.99;74.9;0.468;11.7;2.32e+04;19.3;44.9;1.34;34.4;0;0;0;0;0;1.91e+03;361;0.147;1.48;0.0991;0.81;24.3;286;0.915;0.265;0.000196;0.00231; 49280;546;1658;3.31;3.79;48;0.279;1.51;0.185;0.81;51.4;441;0.883;0.304;0.000218;0.00187; 51680;1221;3457;3.16;3.36;50;0.239;1.5;0.159;0.81;39.1;375;0.896;0.312;0.000194;0.00186; 53920;849;2584;3.16;3.52;52;0.272;1.49;0.182;0.81;47.4;431;0.89;0.308;0.000206;0.00188; 48320;1186;3557;3.18;3.44;49;2.52e+03;2.26e+03;2.44e+03;  1%;  1%;  1%;1.81e+03;1.97e+03;1.61e+03;  0%;  1%;  0%;1.9e+03;1.43e+03;1.83e+03;  0%;  0%;  0%;1.79e+03;2.02e+03;1.59e+03;  0%;  1%;  0%;12.2;39.1;2.65;46;0;0;0;0;0;22.9;48.7;1.64;26.8;0;0;0;0;0;19.7;41.7;0.563;38.1;0;0;0;0;0;22.5;50.3;0.524;26.7;0;0;0;0;0;435;490;480;500;89.8 ;92.1 ;93.8 ;85.6 ;
2018-01-08;22:17:58.920;0.269;1.49;0.181;0.81;192;1.75e+03;0.89;0.304;0.000211;0.00193;15.1;16.5;9.09e+05;6.12e+05;2.12e+04;2.97;74.3;0.539;13.5;2.68e+04;22.4;44.5;1.37;31.7;0;0;0;0;0;1.96e+03;366;0.194;1.45;0.134;0.81;33.1;356;0.907;0.275;0.000202;0.00218; 49200;752;2201;3.91;4.41;49;0.299;1.49;0.201;0.81;56.5;473;0.881;0.31;0.000224;0.00188; 50160;1185;3982;3.71;3.96;49;0.329;1.49;0.221;0.81;59.4;519;0.886;0.312;0.000214;0.00187; 55440;1479;4777;3.71;3.94;51;0.256;1.5;0.171;0.81;42.8;402;0.893;0.309;0.000199;0.00187; 51280;1009;3063;3.75;4.17;49;2.76e+03;2.81e+03;2.47e+03;  1%;  1%;  1%;2.37e+03;2.02e+03;1.93e+03;  1%;  1%;  1%;2.34e+03;1.94e+03;2.05e+03;  1%;  1%;  1%;2.21e+03;2.15e+03;1.76e+03;  1%;  1%;  0%;16.5;34;3.42;46.1;0;0;0;0;0;24.8;46.3;1.45;27.4;0;0;0;0;0;27.3;48.3;0.498;23.9;0;0;0;0;0;21.1;49.5;0.0935;29.3;0;0;0;0;0;449;495;527;489;91.2 ;93.3 ;94.8 ;87.2 ;
2018-01-08;22:18:08.963;0.216;1.49;0.145;0.81;157;1.42e+03;0.889;0.301;0.000215;0.00194;12.5;14.1;7.3e+05;4.9e+05;2.1e+04;2.98;74.5;0.433;10.8;2.26e+04;18;39.8;1.4;40.9;0;0;0;0;0;1.85e+03;359;0.14;1.49;0.0942;0.81;24.8;278;0.911;0.259;0.00021;0.00236; 48960;551;1713;3.22;3.77;49;0.192;1.51;0.128;0.81;30.8;297;0.896;0.312;0.00019;0.00183; 51280;715;2194;3.06;3.58;49;0.301;1.47;0.205;0.81;51.8;469;0.89;0.311;0.000204;0.00185; 52080;1147;3463;3.09;3.37;51;0.232;1.5;0.155;0.81;49.5;371;0.867;0.309;0.000253;0.0019; 52880;1145;3427;3.1;3.34;48;2.05e+03;2.54e+03;2.52e+03;  1%;  1%;  1%;1.82e+03;1.79e+03;1.31e+03;  0%;  0%;  0%;1.6e+03;1.58e+03;2.04e+03;  0%;  0%;  1%;2.11e+03;1.64e+03;1.64e+03;  1%;  0%;  0%;11.6;33.5;3.49;51.4;0;0;0;0;0;15.8;42;1.35;40.9;0;0;0;0;0;25.3;42.4;0.484;31.9;0;0;0;0;0;19.2;41.3;0.276;39.3;0;0;0;0;0;424;442;510;470;89.5 ;91.7 ;93 ;85.1 ;
2018-01-08;22:18:18.978;0.241;1.49;0.161;0.81;194;1.6e+03;0.878;0.296;0.00024;0.00197;15;17.2;8.11e+05;5.43e+05;2.11e+04;2.99;74.7;0.481;12;2.73e+04;19.9;43.7;1.2;35.2;0;0;0;0;0;1.9e+03;368;0.16;1.49;0.108;0.81;27.5;311;0.912;0.263;0.000204;0.0023; 47920;613;1791;3.87;4.64;49;0.217;1.51;0.143;0.81;37.6;337;0.888;0.306;0.000206;0.00185; 48080;913;2582;3.7;4.39;50;0.296;1.49;0.199;0.81;65.6;481;0.864;0.304;0.000263;0.00193; 52480;1311;4050;3.71;4.06;52;0.289;1.49;0.194;0.81;63.4;470;0.865;0.301;0.000261;0.00193; 49680;1517;4100;3.75;4.13;49;2.29e+03;2.89e+03;2.84e+03;  1%;  1%;  1%;2.23e+03;2.16e+03;1.5e+03;  1%;  1%;  0%;2.1e+03;1.97e+03;2.63e+03;  1%;  1%;  1%;2.67e+03;2.07e+03;1.98e+03;  1%;  1%;  1%;13.3;36.8;1.98;47.9;0;0;0;0;0;17.7;48.3;0.676;33.4;0;0;0;0;0;24.6;43.6;1.42;30.5;0;0;0;0;0;24;46.2;0.735;29.1;0;0;0;0;0;435;457;507;501;91.6 ;94.2 ;95.2 ;87.2 ;
