Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-09 01:48:44.162684 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 -0.258575187429 1.26663208065 -0.676425157677 2.24660718494 -0.871405045136 -0.518549169301 1.15919335785 -0.119177095233 -0.768542381664 -0.661247753025 -0.887109020992 -0.747375339758 -0.256185740903 0.354350295258 0.595970731369 -0.49004599544
2018-01-09 01:48:54.167024 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.292307032705 1.48521902469 -0.419428455671 2.24660718494 -0.844616289101 -0.427813939061 1.20276197888 -0.173998519004 -0.766515343296 -0.640983042233 -0.867114118562 -0.720875044536 0.28960244194 0.665453590239 0.970963091581 -0.452736833392
2018-01-09 01:49:04.181187 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.409160836976 1.50707771909 -0.359362448524 -0.0763737096576 -0.82597686338 -0.410387198298 1.14363313605 -0.203901113788 -0.761701127171 -0.639424218326 -0.854052121999 -0.699820015455 0.410337403599 -0.693125936468 -0.662678704799 -0.628089895018
2018-01-09 01:49:14.193660 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.498192306897 1.50707771909 -0.316458157705 -0.087228760567 -0.819041263112 -0.396445805688 1.13740904733 -0.208884879585 -0.761067677681 -0.638904610357 -0.849028277167 -0.691833625114 0.497994293571 -0.685895401172 -0.636653998412 -0.681815088367
2018-01-09 01:49:24.218548 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.464805505676 1.50707771909 -0.333619874033 -0.087228760567 -0.821208638196 -0.401092936558 1.14052109169 -0.21885241118 -0.761194367579 -0.638904610357 -0.851540199583 -0.696189838027 0.464916221884 -0.728422365349 -0.687520469986 -0.688157645915
2018-01-09 01:49:34.241690 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.331258300795 1.50707771909 -0.402266739343 -0.087228760567 -0.829878138531 -0.418519677321 1.14674518041 -0.228819942774 -0.761574437273 -0.638385002388 -0.858573582348 -0.70708037031 0.33095003155 -0.763243101117 -0.725374588367 -0.705319860457
2018-01-09 01:49:44.287894 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.403596370106 1.50707771909 -0.363652877606 -0.087228760567 -0.82597686338 -0.406901850146 1.15296926913 -0.228819942774 -0.761701127171 -0.63734578645 -0.856061659932 -0.703450192883 0.405375692846 -0.764670180452 -0.728923411966 -0.69972348615
2018-01-09 01:49:54.333002 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.553836975597 1.50707771909 -0.286425154132 -0.087228760567 -0.818174313078 -0.38598976123 1.14985722477 -0.21885241118 -0.761827817069 -0.637865394419 -0.848525892684 -0.694737767056 0.555880919024 -0.715959205825 -0.674508116793 -0.680322721885
2018-01-09 01:50:04.366227 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.453676571936 1.50707771909 -0.337910303114 -0.087228760567 -0.819908213145 -0.396445805688 1.14052109169 -0.238787474369 -0.760560918089 -0.636306570512 -0.850535430617 -0.695463802542 0.459954511131 -0.75801047689 -0.725374588367 -0.684799821331
2018-01-09 01:50:14.401789 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.487063373157 1.50707771909 -0.320748586787 -0.087228760567 -0.822075588229 -0.392960457535 1.15608131349 -0.238787474369 -0.761954506967 -0.636306570512 -0.852544968549 -0.699820015455 0.493032582818 -0.742598020074 -0.704081646778 -0.691515470499
2018-01-09 01:50:24.434181 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.336822767665 1.50707771909 -0.397976310261 -0.087228760567 -0.826410338397 -0.412710763733 1.14052109169 -0.248755005964 -0.760434228191 -0.635786962543 -0.856061659932 -0.702724157397 0.340873453056 -0.814332541302 -0.791619295534 -0.696738753186
2018-01-09 01:50:34.512871 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.609481644298 1.48521902469 -0.252101721476 -0.087228760567 -0.801702262442 -0.374371934054 1.10628860373 -0.233803708572 -0.757773740332 -0.635786962543 -0.834961511638 -0.664970312149 0.615421448062 -0.698548837941 -0.665044587198 -0.641894284975
2018-01-09 01:50:44.527605 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.487063373157 1.46336033029 -0.307877299541 -0.087228760567 -0.80993828776 -0.389475109382 1.11251269245 -0.238787474369 -0.75790043023 -0.634747746605 -0.841994894403 -0.675860844432 0.496340389987 -0.741741772473 -0.714728117573 -0.654579400072
2018-01-09 01:50:54.541755 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.459241038806 1.50707771909 -0.333619874033 -0.087228760567 -0.819908213145 -0.397607588405 1.14052109169 -0.233803708572 -0.760687607987 -0.636826178481 -0.8510378151 -0.695463802542 0.461608414715 -0.773137517838 -0.743118706359 -0.688157645915
2018-01-09 01:51:04.556224 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.347951701406 1.50707771909 -0.393685881179 -0.087228760567 -0.832045513615 -0.413872546451 1.16541744657 -0.228819942774 -0.762714646355 -0.636826178481 -0.861085504763 -0.712888654195 0.345835163809 -0.814998511658 -0.786887530737 -0.714274059349
2018-01-09 01:51:14.569935 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.481498906287 1.48521902469 -0.320748586787 -0.087228760567 -0.814706512944 -0.391798674818 1.12807291425 -0.243771240166 -0.759294019109 -0.635267354574 -0.846013970268 -0.685299305744 0.481455257727 -0.75391951613 -0.724191647168 -0.672487797855
2018-01-09 01:51:24.584068 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.303435966445 1.50707771909 -0.419428455671 -0.087228760567 -0.832912463648 -0.417357894603 1.16230540221 -0.258722537558 -0.762207886763 -0.635786962543 -0.86209027373 -0.714340725166 0.3044875742 -0.844872039066 -0.823558707918 -0.715766425831
2018-01-09 01:51:34.597493 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.381338502626 1.50707771909 -0.376524164852 -0.087228760567 -0.82727728843 -0.406901850146 1.15608131349 -0.258722537558 -0.761827817069 -0.635786962543 -0.857066428898 -0.707806405796 0.38387494625 -0.803201322491 -0.775058118742 -0.705319860457
2018-01-09 01:51:44.615089 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.475934439417 1.50707771909 -0.329329444951 -0.087228760567 -0.820775163179 -0.394122240253 1.14985722477 -0.263706303356 -0.761194367579 -0.635786962543 -0.851540199583 -0.69909397997 0.47483964339 -0.759152140357 -0.725374588367 -0.689276920777
2018-01-09 01:51:54.729983 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.297871499575 1.50707771909 -0.423718884753 -0.087228760567 -0.832912463648 -0.418519677321 1.16230540221 -0.283641366545 -0.762081196865 -0.635786962543 -0.86209027373 -0.715066760651 0.294564152693 -0.81547420477 -0.786887530737 -0.716139517451
2018-01-09 01:52:04.805483 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.414725303846 1.5289364135 -0.363652877606 -0.087228760567 -0.819474738129 -0.401092936558 1.13118495861 -0.303576429735 -0.759800778701 -0.635786962543 -0.8510378151 -0.696189838027 0.425222535859 -0.756107704443 -0.726557529567 -0.673607072716
2018-01-09 01:52:14.818994 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.364645102016 1.50707771909 -0.385105023015 -0.087228760567 -0.82337601328 -0.406901850146 1.13740904733 -0.29360889814 -0.760180848395 -0.635267354574 -0.854554506482 -0.701272086426 0.373951524743 -0.782270825581 -0.754948118353 -0.686665279433
2018-01-09 01:52:24.832548 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.297871499575 1.50707771909 -0.419428455671 -0.087228760567 -0.82597686338 -0.416196111886 1.13118495861 -0.283641366545 -0.759420709007 -0.634747746605 -0.857066428898 -0.703450192883 0.302833670615 -0.815854759259 -0.792802236734 -0.698977302909
2018-01-09 01:52:34.845928 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.353516168276 1.50707771909 -0.393685881179 -0.087228760567 -0.828577713481 -0.409225415581 1.15608131349 -0.288625132343 -0.761701127171 -0.635267354574 -0.858071197864 -0.709258476767 0.355758585315 -0.798729807242 -0.769143412745 -0.706439135319
2018-01-09 01:52:44.877553 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.370209568886 1.5507951079 -0.393685881179 -0.087228760567 -0.826410338397 -0.410387198298 1.14363313605 -0.288625132343 -0.761194367579 -0.636826178481 -0.857066428898 -0.706354334825 0.367335910406 -0.791784687813 -0.762045765549 -0.701588944252
2018-01-09 01:52:54.907227 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.637303978648 1.5726538023 -0.26068257964 -0.087228760567 -0.806903962643 -0.380180847642 1.11873678117 -0.233803708572 -0.759800778701 -0.639943826295 -0.839482971987 -0.677312915403 0.640230001827 -0.694648154425 -0.655581057602 -0.656444858174
2018-01-09 01:53:05.083558 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.793109051009 1.94425160717 -0.269263437804 -0.087228760567 -0.819474738129 -0.401092936558 1.13118495861 -0.129144626827 -0.765881893805 -0.658130105211 -0.851540199583 -0.696915873513 0.799004745927 -0.683802351481 -0.633105174814 -0.684799821331
2018-01-09 01:53:15.251712 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 2.31220850653 2.99346893855 0.0954230341579 -0.087228760567 -0.82467643833 -0.415034329168 1.12807291425 0.493826097841 -0.776954590892 -0.698815409185 -0.854554506482 -0.701998121912 2.33713507939 -0.347297044341 -0.217892813822 -0.674726347578
2018-01-09 01:53:25.526903 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.04832216998 2.77488199451 0.790472545426 -0.087228760567 -0.761389085883 -0.358106976009 0.988030918064 1.06197539874 -0.774750186666 -0.704323253657 -0.802306520232 -0.605435402335 4.12335095052 0.0943364404612 0.288406019523 -0.539667180964
2018-01-09 01:53:35.975736 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.6214622576 2.7311646057 1.02215571585 -0.087228760567 -0.800401837391 -0.379019064925 1.09384042629 1.74973507877 -0.779513726832 -0.710662470879 -0.832449589222 -0.667874454091 4.71875624089 0.212403470758 0.457566611039 -0.610181497235
2018-01-09 01:53:46.295810 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.73831606187 2.88417546653 0.992122712276 -0.087228760567 -0.813406087894 -0.396445805688 1.11562473681 1.90921558429 -0.78089464672 -0.71383207949 -0.845511585785 -0.6925596606 4.93376370686 0.261970692986 0.523811318205 -0.624732070433
2018-01-09 01:53:56.592222 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.79396073057 3.01532763295 0.966380137784 -0.087228760567 -0.819908213145 -0.408063632863 1.11873678117 1.8793129895 -0.781490089241 -0.715546785788 -0.852042584066 -0.701998121912 4.99991985023 0.22353468957 0.485957199824 -0.656071766554
2018-01-09 01:54:06.780630 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.84960539927 3.25577327139 0.88915241431 -0.087228760567 -0.832045513615 -0.428975721779 1.13740904733 1.90423181849 -0.782516277415 -0.718248747227 -0.861085504763 -0.715066760651 5.03299792192 0.209644450711 0.476493670229 -0.680695813505
2018-01-09 01:54:17.100483 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.79396073057 2.92789285533 1.00070357044 -0.087228760567 -0.814706512944 -0.405740067428 1.10317655937 1.94410194487 -0.780995998639 -0.714923256225 -0.848023508201 -0.697641908998 4.91722467101 0.189760478647 0.446920140244 -0.665399057066
2018-01-09 01:54:27.447894 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.90525006797 2.62187113368 1.1766111628 -0.087228760567 -0.799534887358 -0.389475109382 1.06894407142 2.03380972922 -0.779881127536 -0.713364432318 -0.834459127155 -0.673682737976 5.01645888608 0.273577604909 0.534457789 -0.612793138578
2018-01-09 01:54:37.683826 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.90525006797 2.57815374487 1.20664416637 -0.087228760567 -0.794333187157 -0.38598976123 1.05338384962 2.0736798556 -0.779539064811 -0.71315658913 -0.831947204739 -0.668600489577 5.06607599361 0.288514368613 0.548653083393 -0.59898874862
2018-01-09 01:54:47.919047 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 4.96089473667 2.7311646057 1.14657815922 -0.087228760567 -0.804736587559 -0.39993115384 1.06894407142 2.0786636214 -0.780425894098 -0.715079138616 -0.840990125436 -0.683847234773 5.13223213698 0.251790860398 0.515530729809 -0.638536460391
