System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-09;20:07:53.188;0.998;1.16;0.857;0.857;74.3;156;0.523;0.774;0.000126;0.000264;6.28;5.36;5.91e+05;5.07e+05;3.58e+03;2.33;58.2;2;49.9;9.73e+03;100;0.000399;0;0;0;0;0;0;0;539;73.9;0.998;1.16;0.857;0.857;18.3;38.4;0.524;0.764;0.000125;0.000262; 53840;858;1774;1.59;1.34;44;0.998;1.16;0.857;0.857;19;39.5;0.52;0.771;0.000128;0.000267; 52000;511;1479;1.56;1.34;48;0.999;1.17;0.857;0.857;18.1;38.4;0.53;0.776;0.000122;0.000259; 48800;598;1328;1.56;1.36;49;0.997;1.16;0.857;0.857;19;39.4;0.519;0.785;0.000128;0.000266; 50800;553;1305;1.56;1.32;47;795;788;812;  2%;  2%;  2%;771;798;862;  2%;  2%;  2%;777;857;805;  2%;  2%;  2%;798;795;875;  2%;  2%;  2%;100;0.0175;0;0;0;0;0;0;0;100;0.000445;0;0;0;0;0;0;0;100;0.000383;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;134;131;137;136;18.3 ;18.8 ;19.4 ;17.4 ;
2018-01-09;20:07:54.206;0.831;1.17;0.709;0.856;30.3;57.6;0.473;0.996;7.92e-05;0.00015;1.69;1.14;3.83e+05;3.27e+05;3.71e+03;2.35;58.7;1.66;41.6;2.3e+03;82.8;1.27;0.145;15.7;0;7.72;0;0;0;284;34.5;0.855;1.18;0.724;0.856;8.09;15.5;0.478;0.996;7.42e-05;0.000142; 46320;349;687;0.467;0.295;45;0.842;1.18;0.716;0.855;8.39;16.1;0.48;0.995;8.39e-05;0.000161; 51600;207;619;0.402;0.279;48;0.822;1.17;0.703;0.856;7.03;13.1;0.462;0.996;7.7e-05;0.000143; 48240;176;491;0.414;0.286;50;0.801;1.16;0.688;0.856;6.84;12.9;0.47;0.996;8.24e-05;0.000155; 47600;176;443;0.411;0.283;47;194;182;191;  0%;  0%;  0%;178;180;222;  0%;  0%;  0%;185;217;178;  0%;  0%;  0%;173;185;219;  0%;  0%;  0%;84.6;0.88;0.0295;14.5;0;11.6;0;0;0;83.7;1.54;0.428;14.4;0;1.35;0;0;0;82.2;1.69;0.0721;16;0;1.39;0;0;0;80.5;1.01;0.0395;18.5;0;17;0;0;0;70.9;69.4;72.2;71.2;8.62 ;8.81 ;8.96 ;8.13 ;
2018-01-09;20:07:55.222;0.000873;0.526;0.00166;0.749;0.811;2.26;0.641;0.46;0.00272;0.00757;0.245;0.0578;298;567;2.14e+03;1.05;26.3;0.00175;0.0436;242;0.222;2.64;0.445;96.7;0;51.8;1.25;13.5;0;108;24.1;0.000273;0.224;0.00122;0.7;0.116;0.419;0.723;0.157;0.00498;0.018; 47040;13;0;0.0638;0.0123;46;0.00182;0.75;0.00242;0.746;0.311;0.816;0.619;0.32;0.002;0.00526; 50560;10;20;0.0596;0.0138;49;0.00114;0.533;0.00214;0.791;0.264;0.707;0.627;0.657;0.00271;0.00726; 49040;6;23;0.0579;0.0156;51;0.000262;0.306;0.000856;0.731;0.12;0.316;0.619;0.247;0.00538;0.0141; 48480;6;15;0.0642;0.016;49;16.5;14.5;9.85;  0%;  0%;  0%;7.6;6.11;56.7;  0%;  0%;  0%;7.93;49.6;5.61;  0%;  0%;  0%;9.08;8.43;50.1;  0%;  0%;  0%;0.174;1.27;0.018;98.5;0;65.5;0;14.8;0;0.325;2.27;1.74;95.7;0;46.9;5;9.65;0;0.27;4.97;0.00581;94.8;0;35.3;0;14.8;0;0.117;2.05;0.011;97.8;0;59.3;0;15;0;27.4;26.6;27.3;26.7;6.11 ;6.17 ;6.14 ;5.7 ;
2018-01-09;20:07:56.249;0.497;1.1;0.453;0.809;8.95;18.9;0.527;0.963;5.27e-05;0.000111;1.46;1.39;1.7e+05;1.55e+05;2.13e+03;2.19;54.8;0.993;24.8;2.18e+03;56;4.18;0.253;39.6;0;18.2;0.0752;7.08;0;202;32.2;0.495;1.13;0.438;0.809;2.18;4.74;0.539;0.963;5.17e-05;0.000112; 52720;199;320;0.454;0.414;46;0.496;1.11;0.447;0.809;2.34;4.74;0.507;0.96;5.53e-05;0.000112; 48240;126;368;0.321;0.325;48;0.498;1.08;0.462;0.809;2.14;4.15;0.485;0.968;5e-05;9.73e-05; 50800;125;346;0.321;0.319;50;0.496;1.07;0.465;0.81;2.29;5.27;0.566;0.961;5.38e-05;0.000124; 51760;129;341;0.363;0.335;48;185;178;182;  0%;  0%;  0%;156;159;242;  0%;  0%;  1%;154;229;161;  0%;  1%;  0%;151;154;230;  0%;  0%;  1%;54.1;5.49;0.276;40.1;0;17.9;0;7.2;0;55.2;5;0.44;39.3;0;17.5;0.301;6.82;0;57.1;3.08;0.102;39.7;0;22.2;0;7.11;0;57.4;3.15;0.194;39.2;0;15;0;7.2;0;50.7;49.3;51.4;51;8.21 ;8.16 ;8.26 ;7.62 ;
2018-01-09;20:07:57.748;1.11;1.23;0.909;0.938;53.4;90.4;0.409;0.983;0.000123;0.000209;8.13;9.1;4.33e+05;3.53e+05;2.16e+03;2.45;61.3;2.23;55.7;1.31e+04;96.9;2.25;0.0878;0.798;0;0;0;0;0;531;69.9;1.11;1.21;0.917;0.936;12;20.2;0.404;0.986;0.000119;0.000201; 54640;579;1498;2.09;2.28;44;1.12;1.23;0.906;0.938;13.1;22.2;0.408;0.983;0.000124;0.000209; 53360;550;1659;2.01;2.27;47;1.1;1.23;0.89;0.938;13.5;22.9;0.412;0.98;0.000124;0.000211; 52560;560;1569;2.01;2.27;49;1.13;1.23;0.922;0.939;14.8;25.1;0.41;0.982;0.000125;0.000213; 50080;579;1683;2.03;2.28;46;1.09e+03;1.08e+03;1.08e+03;  4%;  4%;  4%;1.06e+03;1.07e+03;1.15e+03;  4%;  4%;  5%;1.07e+03;1.14e+03;1.06e+03;  4%;  5%;  4%;1.05e+03;1.07e+03;1.14e+03;  4%;  4%;  5%;97.9;1.86;0;0.239;0;0;0;0;0;96.5;3.13;0.000639;0.333;0;0;0;0;0;94.8;2.4;0.334;2.44;0;0;0;0;0;98.2;1.66;0.00958;0.15;0;0;0;0;0;132;130;134;135;17.3 ;17.9 ;18.3 ;16.4 ;
2018-01-09;20:07:59.660;1.11;1.24;0.893;0.893;98.8;169;0.416;0.741;0.000146;0.00025;10.5;12;6.77e+05;5.46e+05;3.16e+03;2.48;62;2.21;55.4;1.66e+04;100;0.00328;0;0;0;0;0;0;0;603;91.7;1.12;1.24;0.903;0.903;23.3;40.1;0.418;0.74;0.000144;0.000247; 55680;964;2453;2.67;3.01;45;1.11;1.24;0.896;0.896;24.8;42.1;0.412;0.738;0.000148;0.000252; 50320;969;2668;2.6;2.99;47;1.11;1.24;0.889;0.889;24.8;42.6;0.418;0.741;0.000143;0.000246; 48880;793;2567;2.6;2.97;49;1.1;1.24;0.884;0.884;25.9;44.4;0.416;0.745;0.000148;0.000253; 47520;857;2536;2.61;3.03;47;1.38e+03;1.37e+03;1.38e+03;  3%;  3%;  3%;1.36e+03;1.37e+03;1.45e+03;  3%;  3%;  4%;1.36e+03;1.44e+03;1.35e+03;  3%;  4%;  3%;1.35e+03;1.36e+03;1.44e+03;  3%;  3%;  4%;100;0;0;0;0;0;0;0;0;100;0.00473;0;0;0;0;0;0;0;100;0.0046;0;0;0;0;0;0;0;100;0.0149;0;0;0;0;0;0;0;150;148;153;153;22.6 ;23.5 ;24.2 ;21.4 ;
2018-01-09;20:08:01.624;1.03;1.24;0.83;0.83;98.3;168;0.416;0.741;0.000146;0.00025;10.5;12.3;6.73e+05;5.41e+05;4.02e+03;2.49;62.1;2.06;51.6;1.65e+04;100;0.00589;0;0;0;0;0;0;0;594;93.8;1.02;1.24;0.826;0.826;24;41.2;0.418;0.741;0.000144;0.000247; 50400;974;2488;2.68;3.09;44;1.03;1.24;0.829;0.829;25.1;42.7;0.412;0.738;0.000149;0.000253; 53120;951;2666;2.6;3.06;47;1.04;1.25;0.831;0.831;24.2;41.5;0.417;0.742;0.000143;0.000246; 52240;775;2516;2.6;3.05;49;1.04;1.24;0.833;0.833;25.1;42.9;0.416;0.744;0.000148;0.000254; 49360;837;2463;2.62;3.06;46;1.37e+03;1.36e+03;1.37e+03;  3%;  3%;  3%;1.35e+03;1.36e+03;1.45e+03;  3%;  3%;  3%;1.35e+03;1.43e+03;1.35e+03;  3%;  3%;  3%;1.34e+03;1.36e+03;1.43e+03;  3%;  3%;  3%;100;0.0175;0;0;0;0;0;0;0;100;0.00204;0;0;0;0;0;0;0;100;0.00196;0;0;0;0;0;0;0;100;0.00209;0;0;0;0;0;0;0;148;145;151;150;23 ;24 ;24.9 ;21.9 ;
2018-01-09;20:08:03.512;1.07;1.24;0.857;0.857;99.3;170;0.416;0.743;0.000145;0.000248;10.2;12;6.85e+05;5.52e+05;4.14e+03;2.49;62.1;2.13;53.3;1.61e+04;100;0;0;0;0;0;0;0;0;583;91;1.06;1.24;0.857;0.857;24.7;42.4;0.418;0.741;0.000143;0.000246; 52960;962;2609;2.61;3.02;44;1.06;1.24;0.857;0.857;25.4;43.2;0.412;0.739;0.000148;0.000252; 48080;953;2777;2.54;2.99;47;1.07;1.24;0.857;0.857;24.5;41.9;0.417;0.744;0.000143;0.000245; 49360;790;2494;2.54;3;49;1.07;1.24;0.857;0.857;24.8;42.3;0.415;0.746;0.000145;0.000248; 47680;799;2499;2.54;3;46;1.34e+03;1.33e+03;1.33e+03;  3%;  3%;  3%;1.32e+03;1.32e+03;1.41e+03;  3%;  3%;  3%;1.32e+03;1.4e+03;1.31e+03;  3%;  3%;  3%;1.31e+03;1.32e+03;1.39e+03;  3%;  3%;  3%;100;0;0;0;0;0;0;0;0;100;0.000763;0;0;0;0;0;0;0;100;0.000827;0;0;0;0;0;0;0;100;0.000742;0;0;0;0;0;0;0;145;142;148;148;22.4 ;23.2 ;24.1 ;21.3 ;
2018-01-09;20:08:05.432;1.07;1.24;0.857;0.857;99.1;170;0.416;0.744;0.000144;0.000246;10;12.1;6.9e+05;5.55e+05;3.95e+03;2.49;62.1;2.13;53.3;1.6e+04;100;0.00075;0;0;0;0;0;0;0;593;91.7;1.06;1.24;0.857;0.857;24.5;42.2;0.418;0.741;0.000143;0.000246; 53280;1008;2579;2.55;3.05;44;1.06;1.24;0.857;0.857;24.8;42.4;0.415;0.743;0.000144;0.000247; 54880;952;2708;2.49;3.03;47;1.07;1.25;0.857;0.857;24.7;42.4;0.417;0.744;0.000143;0.000245; 46800;773;2518;2.5;3.01;49;1.07;1.24;0.857;0.857;25;42.8;0.415;0.747;0.000144;0.000247; 46640;827;2471;2.5;3.03;46;1.33e+03;1.34e+03;1.34e+03;  3%;  3%;  3%;1.33e+03;1.34e+03;1.33e+03;  3%;  3%;  3%;1.34e+03;1.34e+03;1.33e+03;  3%;  3%;  3%;1.33e+03;1.33e+03;1.33e+03;  3%;  3%;  3%;100;0.000695;0;0;0;0;0;0;0;100;0.000819;0;0;0;0;0;0;0;100;0.000728;0;0;0;0;0;0;0;100;0.000759;0;0;0;0;0;0;0;147;145;150;150;22.7 ;23.4 ;24.2 ;21.4 ;
2018-01-09;20:08:07.308;1.07;1.24;0.857;0.857;96.5;165;0.417;0.744;0.000143;0.000245;9.79;11.9;6.74e+05;5.42e+05;4.05e+03;2.49;62.1;2.13;53.3;1.56e+04;100;0.000774;0;0;0;0;0;0;0;579;89.5;1.06;1.24;0.857;0.857;24.1;41.5;0.419;0.742;0.000143;0.000246; 55280;977;2552;2.48;2.98;44;1.07;1.24;0.857;0.857;24.1;41.4;0.418;0.744;0.000142;0.000245; 53120;921;2623;2.42;2.96;47;1.07;1.24;0.857;0.857;24;41.1;0.417;0.744;0.000143;0.000245; 48160;788;2459;2.44;2.96;49;1.07;1.24;0.857;0.857;24.3;41.5;0.414;0.748;0.000145;0.000247; 46560;793;2353;2.45;2.97;46;1.3e+03;1.3e+03;1.31e+03;  3%;  3%;  3%;1.3e+03;1.3e+03;1.3e+03;  3%;  3%;  3%;1.3e+03;1.3e+03;1.3e+03;  3%;  3%;  3%;1.3e+03;1.3e+03;1.3e+03;  3%;  3%;  3%;100;0.000786;0;0;0;0;0;0;0;100;0.000768;0;0;0;0;0;0;0;100;0.000736;0;0;0;0;0;0;0;100;0.000807;0;0;0;0;0;0;0;144;141;147;147;22.1 ;22.9 ;23.6 ;20.9 ;
