System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-09;18:15:28.994;0.00481;0.752;0.00639;0.839;6.89;10.8;0.362;0.169;0.0042;0.00659;0.658;0.456;1.64e+03;2.18e+03;2.13e+03;1.5;37.6;0.00961;0.24;1.01e+03;0.762;2.53;0.228;96.5;0;49.4;0;0;0;133;33.7;0.00176;0.691;0.00255;0.731;0.215;1.25;0.828;0.198;0.00143;0.00832; 47040;9;10;0.164;0.124;46;0.000155;0.282;0.000551;0.724;0.051;0.228;0.777;0.142;0.00385;0.0173; 44000;1;9;0.156;0.12;47;0.0171;0.78;0.022;0.857;6.58;9.11;0.278;0.165;0.0045;0.00624; 50960;150;501;0.171;0.0828;49;0.000171;0.34;0.000502;0.816;0.045;0.209;0.785;0.212;0.00309;0.0144; 45680;2;4;0.167;0.13;45;27.5;150;27.8;  0%;  0%;  0%;139;24.6;71.7;  0%;  0%;  0%;90.7;145;91.7;  0%;  0%;  0%;140;24.7;72.9;  0%;  0%;  0%;0.349;1.88;0.904;96.9;0;72.4;0;0;0;0.0761;0.909;0.00327;99;0;86.1;0;0;0;2.56;2.98;0.00373;94.5;0;0;0;0;0;0.0616;4.35;0.000971;95.6;0;39.3;0;0;0;33.5;31.7;35.1;32.6;8.35 ;8.75 ;8.63 ;7.94 ;
2018-01-09;18:15:30.011;0.00351;0.682;0.00514;0.797;5.19;8.85;0.414;0.298;0.00433;0.00739;0.563;0.364;1.2e+03;1.76e+03;2.13e+03;1.36;34.1;0.00702;0.176;850;0.645;2.44;0.288;96.6;0;54.8;0;0;0;125;31.7;0.00229;0.742;0.00309;0.744;0.28;1.16;0.758;0.289;0.00144;0.00592; 49840;12;18;0.147;0.102;46;0.00137;0.548;0.0025;0.787;0.323;0.91;0.645;0.614;0.00276;0.00777; 49520;6;30;0.13;0.0933;47;0.00975;0.721;0.0135;0.813;4.43;6.19;0.285;0.201;0.00532;0.00744; 50640;100;365;0.139;0.0637;49;0.000631;0.434;0.00146;0.791;0.156;0.59;0.735;0.326;0.0029;0.011; 47920;6;9;0.147;0.105;46;33.1;107;28.2;  0%;  0%;  0%;103;25.3;74.1;  0%;  0%;  0%;76.2;126;73.4;  0%;  0%;  0%;99.3;28.4;76.3;  0%;  0%;  0%;0.415;2.27;1.12;96.2;0;63.2;0;0;0;0.318;1.2;0.0152;98.5;0;83.4;0;0;0;1.66;2.14;0.00641;96.2;0;33.2;0;0;0;0.184;4.16;0.0137;95.6;0;39.5;0;0;0;31.4;29.8;32.5;30.8;8.02 ;8.06 ;8.13 ;7.49 ;
2018-01-09;18:15:31.414;0.363;0.912;0.398;0.809;21.9;37.9;0.421;0.946;0.000159;0.000275;15.2;17.7;1.37e+05;1.51e+05;2.14e+03;1.82;45.6;0.726;18.1;2.59e+04;49.2;5.2;0.193;45.4;0;24.1;0;0;0;308;66.8;0.358;0.949;0.377;0.809;2.72;5.63;0.517;0.934;8.52e-05;0.000177; 49040;169;358;3.84;4.55;43;0.374;0.963;0.389;0.809;3.23;6.5;0.504;0.965;9.3e-05;0.000187; 46880;178;525;3.85;4.35;44;0.368;0.906;0.406;0.809;6.48;10.5;0.381;0.95;0.000183;0.000295; 44080;422;1263;3.71;4.31;45;0.352;0.843;0.418;0.81;9.49;15.3;0.378;0.93;0.000268;0.000431; 52160;642;2002;3.82;4.5;43;2.2e+03;2.18e+03;2.21e+03; 10%; 10%; 10%;2.12e+03;2.14e+03;2.25e+03;  9%;  9%; 10%;2.08e+03;2.2e+03;2.08e+03;  9%; 10%;  9%;2.07e+03;2.12e+03;2.25e+03;  9%;  9%; 10%;46.6;4.7;0.622;48.1;0;22;0;0;0;48;3.85;0.0646;48.1;0;38.5;0;0;0;50.2;3.87;0.0494;45.9;0;37.3;0;0;0;51.6;8.15;0.0673;40.2;0;0.0544;0;0;0;77.3;74.8;78.8;76.8;17 ;16.9 ;17 ;16 ;
2018-01-09;18:15:32.924;0.344;0.428;0.806;0.81;269;338;0.204;0.688;0.00156;0.00196;38.4;55.4;1.72e+05;4.03e+05;3.07e+03;0.855;21.4;0.689;17.2;6.51e+04;99.5;0.395;0.000312;0.0718;0;0;0;0;0;428;133;0.339;0.421;0.806;0.81;66.4;85.4;0.223;0.759;0.00157;0.00202; 51520;4695;14694;9.69;13.8;45;0.33;0.41;0.806;0.81;67.4;85.2;0.209;0.662;0.00164;0.00207; 48240;4510;14851;9.52;13.8;46;0.344;0.427;0.806;0.81;67.2;83.8;0.199;0.646;0.00157;0.00196; 55520;4405;14334;9.5;13.8;48;0.364;0.452;0.806;0.81;67.8;83.2;0.185;0.651;0.00148;0.00182; 49200;5244;12992;9.65;14.1;44;5.35e+03;5.4e+03;5.41e+03; 18%; 18%; 18%;5.39e+03;5.46e+03;5.44e+03; 18%; 19%; 19%;5.4e+03;5.49e+03;5.42e+03; 18%; 19%; 18%;5.44e+03;5.43e+03;5.49e+03; 19%; 19%; 19%;99.5;0.418;0;0.0595;0;0;0;0;0;99.6;0.378;0.000577;0.0671;0;0;0;0;0;99.5;0.394;0.000672;0.0861;0;0;0;0;0;99.5;0.388;0;0.0746;0;0;0;0;0;107;104;110;107;32.8 ;33.7 ;34.8 ;31.3 ;
2018-01-09;18:15:34.616;0.626;0.774;0.809;0.81;435;445;0.0233;0.875;0.00125;0.00128;29.2;30.3;3.48e+05;4.5e+05;3.06e+03;1.55;38.7;1.25;31.3;4.13e+04;99.9;0.0788;0;0;0;0;0;0;0;468;118;0.644;0.796;0.809;0.81;106;108;0.0246;0.88;0.00122;0.00125; 54800;2516;7394;7.35;7.59;45;0.631;0.78;0.809;0.81;107;110;0.0219;0.878;0.00124;0.00127; 53360;2369;7437;7.22;7.47;46;0.619;0.765;0.809;0.81;110;113;0.0216;0.873;0.00125;0.00128; 52720;2543;7481;7.31;7.6;48;0.61;0.754;0.809;0.81;112;115;0.025;0.868;0.00128;0.00131; 54720;2519;7473;7.3;7.66;44;3.42e+03;3.44e+03;3.43e+03; 10%; 10%; 10%;3.43e+03;3.42e+03;3.48e+03; 10%; 10%; 10%;3.43e+03;3.51e+03;3.42e+03; 10%; 11%; 10%;3.41e+03;3.42e+03;3.49e+03; 10%; 10%; 10%;99.9;0.0844;0;0;0;0;0;0;0;99.9;0.0756;0;0;0;0;0;0;0;99.9;0.0721;0;0;0;0;0;0;0;99.9;0.0831;0;0;0;0;0;0;0;117;113;119;118;29.1 ;30 ;31.6 ;27.6 ;
2018-01-09;18:15:35.719;0.451;0.55;0.819;0.842;457;533;0.144;0.793;0.00218;0.00255;33.4;26.9;2.09e+05;3.8e+05;3.54e+03;1.1;27.5;0.901;22.5;5.16e+04;97.2;2.79;0;0;0;0;0;0;0;344;90;0.452;0.553;0.817;0.839;120;139;0.135;0.784;0.00212;0.00245; 51200;2825;8174;8.44;6.75;44;0.452;0.552;0.818;0.841;116;135;0.142;0.793;0.00215;0.0025; 52480;2566;7849;8.31;6.74;44;0.449;0.549;0.817;0.844;111;130;0.146;0.795;0.0022;0.00258; 47760;2565;7686;8.27;6.71;45;0.449;0.546;0.823;0.847;109;129;0.152;0.801;0.00227;0.00268; 47200;2601;7564;8.38;6.72;43;4.31e+03;4.31e+03;4.32e+03; 16%; 16%; 16%;4.26e+03;4.28e+03;4.32e+03; 16%; 16%; 16%;4.25e+03;4.33e+03;4.29e+03; 16%; 16%; 16%;4.29e+03;4.31e+03;4.32e+03; 16%; 16%; 16%;97.4;2.56;0;0;0;0;0;0;0;97.3;2.71;0;0;0;0;0;0;0;96.9;3.11;0;0;0;0;0;0;0;97.2;2.83;0;0;0;0;0;0;0;86.3;83.7;87.4;86.3;22.2 ;22.9 ;23.8 ;21.1 ;
2018-01-09;18:15:37.142;0.401;0.476;0.842;0.865;576;641;0.102;0.733;0.00358;0.00399;46.5;54.4;1.61e+05;3.38e+05;2.32e+03;0.952;23.8;0.801;20;8.17e+04;97.3;2.65;0;0;0;0;0;0;0;419;131;0.406;0.479;0.847;0.866;138;154;0.107;0.741;0.00353;0.00396; 51520;3396;10130;11.7;13.6;44;0.402;0.479;0.84;0.865;142;158;0.102;0.722;0.00357;0.00398; 53520;3522;10620;11.6;13.6;45;0.396;0.471;0.84;0.865;147;164;0.102;0.696;0.00366;0.00407; 52240;3689;10651;11.6;13.6;45;0.399;0.474;0.841;0.864;149;165;0.0969;0.764;0.00356;0.00394; 46640;3671;10788;11.6;13.7;43;6.8e+03;6.84e+03;6.82e+03; 29%; 29%; 29%;6.8e+03;6.78e+03;6.79e+03; 29%; 29%; 29%;6.79e+03;6.82e+03;6.83e+03; 29%; 29%; 29%;6.83e+03;6.8e+03;6.83e+03; 29%; 29%; 29%;97.8;2.21;0;0;0;0;0;0;0;97.1;2.94;0;0;0;0;0;0;0;97.2;2.8;0;0;0;0;0;0;0;97.4;2.64;0;0;0;0;0;0;0;105;101;107;105;32.3 ;33.2 ;34.3 ;30.8 ;
2018-01-09;18:15:38.628;0.284;0.332;0.857;0.857;688;940;0.268;0.632;0.00487;0.00666;62.3;64.7;1.41e+05;4.26e+05;3.1e+03;0.663;16.6;0.568;14.2;1.17e+05;100;0.0418;0;0;0;0;0;0;0;477;149;0.289;0.337;0.857;0.857;171;227;0.248;0.655;0.00477;0.00634; 48160;5266;16317;15.6;16.1;44;0.286;0.334;0.857;0.857;170;231;0.263;0.653;0.0048;0.00651; 47440;5379;16344;15.6;16.2;45;0.288;0.336;0.857;0.857;171;236;0.275;0.656;0.00477;0.00658; 49040;5275;16186;15.6;16.1;46;0.273;0.319;0.857;0.857;176;247;0.286;0.549;0.00517;0.00724; 50880;5642;16146;15.5;16.2;43;9.78e+03;9.74e+03;9.77e+03; 34%; 34%; 34%;9.73e+03;9.74e+03;9.74e+03; 34%; 34%; 34%;9.71e+03;9.71e+03;9.71e+03; 34%; 34%; 34%;9.69e+03;9.71e+03;9.72e+03; 34%; 34%; 34%;100;0.0302;0;0;0;0;0;0;0;100;0.0404;0;0;0;0;0;0;0;100;0.0278;0;0;0;0;0;0;0;99.9;0.069;0;0;0;0;0;0;0;119;117;122;119;36.9 ;37.7 ;38.8 ;35.6 ;
2018-01-09;18:15:40.152;0.242;0.312;0.778;0.778;764;1.04e+03;0.266;0.22;0.00629;0.00858;44.9;20.4;1.21e+05;3.89e+05;3.06e+03;0.623;15.6;0.485;12.1;6.42e+04;99.9;0.0561;0;0;0;0;0;0;0;365;116;0.245;0.311;0.788;0.788;194;270;0.281;0.227;0.00636;0.00884; 53440;3183;10001;11.3;5.08;45;0.244;0.312;0.783;0.784;192;263;0.27;0.219;0.00632;0.00866; 47360;3076;9792;11.2;5.09;46;0.242;0.312;0.775;0.775;190;257;0.263;0.217;0.00627;0.00851; 50080;3143;9368;11.2;5.09;48;0.238;0.311;0.766;0.766;188;250;0.249;0.216;0.00623;0.00829; 46000;3369;8891;11.2;5.12;44;5.37e+03;5.37e+03;5.4e+03; 18%; 18%; 18%;5.35e+03;5.36e+03;5.34e+03; 18%; 18%; 18%;5.34e+03;5.33e+03;5.34e+03; 18%; 18%; 18%;5.34e+03;5.35e+03;5.34e+03; 18%; 18%; 18%;99.9;0.0517;0;0;0;0;0;0;0;99.9;0.0568;0;0;0;0;0;0;0;99.9;0.0661;0;0;0;0;0;0;0;100;0.0499;0;0;0;0;0;0;0;91.7;88.7;93;91.8;28.4 ;29.5 ;30.9 ;26.8 ;
2018-01-09;18:15:41.852;0.212;0.315;0.672;0.673;645;658;0.019;0.0653;0.00541;0.00551;44.6;11;1.19e+05;3.79e+05;3.17e+03;0.629;15.7;0.423;10.6;6.05e+04;99.9;0.113;0;0;0;0;0;0;0;408;117;0.206;0.315;0.654;0.655;153;156;0.0189;0.0639;0.00543;0.00554; 53120;2255;6806;11.2;2.76;45;0.21;0.315;0.667;0.667;160;163;0.0183;0.0635;0.00542;0.00553; 49920;2379;7053;11.2;2.76;46;0.212;0.314;0.677;0.678;165;168;0.018;0.0624;0.00542;0.00552; 48480;2414;7188;11.1;2.75;47;0.217;0.315;0.69;0.691;168;171;0.0207;0.0712;0.00535;0.00547; 51760;2548;7202;11.2;2.77;44;5.04e+03;5.03e+03;5.04e+03; 15%; 15%; 15%;5.03e+03;5.03e+03;5.05e+03; 15%; 15%; 15%;5.04e+03;5.03e+03;5.02e+03; 15%; 15%; 15%;5.05e+03;5.06e+03;5.06e+03; 15%; 15%; 15%;99.9;0.12;0;0;0;0;0;0;0;99.9;0.114;0;0;0;0;0;0;0;99.9;0.118;0;0;0;0;0;0;0;99.9;0.0989;0;0;0;0;0;0;0;103;99.5;104;102;28.6 ;29.8 ;31.4 ;26.9 ;
