System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-09;21:55:35.806;0.00403;0.765;0.00527;0.711;5.69;8.81;0.354;0.168;0.00413;0.0064;0.403;0.378;1.38e+03;1.8e+03;2.13e+03;1.53;38.3;0.00807;0.202;623;0.742;2.74;0.00799;96.5;0;48;0;0;0;121;33.1;0.0151;0.817;0.0185;0.716;5.51;7.83;0.296;0.165;0.00426;0.00606; 49840;133;394;0.112;0.0698;46;0.000216;0.25;0.000864;0.643;0.054;0.306;0.824;0.118;0.00293;0.0166; 46000;0;8;0.0918;0.0978;47;0.000214;0.287;0.000747;0.673;0.0641;0.405;0.842;0.102;0.0035;0.0222; 51040;2;4;0.1;0.106;50;0.000571;0.602;0.000949;0.704;0.0667;0.273;0.756;0.352;0.00137;0.0056; 47120;2;8;0.0996;0.104;46;71;72.1;71.8;  0%;  0%;  0%;11.7;11.8;111;  0%;  0%;  0%;11.3;113;11.9;  0%;  0%;  0%;11.5;11.8;113;  0%;  0%;  0%;2.59;4.41;0.00377;93;0;0;0;0;0;0.134;0.875;0.0158;99;0;89.6;0;0;0;0.111;3.19;0.0015;96.7;0;44.8;0;0;0;0.135;2.48;0.0109;97.4;0;57.9;0;0;0;32.4;28.8;30.3;29.6;8.32 ;8.46 ;8.55 ;7.76 ;
2018-01-09;21:55:37.040;0.193;1.39;0.139;1.21;10.2;19.4;0.475;0.727;0.000146;0.000278;1.32;1.48;6.99e+04;5.02e+04;2.13e+03;2.79;69.7;0.387;9.66;2.09e+03;11.5;5.61;0.0675;82.8;0;37.3;0;0;0;275;44;0.165;1.23;0.134;1.18;6.97;10.7;0.349;0.203;0.000477;0.000733; 50480;223;587;0.351;0.389;40;0.153;1.43;0.108;1.22;0.862;2.62;0.671;0.427;6.35e-05;0.000193; 42160;31;108;0.28;0.348;43;0.185;1.49;0.124;1.22;1.13;2.86;0.605;0.641;6.78e-05;0.000172; 51360;51;135;0.385;0.38;44;0.264;1.42;0.186;1.22;1.24;3.24;0.616;0.928;4.96e-05;0.000129; 49840;48;148;0.303;0.361;41;191;215;199;  0%;  1%;  0%;124;104;231;  0%;  0%;  1%;136;273;142;  0%;  1%;  0%;127;104;241;  0%;  0%;  1%;11.4;4.8;0.0308;83.7;0;4.84;0;0;0;8.85;3.64;0.122;87.4;0;69.9;0;0;0;10.2;8.83;0.0515;81;0;30.8;0;0;0;15.2;5.13;0.0662;79.6;0;43.2;0;0;0;70.6;66.7;70.1;67.5;11.1 ;11.3 ;11.3 ;10.3 ;
2018-01-09;21:55:38.576;0.657;0.539;1.22;1.24;190;262;0.274;0.916;0.000621;0.000855;43.8;61.5;3.06e+05;5.69e+05;2.59e+03;1.08;26.9;1.31;32.9;7.66e+04;98.5;1.33;0.00552;0.134;0;0;0;0;0;764;135;0.697;0.568;1.23;1.24;44.6;62.4;0.285;0.921;0.000578;0.000808; 51280;3559;11120;11.2;15.6;39;0.675;0.561;1.2;1.24;45.4;63.1;0.281;0.917;0.000586;0.000815; 52480;3357;11457;10.8;15.2;40;0.652;0.535;1.22;1.24;47.6;65.7;0.274;0.916;0.000612;0.000844; 51120;3677;12152;11;15.4;42;0.609;0.495;1.23;1.24;52.6;70.9;0.258;0.909;0.000711;0.000958; 52000;4730;12158;10.9;15.4;40;6.45e+03;6.54e+03;6.44e+03; 24%; 24%; 24%;6.3e+03;6.27e+03;6.42e+03; 23%; 23%; 24%;6.31e+03;6.5e+03;6.28e+03; 23%; 24%; 23%;6.33e+03;6.28e+03;6.43e+03; 23%; 23%; 24%;99.1;0.845;0.00378;0.0974;0;0;0;0;0;97.2;2.62;0.00216;0.189;0;0;0;0;0;98.5;1.38;0.00959;0.109;0;0;0;0;0;99.4;0.49;0.00627;0.142;0;0;0;0;0;190;188;198;188;33.8 ;34.1 ;35.1 ;32 ;
2018-01-09;21:55:40.288;0.762;0.706;1.08;1.08;541;556;0.0285;0.822;0.00126;0.00129;37.5;41.3;4.31e+05;6.1e+05;3.24e+03;1.41;35.3;1.52;38.1;5.44e+04;100;0.0203;0;0;0;0;0;0;0;682;132;0.781;0.707;1.11;1.11;130;134;0.0299;0.841;0.0012;0.00124; 45920;3741;11395;9.48;10.4;44;0.759;0.697;1.09;1.09;135;139;0.0291;0.814;0.00125;0.00129; 58720;3686;11569;9.31;10.3;44;0.758;0.709;1.07;1.07;137;141;0.0257;0.817;0.00127;0.0013; 53360;3534;10826;9.34;10.2;46;0.75;0.713;1.05;1.05;139;143;0.0293;0.812;0.0013;0.00134; 50480;3508;10379;9.38;10.3;44;4.53e+03;4.52e+03;4.58e+03; 14%; 13%; 14%;4.55e+03;4.52e+03;4.49e+03; 14%; 14%; 13%;4.55e+03;4.5e+03;4.56e+03; 14%; 13%; 14%;4.51e+03;4.55e+03;4.55e+03; 13%; 14%; 14%;100;0.0194;0;0;0;0;0;0;0;100;0.0194;0;0;0;0;0;0;0;100;0.0196;0;0;0;0;0;0;0;100;0.0227;0;0;0;0;0;0;0;169;168;175;170;32.8 ;33.7 ;35 ;30.9 ;
2018-01-09;21:55:41.368;0.404;0.517;0.782;0.81;470;553;0.149;0.484;0.00252;0.00297;34;27.4;1.86e+05;3.6e+05;3.58e+03;1.03;25.9;0.809;20.2;5.31e+04;96.6;3.36;0;0;0;0;0;0;0;312;91.5;0.41;0.522;0.786;0.81;124;145;0.14;0.479;0.00242;0.00282; 50000;2964;8420;8.6;6.72;44;0.404;0.52;0.778;0.81;119;139;0.147;0.477;0.00248;0.00291; 50240;2725;8224;8.4;6.94;45;0.402;0.515;0.782;0.81;115;136;0.152;0.485;0.00256;0.00302; 50560;2735;7942;8.51;6.94;45;0.4;0.511;0.783;0.81;112;133;0.158;0.496;0.00265;0.00315; 50000;2756;7895;8.51;6.82;43;4.45e+03;4.45e+03;4.48e+03; 16%; 16%; 17%;4.38e+03;4.4e+03;4.41e+03; 16%; 16%; 16%;4.37e+03;4.44e+03;4.42e+03; 16%; 16%; 16%;4.45e+03;4.4e+03;4.46e+03; 16%; 16%; 16%;97.1;2.92;0;0;0;0;0;0;0;96.1;3.86;0;0;0;0;0;0;0;96.6;3.39;0;0;0;0;0;0;0;96.7;3.31;0;0;0;0;0;0;0;78.8;75.8;78.7;78.3;22.6 ;23.2 ;24.2 ;21.5 ;
2018-01-09;21:55:42.800;0.38;0.484;0.785;0.81;552;611;0.0964;0.728;0.00362;0.00401;43;51.1;1.52e+05;3.15e+05;2.27e+03;0.968;24.2;0.76;19;7.47e+04;97;2.97;0;0;0;0;0;0;0;397;127;0.383;0.484;0.79;0.81;131;146;0.102;0.73;0.00359;0.004; 49600;3266;9659;10.8;12.8;44;0.378;0.478;0.791;0.81;138;153;0.0969;0.689;0.0037;0.0041; 49520;3322;10181;10.7;12.7;45;0.374;0.481;0.777;0.81;140;155;0.0951;0.701;0.00371;0.00409; 54640;3465;10341;10.8;12.8;47;0.386;0.493;0.784;0.81;143;157;0.0921;0.773;0.0035;0.00386; 42400;3615;10365;10.7;12.8;44;6.28e+03;6.25e+03;6.24e+03; 27%; 27%; 27%;6.21e+03;6.22e+03;6.26e+03; 27%; 27%; 27%;6.21e+03;6.22e+03;6.18e+03; 27%; 27%; 26%;6.19e+03;6.23e+03;6.25e+03; 27%; 27%; 27%;97.6;2.4;0;0;0;0;0;0;0;97.7;2.33;0;0;0;0;0;0;0;96;3.99;0;0;0;0;0;0;0;96.9;3.09;0;0;0;0;0;0;0;99.5;97;101;99.7;31.3 ;32.1 ;33.3 ;30 ;
2018-01-09;21:55:44.528;0.32;0.395;0.809;0.81;729;1.01e+03;0.28;0.791;0.00408;0.00566;68.9;69.5;1.79e+05;4.53e+05;3.04e+03;0.79;19.7;0.639;16;1.28e+05;100;0.0282;0;0;0;0;0;0;0;529;167;0.317;0.392;0.809;0.81;172;231;0.253;0.793;0.00402;0.00539; 44000;5320;15834;17.3;17.4;44;0.324;0.401;0.809;0.81;177;244;0.274;0.813;0.00395;0.00544; 50160;5402;16068;17.1;17.3;45;0.323;0.398;0.809;0.81;184;260;0.29;0.794;0.00402;0.00567; 50400;5531;16325;17.2;17.4;46;0.314;0.388;0.809;0.81;196;279;0.298;0.76;0.00431;0.00614; 52000;5783;16882;17.2;17.4;43;1.07e+04;1.07e+04;1.07e+04; 33%; 33%; 33%;1.06e+04;1.07e+04;1.06e+04; 33%; 33%; 33%;1.07e+04;1.07e+04;1.07e+04; 33%; 33%; 33%;1.07e+04;1.07e+04;1.07e+04; 33%; 33%; 33%;100;0.0275;0;0;0;0;0;0;0;100;0.0278;0;0;0;0;0;0;0;100;0.0259;0;0;0;0;0;0;0;100;0.0316;0;0;0;0;0;0;0;133;130;135;132;41.5 ;42.1 ;43.5 ;39.7 ;
2018-01-09;21:55:46.268;0.246;0.306;0.802;0.802;877;1.13e+03;0.223;0.197;0.0061;0.00785;50.9;19.8;1.44e+05;4.69e+05;3.61e+03;0.613;15.3;0.491;12.3;7.11e+04;100;0.0381;0;0;0;0;0;0;0;428;130;0.25;0.307;0.813;0.814;224;300;0.251;0.209;0.00618;0.00825; 47840;3506;10791;12.8;4.95;45;0.248;0.307;0.808;0.808;222;288;0.231;0.201;0.00612;0.00796; 46400;3491;10592;12.7;4.94;46;0.244;0.306;0.799;0.8;218;276;0.21;0.19;0.00608;0.00769; 51920;3432;10384;12.7;4.96;48;0.241;0.306;0.788;0.789;213;264;0.194;0.185;0.00602;0.00747; 49360;3492;10029;12.7;4.96;44;5.92e+03;5.94e+03;5.96e+03; 17%; 17%; 17%;5.91e+03;5.92e+03;5.88e+03; 17%; 17%; 17%;5.9e+03;5.9e+03;5.93e+03; 17%; 17%; 17%;5.96e+03;5.93e+03;5.92e+03; 17%; 17%; 17%;100;0.0346;0;0;0;0;0;0;0;100;0.0445;0;0;0;0;0;0;0;100;0.0289;0;0;0;0;0;0;0;100;0.0444;0;0;0;0;0;0;0;107;104;109;107;31.8 ;33.1 ;34.5 ;30.1 ;
2018-01-09;21:55:47.752;0.193;0.337;0.572;0.573;527;537;0.018;0.0637;0.00531;0.00541;32.8;8.08;9.93e+04;2.95e+05;3.69e+03;0.674;16.8;0.385;9.63;4.44e+04;99.9;0.148;0;0;0;0;0;0;0;297;96.3;0.193;0.336;0.576;0.577;138;141;0.0184;0.0631;0.00533;0.00543; 54480;2042;6115;8.22;2.02;45;0.193;0.338;0.571;0.572;134;136;0.0182;0.0635;0.00531;0.00541; 52960;1999;5849;8.17;2.01;46;0.193;0.338;0.57;0.571;128;131;0.0173;0.0651;0.0053;0.0054; 52640;1878;5689;8.19;2.02;48;0.192;0.337;0.571;0.571;127;129;0.0179;0.0633;0.00531;0.00541; 50880;1924;5585;8.2;2.03;44;3.7e+03;3.7e+03;3.71e+03; 12%; 12%; 12%;3.69e+03;3.69e+03;3.72e+03; 12%; 12%; 12%;3.69e+03;3.73e+03;3.69e+03; 12%; 12%; 12%;3.7e+03;3.69e+03;3.73e+03; 12%; 12%; 12%;99.8;0.151;0;0;0;0;0;0;0;99.9;0.119;0;0;0;0;0;0;0;99.8;0.166;0;0;0;0;0;0;0;99.8;0.158;0;0;0;0;0;0;0;75.5;72.3;75.4;73.7;23.6 ;24.6 ;26 ;22.1 ;
2018-01-09;21:55:49.252;0.214;0.375;0.571;0.571;485;519;0.0655;0.28;0.00455;0.00487;28.4;7.81;1.07e+05;2.85e+05;3.12e+03;0.749;18.7;0.427;10.7;3.88e+04;99.8;0.158;0;0;0;0;0;0;0;306;92.3;0.203;0.355;0.571;0.571;123;131;0.0571;0.18;0.00488;0.00518; 48720;1795;5441;7.14;1.96;45;0.212;0.371;0.571;0.571;121;130;0.0664;0.222;0.00461;0.00494; 44400;1803;5356;7.1;1.94;46;0.215;0.377;0.571;0.571;121;130;0.0672;0.282;0.00451;0.00484; 59840;1804;5387;7.1;1.95;48;0.225;0.394;0.57;0.571;119;128;0.0713;0.4;0.00423;0.00456; 52960;1794;5261;7.11;1.96;45;3.21e+03;3.24e+03;3.26e+03; 11%; 11%; 11%;3.23e+03;3.25e+03;3.24e+03; 11%; 11%; 11%;3.21e+03;3.25e+03;3.25e+03; 11%; 11%; 11%;3.24e+03;3.21e+03;3.25e+03; 11%; 11%; 11%;99.8;0.156;0;0;0;0;0;0;0;99.8;0.156;0;0;0;0;0;0;0;99.8;0.155;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;77.8;74.8;77.7;75.9;22.5 ;23.6 ;25 ;21.2 ;
