System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-09;23:23:36.944;0.00493;0.677;0.00728;0.927;8.26;12.8;0.355;0.226;0.00492;0.00762;0.579;0.494;1.68e+03;2.48e+03;2.13e+03;1.35;33.9;0.00986;0.247;901;0.785;8.61;0.00733;90.6;0;32.6;0;0;0;147;33.5;0.000284;0.299;0.000949;0.751;0.0898;0.453;0.802;0.121;0.00371;0.0187; 48800;7;5;0.148;0.137;46;0.000398;0.36;0.0011;0.781;0.0904;0.482;0.813;0.208;0.00267;0.0142; 48160;3;12;0.14;0.134;47;0.00158;0.665;0.00238;0.75;0.28;0.797;0.648;0.67;0.00208;0.00591; 51200;7;36;0.142;0.135;50;0.0175;0.707;0.0247;0.966;7.8;11.1;0.296;0.149;0.00525;0.00745; 51120;182;482;0.149;0.0886;46;21.2;29.9;159;  0%;  0%;  0%;22.6;158;20.4;  0%;  0%;  0%;22.3;23.9;160;  0%;  0%;  0%;95.8;93.5;93.9;  0%;  0%;  0%;0.126;2.61;0.00572;97.3;0;55.4;0;0;0;0.141;7.44;0.0143;92.4;0;36.9;0;0;0;0.318;14.9;0.00827;84.8;0;38;0;0;0;2.56;9.49;0.00107;88;0;0;0;0;0;35.7;35.3;37.5;38.9;8.4 ;8.63 ;8.69 ;7.83 ;
2018-01-09;23:23:37.957;0.0046;0.557;0.00826;1.18;10.6;15.1;0.3;0.153;0.00676;0.00965;0.743;0.703;1.56e+03;2.81e+03;2.13e+03;1.11;27.8;0.0092;0.23;1.19e+03;0.702;20.5;0.00749;78.8;0;18.2;0;0;0;210;36.2;0.000521;0.349;0.00149;0.87;0.149;0.679;0.78;0.182;0.00337;0.0153; 49440;13;7;0.18;0.187;46;0.000284;0.336;0.000845;1.04;0.0885;0.34;0.74;0.192;0.00367;0.0141; 48240;3;13;0.186;0.198;47;0.000467;0.46;0.00102;1.09;0.117;0.377;0.69;0.341;0.00294;0.0095; 50160;4;12;0.188;0.199;47;0.0171;0.577;0.0297;1.21;10.2;13.7;0.254;0.144;0.00701;0.0094; 54800;284;693;0.188;0.119;45;26.3;26.8;211;  0%;  0%;  1%;24.4;207;24.6;  0%;  1%;  0%;23.1;26.3;208;  0%;  0%;  1%;137;137;139;  0%;  0%;  0%;0.172;1.78;0.0191;98;0;72.9;0;0;0;0.0817;17.8;0.00636;82.1;0;0;0;0;0;0.0928;41.2;0.0034;58.7;0;0;0;0;0;2.46;21.1;0.00109;76.5;0;0;0;0;0;47.9;50.5;56.8;54.7;8.67 ;8.89 ;8.93 ;9.75 ;
2018-01-09;23:23:39.312;1.25;1.17;1.07;1.24;21.4;112;0.808;0.935;4.61e-05;0.00024;2.99;3.37;4.65e+05;3.98e+05;2.13e+03;2.34;58.4;2.5;62.5;4.89e+03;86.4;4.41;0.118;9.04;0;1.29;0;0;0;705;60;1.23;1.16;1.06;1.24;5.1;25.3;0.798;0.938;4.74e-05;0.000235; 49200;265;689;0.821;0.899;37;1.25;1.16;1.07;1.24;5.39;27.2;0.802;0.937;4.74e-05;0.000239; 55680;232;777;0.668;0.808;37;1.25;1.18;1.06;1.24;5.3;28.7;0.816;0.931;4.47e-05;0.000243; 50960;281;668;0.787;0.828;40;1.28;1.17;1.09;1.24;5.64;30.3;0.814;0.936;4.51e-05;0.000243; 47520;258;786;0.715;0.832;38;421;425;421;  1%;  2%;  1%;392;390;417;  1%;  1%;  1%;391;423;394;  1%;  1%;  1%;395;393;423;  1%;  1%;  1%;85.4;3.49;0.127;11;0;5.4;0;0;0;86.8;3.8;0.122;9.32;0;0.0194;0;0;0;85.4;6.7;0.0866;7.82;0;0.0142;0;0;0;88.1;3.57;0.135;8.21;0;0.0173;0;0;0;174;174;182;175;14.9 ;15.1 ;15.7 ;14.4 ;
2018-01-09;23:23:40.716;1.59;1.28;1.24;1.24;26.4;252;0.895;0.891;3.54e-05;0.000337;2.63;2.91;7.47e+05;5.81e+05;2.95e+03;2.57;64.2;3.18;79.5;4.27e+03;100;0.0379;0;0;0;0;0;0;0;817;62.6;1.59;1.28;1.24;1.24;6.53;63.4;0.897;0.89;3.5e-05;0.00034; 51920;253;613;0.641;0.725;35;1.59;1.29;1.24;1.24;6.71;62.5;0.893;0.892;3.59e-05;0.000335; 57600;243;617;0.624;0.723;35;1.59;1.29;1.24;1.24;6.53;63.5;0.897;0.89;3.5e-05;0.00034; 50480;195;669;0.742;0.73;39;1.59;1.28;1.24;1.24;6.67;62.3;0.893;0.892;3.57e-05;0.000334; 46960;226;639;0.62;0.728;37;349;358;353;  1%;  1%;  1%;362;348;347;  1%;  1%;  1%;367;362;365;  1%;  1%;  1%;359;348;352;  1%;  1%;  1%;100;0.000393;0;0;0;0;0;0;0;100;0.000366;0;0;0;0;0;0;0;99.9;0.129;0;0;0;0;0;0;0;100;0.0218;0;0;0;0;0;0;0;203;203;209;203;15.5 ;15.8 ;16.4 ;14.9 ;
2018-01-09;23:23:42.172;1.2;1.29;0.933;0.934;19.9;195;0.898;0.89;3.47e-05;0.000339;1.9;2.08;5.74e+05;4.47e+05;2.88e+03;2.57;64.3;2.4;60;3.02e+03;100;0.0368;0;0;0;0;0;0;0;472;55.3;1.22;1.29;0.948;0.948;4.99;49.6;0.899;0.89;3.43e-05;0.000341; 47760;189;462;0.472;0.516;44;1.21;1.29;0.942;0.943;5;48.4;0.897;0.891;3.46e-05;0.000335; 53280;214;511;0.453;0.518;44;1.19;1.28;0.928;0.929;4.84;48.7;0.901;0.889;3.4e-05;0.000342; 48160;158;534;0.515;0.52;47;1.18;1.29;0.916;0.916;5.07;48.1;0.894;0.891;3.56e-05;0.000337; 49680;191;546;0.456;0.524;43;247;253;254;  0%;  0%;  0%;253;249;245;  0%;  0%;  0%;255;254;259;  0%;  0%;  0%;255;249;251;  0%;  0%;  0%;100;0.0149;0;0;0;0;0;0;0;100;0.036;0;0;0;0;0;0;0;99.9;0.103;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;117;116;119;119;13.8 ;13.9 ;14.4 ;13.2 ;
2018-01-09;23:23:43.624;1.04;1.29;0.808;0.81;18.2;175;0.896;0.889;3.56e-05;0.000343;1.89;1.97;5.11e+05;3.97e+05;3.1e+03;2.57;64.3;2.08;52;2.94e+03;99.9;0.138;0;0;0;0;0;0;0;421;51.7;1.04;1.28;0.81;0.81;4.46;44.1;0.899;0.888;3.49e-05;0.000345; 48960;163;395;0.471;0.493;44;1.04;1.29;0.81;0.81;4.54;43.4;0.896;0.891;3.54e-05;0.000339; 56480;172;438;0.451;0.49;45;1.04;1.29;0.805;0.81;4.66;44.4;0.895;0.886;3.65e-05;0.000348; 48880;157;493;0.502;0.491;47;1.04;1.28;0.81;0.81;4.53;43.1;0.895;0.891;3.56e-05;0.000339; 49120;161;444;0.464;0.498;43;235;246;241;  0%;  0%;  0%;241;233;253;  0%;  0%;  0%;242;268;246;  0%;  0%;  0%;243;233;260;  0%;  0%;  0%;100;0.000377;0;0;0;0;0;0;0;100;0.000385;0;0;0;0;0;0;0;99.5;0.549;0;0;0;0;0;0;0;100;0.00032;0;0;0;0;0;0;0;105;103;107;106;12.9 ;13.1 ;13.5 ;12.2 ;
2018-01-09;23:23:45.076;1.04;1.29;0.809;0.81;17.5;173;0.899;0.889;3.46e-05;0.000342;1.78;1.98;5.06e+05;3.94e+05;3.03e+03;2.57;64.3;2.08;52;2.81e+03;100;0.0159;0;0;0;0;0;0;0;421;51.5;1.04;1.28;0.81;0.81;4.34;43.6;0.9;0.889;3.43e-05;0.000344; 48000;174;432;0.443;0.487;44;1.04;1.29;0.81;0.81;4.39;42.8;0.897;0.891;3.47e-05;0.000338; 54480;185;472;0.427;0.501;45;1.04;1.29;0.809;0.81;4.32;43.7;0.901;0.887;3.42e-05;0.000347; 47200;147;501;0.463;0.489;47;1.04;1.29;0.81;0.81;4.44;42.8;0.896;0.891;3.5e-05;0.000338; 49760;175;488;0.45;0.503;44;231;234;237;  0%;  0%;  0%;233;230;229;  0%;  0%;  0%;235;236;240;  0%;  0%;  0%;237;231;236;  0%;  0%;  0%;100;0.000384;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;99.9;0.0835;0;0;0;0;0;0;0;100;0.000366;0;0;0;0;0;0;0;105;102;107;106;12.8 ;13.1 ;13.4 ;12.2 ;
2018-01-09;23:23:46.516;1.04;1.29;0.81;0.81;17.5;173;0.899;0.889;3.46e-05;0.000342;1.78;1.99;5.07e+05;3.95e+05;3.07e+03;2.57;64.3;2.08;52;2.79e+03;100;0.000343;0;0;0;0;0;0;0;417;51.1;1.04;1.29;0.81;0.81;4.35;43.6;0.9;0.888;3.43e-05;0.000344; 50000;165;388;0.444;0.503;44;1.04;1.29;0.81;0.81;4.43;43;0.897;0.891;3.49e-05;0.000338; 56800;164;427;0.427;0.487;45;1.04;1.29;0.81;0.81;4.32;44.2;0.902;0.887;3.4e-05;0.000347; 47440;140;486;0.463;0.501;47;1.04;1.29;0.81;0.81;4.42;42.7;0.896;0.891;3.5e-05;0.000338; 49760;166;463;0.449;0.502;44;230;231;235;  0%;  0%;  0%;231;231;228;  0%;  0%;  0%;233;232;236;  0%;  0%;  0%;233;231;234;  0%;  0%;  0%;100;0.000334;0;0;0;0;0;0;0;100;0.000326;0;0;0;0;0;0;0;100;0.000341;0;0;0;0;0;0;0;100;0.000371;0;0;0;0;0;0;0;104;102;106;105;12.7 ;12.9 ;13.3 ;12.2 ;
2018-01-09;23:23:47.528;1.04;1.28;0.81;0.81;12.4;121;0.898;0.889;3.5e-05;0.000343;1.25;1.35;3.53e+05;2.75e+05;2.1e+03;2.57;64.2;2.08;52;1.98e+03;100;0.000367;0;0;0;0;0;0;0;293;36;1.04;1.28;0.81;0.81;3.05;30.4;0.9;0.888;3.45e-05;0.000344; 54000;117;274;0.311;0.337;44;1.04;1.28;0.81;0.81;3.11;29.8;0.896;0.891;3.53e-05;0.000339; 54640;124;307;0.299;0.336;45;1.04;1.29;0.81;0.81;3.04;30.6;0.901;0.887;3.45e-05;0.000348; 48800;114;339;0.325;0.336;47;1.04;1.28;0.81;0.81;3.19;30.2;0.894;0.89;3.59e-05;0.00034; 45680;124;322;0.315;0.342;44;162;164;167;  0%;  0%;  0%;165;164;160;  0%;  0%;  0%;167;165;170;  0%;  0%;  0%;167;164;167;  0%;  0%;  0%;100;0.00038;0;0;0;0;0;0;0;100;0.000376;0;0;0;0;0;0;0;100;0.000362;0;0;0;0;0;0;0;100;0.00035;0;0;0;0;0;0;0;73.2;71.4;74.5;74;8.93 ;9.15 ;9.32 ;8.59 ;
2018-01-09;23:23:48.996;1.04;1.28;0.81;0.81;18.1;174;0.896;0.889;3.57e-05;0.000344;2.06;2.03;5.07e+05;3.95e+05;3.04e+03;2.57;64.2;2.08;52;3.14e+03;100;0.000366;0;0;0;0;0;0;0;425;52.8;1.04;1.28;0.81;0.81;4.35;43.7;0.9;0.888;3.43e-05;0.000345; 53360;177;401;0.533;0.51;44;1.04;1.29;0.81;0.81;4.44;43;0.897;0.891;3.5e-05;0.000339; 53600;174;420;0.493;0.503;45;1.04;1.28;0.81;0.81;4.81;44.7;0.892;0.886;3.8e-05;0.000353; 49280;166;513;0.532;0.501;47;1.04;1.28;0.81;0.81;4.52;42.9;0.895;0.89;3.56e-05;0.000338; 46160;151;447;0.5;0.51;44;243;262;250;  0%;  0%;  0%;251;237;292;  0%;  0%;  1%;250;313;255;  0%;  1%;  0%;253;236;298;  0%;  0%;  1%;100;0.000371;0;0;0;0;0;0;0;100;0.000359;0;0;0;0;0;0;0;100;0.000366;0;0;0;0;0;0;0;100;0.000366;0;0;0;0;0;0;0;106;104;108;107;13.2 ;13.3 ;13.7 ;12.6 ;
