System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-10;00:42:00.512;0.00582;0.563;0.0103;0.803;4.58;8.18;0.44;0.154;0.00231;0.00412;0.332;0.415;1.99e+03;3.53e+03;2.13e+03;1.13;28.1;0.0116;0.291;555;1.29;3.71;0.00766;95;0;44.9;0;0;0;130;32.9;0.000233;0.247;0.000943;0.721;0.0584;0.316;0.815;0.151;0.00294;0.0159; 34240;10;1;0.0849;0.115;46;0.0226;0.58;0.039;0.81;4.41;7.27;0.393;0.153;0.00229;0.00377; 51040;127;361;0.0889;0.076;46;0.000168;0.31;0.000543;0.73;0.0614;0.221;0.722;0.157;0.00428;0.0154; 31520;2;9;0.0809;0.115;49;0.000265;0.3;0.000882;0.686;0.0506;0.381;0.867;0.161;0.00224;0.0169; 37280;3;30;0.0778;0.109;45;95.4;7.34;7.11;  0%;  0%;  0%;76.8;76.9;76.6;  0%;  0%;  0%;93.1;6.27;6.36;  0%;  0%;  0%;6.44;94.4;7.75;  0%;  0%;  0%;0.131;3.03;0.0205;96.8;0;50.7;0;0;0;4.82;7.68;0.000305;87.5;0;0;0;0;0;0.0743;2.98;0.00303;96.9;0;46.2;0;0;0;0.129;1.15;0.00678;98.7;0;82.5;0;0;0;32.3;34;32;31.5;8.24 ;8.4 ;8.58 ;7.73 ;
2018-01-10;00:42:01.704;0.242;1.45;0.167;1.22;8.05;17.1;0.528;0.757;9.46e-05;0.000201;1.25;1.21;8.51e+04;5.86e+04;2.13e+03;2.91;72.7;0.484;12.1;1.95e+03;13.7;5.53;0.0976;80.7;0;41.4;0;0;0;273;43;0.208;1.57;0.132;1.22;1.22;3.03;0.597;0.269;6.81e-05;0.000169; 54400;53;116;0.327;0.364;40;0.221;1.35;0.163;1.2;4.39;8.26;0.469;0.245;0.000231;0.000435; 48080;153;455;0.27;0.262;41;0.24;1.46;0.164;1.23;1.13;2.62;0.569;0.779;5.36e-05;0.000124; 47760;36;108;0.377;0.305;43;0.296;1.45;0.205;1.23;1.31;3.15;0.586;0.927;4.83e-05;0.000116; 53440;47;149;0.272;0.284;40;193;144;133;  0%;  0%;  0%;177;162;204;  0%;  0%;  1%;188;175;129;  0%;  0%;  0%;118;170;156;  0%;  0%;  0%;10.8;5.34;0.0378;83.8;0;61.6;0;0;0;13.6;6.57;0.175;79.7;0;0.0387;0;0;0;13.4;5.8;0.0666;80.7;0;39.4;0;0;0;16.7;4.47;0.111;78.7;0;63.1;0;0;0;68.2;69;68.9;67.2;10.8 ;10.9 ;11.1 ;10.1 ;
2018-01-10;00:42:03.100;1.16;0.943;1.23;1.24;124;192;0.355;0.963;0.000252;0.00039;15.7;17.8;4.92e+05;5.21e+05;2.5e+03;1.89;47.1;2.31;57.9;2.69e+04;99.1;0.759;0.0112;0.1;0;0;0;0;0;757;82.4;1.14;0.93;1.23;1.24;30.1;46.1;0.347;0.964;0.000257;0.000393; 52720;1374;4351;4.08;4.62;36;1.17;0.953;1.22;1.24;30.8;47.3;0.349;0.964;0.000249;0.000383; 51520;1313;4386;3.78;4.27;36;1.16;0.947;1.23;1.24;30.7;48.1;0.361;0.962;0.000246;0.000384; 55840;1426;4375;3.82;4.27;39;1.16;0.941;1.23;1.24;32;50.2;0.361;0.96;0.000255;0.0004; 50240;1426;4435;4.03;4.64;37;2.26e+03;2.19e+03;2.43e+03;  9%;  9%; 10%;2.13e+03;2.23e+03;2.26e+03;  8%;  9%;  9%;2.13e+03;2.18e+03;2.22e+03;  8%;  8%;  9%;2.22e+03;2.23e+03;2.42e+03;  9%;  9%;  9%;99.2;0.667;0.00287;0.128;0;0;0;0;0;98.8;1.11;0.00486;0.091;0;0;0;0;0;99.2;0.708;0.00598;0.0895;0;0;0;0;0;99.3;0.551;0.0306;0.0941;0;0;0;0;0;187;188;196;187;20.7 ;20.7 ;21.3 ;19.7 ;
2018-01-10;00:42:04.548;1.13;1.2;0.942;0.942;64.9;125;0.479;0.898;0.00012;0.00023;5.32;2.08;5.41e+05;4.49e+05;2.93e+03;2.41;60.2;2.27;56.7;7.23e+03;100;0.0149;0;0;0;0;0;0;0;462;58;1.15;1.2;0.96;0.96;16.6;31.7;0.478;0.861;0.000121;0.000232; 51280;394;1074;1.34;0.474;44;1.14;1.21;0.948;0.948;16.4;31.4;0.478;0.861;0.00012;0.000231; 49840;364;1093;1.32;0.532;44;1.13;1.21;0.936;0.936;16.2;31.1;0.48;0.88;0.00012;0.000231; 55200;343;1056;1.32;0.516;47;1.11;1.21;0.925;0.925;15.8;30.3;0.479;0.941;0.000118;0.000227; 48800;351;1049;1.33;0.555;43;602;595;610;  2%;  2%;  2%;604;598;603;  2%;  2%;  2%;603;590;607;  2%;  2%;  2%;605;605;606;  2%;  2%;  2%;100;0.0148;0;0;0;0;0;0;0;100;0.0148;0;0;0;0;0;0;0;100;0.0149;0;0;0;0;0;0;0;100;0.015;0;0;0;0;0;0;0;115;113;118;116;14.5 ;14.6 ;15 ;13.9 ;
2018-01-10;00:42:05.960;0.968;1.2;0.81;0.81;9.99;21.8;0.542;0.999;2.13e-05;4.65e-05;0.239;0.2;4.69e+05;3.92e+05;3.04e+03;2.39;59.8;1.94;48.4;210;100;0.000203;0;0;0;0;0;0;0;445;44;0.971;1.2;0.81;0.81;2.93;7.61;0.615;0.999;2.48e-05;6.44e-05; 52320;84;182;0.0714;0.0517;44;0.97;1.2;0.81;0.81;3.32;6.29;0.473;0.999;2.82e-05;5.35e-05; 49600;80;264;0.0518;0.0409;44;0.965;1.19;0.81;0.81;1.98;4.29;0.538;0.999;1.7e-05;3.68e-05; 54880;48;150;0.0565;0.0531;47;0.968;1.2;0.81;0.81;1.76;3.62;0.514;1;1.5e-05;3.1e-05; 54480;35;133;0.0597;0.0544;43;31.4;9.72;12;  0%;  0%;  0%;20.6;22;22.6;  0%;  0%;  0%;26.9;8.54;8.29;  0%;  0%;  0%;8.02;29.2;10.9;  0%;  0%;  0%;100;0.000249;0;0;0;0;0;0;0;100;0.000305;0;0;0;0;0;0;0;100;0.000217;0;0;0;0;0;0;0;100;3.97e-05;0;0;0;0;0;0;0;111;109;114;112;11 ;11.2 ;11.5 ;10.4 ;
2018-01-10;00:42:07.360;0.965;1.19;0.81;0.81;1.37;6.73;0.797;1;3.01e-06;1.48e-05;0.197;0.15;4.55e+05;3.81e+05;2.96e+03;2.38;59.6;1.93;48.3;142;100;5.69e-05;0;0;0;0;0;0;0;441;43.1;0.966;1.19;0.81;0.81;0.147;2.73;0.946;1;1.29e-06;2.39e-05; 52320;19;3;0.0598;0.0396;44;0.968;1.2;0.81;0.81;0.966;2.43;0.603;1;8.48e-06;2.13e-05; 49760;24;90;0.0438;0.0321;45;0.961;1.19;0.81;0.81;0.115;0.765;0.85;1;1.01e-06;6.75e-06; 55200;2;35;0.0453;0.0381;47;0.966;1.19;0.81;0.81;0.139;0.809;0.828;1;1.22e-06;7.12e-06; 53680;2;34;0.0482;0.0405;43;24.7;7.9;8.96;  0%;  0%;  0%;9.77;11.1;12.3;  0%;  0%;  0%;20;6.51;5.22;  0%;  0%;  0%;5.34;21.9;8.15;  0%;  0%;  0%;100;0;0;0;0;0;0;0;0;100;0.000167;0;0;0;0;0;0;0;100;4.06e-06;0;0;0;0;0;0;0;100;8e-05;0;0;0;0;0;0;0;110;107;113;111;10.8 ;10.9 ;11.3 ;10.1 ;
2018-01-10;00:42:08.724;0.966;1.19;0.81;0.81;1.24;6.42;0.807;1;2.75e-06;1.43e-05;0.186;0.14;4.49e+05;3.77e+05;2.94e+03;2.39;59.6;1.93;48.3;130;100;0.000221;0;0;0;0;0;0;0;431;41.8;0.966;1.19;0.81;0.81;0.102;2.62;0.961;1;9.07e-07;2.32e-05; 52880;17;2;0.0554;0.037;44;0.968;1.2;0.81;0.81;0.944;2.32;0.594;1;8.38e-06;2.06e-05; 50480;21;86;0.0419;0.0303;44;0.962;1.19;0.81;0.81;0.0852;0.725;0.883;1;7.6e-07;6.48e-06; 55600;0;30;0.0429;0.0353;47;0.966;1.19;0.81;0.81;0.106;0.755;0.859;1;9.5e-07;6.74e-06; 53120;1;25;0.0453;0.0373;43;22.9;6.62;7.64;  0%;  0%;  0%;9.1;10.3;10.9;  0%;  0%;  0%;19.2;5.63;4.83;  0%;  0%;  0%;4.95;20.9;6.96;  0%;  0%;  0%;100;0.000187;0;0;0;0;0;0;0;100;0.000333;0;0;0;0;0;0;0;100;0.00017;0;0;0;0;0;0;0;100;0.000196;0;0;0;0;0;0;0;107;105;110;108;10.5 ;10.6 ;10.9 ;9.84 ;
2018-01-10;00:42:10.128;0.965;1.19;0.81;0.81;1.21;6.42;0.811;1;2.73e-06;1.44e-05;0.19;0.139;4.45e+05;3.73e+05;2.86e+03;2.38;59.6;1.93;48.3;135;100;0.000211;0;0;0;0;0;0;0;443;42.8;0.966;1.19;0.81;0.81;0.107;2.64;0.959;1;9.64e-07;2.38e-05; 52960;17;1;0.0574;0.0361;44;0.968;1.2;0.81;0.81;0.926;2.35;0.606;1;8.3e-06;2.1e-05; 49360;22;79;0.0426;0.0312;44;0.962;1.19;0.81;0.81;0.079;0.683;0.884;1;7.14e-07;6.17e-06; 55920;0;27;0.0439;0.0349;47;0.966;1.19;0.81;0.81;0.103;0.751;0.863;1;9.22e-07;6.71e-06; 52640;0;28;0.0466;0.0372;43;23.4;7.56;8.68;  0%;  0%;  0%;9.18;10.4;11.3;  0%;  0%;  0%;19.2;6.42;5.16;  0%;  0%;  0%;5.18;20.9;7.82;  0%;  0%;  0%;100;0.000144;0;0;0;0;0;0;0;100;0.000338;0;0;0;0;0;0;0;100;0.000175;0;0;0;0;0;0;0;100;0.000186;0;0;0;0;0;0;0;110;108;113;112;10.8 ;10.8 ;11.1 ;10.1 ;
2018-01-10;00:42:11.496;0.965;1.19;0.81;0.81;1.24;6.55;0.811;1;2.74e-06;1.45e-05;0.183;0.135;4.53e+05;3.8e+05;2.95e+03;2.38;59.6;1.93;48.2;128;100;0.000191;0;0;0;0;0;0;0;432;41.7;0.965;1.19;0.81;0.81;0.113;2.68;0.958;1;9.99e-07;2.36e-05; 52800;17;3;0.0553;0.0352;44;0.967;1.19;0.81;0.81;0.936;2.37;0.604;1;8.24e-06;2.08e-05; 49680;20;86;0.0411;0.0299;44;0.961;1.19;0.81;0.81;0.0847;0.752;0.887;1;7.49e-07;6.64e-06; 55760;3;25;0.0423;0.0345;47;0.965;1.19;0.81;0.81;0.105;0.751;0.861;1;9.27e-07;6.66e-06; 52160;2;31;0.0445;0.0356;43;22.2;6.88;8.05;  0%;  0%;  0%;8.86;9.96;10.9;  0%;  0%;  0%;18.3;5.82;4.85;  0%;  0%;  0%;4.99;20;7.3;  0%;  0%;  0%;100;0.000215;0;0;0;0;0;0;0;100;0.000197;0;0;0;0;0;0;0;100;0.000169;0;0;0;0;0;0;0;100;0.000184;0;0;0;0;0;0;0;108;105;110;109;10.5 ;10.5 ;10.9 ;9.83 ;
2018-01-10;00:42:12.884;0.965;1.19;0.81;0.81;1.27;6.51;0.805;1;2.86e-06;1.46e-05;0.19;0.138;4.46e+05;3.74e+05;2.87e+03;2.38;59.6;1.93;48.3;137;100;0.000215;0;0;0;0;0;0;0;438;42.1;0.967;1.19;0.81;0.81;0.116;2.63;0.956;1;1.04e-06;2.36e-05; 52960;19;0;0.0586;0.0365;44;0.967;1.2;0.81;0.81;0.932;2.32;0.597;1;8.34e-06;2.07e-05; 49600;21;92;0.0423;0.0308;45;0.96;1.19;0.81;0.81;0.0883;0.706;0.875;1;7.98e-07;6.37e-06; 55760;0;36;0.0435;0.0345;47;0.966;1.19;0.81;0.81;0.136;0.864;0.843;1;1.21e-06;7.73e-06; 52880;2;27;0.0461;0.0363;43;23.3;7.46;9.59;  0%;  0%;  0%;9.03;10.6;11.4;  0%;  0%;  0%;18.8;6.37;5.45;  0%;  0%;  0%;5.62;21;8.3;  0%;  0%;  0%;100;0.000179;0;0;0;0;0;0;0;100;0.00033;0;0;0;0;0;0;0;100;0.000149;0;0;0;0;0;0;0;100;0.0002;0;0;0;0;0;0;0;109;107;112;110;10.6 ;10.7 ;10.9 ;9.94 ;
