System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-10;00:40:50.659;0.00435;0.453;0.0096;1.4;13.4;16.3;0.18;0.133;0.00906;0.0111;0.926;0.94;1.48e+03;3.26e+03;2.12e+03;0.905;22.6;0.00869;0.217;1.51e+03;0.684;11.8;0.00165;87.5;0;0;0;0;0;231;41.4;0.0168;0.464;0.0362;1.41;13.3;15.5;0.144;0.132;0.0093;0.0109; 51280;316;890;0.233;0.148;45;0.00018;0.287;0.000627;1.24;0.0447;0.202;0.778;0.185;0.00292;0.0132; 40640;1;9;0.229;0.262;46;0.00016;0.258;0.000619;1.2;0.0347;0.208;0.833;0.192;0.00256;0.0153; 48000;0;10;0.23;0.263;46;0.000259;0.261;0.000991;1.32;0.0462;0.428;0.892;0.13;0.0021;0.0195; 42160;1;6;0.234;0.267;44;185;185;188;  0%;  0%;  0%;23.9;24.3;269;  0%;  0%;  1%;23.8;270;24.6;  0%;  1%;  0%;24.4;25;273;  0%;  0%;  1%;2.56;8.26;0.00185;89.2;0;0;0;0;0;0.0504;14.2;0;85.8;0;0;0;0;0;0.0514;15.5;0.00248;84.5;0;0;0;0;0;0.0752;9.37;0.00229;90.5;0;0;0;0;0;59.4;56.3;61.6;53.4;10.5 ;10.3 ;11 ;9.6 ;
2018-01-10;00:40:52.112;0.278;1.41;0.197;1.24;15.8;23.7;0.336;0.849;0.000143;0.000216;1.71;1.84;1.1e+05;7.79e+04;2.12e+03;2.83;70.7;0.556;13.9;2.76e+03;15.8;11.9;0.168;72.1;0;4.92;0;0;0;460;60;0.159;1.31;0.121;1.28;11.9;15.3;0.223;0.152;0.000817;0.00105; 52960;335;855;0.449;0.437;41;0.258;1.47;0.176;1.24;0.976;2.17;0.55;0.889;3.93e-05;8.74e-05; 58160;35;125;0.38;0.459;42;0.333;1.42;0.234;1.24;1.45;3.1;0.532;0.947;4.25e-05;9.08e-05; 55920;50;203;0.384;0.46;44;0.345;1.41;0.244;1.24;1.49;3.22;0.538;0.948;4.05e-05;8.77e-05; 52880;77;203;0.498;0.486;42;283;291;302;  1%;  1%;  1%;125;131;344;  0%;  0%;  1%;128;358;141;  0%;  1%;  0%;142;138;374;  0%;  0%;  1%;9.48;8.28;0.0275;82.2;0;0;0;0;0;14.2;16.2;0.06;69.5;0;0.0368;0;0;0;18.9;13.7;0.0624;67.3;0;0.0134;0;0;0;19.7;9.38;0.486;70.4;0;18.3;0;0;0;115;115;121;110;15.2 ;15.4 ;15.3 ;14.1 ;
2018-01-10;00:40:53.520;1.29;1.05;1.22;1.24;33.5;47.3;0.292;0.998;5.56e-05;7.85e-05;7.3;8.41;6.03e+05;5.73e+05;3.05e+03;2.11;52.7;2.58;64.5;1.34e+04;98.9;0.95;0.00274;0.167;0;0;0;0;0;813;72.3;1.32;1.08;1.22;1.24;7.81;10.6;0.265;0.998;4.97e-05;6.76e-05; 56880;678;1920;1.86;2.12;36;1.29;1.05;1.23;1.24;8.3;12.6;0.34;0.998;5.47e-05;8.29e-05; 38880;662;2096;1.75;2.1;36;1.27;1.04;1.22;1.24;8.58;11.2;0.234;0.998;5.81e-05;7.58e-05; 53040;737;2266;1.85;2.09;39;1.27;1.04;1.22;1.24;8.83;13;0.318;0.998;6.02e-05;8.83e-05; 57760;766;2065;1.83;2.1;37;1.13e+03;1.13e+03;1.13e+03;  4%;  4%;  4%;1.11e+03;1.12e+03;1.11e+03;  4%;  4%;  4%;1.11e+03;1.13e+03;1.11e+03;  4%;  4%;  4%;1.12e+03;1.13e+03;1.12e+03;  4%;  4%;  4%;98.8;0.871;0.00022;0.284;0;0;0;0;0;99.2;0.65;0.00905;0.149;0;0;0;0;0;99;0.92;0.00138;0.0568;0;0;0;0;0;98.5;1.37;0.000279;0.176;0;0;0;0;0;203;203;204;203;18 ;18.3 ;18.9 ;17.1 ;
2018-01-10;00:40:54.866;0.656;0.689;0.952;0.954;1.01e+03;1.08e+03;0.0643;0.868;0.00327;0.0035;90.9;22.7;3.08e+05;4.47e+05;2.96e+03;1.38;34.4;1.31;32.8;1.29e+05;99.9;0.117;0;0;0;0;0;0;0;530;130;0.7;0.722;0.969;0.97;229;246;0.0674;0.897;0.00277;0.00297; 52560;4242;14124;22.5;5.73;41;0.679;0.707;0.96;0.961;245;262;0.0652;0.881;0.00306;0.00328; 54960;5040;14210;23.5;5.73;42;0.632;0.667;0.947;0.948;258;275;0.0634;0.85;0.00351;0.00374; 55040;4638;14894;23.2;5.74;42;0.611;0.655;0.934;0.935;275;294;0.0617;0.832;0.00385;0.00411; 49200;5305;15465;21.8;5.53;41;1.11e+04;1.11e+04;1.03e+04; 41%; 41%; 38%;1.06e+04;1.03e+04;1.13e+04; 39%; 38%; 42%;1.07e+04;1.1e+04;1.12e+04; 39%; 41%; 41%;1.08e+04;9.81e+03;1.04e+04; 40%; 36%; 38%;99.9;0.089;0;0;0;0;0;0;0;99.9;0.0842;0;0;0;0;0;0;0;99.9;0.0957;0;0;0;0;0;0;0;99.8;0.198;0;0;0;0;0;0;0;130;131;139;129;32.2 ;33.4 ;34.1 ;30.4 ;
2018-01-10;00:40:56.292;0.465;0.531;0.876;0.878;1.38e+03;1.45e+03;0.0445;0.89;0.00642;0.00672;83;32.5;2.15e+05;4.06e+05;2.83e+03;1.06;26.5;0.93;23.3;1.24e+05;99.8;0.169;0;0;0;0;0;0;0;594;135;0.433;0.495;0.875;0.877;362;379;0.0442;0.874;0.00725;0.00759; 51920;5752;19007;20.8;8.28;40;0.451;0.516;0.874;0.877;358;374;0.0435;0.882;0.0069;0.00721; 51760;6875;19289;21.2;8.04;41;0.466;0.531;0.878;0.878;347;363;0.0441;0.89;0.00642;0.00672; 49600;6778;20231;20.9;8.02;42;0.51;0.58;0.879;0.88;315;331;0.0466;0.91;0.00529;0.00555; 51920;5338;16312;20.2;8.12;40;1.06e+04;1.03e+04;9.33e+03; 40%; 38%; 35%;1.09e+04;1.03e+04;1.11e+04; 41%; 39%; 41%;1.08e+04;1.07e+04;1.08e+04; 40%; 40%; 40%;1.01e+04;9.52e+03;9.5e+03; 38%; 35%; 35%;99.8;0.174;0;0;0;0;0;0;0;99.7;0.346;0;0;0;0;0;0;0;99.9;0.0533;0;0;0;0;0;0;0;99.9;0.102;0;0;0;0;0;0;0;148;146;155;145;33.7 ;34.7 ;35.3 ;31.7 ;
2018-01-10;00:40:58.072;0.923;1.05;0.877;0.877;477;506;0.0589;0.985;0.000894;0.00095;64.9;90.3;5.33e+05;5.06e+05;3.06e+03;2.11;52.6;1.85;46.2;1.2e+05;100;0.0154;0;0;0;0;0;0;0;754;181;0.96;1.09;0.883;0.883;86;91.2;0.0568;0.99;0.000648;0.000687; 53280;4674;13760;16.6;23.2;41;0.887;1.01;0.879;0.879;132;142;0.0718;0.983;0.00104;0.00112; 47680;7815;23224;15.8;21.8;43;0.892;1.02;0.875;0.875;156;165;0.05;0.98;0.0012;0.00126; 42880;8269;25169;16;22.2;43;0.955;1.1;0.872;0.872;102;109;0.0571;0.988;0.00072;0.000763; 50480;4929;14932;16.4;23;41;9.86e+03;9.88e+03;8.06e+03; 29%; 29%; 24%;1.17e+04;1.01e+04;1.03e+04; 35%; 30%; 31%;1.19e+04;1.03e+04;1.02e+04; 35%; 31%; 31%;9.69e+03;9.69e+03;8.06e+03; 29%; 29%; 24%;100;0.0117;0;0;0;0;0;0;0;100;0.0146;0;0;0;0;0;0;0;100;0.0218;0;0;0;0;0;0;0;100;0.0132;0;0;0;0;0;0;0;188;184;195;187;45.5 ;45.3 ;47 ;43.4 ;
2018-01-10;00:40:59.796;0.924;1.11;0.834;0.834;679;701;0.0313;0.979;0.00125;0.00129;42.1;54.2;5.41e+05;4.89e+05;3.69e+03;2.22;55.4;1.85;46.2;7.75e+04;99.9;0.0568;0;0;0;0;0;0;0;590;146;0.941;1.14;0.827;0.828;122;126;0.029;0.986;0.000887;0.000913; 52400;3550;10775;10.7;14.4;42;0.89;1.07;0.833;0.833;212;218;0.0291;0.972;0.00163;0.00168; 48800;6944;20931;10;12.9;43;0.909;1.09;0.836;0.836;229;236;0.0329;0.971;0.00171;0.00177; 43520;6321;19041;10.6;12.7;46;0.956;1.14;0.84;0.841;116;120;0.0345;0.986;0.000829;0.000859; 50400;3035;9213;10.7;14.3;42;6.37e+03;6.72e+03;4.25e+03; 19%; 20%; 12%;8.91e+03;6.51e+03;6.48e+03; 26%; 19%; 19%;8.33e+03;6.27e+03;6.35e+03; 24%; 18%; 18%;6.7e+03;6.4e+03;4.25e+03; 20%; 19%; 12%;99.9;0.0686;0;0;0;0;0;0;0;99.9;0.0631;0;0;0;0;0;0;0;100;0.0345;0;0;0;0;0;0;0;99.9;0.0611;0;0;0;0;0;0;0;148;143;149;149;36.6 ;36.2 ;38.3 ;34.7 ;
2018-01-10;00:41:01.460;1.03;1.14;0.905;0.905;460;479;0.0394;0.986;0.000793;0.000825;28.1;34.4;5.81e+05;5.08e+05;3.62e+03;2.28;57.1;2.07;51.7;5.09e+04;100;0;0;0;0;0;0;0;0;596;121;1.05;1.16;0.905;0.905;72.7;75.7;0.0398;0.992;0.000488;0.000508; 24080;1862;5597;7.04;9.15;42;0.985;1.09;0.905;0.905;195;204;0.0422;0.975;0.00141;0.00147; 47440;4926;14830;6.99;7.52;43;1.04;1.15;0.905;0.905;126;130;0.031;0.984;0.000868;0.000896; 56400;3166;9839;6.99;8.5;45;1.06;1.17;0.905;0.905;66.2;69.4;0.0463;0.992;0.000447;0.000469; 70000;1662;5116;7.03;9.21;42;5.17e+03;3.68e+03;2.52e+03; 16%; 11%;  7%;5.78e+03;4.56e+03;4.61e+03; 18%; 14%; 14%;6.09e+03;3.46e+03;3.55e+03; 18%; 10%; 11%;3.75e+03;5.13e+03;2.56e+03; 11%; 15%;  7%;100;0;0;0;0;0;0;0;0;100;0.000348;0;0;0;0;0;0;0;100;0.000361;0;0;0;0;0;0;0;100;0.00033;0;0;0;0;0;0;0;150;143;152;151;30.2 ;30.1 ;32.3 ;28.7 ;
2018-01-10;00:41:03.256;1.04;1.15;0.905;0.905;394;410;0.04;0.989;0.000642;0.000669;27.9;27.7;6.13e+05;5.34e+05;3.52e+03;2.3;57.4;2.08;51.9;4.64e+04;100;0.00729;0;0;0;0;0;0;0;640;122;1.06;1.17;0.905;0.905;47.9;49.9;0.0403;0.995;0.00031;0.000323; 60080;1229;3579;7.06;7.51;42;1.02;1.13;0.905;0.905;167;175;0.0472;0.98;0.00111;0.00116; 42560;4517;13775;6.95;5.9;43;1.02;1.13;0.905;0.905;125;129;0.0296;0.985;0.000824;0.000849; 54240;3057;9268;6.92;6.67;45;1.05;1.16;0.905;0.905;54.3;56.6;0.041;0.994;0.000346;0.000361; 38800;1312;4214;6.93;7.59;42;4.44e+03;3.59e+03;2.07e+03; 13%; 10%;  6%;5.65e+03;4.14e+03;4.17e+03; 16%; 12%; 12%;5.48e+03;3.17e+03;3.18e+03; 16%;  9%;  9%;3.75e+03;4.54e+03;2.23e+03; 11%; 13%;  6%;100;0.0035;0;0;0;0;0;0;0;100;0.00285;0;0;0;0;0;0;0;100;0.00226;0;0;0;0;0;0;0;100;0.0204;0;0;0;0;0;0;0;160;156;162;162;30.4 ;30.2 ;32.4 ;28.7 ;
2018-01-10;00:41:04.984;1.03;1.14;0.905;0.905;292;310;0.0561;0.991;0.000484;0.000513;19.5;15.7;6.04e+05;5.28e+05;3.75e+03;2.29;57.2;2.07;51.7;3.14e+04;100;0.00239;0;0;0;0;0;0;0;611;102;1.05;1.16;0.905;0.905;46.9;51.2;0.0845;0.995;0.000305;0.000334; 40880;1376;3952;4.8;4.22;42;1.03;1.14;0.905;0.905;96.3;100;0.0365;0.988;0.000641;0.000666; 49440;2451;7440;4.89;3.51;43;1.02;1.12;0.905;0.905;105;110;0.0472;0.987;0.000707;0.000743; 49200;2552;7861;4.9;3.66;45;1.04;1.15;0.905;0.905;43.9;48.1;0.0868;0.995;0.00029;0.000318; 50960;786;2551;4.96;4.27;42;2.85e+03;2.77e+03;1.82e+03;  8%;  8%;  5%;3.43e+03;2.47e+03;2.45e+03; 10%;  7%;  7%;3.57e+03;2.5e+03;2.58e+03; 10%;  7%;  7%;2.67e+03;2.66e+03;1.62e+03;  8%;  7%;  4%;100;0.0206;0;0;0;0;0;0;0;100;0.00279;0;0;0;0;0;0;0;100;0.00218;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;153;148;155;154;25 ;25.6 ;27.1 ;23.8 ;
