System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-23;11:36:41.470;0.725;1.16;0.623;0.623;172;371;0.537;0.763;0.000123;0.000265;14.2;12.5;1.4e+06;1.2e+06;1.21e+04;2.33;58.2;1.45;36.2;2.22e+04;99.9;0.128;0;0;0;0;0;0;0;1.27e+03;224;0.731;1.16;0.627;0.628;44.1;94.1;0.532;0.761;0.000125;0.000267; 48880;1224;3068;3.55;3.65;45;0.727;1.16;0.624;0.625;42.7;92.3;0.537;0.764;0.000122;0.000263; 53520;935;3482;3.52;2.93;51;0.723;1.16;0.621;0.622;42.3;91.7;0.539;0.764;0.000121;0.000263; 52880;728;2616;3.55;2.95;53;0.718;1.16;0.617;0.618;42.6;92.9;0.541;0.762;0.000123;0.000268; 53200;892;3178;3.54;2.95;51;1.81e+03;1.81e+03;1.84e+03;  1%;  1%;  1%;1.9e+03;1.9e+03;1.8e+03;  1%;  1%;  1%;1.89e+03;1.79e+03;1.88e+03;  1%;  1%;  1%;1.87e+03;1.9e+03;1.81e+03;  1%;  1%;  1%;99.9;0.124;0;0;0;0;0;0;0;99.9;0.127;0;0;0;0;0;0;0;99.9;0.13;0;0;0;0;0;0;0;99.9;0.132;0;0;0;0;0;0;0;321;310;320;316;55.7 ;57.2 ;58.7 ;52.7 ;
2018-01-23;11:36:46.536;0.803;1.36;0.591;0.778;114;310;0.631;0.97;7.85e-05;0.000213;9.24;8.17;1.46e+06;1.07e+06;1.2e+04;2.72;68;1.61;40.2;1.42e+04;75.9;18.6;0.0407;5.47;0;2.51;0.0237;0.438;0;1.32e+03;171;0.805;1.36;0.592;0.773;29.8;66.9;0.555;0.972;7.96e-05;0.000179; 51680;909;2183;2.36;2.37;44;0.799;1.36;0.589;0.776;28.9;74.1;0.61;0.972;7.9e-05;0.000203; 50560;673;2416;2.24;1.92;50;0.808;1.36;0.592;0.78;28;80.9;0.653;0.969;7.71e-05;0.000222; 50720;573;2017;2.29;1.93;52;0.8;1.36;0.59;0.784;27.7;88.3;0.687;0.966;7.81e-05;0.000249; 50400;619;2151;2.35;1.95;51;1.16e+03;1.17e+03;1.19e+03;  1%;  1%;  1%;1.2e+03;1.21e+03;1.14e+03;  1%;  1%;  1%;1.21e+03;1.16e+03;1.21e+03;  1%;  1%;  1%;1.21e+03;1.22e+03;1.17e+03;  1%;  1%;  1%;76.5;18.3;0.0384;5.13;0;2.01;0.0928;0.357;0;75.9;18.3;0.0222;5.76;0;2.12;0;0.456;0;75.9;18.8;0.0493;5.18;0;3.03;0;0.464;0;75.2;18.9;0.0536;5.84;0;2.91;0;0.476;0;332;323;336;332;43.2 ;43.3 ;44.4 ;40.2 ;
2018-01-23;11:36:51.829;0.301;0.747;0.403;0.81;7.45;211;0.965;0.637;1.41e-05;0.000399;1.13;1.01;5.29e+05;7.08e+05;1.06e+04;1.49;37.4;0.602;15.1;1.25e+03;49.8;50.2;0.00429;0.0264;0;0;0;0;0;1.19e+03;137;0.286;0.721;0.396;0.81;1.77;12.6;0.86;0.824;1.42e-05;0.000102; 49280;161;201;0.299;0.251;44;0.296;0.737;0.402;0.81;1.84;57;0.968;0.589;1.43e-05;0.00044; 51520;104;152;0.285;0.254;50;0.304;0.753;0.404;0.81;1.74;47.8;0.964;0.674;1.3e-05;0.000357; 50720;51;207;0.278;0.251;52;0.318;0.776;0.41;0.81;2.1;93.5;0.978;0.582;1.48e-05;0.000662; 50080;52;198;0.264;0.251;50;106;98.2;107;  0%;  0%;  0%;97.5;109;111;  0%;  0%;  0%;94;105;99.3;  0%;  0%;  0%;104;109;113;  0%;  0%;  0%;48.9;51;0.00873;0.0364;0;0;0;0;0;49.6;50.4;0.00108;0.00551;0;0;0;0;0;49.9;50.1;0.0074;0.0425;0;0;0;0;0;50.6;49.4;2.05e-05;0.0212;0;0;0;0;0;300;292;301;301;36 ;34.3 ;35.1 ;32 ;
2018-01-23;11:36:56.885;0.788;1.91;0.413;0.81;189;484;0.61;0.64;0.000139;0.000357;19.6;23.3;1.35e+06;7.1e+05;1.11e+04;3.82;95.4;1.58;39.4;3.19e+04;51;49;0;0;0;0;0;0;0;1.35e+03;221;0.794;1.91;0.415;0.81;47.5;86.5;0.45;0.744;0.000138;0.000251; 50720;1684;4861;4.94;5.83;44;0.786;1.9;0.414;0.81;46.5;115;0.595;0.666;0.000137;0.000339; 52880;1740;4625;4.88;5.84;50;0.791;1.92;0.411;0.81;47.5;120;0.603;0.627;0.00014;0.000354; 48880;1574;4746;4.89;5.84;51;0.782;1.9;0.412;0.81;47.5;163;0.709;0.523;0.000143;0.000491; 53120;1686;5027;4.92;5.84;49;2.65e+03;2.68e+03;2.67e+03;  2%;  2%;  2%;2.64e+03;2.64e+03;2.64e+03;  2%;  2%;  2%;2.64e+03;2.68e+03;2.66e+03;  2%;  2%;  2%;2.66e+03;2.64e+03;2.67e+03;  2%;  2%;  2%;51.2;48.8;0;0;0;0;0;0;0;51.2;48.8;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;50.9;49.1;0;0;0;0;0;0;0;336;329;342;340;54.3 ;56.4 ;58.3 ;52 ;
2018-01-23;11:37:01.937;0.78;1.91;0.409;0.81;198;498;0.602;0.449;0.00015;0.000376;19.9;24.1;1.33e+06;6.94e+05;1.06e+04;3.82;95.5;1.56;39;3.19e+04;50.5;49.5;0;0;0;0;0;0;0;1.35e+03;224;0.784;1.93;0.406;0.81;50.2;87.5;0.426;0.535;0.000151;0.000263; 50480;1726;4965;4.97;6;44;0.778;1.9;0.409;0.81;50.1;122;0.588;0.456;0.000152;0.000369; 47680;1826;4888;4.98;6.02;49;0.784;1.92;0.408;0.81;49.4;122;0.596;0.453;0.000148;0.000367; 46640;1581;4684;4.97;6.03;51;0.775;1.89;0.411;0.81;48.5;166;0.709;0.38;0.000147;0.000506; 49760;1661;5189;5;6.03;49;2.69e+03;2.68e+03;2.66e+03;  2%;  2%;  2%;2.65e+03;2.63e+03;2.67e+03;  2%;  2%;  2%;2.66e+03;2.67e+03;2.64e+03;  2%;  2%;  2%;2.64e+03;2.66e+03;2.66e+03;  2%;  2%;  2%;50.2;49.8;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;336;329;342;339;55 ;57.2 ;59 ;52.6 ;
2018-01-23;11:37:07.181;0.772;1.91;0.405;0.81;202;522;0.612;0.441;0.00015;0.000388;20.9;25.1;1.35e+06;7.05e+05;1.06e+04;3.82;95.5;1.54;38.6;3.34e+04;50;50;0;0;0;0;0;0;0;1.4e+03;233;0.764;1.91;0.399;0.81;50.4;88.3;0.429;0.529;0.000153;0.000267; 52400;1861;4902;5.23;6.27;44;0.775;1.93;0.403;0.81;50.8;125;0.593;0.455;0.000151;0.000371; 51360;1777;4729;5.22;6.27;49;0.774;1.91;0.406;0.81;49.9;135;0.631;0.433;0.000148;0.0004; 50320;1820;5108;5.22;6.29;50;0.777;1.89;0.411;0.81;51.3;173;0.704;0.378;0.00015;0.000507; 50960;1797;5287;5.26;6.28;48;2.81e+03;2.77e+03;2.78e+03;  2%;  2%;  2%;2.74e+03;2.77e+03;2.82e+03;  2%;  2%;  2%;2.76e+03;2.82e+03;2.75e+03;  2%;  2%;  2%;2.75e+03;2.78e+03;2.83e+03;  2%;  2%;  2%;49.3;50.7;0;0;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;349;342;355;351;57.1 ;59.7 ;61.2 ;54.8 ;
2018-01-23;11:37:12.270;0.787;1.91;0.411;0.81;202;504;0.6;0.451;0.000149;0.000372;20;24.3;1.36e+06;7.09e+05;1.1e+04;3.83;95.7;1.57;39.4;3.21e+04;50.8;49.2;0;0;0;0;0;0;0;1.36e+03;226;0.791;1.92;0.412;0.81;51.4;93.3;0.449;0.524;0.00015;0.000272; 53680;1640;5195;4.99;6.06;44;0.791;1.92;0.412;0.81;50.8;119;0.574;0.466;0.000149;0.000349; 53760;1667;5033;4.99;6.08;48;0.785;1.92;0.41;0.81;49.9;124;0.597;0.454;0.000148;0.000367; 51120;1654;5248;4.99;6.08;51;0.782;1.9;0.411;0.81;49.8;168;0.703;0.383;0.000149;0.000501; 51600;1496;5128;5.06;6.09;48;2.68e+03;2.69e+03;2.69e+03;  2%;  2%;  2%;2.65e+03;2.67e+03;2.66e+03;  2%;  2%;  2%;2.66e+03;2.67e+03;2.67e+03;  2%;  2%;  2%;2.67e+03;2.68e+03;2.69e+03;  2%;  2%;  2%;50.9;49.1;0;0;0;0;0;0;0;50.9;49.1;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;339;332;345;341;55.5 ;57.7 ;59.5 ;53.1 ;
2018-01-23;11:37:17.321;0.783;1.91;0.409;0.81;198;501;0.604;0.447;0.000149;0.000376;19.8;24;1.33e+06;6.97e+05;1.07e+04;3.82;95.6;1.57;39.1;3.18e+04;50.6;49.4;0;0;0;0;0;0;0;1.35e+03;223;0.78;1.91;0.407;0.81;50.3;86.9;0.421;0.533;0.000151;0.000262; 50160;1703;5015;4.95;5.99;45;0.779;1.9;0.409;0.81;48.6;119;0.591;0.459;0.000147;0.000359; 50720;1538;4661;4.96;5.99;48;0.786;1.92;0.41;0.81;49.7;126;0.605;0.447;0.000149;0.000377; 49920;1774;5031;4.93;5.98;50;0.786;1.91;0.412;0.81;49.7;169;0.707;0.378;0.000149;0.000508; 48640;1499;5173;5;6.02;48;2.63e+03;2.66e+03;2.68e+03;  2%;  2%;  2%;2.62e+03;2.63e+03;2.63e+03;  2%;  2%;  2%;2.62e+03;2.66e+03;2.66e+03;  2%;  2%;  2%;2.66e+03;2.64e+03;2.67e+03;  2%;  2%;  2%;50.3;49.7;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;336;329;342;338;54.7 ;57.2 ;58.7 ;52.6 ;
2018-01-23;11:37:22.374;0.78;1.91;0.408;0.81;198;499;0.604;0.449;0.000149;0.000377;19.9;23.4;1.32e+06;6.93e+05;1.06e+04;3.82;95.5;1.56;39;3.21e+04;50.4;49.6;0;0;0;0;0;0;0;1.35e+03;223;0.776;1.91;0.406;0.81;50.2;88.3;0.431;0.526;0.000152;0.000268; 49520;1735;5097;4.94;5.65;44;0.781;1.91;0.408;0.81;49.4;121;0.591;0.455;0.000149;0.000365; 49840;1841;4858;4.98;5.72;48;0.785;1.92;0.408;0.81;49.2;123;0.6;0.461;0.000148;0.00037; 49200;1754;5060;4.95;6.02;50;0.779;1.89;0.411;0.81;48.8;166;0.707;0.38;0.000148;0.000504; 53760;1589;4895;5.01;6.01;47;2.72e+03;2.68e+03;2.68e+03;  2%;  2%;  2%;2.66e+03;2.68e+03;2.72e+03;  2%;  2%;  2%;2.67e+03;2.69e+03;2.64e+03;  2%;  2%;  2%;2.65e+03;2.68e+03;2.68e+03;  2%;  2%;  2%;50.1;49.9;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;336;330;343;339;54.5 ;57.2 ;58.8 ;52.8 ;
2018-01-23;11:37:27.428;0.78;1.91;0.409;0.81;120;444;0.73;0.801;9.05e-05;0.000336;12.6;14.3;1.32e+06;6.95e+05;1.06e+04;3.81;95.3;1.56;39;2e+04;50.5;49.5;0;0;0;0;0;0;0;1.34e+03;200;0.778;1.92;0.406;0.81;29.8;60.7;0.509;0.888;9.03e-05;0.000184; 53520;1173;3102;3.15;3.49;44;0.784;1.91;0.412;0.81;27.4;144;0.809;0.8;8.24e-05;0.000431; 51360;1138;2830;3.14;3.52;48;0.78;1.91;0.408;0.81;27.9;94.2;0.704;0.82;8.42e-05;0.000284; 50720;970;2734;3.13;3.8;50;0.776;1.89;0.411;0.81;34.7;146;0.762;0.672;0.000105;0.000443; 53600;1140;3376;3.14;3.46;48;1.62e+03;1.6e+03;1.79e+03;  1%;  1%;  1%;1.54e+03;1.75e+03;1.61e+03;  1%;  1%;  1%;1.54e+03;1.6e+03;1.72e+03;  1%;  1%;  1%;1.72e+03;1.74e+03;1.79e+03;  1%;  1%;  1%;50.1;49.9;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;335;329;342;338;49.2 ;51.2 ;52.5 ;47.1 ;
