Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2017-11-28 16:45:13.820486 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0193 2.24 0.0086 1.27 1.076 2.16 0.503 0.848 0.000166 0.000333 0.1998 0.29 6500.0 313.86 273.0 40.86
2017-11-28 16:45:18.816935 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.018 2.28 0.00792 1.27 0.984 1.68 0.414 0.866 0.000162 0.000276 0.21 0.268 6080.0 308.22 267.6 40.62
2017-11-28 16:45:23.827522 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00965 1.76 0.00547 0.876 0.896 1.808 0.505 0.779 0.000276 0.000558 0.266 0.1844 3240.0 181.58 149.4 32.18
2017-11-28 16:45:28.837151 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0128 2.27 0.00563 0.857 0.772 1.324 0.418 0.856 0.000179 0.000308 0.1572 0.208 4300.0 188.0 156.6 31.4
2017-11-28 16:45:33.850862 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0128 2.27 0.00561 0.857 0.764 1.426 0.465 0.846 0.000178 0.000332 0.1572 0.206 4300.0 192.52 161.2 31.32
2017-11-28 16:45:38.867709 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.013 1.96 0.00664 0.857 0.76 1.42 0.464 0.847 0.000173 0.000323 0.157 0.214 4400.0 187.78 156.4 31.38
2017-11-28 16:45:43.880533 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0127 2.25 0.00567 0.857 0.798 1.436 0.444 0.845 0.000186 0.000335 0.1672 0.202 4300.0 183.0 151.6 31.4
2017-11-28 16:45:48.893143 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00782 2.02 0.00387 0.855 0.79 1.954 0.595 0.708 0.0003 0.000742 0.276 0.171 2640.0 174.16 144.8 29.36
2017-11-28 16:45:53.906673 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00947 1.18 0.00804 0.856 0.664 1.394 0.523 0.788 0.000208 0.000437 0.22 0.1744 3180.0 179.58 150.0 29.58
2017-11-28 16:45:58.923954 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0128 2.24 0.0057 0.857 0.786 1.42 0.447 0.848 0.000182 0.00033 0.159 0.218 4320.0 181.78 150.4 31.38
2017-11-28 16:46:03.935651 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0128 2.25 0.00568 0.857 0.75 1.482 0.494 0.842 0.000174 0.000344 0.1534 0.204 4300.0 181.78 150.4 31.38
2017-11-28 16:46:08.946546 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0125 2.24 0.00557 0.857 0.96 1.786 0.462 0.789 0.000228 0.000425 0.1908 0.276 4200.0 180.78 149.4 31.38
2017-11-28 16:46:13.963033 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0125 2.21 0.00565 0.857 2.74 3.6 0.234 0.43 0.000653 0.000853 0.336 0.396 4220.0 184.74 152.6 32.14
2017-11-28 16:46:18.977717 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0129 2.24 0.00577 0.857 4.06 5.12 0.209 0.349 0.000933 0.00118 0.368 0.358 4340.0 180.84 148.6 32.24
