System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-21;19:15:15.502;0.943;1.16;0.81;0.81;211;453;0.534;0.765;0.000122;0.000261;17.7;15.8;1.74e+06;1.49e+06;1.15e+04;2.33;58.2;1.89;47.1;2.8e+04;100;0.000404;0;0;0;0;0;0;0;1.54e+03;223;0.943;1.17;0.81;0.81;52.8;113;0.533;0.766;0.000121;0.00026; 50960;962;2846;4.46;4.71;44;0.942;1.16;0.81;0.81;52.3;113;0.536;0.766;0.00012;0.00026; 50080;776;3424;4.37;3.69;51;0.943;1.16;0.81;0.81;53.4;114;0.531;0.765;0.000123;0.000262; 51920;1998;3976;4.41;3.69;52;0.943;1.16;0.81;0.81;53;114;0.535;0.762;0.000122;0.000263; 48320;946;2952;4.45;3.71;51;2.25e+03;2.3e+03;2.3e+03;  2%;  2%;  2%;2.39e+03;2.39e+03;2.21e+03;  2%;  2%;  2%;2.38e+03;2.26e+03;2.42e+03;  2%;  2%;  2%;2.43e+03;2.4e+03;2.27e+03;  2%;  2%;  2%;100;0.000362;0;0;0;0;0;0;0;100;0.000427;0;0;0;0;0;0;0;100;0.000407;0;0;0;0;0;0;0;100;0.000422;0;0;0;0;0;0;0;385;376;393;389;55.7 ;56.6 ;58.4 ;52.4 ;
2018-01-21;19:15:21.031;0.863;1.16;0.741;0.809;181;340;0.467;0.976;0.000115;0.000215;18.4;19.2;1.58e+06;1.36e+06;1.14e+04;2.33;58.2;1.73;43.1;2.95e+04;91.6;1.38;0.0312;7.01;0;3.67;0;0.315;0;1.51e+03;223;0.842;1.15;0.73;0.809;44.8;84.5;0.471;0.975;0.000116;0.00022; 54800;1425;3912;4.74;5.14;45;0.87;1.16;0.747;0.809;45.1;85.2;0.47;0.976;0.000113;0.000214; 49920;1384;4036;4.51;4.69;50;0.864;1.17;0.741;0.809;45.1;83.9;0.462;0.977;0.000114;0.000212; 52720;1682;4364;4.51;4.68;52;0.875;1.17;0.747;0.809;46.2;86;0.463;0.975;0.000115;0.000214; 46480;1270;4137;4.67;4.73;50;2.45e+03;2.44e+03;2.5e+03;  2%;  2%;  2%;2.43e+03;2.47e+03;2.43e+03;  2%;  2%;  2%;2.44e+03;2.42e+03;2.47e+03;  2%;  2%;  2%;2.49e+03;2.49e+03;2.5e+03;  2%;  2%;  2%;90.1;1.18;0.0534;8.64;0;4.65;0;0.316;0;92.3;1.27;0.0373;6.39;0;3.07;0;0.313;0;91.6;1.59;0.0159;6.83;0;2.75;0;0.315;0;92.3;1.47;0.0183;6.19;0;4.22;0;0.317;0;374;368;384;380;55.6 ;56.6 ;58.3 ;52.4 ;
2018-01-21;19:15:26.866;1;1.24;0.81;0.81;280;480;0.416;0.745;0.000143;0.000246;28.7;34.7;1.96e+06;1.58e+06;1.16e+04;2.48;62;2.01;50.2;4.58e+04;100;0.000677;0;0;0;0;0;0;0;1.69e+03;274;1;1.24;0.81;0.81;68.9;118;0.418;0.749;0.000143;0.000245; 53680;2710;7503;7.25;8.7;44;1;1.24;0.81;0.81;70.3;120;0.415;0.748;0.000144;0.000246; 46320;2724;7198;7.15;8.66;50;1;1.24;0.81;0.81;70.2;120;0.417;0.739;0.000143;0.000245; 51680;2631;7326;7.07;8.63;51;1.01;1.24;0.81;0.81;71;122;0.416;0.744;0.000143;0.000246; 48480;2343;7361;7.23;8.67;50;3.84e+03;3.81e+03;3.86e+03;  3%;  3%;  3%;3.8e+03;3.82e+03;3.82e+03;  3%;  3%;  3%;3.8e+03;3.78e+03;3.81e+03;  3%;  3%;  3%;3.82e+03;3.83e+03;3.86e+03;  3%;  3%;  3%;100;0.000664;0;0;0;0;0;0;0;100;0.000665;0;0;0;0;0;0;0;100;0.000699;0;0;0;0;0;0;0;100;0.000679;0;0;0;0;0;0;0;421;412;430;426;67.6 ;70 ;72.3 ;64.4 ;
2018-01-21;19:15:32.746;1;1.24;0.81;0.81;283;485;0.416;0.746;0.000143;0.000245;28.9;35;1.98e+06;1.59e+06;1.23e+04;2.48;62;2.01;50.2;4.62e+04;100;0.00068;0;0;0;0;0;0;0;1.7e+03;276;1;1.24;0.81;0.81;70.5;121;0.417;0.75;0.000143;0.000245; 57680;2805;7699;7.29;8.78;44;1;1.24;0.81;0.81;71;121;0.414;0.748;0.000144;0.000246; 52720;2729;7253;7.2;8.74;49;1;1.24;0.81;0.81;70.6;121;0.417;0.739;0.000143;0.000245; 53840;2674;7315;7.14;8.72;51;1.01;1.24;0.81;0.81;71;122;0.417;0.745;0.000143;0.000245; 49440;2334;7494;7.27;8.74;49;3.87e+03;3.83e+03;3.88e+03;  3%;  3%;  3%;3.83e+03;3.84e+03;3.84e+03;  3%;  3%;  3%;3.83e+03;3.81e+03;3.84e+03;  3%;  3%;  3%;3.86e+03;3.86e+03;3.88e+03;  3%;  3%;  3%;100;0.000625;0;0;0;0;0;0;0;100;0.000694;0;0;0;0;0;0;0;100;0.000689;0;0;0;0;0;0;0;100;0.000711;0;0;0;0;0;0;0;424;416;434;430;67.8 ;70.6 ;72.7 ;64.7 ;
2018-01-21;19:15:38.602;1;1.24;0.81;0.81;282;484;0.416;0.745;0.000143;0.000245;29;34.8;1.97e+06;1.59e+06;1.24e+04;2.48;62;2.01;50.2;4.62e+04;100;0.000697;0;0;0;0;0;0;0;1.7e+03;275;1;1.24;0.81;0.81;70.4;121;0.418;0.75;0.000143;0.000245; 52400;2818;7693;7.31;8.74;44;1;1.24;0.81;0.81;70.9;121;0.414;0.748;0.000144;0.000246; 52000;2717;7285;7.21;8.7;49;1;1.24;0.81;0.81;70.4;121;0.417;0.739;0.000143;0.000245; 50880;2636;7363;7.15;8.67;51;1.01;1.24;0.81;0.81;70.6;121;0.416;0.745;0.000143;0.000245; 50480;2352;7454;7.3;8.71;49;3.87e+03;3.82e+03;3.88e+03;  3%;  3%;  3%;3.81e+03;3.82e+03;3.89e+03;  3%;  3%;  3%;3.82e+03;3.85e+03;3.82e+03;  3%;  3%;  3%;3.84e+03;3.85e+03;3.93e+03;  3%;  3%;  3%;100;0.000688;0;0;0;0;0;0;0;100;0.000674;0;0;0;0;0;0;0;100;0.000725;0;0;0;0;0;0;0;100;0.000699;0;0;0;0;0;0;0;423;414;432;428;67.8 ;70.3 ;72.6 ;64.4 ;
2018-01-21;19:15:44.454;1;1.24;0.81;0.81;283;485;0.416;0.745;0.000143;0.000245;28.7;34.2;1.98e+06;1.59e+06;1.22e+04;2.48;62;2.01;50.2;4.62e+04;100;0.000725;0;0;0;0;0;0;0;1.7e+03;274;1;1.24;0.81;0.81;70.7;121;0.417;0.749;0.000143;0.000246; 54720;2756;7672;7.24;8.4;44;1;1.24;0.81;0.81;71;121;0.414;0.748;0.000144;0.000246; 50720;2688;7315;7.16;8.48;48;1;1.24;0.81;0.81;70.5;121;0.417;0.739;0.000143;0.000245; 52240;2681;7343;7.08;8.67;50;1.01;1.24;0.81;0.81;70.9;121;0.416;0.745;0.000143;0.000245; 48640;2347;7492;7.22;8.67;48;3.89e+03;3.84e+03;3.89e+03;  3%;  3%;  3%;3.82e+03;3.84e+03;3.87e+03;  3%;  3%;  3%;3.83e+03;3.81e+03;3.81e+03;  3%;  3%;  3%;3.83e+03;3.86e+03;3.88e+03;  3%;  3%;  3%;100;0.000773;0;0;0;0;0;0;0;100;0.000688;0;0;0;0;0;0;0;100;0.000761;0;0;0;0;0;0;0;100;0.00068;0;0;0;0;0;0;0;422;414;431;428;67.4 ;69.9 ;72.4 ;64.3 ;
2018-01-21;19:15:50.210;0.944;1.17;0.809;0.81;311;477;0.348;0.992;0.000169;0.000259;34.4;45;1.85e+06;1.58e+06;1.23e+04;2.33;58.3;1.89;47.2;5.88e+04;100;0.0155;0;0;0;0;0;0;0;1.76e+03;269;0.948;1.17;0.809;0.81;75.4;116;0.35;0.991;0.000162;0.000249; 54560;3199;9700;8.59;11;44;0.947;1.17;0.809;0.81;76.8;117;0.345;0.992;0.000165;0.000253; 42080;3068;9715;8.48;10.7;48;0.94;1.16;0.809;0.81;78.1;120;0.35;0.992;0.00017;0.000262; 53760;2935;9837;8.51;12.1;49;0.94;1.16;0.809;0.81;81;124;0.346;0.991;0.000177;0.000271; 50160;3156;10036;8.79;11.2;48;4.93e+03;4.88e+03;5.01e+03;  4%;  4%;  4%;4.8e+03;4.94e+03;4.91e+03;  4%;  4%;  4%;4.82e+03;4.84e+03;4.88e+03;  4%;  4%;  4%;4.91e+03;4.89e+03;4.97e+03;  4%;  4%;  4%;100;0.0166;0;0;0;0;0;0;0;100;0.0155;0;0;0;0;0;0;0;100;0.0155;0;0;0;0;0;0;0;100;0.0145;0;0;0;0;0;0;0;437;432;448;444;66.3 ;68.4 ;71.4 ;62.9 ;
2018-01-21;19:15:55.934;0.975;1.2;0.809;0.81;847;1.31e+03;0.354;0.151;0.000452;0.0007;64.9;71.1;1.87e+06;1.55e+06;1.2e+04;2.41;60.2;1.95;48.8;1.01e+05;100;0.003;0;0;0;0;0;0;0;1.67e+03;355;0.974;1.2;0.81;0.81;213;327;0.35;0.15;0.000455;0.000699; 52880;5845;17260;16.2;17.9;44;0.977;1.21;0.81;0.81;209;322;0.351;0.153;0.000446;0.000688; 52480;5767;17011;16.4;17.8;48;0.975;1.2;0.809;0.81;213;332;0.36;0.149;0.000455;0.00071; 45920;5429;17288;16.3;18.1;49;0.975;1.2;0.81;0.81;212;330;0.357;0.152;0.000453;0.000705; 54480;5526;17240;16;17.3;48;8.46e+03;8.47e+03;8.25e+03;  7%;  7%;  7%;8.72e+03;8.46e+03;8.58e+03;  7%;  7%;  7%;8.75e+03;8.4e+03;8.44e+03;  7%;  7%;  7%;8.41e+03;8.23e+03;8.24e+03;  7%;  7%;  7%;100;0.00144;0;0;0;0;0;0;0;100;0.00149;0;0;0;0;0;0;0;100;0.00758;0;0;0;0;0;0;0;100;0.0015;0;0;0;0;0;0;0;416;409;424;423;86.7 ;90.6 ;96.1 ;81.3 ;
2018-01-21;19:16:01.714;0.995;1.23;0.81;0.81;639;1.15e+03;0.442;0.961;0.000332;0.000595;50.2;51.3;1.92e+06;1.57e+06;1.2e+04;2.46;61.5;1.99;49.7;7.31e+04;100;0.000406;0;0;0;0;0;0;0;1.7e+03;314;0.988;1.22;0.81;0.81;159;278;0.429;0.96;0.000334;0.000584; 49840;4338;12502;12.5;12.8;44;0.992;1.23;0.81;0.81;157;277;0.435;0.962;0.000327;0.000578; 57200;4227;12131;12.7;12.9;47;0.997;1.23;0.81;0.81;161;294;0.452;0.96;0.000333;0.000609; 53440;3949;12472;12.6;12.8;49;1;1.24;0.81;0.81;163;296;0.45;0.96;0.000335;0.000609; 47680;3996;12395;12.4;12.7;47;6.14e+03;6.11e+03;5.96e+03;  5%;  5%;  5%;6.24e+03;6.06e+03;6.2e+03;  5%;  5%;  5%;6.27e+03;6.1e+03;6.1e+03;  5%;  5%;  5%;6.01e+03;5.95e+03;6.02e+03;  5%;  5%;  5%;100;0.00227;0;0;0;0;0;0;0;100;0.0015;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.00153;0;0;0;0;0;0;0;424;417;433;430;76.9 ;80.5 ;84.4 ;72.3 ;
2018-01-21;19:16:07.430;1.22;1.57;0.773;0.774;1.21e+03;2.47e+03;0.51;0.623;0.000515;0.00105;77.8;25;2.35e+06;1.49e+06;1.21e+04;3.15;78.7;2.43;60.8;9.74e+04;99.9;0.119;0;0;0;0;0;0;0;1.43e+03;318;1.21;1.57;0.774;0.775;302;617;0.511;0.662;0.000514;0.00105; 56960;4566;14237;19.4;6.26;44;1.22;1.57;0.773;0.774;304;622;0.511;0.612;0.000517;0.00106; 52080;4431;14027;19.4;6.21;48;1.22;1.58;0.773;0.774;303;615;0.508;0.604;0.000515;0.00105; 52960;4518;14196;19.4;6.2;50;1.21;1.57;0.772;0.773;301;613;0.509;0.605;0.000515;0.00105; 49360;4703;13841;19.5;6.3;47;8.1e+03;8.1e+03;8.09e+03;  7%;  7%;  7%;8.11e+03;8.09e+03;8.12e+03;  7%;  7%;  7%;8.13e+03;8.13e+03;8.11e+03;  7%;  7%;  7%;8.14e+03;8.12e+03;8.16e+03;  7%;  7%;  7%;99.9;0.115;0;0;0;0;0;0;0;99.9;0.117;0;0;0;0;0;0;0;99.9;0.122;0;0;0;0;0;0;0;99.9;0.124;0;0;0;0;0;0;0;357;349;362;359;77.6 ;81.1 ;85.9 ;73.1 ;
