Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-21 15:31:17.188361 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0171 2.03 0.00843 1.25 3.36 8.56 0.607 0.642 0.000583 0.00149 0.402 0.578 5760.0 319.66 279.0 40.66
2018-01-21 15:31:22.186646 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00914 1.97 0.00463 1.24 2.62 5.74 0.544 0.631 0.00085 0.00186 0.286 0.408 3080.0 318.56 278.4 40.16
2018-01-21 15:31:27.197809 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00949 1.96 0.00485 0.867 2.82 6.22 0.547 0.625 0.000883 0.00195 0.294 0.41 3180.0 192.0 158.2 33.8
2018-01-21 15:31:32.208343 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.00987 2.0 0.00493 0.857 2.92 6.12 0.524 0.62 0.000877 0.00184 0.316 0.428 3320.0 192.78 160.6 32.18
2018-01-21 15:31:37.220255 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00966 1.92 0.00503 0.857 2.72 6.54 0.584 0.606 0.000836 0.00201 0.298 0.424 3260.0 180.64 148.6 32.04
2018-01-21 15:31:42.234489 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00957 1.93 0.00496 0.81 2.8 6.36 0.559 0.622 0.000871 0.00197 0.294 0.41 3220.0 180.18 148.0 32.18
2018-01-21 15:31:47.248832 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00992 1.93 0.00513 0.855 2.88 6.54 0.559 0.623 0.000862 0.00196 0.298 0.422 3340.0 185.02 153.0 32.02
2018-01-21 15:31:52.260607 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00438 1.71 0.00257 0.857 1.412 3.28 0.568 0.545 0.000958 0.00222 0.346 0.236 1474.0 171.28 141.6 29.68
2018-01-21 15:31:57.273918 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0087 1.92 0.00454 0.857 2.52 5.62 0.552 0.621 0.000858 0.00192 0.298 0.386 2920.0 178.74 147.2 31.54
2018-01-21 15:32:02.285987 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0097 1.93 0.00503 0.856 2.8 6.32 0.558 0.623 0.000855 0.00193 0.304 0.418 3260.0 177.88 146.0 31.88
2018-01-21 15:32:07.305498 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0097 1.97 0.00493 0.857 2.84 6.12 0.536 0.614 0.000869 0.00187 0.312 0.422 3260.0 179.82 147.8 32.02
2018-01-21 15:32:12.317805 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0117 2.15 0.00543 0.857 2.6 4.6 0.432 0.566 0.000663 0.00117 0.334 0.41 3940.0 179.56 147.4 32.16
2018-01-21 15:32:17.695836 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0127 2.31 0.00547 0.81 2.08 2.7 0.229 0.363 0.000488 0.000633 0.318 0.372 4260.0 174.34 142.2 32.14
2018-01-21 15:32:22.711745 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.342 1.42 0.24 0.81 178.0 480.0 0.63 0.466 0.00146 0.00396 13.82 6.0 121400.0 285.62 231.8 53.82
2018-01-21 15:32:27.725971 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.497 0.778 0.639 0.81 560.0 1058.0 0.47 0.335 0.00328 0.00619 34.4 11.94 170800.0 361.74 290.2 71.54
2018-01-21 15:32:32.736246 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.309 0.749 0.413 0.81 506.0 890.0 0.431 0.281 0.00486 0.00854 32.8 9.2 104200.0 322.34 250.2 72.14
2018-01-21 15:32:37.749240 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.401 0.545 0.736 0.854 708.0 1492.0 0.525 0.247 0.00523 0.011 45.8 14.26 135200.0 394.26 312.4 81.86
