Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-21 16:32:49.948386 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0191 2.2 0.00866 1.25 1.144 2.82 0.595 0.809 0.000178 0.00044 0.2 0.296 6420.0 310.48 270.0 40.48
2018-01-21 16:32:54.945015 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0184 2.27 0.0081 1.25 0.982 1.822 0.461 0.856 0.000159 0.000294 0.1822 0.264 6200.0 309.54 270.0 39.54
2018-01-21 16:32:59.958462 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0121 2.21 0.00549 0.822 0.788 1.61 0.511 0.829 0.000193 0.000395 0.1502 0.1966 4080.0 186.1 152.4 33.7
2018-01-21 16:33:04.971764 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.22 0.00541 0.809 0.764 1.516 0.496 0.829 0.000189 0.000374 0.155 0.204 4060.0 183.02 151.6 31.42
2018-01-21 16:33:09.988840 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0121 2.22 0.00542 0.809 0.726 1.5 0.516 0.831 0.000179 0.000369 0.149 0.2 4060.0 179.78 148.4 31.38
2018-01-21 16:33:15.010811 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.24 0.00535 0.81 0.698 1.48 0.528 0.827 0.000173 0.000366 0.1506 0.1978 4040.0 180.6 149.2 31.4
2018-01-21 16:33:20.025274 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.24 0.00536 0.81 0.706 1.602 0.559 0.817 0.000174 0.000395 0.151 0.208 4060.0 182.06 150.6 31.46
2018-01-21 16:33:25.043678 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.00425 1.73 0.00246 0.806 0.64 1.838 0.652 0.581 0.000447 0.00128 0.38 0.14 1434.0 167.88 139.4 28.48
2018-01-21 16:33:30.054949 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.00995 2.12 0.00469 0.808 0.818 1.766 0.537 0.775 0.000244 0.000526 0.244 0.1842 3360.0 176.96 146.4 30.56
2018-01-21 16:33:35.066773 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0119 2.24 0.00531 0.81 0.728 1.666 0.563 0.811 0.000182 0.000417 0.1718 0.1998 4000.0 182.58 151.2 31.38
2018-01-21 16:33:40.080493 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.25 0.00534 0.81 0.704 1.548 0.545 0.823 0.000174 0.000382 0.1508 0.2 4060.0 182.6 151.2 31.4
2018-01-21 16:33:45.095825 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.25 0.00535 0.809 0.706 1.578 0.552 0.82 0.000175 0.00039 0.1506 0.1976 4040.0 182.8 151.4 31.4
2018-01-21 16:33:50.107589 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0121 2.32 0.00524 0.809 1.536 2.78 0.446 0.52 0.000376 0.000678 0.272 0.354 4080.0 180.68 149.0 31.68
2018-01-21 16:33:55.119170 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0117 2.2 0.00534 0.809 3.74 4.72 0.207 0.351 0.000945 0.00119 0.338 0.34 3960.0 181.18 149.0 32.18
2018-01-21 16:34:00.133075 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0106 2.11 0.00504 0.808 3.62 4.76 0.239 0.331 0.00101 0.00133 0.394 0.316 3580.0 179.26 147.4 31.86
2018-01-21 16:34:05.147029 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0122 2.2 0.00555 0.806 4.12 5.42 0.242 0.342 0.001 0.00132 0.404 0.346 4100.0 181.38 149.0 32.38
2018-01-21 16:34:10.157669 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0132 2.21 0.00599 0.901 4.28 5.52 0.223 0.344 0.00096 0.00124 0.358 0.356 4460.0 189.14 156.8 32.34
2018-01-21 16:34:15.171993 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1600000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1600000 0.0134 2.25 0.00593 0.905 4.18 5.28 0.207 0.336 0.000931 0.00117 0.36 0.362 4500.0 190.9 158.6 32.3
2018-01-21 16:34:20.185784 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0118 2.2 0.00538 0.809 3.82 5.02 0.237 0.341 0.000958 0.00126 0.33 0.322 4000.0 180.6 148.4 32.2
2018-01-21 16:34:25.198456 0x00000000000000000000000000000000000FFFFF_2000000 0x00000000000000000000000000000000000FFFFF_2000000 0.00266 0.486 0.00547 0.763 4.1 5.72 0.284 0.234 0.00457 0.00639 0.916 1.468 896.0 179.84 144.6 35.24
2018-01-21 16:34:30.208477 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.00046 0.0753 0.00611 0.896 2.24 3.08 0.269 0.236 0.0145 0.0198 1.564 3.84 155.0 199.24 160.0 39.24
2018-01-21 16:34:35.221258 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.000459 0.072 0.00638 0.95 2.32 3.12 0.257 0.215 0.015 0.0202 1.634 4.2 154.6 215.42 175.6 39.82
2018-01-21 16:34:40.233902 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0426 0.213 0.2 0.905 31.8 54.4 0.415 0.286 0.00222 0.0038 9.1 17.7 14360.0 254.58 199.6 54.98
2018-01-21 16:34:45.245709 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1200000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1200000 0.295 0.986 0.299 0.905 92.2 177.4 0.481 0.378 0.000928 0.00179 6.32 8.82 99200.0 274.54 223.2 51.34
2018-01-21 16:34:50.264394 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.067 1.08 0.0621 0.812 12.26 18.7 0.344 0.485 0.000543 0.000828 0.988 1.004 22600.0 197.14 163.2 33.94
2018-01-21 16:34:55.276212 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.00595 1.38 0.00432 0.592 2.92 5.62 0.479 0.44 0.00146 0.00281 0.312 0.406 2000.0 164.76 132.6 32.16
2018-01-21 16:35:00.291114 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0363 1.48 0.0246 0.795 13.36 24.6 0.457 0.388 0.00109 0.00201 2.38 3.82 12220.0 195.36 154.6 40.76
2018-01-21 16:35:05.302717 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.00848 1.0 0.00846 0.809 7.3 10.94 0.333 0.356 0.00255 0.00383 1.262 2.44 2860.0 188.56 152.2 36.36
2018-01-21 16:35:10.314389 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.000304 0.0564 0.00538 0.809 2.02 2.72 0.254 0.134 0.0198 0.0266 1.488 3.86 102.4 193.16 154.6 38.56
2018-01-21 16:35:15.327582 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0.0767 0.395 0.194 0.81 122.2 151.0 0.191 0.182 0.00473 0.00584 8.52 13.2 25800.0 260.48 208.8 51.68
2018-01-21 16:35:20.336903 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.164 1.11 0.147 0.81 88.8 105.4 0.157 0.334 0.00161 0.00191 3.76 3.32 55200.0 236.5 195.0 41.5
2018-01-21 16:35:25.368912 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0552 1.59 0.0347 1.23 31.2 48.8 0.358 0.343 0.00168 0.00262 2.84 3.06 18580.0 295.52 252.0 43.52
2018-01-21 16:35:30.381323 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.133 1.68 0.0792 0.812 42.4 284.0 0.851 0.091 0.000943 0.00632 2.84 2.1 44800.0 216.52 175.8 40.72
