Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-21 16:59:00.489958 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.019 2.21 0.00859 1.25 1.132 2.76 0.589 0.835 0.000178 0.000432 0.2 0.292 6380.0 320.8 280.2 40.6
2018-01-21 16:59:05.493658 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0157 2.25 0.00696 1.25 0.886 1.656 0.465 0.872 0.000168 0.000314 0.228 0.252 5260.0 318.64 278.2 40.44
2018-01-21 16:59:10.506705 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0107 2.15 0.005 0.824 0.852 1.634 0.478 0.831 0.000236 0.000453 0.232 0.1968 3600.0 186.38 153.4 32.98
2018-01-21 16:59:15.519073 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.25 0.00532 0.809 0.724 1.292 0.439 0.87 0.00018 0.00032 0.1526 0.202 4040.0 189.24 157.8 31.44
2018-01-21 16:59:20.529366 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0119 2.23 0.00532 0.809 0.724 1.344 0.461 0.862 0.000181 0.000336 0.151 0.208 4000.0 186.2 154.8 31.4
2018-01-21 16:59:25.549435 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0119 2.24 0.00529 0.81 0.694 1.246 0.443 0.873 0.000174 0.000312 0.15 0.204 4000.0 187.24 155.8 31.44
2018-01-21 16:59:30.564268 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0119 2.24 0.00531 0.81 0.692 1.346 0.486 0.864 0.000173 0.000336 0.15 0.206 4000.0 186.28 154.8 31.48
2018-01-21 16:59:35.578107 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0113 2.21 0.00509 0.809 0.736 1.402 0.475 0.852 0.000194 0.000369 0.1772 0.202 3800.0 181.18 150.0 31.18
2018-01-21 16:59:40.591568 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.00838 2.06 0.00406 0.809 0.724 1.626 0.555 0.791 0.000256 0.000576 0.284 0.1746 2820.0 172.64 142.6 30.04
2018-01-21 16:59:45.603674 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.00912 2.1 0.00434 0.81 0.688 1.47 0.532 0.814 0.000224 0.000478 0.236 0.1824 3080.0 173.1 142.8 30.3
2018-01-21 16:59:50.617601 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0115 2.2 0.00523 0.81 0.726 1.464 0.504 0.853 0.000188 0.000378 0.1734 0.204 3880.0 177.46 146.2 31.26
2018-01-21 16:59:55.631344 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.23 0.00538 0.809 0.698 1.33 0.475 0.867 0.000173 0.000329 0.1478 0.202 4040.0 177.7 146.2 31.5
2018-01-21 17:00:00.647318 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.28 0.00525 0.809 1.34 2.22 0.397 0.665 0.000332 0.00055 0.246 0.322 4040.0 176.32 144.6 31.72
2018-01-21 17:00:05.663340 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0117 2.18 0.00536 0.81 3.36 4.18 0.197 0.375 0.000849 0.00106 0.334 0.346 3940.0 176.7 144.4 32.3
2018-01-21 17:00:10.681016 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0118 2.2 0.00538 0.81 3.92 4.78 0.179 0.347 0.000982 0.0012 0.344 0.34 4000.0 175.56 143.2 32.36
2018-01-21 17:00:15.695765 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0121 2.15 0.00563 0.809 4.08 5.16 0.21 0.348 0.000999 0.00126 0.412 0.348 4080.0 173.9 141.4 32.5
2018-01-21 17:00:20.711916 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0124 2.24 0.00557 0.809 3.68 4.9 0.248 0.351 0.000877 0.00117 0.36 0.326 4200.0 173.32 141.0 32.32
2018-01-21 17:00:25.745897 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0122 2.27 0.00539 0.809 3.78 4.68 0.192 0.34 0.000916 0.00113 0.328 0.32 4120.0 171.08 138.8 32.28
2018-01-21 17:00:30.770222 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0118 2.19 0.00541 0.809 3.92 4.78 0.179 0.347 0.000982 0.0012 0.34 0.332 4000.0 172.44 140.0 32.44
2018-01-21 17:00:35.784293 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0057 1.08 0.00526 0.809 4.66 6.12 0.239 0.253 0.00242 0.00318 0.548 0.57 1926.0 171.12 138.2 32.92
2018-01-21 17:00:40.800055 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0.00035 0.0643 0.00544 0.808 1.944 2.4 0.191 0.151 0.0165 0.0204 1.52 3.76 118.0 175.7 137.2 38.5
2018-01-21 17:00:45.823693 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0.000328 0.0605 0.00541 0.809 1.964 2.36 0.166 0.159 0.0178 0.0213 1.542 3.86 110.4 176.86 138.2 38.66
2018-01-21 17:00:50.833934 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_2101000 0.00281 0.0268 0.105 1.23 6.64 8.52 0.221 0.197 0.007 0.00899 4.88 10.18 946.0 297.46 246.2 51.26
2018-01-21 17:00:55.844627 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.293 0.61 0.48 1.24 119.6 228.0 0.477 0.336 0.00121 0.00231 11.04 18.5 98800.0 433.6 368.6 65.0
2018-01-21 17:01:00.871985 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.112 1.04 0.108 1.24 19.74 28.8 0.315 0.613 0.000524 0.000765 1.59 1.624 37600.0 320.0 276.8 43.2
