Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-21 17:23:57.138285 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.025 2.27 0.011 1.27 1.222 3.7 0.67 0.844 0.000145 0.00044 0.214 0.32 8420.0 326.1 284.8 41.3
2018-01-21 17:24:02.138284 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0156 2.26 0.00694 1.25 0.908 1.624 0.441 0.879 0.000172 0.000308 0.224 0.242 5260.0 324.0 283.8 40.2
2018-01-21 17:24:07.151849 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00915 2.14 0.00428 0.872 0.768 1.49 0.485 0.829 0.00025 0.000485 0.218 0.1742 3080.0 190.44 158.6 31.84
2018-01-21 17:24:12.162258 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0128 2.28 0.00559 0.857 0.776 1.318 0.411 0.882 0.000181 0.000307 0.1582 0.214 4300.0 199.4 167.8 31.6
2018-01-21 17:24:17.170791 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0127 2.28 0.00557 0.857 0.74 1.258 0.412 0.886 0.000173 0.000294 0.1524 0.206 4280.0 195.34 163.8 31.54
2018-01-21 17:24:22.179226 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0127 2.26 0.00559 0.857 0.78 1.402 0.443 0.873 0.000183 0.000329 0.158 0.216 4260.0 198.58 167.0 31.58
2018-01-21 17:24:27.189973 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0126 2.27 0.00556 0.857 0.746 1.328 0.438 0.878 0.000176 0.000312 0.1556 0.22 4260.0 198.56 167.0 31.56
2018-01-21 17:24:32.205662 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0127 2.26 0.0056 0.857 0.75 1.408 0.468 0.874 0.000176 0.00033 0.1554 0.204 4260.0 197.74 166.2 31.54
2018-01-21 17:24:37.218019 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00764 2.05 0.00373 0.857 0.67 1.476 0.546 0.797 0.00026 0.000574 0.28 0.1648 2580.0 182.58 153.0 29.58
2018-01-21 17:24:42.229993 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00642 1.97 0.00325 0.857 0.796 1.534 0.481 0.76 0.000368 0.000709 0.272 0.1536 2160.0 180.08 151.2 28.88
2018-01-21 17:24:47.243629 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0116 2.25 0.00516 0.857 0.718 1.302 0.449 0.873 0.000184 0.000333 0.174 0.206 3900.0 190.52 159.4 31.12
2018-01-21 17:24:52.258227 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0127 2.26 0.00561 0.857 0.732 1.334 0.45 0.881 0.000171 0.000312 0.1554 0.214 4280.0 192.62 161.0 31.62
