Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-21 17:49:51.769924 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0192 2.2 0.00875 1.26 1.172 2.56 0.543 0.86 0.000181 0.000395 0.206 0.296 6480.0 326.64 285.6 41.04
2018-01-21 17:49:56.769552 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0161 2.25 0.00716 1.24 0.934 1.632 0.428 0.881 0.000172 0.000301 0.226 0.246 5420.0 326.58 286.0 40.58
2018-01-21 17:50:01.782269 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00967 2.12 0.00456 0.872 0.818 1.52 0.461 0.834 0.000252 0.000468 0.23 0.1878 3240.0 192.76 160.4 32.36
2018-01-21 17:50:06.799266 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0126 2.26 0.00558 0.857 0.76 1.306 0.418 0.882 0.000179 0.000307 0.157 0.21 4260.0 199.62 168.0 31.62
2018-01-21 17:50:11.809203 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0126 2.25 0.0056 0.856 0.778 1.442 0.46 0.871 0.000183 0.00034 0.1548 0.202 4240.0 197.9 166.4 31.5
2018-01-21 17:50:16.817873 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.012 2.24 0.00535 0.811 0.738 1.374 0.464 0.873 0.000183 0.00034 0.148 0.202 4040.0 189.7 158.2 31.5
2018-01-21 17:50:21.829754 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0119 2.26 0.00527 0.81 0.734 1.354 0.458 0.872 0.000183 0.000337 0.1522 0.1992 4020.0 195.38 163.8 31.58
2018-01-21 17:50:26.840475 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0x00000000000000000000FFFFFFFFFFFFFFFFFFFF_1700000 0.0119 2.27 0.00526 0.81 0.712 1.296 0.451 0.876 0.000177 0.000323 0.1506 0.204 4020.0 194.54 163.0 31.54
2018-01-21 17:50:31.853684 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00728 2.06 0.00354 0.809 0.694 1.398 0.503 0.794 0.000283 0.000571 0.264 0.1636 2460.0 181.3 151.8 29.5
2018-01-21 17:50:36.864479 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.00495 1.95 0.00255 0.81 0.512 1.12 0.543 0.771 0.000307 0.000672 0.256 0.1358 1668.0 179.12 150.8 28.32
