System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-11;21:14:06.189;0.00332;0.598;0.00556;0.807;40.8;51.1;0.202;0.138;0.00728;0.00912;2.92;2.9;5.6e+03;9.36e+03;1.05e+04;1.2;29.9;0.00665;0.166;4.57e+03;0.689;12.2;0.00431;87.1;0;10.6;0;0;0;655;167;0.0129;0.629;0.0205;0.81;40.2;48.4;0.169;0.14;0.00741;0.00892; 50720;1103;2734;0.746;0.483;46;0.000114;0.224;0.000507;0.75;0.145;0.769;0.812;0.0997;0.00302;0.0161; 38880;2;27;0.711;0.794;50;0.000121;0.229;0.000529;0.806;0.165;1.01;0.837;0.0951;0.00323;0.0198; 42640;2;20;0.73;0.815;52;0.000167;0.239;0.000697;0.773;0.214;0.894;0.761;0.137;0.00304;0.0127; 38240;4;35;0.734;0.809;49;549;550;552;  0%;  0%;  0%;74.3;77;821;  0%;  0%;  0%;73.8;820;78.1;  0%;  0%;  0%;76.6;77.1;826;  0%;  0%;  0%;2.53;21.8;0;75.7;0;0;0;0;0;0.0677;6.14;0.00264;93.8;0;26.1;0;0;0;0.0656;13.6;0.00447;86.3;0;1.44;0;0;0;0.0902;7.34;0.0101;92.6;0;14.7;0;0;0;179;155;163;158;40.8 ;43 ;43.4 ;39.8 ;
2018-01-11;21:14:11.532;0.558;0.87;0.642;0.81;1.34e+03;1.44e+03;0.0746;0.959;0.00139;0.0015;119;34.3;9.61e+05;1.1e+06;1.05e+04;1.74;43.5;1.12;27.9;1.7e+05;79.3;3.36;0.026;17.4;0;0.00895;0;0;0;1.47e+03;293;0.561;0.892;0.63;0.81;314;342;0.0799;0.961;0.00132;0.00143; 50240;6549;19086;29.9;8.6;41;0.56;0.87;0.643;0.81;324;349;0.0725;0.96;0.00135;0.00146; 52240;6302;20130;29;8.5;45;0.558;0.861;0.648;0.81;338;363;0.0685;0.959;0.00141;0.00151; 51360;6806;20403;29.9;8.57;44;0.555;0.859;0.646;0.81;359;389;0.0775;0.956;0.00149;0.00161; 41760;7622;20863;30.4;8.59;45;1.41e+04;1.44e+04;1.39e+04; 14%; 14%; 14%;1.46e+04;1.36e+04;1.36e+04; 14%; 13%; 13%;1.42e+04;1.42e+04;1.46e+04; 14%; 14%; 14%;1.38e+04;1.42e+04;1.46e+04; 14%; 14%; 14%;77.8;7.5;0.0159;14.7;0;0;0;0;0;79.5;2.14;0.036;18.4;0;0.0151;0;0;0;80;1.8;0.0303;18.2;0;0.0102;0;0;0;79.8;2.06;0.022;18.2;0;0.0105;0;0;0;369;361;376;366;72.9 ;73.8 ;76.5 ;69.6 ;
2018-01-11;21:14:16.912;1.13;0.993;1.14;1.15;2.5e+03;2.65e+03;0.059;0.979;0.00123;0.00131;185;193;2.03e+06;2.05e+06;1.12e+04;1.99;49.7;2.27;56.6;3.19e+05;99.6;0.429;0;0;0;0;0;0;0;2.95e+03;495;1.18;1.04;1.13;1.14;466;501;0.0698;0.985;0.000884;0.000951; 53120;11439;33048;46.9;50.8;35;1.08;0.939;1.15;1.15;823;865;0.0495;0.97;0.0017;0.00179; 52000;27231;80332;45.2;45.4;36;1.07;0.942;1.14;1.14;786;820;0.0423;0.973;0.00163;0.0017; 57600;24720;73885;45.4;45.6;40;1.2;1.05;1.14;1.15;421;465;0.0949;0.987;0.000781;0.000863; 44320;10421;31585;47.2;51.1;38;2.68e+04;2.58e+04;1.71e+04; 26%; 25%; 16%;3.63e+04;2.71e+04;2.71e+04; 35%; 26%; 26%;3.59e+04;2.64e+04;2.67e+04; 35%; 25%; 26%;2.57e+04;2.66e+04;1.73e+04; 25%; 25%; 16%;99.7;0.321;0;0;0;0;0;0;0;99.5;0.461;0;0;0;0;0;0;0;99.5;0.482;0;0;0;0;0;0;0;99.5;0.45;0;0;0;0;0;0;0;738;736;742;736;124 ;123 ;128 ;119 ;
2018-01-11;21:14:22.372;0.959;1.14;0.839;0.839;1e+03;1.08e+03;0.0763;0.99;0.000571;0.000618;68.9;64.9;1.75e+06;1.53e+06;1.14e+04;2.29;57.2;1.92;48;1.14e+05;99.9;0.0602;0;0;0;0;0;0;0;1.74e+03;340;0.988;1.17;0.842;0.842;114;133;0.141;0.995;0.000253;0.000294; 52080;2858;8004;17.4;17.7;43;0.945;1.12;0.841;0.842;386;410;0.06;0.982;0.000895;0.000952; 50000;10415;30351;17;15;45;0.928;1.11;0.837;0.838;411;423;0.0272;0.983;0.000971;0.000999; 55920;10465;31694;17.1;14.3;47;0.976;1.17;0.835;0.835;90;118;0.237;0.996;0.000201;0.000264; 51520;2089;6653;17.3;17.9;45;1.01e+04;1.1e+04;4.7e+03;  9%; 10%;  4%;1.42e+04;7.95e+03;8.32e+03; 13%;  7%;  7%;1.44e+04;9.33e+03;8.82e+03; 13%;  8%;  8%;1.06e+04;9.94e+03;4.73e+03; 10%;  9%;  4%;100;0.0461;0;0;0;0;0;0;0;99.9;0.0795;0;0;0;0;0;0;0;99.9;0.0568;0;0;0;0;0;0;0;99.9;0.0586;0;0;0;0;0;0;0;441;422;436;441;84.8 ;85.7 ;89.5 ;80.2 ;
2018-01-11;21:14:27.796;0.937;1.16;0.81;0.81;671;750;0.105;0.993;0.000391;0.000437;48.1;38.5;1.71e+06;1.48e+06;1.15e+04;2.32;57.9;1.87;46.9;7.5e+04;100;0.000318;0;0;0;0;0;0;0;1.69e+03;293;0.958;1.18;0.81;0.81;66;84.8;0.222;0.997;0.00015;0.000193; 53760;1742;4746;12.3;10.6;43;0.928;1.15;0.81;0.81;279;298;0.0646;0.987;0.000657;0.000702; 53040;7117;20757;11.9;8.45;45;0.909;1.12;0.81;0.81;256;269;0.0494;0.989;0.000616;0.000648; 53280;5743;17853;11.8;8.94;48;0.954;1.18;0.81;0.81;70.4;97.5;0.278;0.996;0.000162;0.000224; 53120;1658;5212;12.1;10.5;45;7.4e+03;6.61e+03;3.47e+03;  7%;  6%;  3%;9.19e+03;5.94e+03;5.7e+03;  8%;  5%;  5%;9.16e+03;4.94e+03;5.09e+03;  8%;  4%;  4%;6.63e+03;7.48e+03;3.36e+03;  6%;  7%;  3%;100;0.000286;0;0;0;0;0;0;0;100;0.000344;0;0;0;0;0;0;0;100;0.000337;0;0;0;0;0;0;0;100;0.000303;0;0;0;0;0;0;0;428;409;421;430;73.2 ;73.5 ;77.7 ;68.9 ;
2018-01-11;21:14:33.272;0.959;1.18;0.81;0.81;374;442;0.153;0.996;0.000214;0.000252;26.9;22.2;1.75e+06;1.48e+06;1.14e+04;2.37;59.2;1.92;47.9;4.24e+04;100;0.000307;0;0;0;0;0;0;0;1.71e+03;251;0.965;1.19;0.81;0.81;47.7;64.3;0.257;0.998;0.000109;0.000146; 52160;1242;3338;6.86;5.91;44;0.968;1.2;0.81;0.81;139;154;0.1;0.993;0.000314;0.000349; 51120;3595;10725;6.76;5.08;46;0.935;1.15;0.81;0.81;174;187;0.068;0.992;0.000408;0.000438; 51920;4032;12430;6.39;4.93;47;0.968;1.2;0.81;0.81;13.3;36.4;0.635;0.999;3e-05;8.22e-05; 53040;334;1012;6.83;6.27;45;3.86e+03;4.51e+03;1.53e+03;  3%;  4%;  1%;5.91e+03;2.87e+03;3.46e+03;  5%;  2%;  3%;4.94e+03;3.23e+03;2.6e+03;  4%;  3%;  2%;4.17e+03;3.51e+03;1.83e+03;  4%;  3%;  1%;100;0.000281;0;0;0;0;0;0;0;100;0.000309;0;0;0;0;0;0;0;100;0.000346;0;0;0;0;0;0;0;100;0.000291;0;0;0;0;0;0;0;432;415;427;437;62.3 ;63.6 ;65.3 ;59.7 ;
2018-01-11;21:14:38.728;0.969;1.2;0.81;0.81;248;312;0.206;0.997;0.000139;0.000175;18.1;15.4;1.79e+06;1.49e+06;1.15e+04;2.39;59.9;1.94;48.5;2.91e+04;100;0.000306;0;0;0;0;0;0;0;1.71e+03;228;0.971;1.2;0.81;0.81;16.4;30.4;0.46;0.999;3.66e-05;6.78e-05; 52000;507;1136;4.7;4.28;44;0.972;1.2;0.81;0.81;135;150;0.101;0.993;0.000301;0.000335; 48640;3535;10410;4.49;3.05;45;0.964;1.19;0.81;0.81;79.9;92.3;0.135;0.996;0.00018;0.000208; 49200;1785;5575;4.37;3.79;47;0.97;1.2;0.81;0.81;16.5;39.1;0.577;0.999;3.7e-05;8.75e-05; 51440;395;1310;4.58;4.31;44;3.29e+03;2.24e+03;999;  3%;  2%;  0%;3.87e+03;2.61e+03;2.62e+03;  3%;  2%;  2%;3.85e+03;1.6e+03;1.58e+03;  3%;  1%;  1%;2.2e+03;3.23e+03;989;  2%;  3%;  0%;100;0.000281;0;0;0;0;0;0;0;100;0.000334;0;0;0;0;0;0;0;100;0.00032;0;0;0;0;0;0;0;100;0.000288;0;0;0;0;0;0;0;432;414;427;434;57.3 ;56.9 ;59.6 ;54.5 ;
2018-01-11;21:14:44.160;0.966;1.19;0.81;0.81;150;201;0.254;0.998;8.52e-05;0.000114;10.1;7.51;1.77e+06;1.48e+06;1.14e+04;2.39;59.7;1.93;48.3;1.5e+04;100;0.000287;0;0;0;0;0;0;0;1.71e+03;200;0.966;1.19;0.81;0.81;6.83;19.7;0.653;0.999;1.55e-05;4.46e-05; 52240;277;432;2.58;2.06;44;0.97;1.2;0.81;0.81;73.9;83.4;0.115;0.997;0.000167;0.000188; 51200;1859;5426;2.53;1.55;45;0.966;1.19;0.81;0.81;61.2;68.7;0.11;0.997;0.000139;0.000156; 49440;1433;4237;2.45;1.78;47;0.963;1.19;0.81;0.81;8.44;29.6;0.714;0.999;1.92e-05;6.73e-05; 52720;208;662;2.58;2.11;44;1.69e+03;1.27e+03;542;  1%;  1%;  0%;1.89e+03;1.18e+03;1.1e+03;  1%;  1%;  1%;2.05e+03;869;871;  1%;  0%;  0%;1.25e+03;1.73e+03;513;  1%;  1%;  0%;100;0.000274;0;0;0;0;0;0;0;100;0.000304;0;0;0;0;0;0;0;100;0.00031;0;0;0;0;0;0;0;100;0.00026;0;0;0;0;0;0;0;431;415;429;432;49.7 ;50.4 ;52.1 ;47.6 ;
2018-01-11;21:14:49.596;0.964;1.19;0.81;0.81;80.9;126;0.358;0.999;4.59e-05;7.14e-05;5.96;3.98;1.76e+06;1.48e+06;1.14e+04;2.38;59.5;1.93;48.2;8.49e+03;100;0.000236;0;0;0;0;0;0;0;1.71e+03;188;0.965;1.19;0.81;0.81;9.14;21.4;0.573;0.999;2.07e-05;4.85e-05; 51280;318;599;1.52;1.09;44;0.963;1.19;0.81;0.81;37.5;43.6;0.141;0.999;8.5e-05;9.89e-05; 51200;850;2513;1.49;0.796;45;0.967;1.19;0.81;0.81;33.8;40.2;0.157;0.999;7.66e-05;9.08e-05; 47680;773;2465;1.45;0.957;48;0.96;1.19;0.81;0.81;0.412;20.8;0.98;0.999;9.4e-07;4.73e-05; 52480;6;119;1.5;1.14;44;924;879;272;  0%;  0%;  0%;1.05e+03;491;617;  1%;  0%;  0%;1.11e+03;631;461;  1%;  0%;  0%;799;887;362;  0%;  0%;  0%;100;0.000242;0;0;0;0;0;0;0;100;0.000278;0;0;0;0;0;0;0;100;0.000303;0;0;0;0;0;0;0;100;0.00012;0;0;0;0;0;0;0;430;416;431;434;46.8 ;47.6 ;48.5 ;44.7 ;
2018-01-11;21:14:55.032;0.963;1.19;0.81;0.81;41.3;85.6;0.517;0.999;2.36e-05;4.89e-05;3.55;2.8;1.75e+06;1.47e+06;1.14e+04;2.38;59.4;1.93;48.1;5.06e+03;100;0.000217;0;0;0;0;0;0;0;1.72e+03;181;0.961;1.19;0.81;0.81;0.349;11.8;0.97;1;7.99e-07;2.7e-05; 52160;124;7;0.923;0.751;43;0.962;1.19;0.81;0.81;30.1;38.9;0.228;0.999;6.87e-05;8.89e-05; 52240;861;2640;0.826;0.496;45;0.967;1.19;0.81;0.81;10.6;14.2;0.258;1;2.4e-05;3.23e-05; 52240;221;821;0.883;0.766;47;0.96;1.19;0.81;0.81;0.333;20.7;0.984;0.999;7.61e-07;4.73e-05; 52960;0;121;0.922;0.784;44;682;306;135;  0%;  0%;  0%;669;484;479;  0%;  0%;  0%;754;187;214;  0%;  0%;  0%;327;687;131;  0%;  0%;  0%;100;0.000117;0;0;0;0;0;0;0;100;0.000308;0;0;0;0;0;0;0;100;0.000284;0;0;0;0;0;0;0;100;0.000158;0;0;0;0;0;0;0;432;416;435;434;45.1 ;45.7 ;47 ;43 ;
