System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-11;22:15:42.088;0.934;1.17;0.797;0.81;188;389;0.516;0.975;0.000112;0.000232;16.1;12.9;1.68e+06;1.43e+06;1.15e+04;2.34;58.6;1.87;46.7;2.43e+04;98.4;0.57;0.0265;1;0;0.502;0;0;0;1.44e+03;203;0.934;1.17;0.796;0.81;46.9;97.1;0.517;0.977;0.00011;0.000229; 48640;1318;3749;4.14;3.25;45;0.934;1.17;0.797;0.81;52.3;104;0.497;0.972;0.000124;0.000247; 49200;851;2619;3.98;3.16;45;0.932;1.17;0.796;0.81;45.2;96;0.529;0.972;0.000108;0.00023; 51520;925;3465;3.96;3.19;47;0.935;1.17;0.798;0.809;43.9;91.9;0.523;0.979;0.000106;0.000222; 45440;612;2713;4.04;3.29;44;2.08e+03;1.93e+03;1.94e+03;  2%;  1%;  1%;1.93e+03;1.92e+03;2.37e+03;  1%;  1%;  2%;1.96e+03;2.26e+03;1.84e+03;  1%;  2%;  1%;1.87e+03;1.96e+03;2.3e+03;  1%;  1%;  2%;98.4;0.644;0.0189;0.959;0;0.469;0;0;0;98.4;0.635;0.00722;0.962;0;0.00784;0;0;0;98.3;0.561;0.0752;1.08;0;0.686;0;0;0;98.5;0.437;0.00487;1.01;0;0.853;0;0;0;361;352;366;365;50.2 ;51.8 ;53.1 ;47.8 ;
2018-01-11;22:15:47.632;0.714;1.2;0.594;0.809;165;285;0.42;0.929;0.000133;0.000229;20;21.7;1.24e+06;1.03e+06;1.05e+04;2.41;60.1;1.43;35.7;3.23e+04;73.3;1.91;0.309;24.4;0;15;0.408;1.86;0;1.34e+03;227;0.71;1.21;0.589;0.809;40;69.3;0.423;0.924;0.000132;0.000229; 53280;1585;4706;5.03;5.46;45;0.724;1.2;0.603;0.809;41.6;71.6;0.419;0.937;0.000133;0.000229; 52160;1749;4747;4.99;5.42;46;0.714;1.2;0.597;0.809;41.4;71.7;0.423;0.929;0.000133;0.00023; 48400;1544;4676;4.95;5.37;47;0.708;1.21;0.586;0.809;42.1;72.1;0.417;0.922;0.000134;0.00023; 53520;1619;4782;4.99;5.42;44;2.7e+03;2.66e+03;2.65e+03;  2%;  2%;  2%;2.66e+03;2.66e+03;2.87e+03;  2%;  2%;  2%;2.64e+03;2.81e+03;2.63e+03;  2%;  2%;  2%;2.62e+03;2.64e+03;2.8e+03;  2%;  2%;  2%;72.7;1.99;0.376;24.9;0;16.3;0.555;1.77;0;74.5;1.62;0.38;23.5;0;13.1;0.642;1.61;0;73.7;1.48;0.0847;24.7;0;17.9;0.113;2.13;0;72.4;2.55;0.397;24.6;0;12.9;0.329;1.92;0;336;328;340;335;56.3 ;57.9 ;59.3 ;53.1 ;
2018-01-11;22:15:53.548;1.01;1.24;0.809;0.81;290;495;0.415;0.743;0.000146;0.00025;30.8;32.7;1.98e+06;1.59e+06;1.17e+04;2.48;62.1;2.01;50.3;5e+04;100;0.0157;0;0;0;0;0;0;0;1.71e+03;278;1.01;1.24;0.81;0.81;70.8;121;0.417;0.75;0.000145;0.000248; 50720;2552;7786;7.78;8.19;44;1;1.24;0.81;0.81;74.6;127;0.412;0.732;0.000151;0.000257; 51200;3071;7607;7.76;8.26;46;1.01;1.24;0.81;0.81;72;123;0.416;0.745;0.000145;0.000248; 47280;2501;7557;7.59;8.21;48;1.01;1.24;0.809;0.81;72.1;124;0.416;0.744;0.000144;0.000247; 48480;2562;7470;7.67;8.04;45;4.18e+03;4.08e+03;4.09e+03;  3%;  3%;  3%;4.07e+03;4.1e+03;4.47e+03;  3%;  3%;  3%;4.06e+03;4.36e+03;4.02e+03;  3%;  3%;  3%;4.02e+03;4.1e+03;4.39e+03;  3%;  3%;  3%;100;0.000827;0;0;0;0;0;0;0;100;0.000779;0;0;0;0;0;0;0;100;0.000869;0;0;0;0;0;0;0;99.9;0.0598;0;0;0;0;0;0;0;427;416;434;429;68.3 ;71.5 ;73.5 ;64.8 ;
2018-01-11;22:15:59.536;1.01;1.24;0.81;0.81;295;504;0.415;0.741;0.000147;0.000251;31.6;34;2.01e+06;1.62e+06;1.24e+04;2.48;62.1;2.01;50.3;5.06e+04;100;0.000787;0;0;0;0;0;0;0;1.73e+03;284;1.01;1.24;0.81;0.81;72.6;125;0.417;0.749;0.000145;0.000248; 53440;2649;8005;7.97;8.59;45;1;1.24;0.81;0.81;76.8;130;0.411;0.728;0.000154;0.000261; 52960;3116;7763;7.98;8.42;45;1.01;1.24;0.81;0.81;72.5;124;0.416;0.745;0.000145;0.000248; 48480;2507;7571;7.78;8.34;47;1.01;1.24;0.81;0.81;72.7;125;0.416;0.743;0.000144;0.000247; 52320;2643;7510;7.89;8.64;44;4.25e+03;4.12e+03;4.09e+03;  3%;  3%;  3%;4.13e+03;4.12e+03;4.62e+03;  3%;  3%;  4%;4.12e+03;4.49e+03;4.03e+03;  3%;  3%;  3%;4.03e+03;4.13e+03;4.48e+03;  3%;  3%;  3%;100;0.000788;0;0;0;0;0;0;0;100;0.000787;0;0;0;0;0;0;0;100;0.000807;0;0;0;0;0;0;0;100;0.000767;0;0;0;0;0;0;0;433;422;440;434;69.9 ;72.5 ;75.2 ;66.3 ;
2018-01-11;22:16:05.392;1.01;1.24;0.81;0.81;293;501;0.415;0.743;0.000146;0.00025;30.7;32.8;2e+06;1.61e+06;1.26e+04;2.49;62.1;2.01;50.3;4.96e+04;100;0.00082;0;0;0;0;0;0;0;1.69e+03;277;1.01;1.24;0.81;0.81;72.6;124;0.417;0.75;0.000144;0.000248; 49760;2634;7984;7.76;8.25;44;1;1.24;0.81;0.81;76.4;130;0.411;0.73;0.000153;0.000259; 51840;3104;7786;7.75;8.22;45;1.01;1.24;0.81;0.81;72.2;124;0.415;0.746;0.000144;0.000247; 47840;2509;7529;7.59;8.17;47;1.01;1.24;0.81;0.81;71.7;123;0.417;0.744;0.000144;0.000246; 51920;2594;7407;7.65;8.16;44;4.15e+03;4.05e+03;4.03e+03;  3%;  3%;  3%;4.04e+03;4.05e+03;4.5e+03;  3%;  3%;  3%;4.03e+03;4.38e+03;3.97e+03;  3%;  3%;  3%;3.97e+03;4.06e+03;4.39e+03;  3%;  3%;  3%;100;0.000799;0;0;0;0;0;0;0;100;0.000729;0;0;0;0;0;0;0;100;0.000939;0;0;0;0;0;0;0;100;0.000814;0;0;0;0;0;0;0;423;412;431;424;68.1 ;71.1 ;73.5 ;64.5 ;
2018-01-11;22:16:11.156;1.01;1.25;0.81;0.81;262;453;0.422;0.935;0.000132;0.000229;25.1;27.8;1.98e+06;1.58e+06;1.24e+04;2.5;62.5;2.02;50.6;4.1e+04;100;0.000763;0;0;0;0;0;0;0;1.68e+03;259;1.01;1.25;0.81;0.81;66.8;116;0.422;0.909;0.000134;0.000232; 52960;2412;7225;6.32;6.96;44;1.01;1.24;0.81;0.81;65.7;114;0.423;0.946;0.000133;0.00023; 55440;2708;6848;6.32;6.97;45;1.01;1.25;0.81;0.81;64.6;111;0.42;0.945;0.000131;0.000226; 48080;2213;6778;6.21;6.92;47;1.01;1.25;0.81;0.81;64.9;112;0.422;0.929;0.000131;0.000227; 53200;2353;6651;6.28;6.93;43;3.41e+03;3.4e+03;3.44e+03;  3%;  3%;  3%;3.36e+03;3.42e+03;3.48e+03;  3%;  3%;  3%;3.34e+03;3.44e+03;3.4e+03;  2%;  3%;  3%;3.4e+03;3.41e+03;3.5e+03;  3%;  3%;  3%;100;0.000865;0;0;0;0;0;0;0;100;0.0007;0;0;0;0;0;0;0;100;0.000724;0;0;0;0;0;0;0;100;0.000762;0;0;0;0;0;0;0;421;410;428;421;63.9 ;66.2 ;68.6 ;60.6 ;
2018-01-11;22:16:16.648;0.934;1.15;0.809;0.81;501;749;0.331;0.984;0.000288;0.000431;49.1;59.5;1.74e+06;1.5e+06;1.21e+04;2.31;57.7;1.87;46.7;8.31e+04;100;0.0291;0;0;0;0;0;0;0;1.67e+03;296;0.936;1.16;0.809;0.81;122;183;0.335;0.985;0.000277;0.000416; 48720;4350;13165;12.4;14.9;44;0.936;1.16;0.809;0.81;127;191;0.334;0.984;0.000291;0.000438; 57600;4385;13685;12.2;14.9;45;0.932;1.15;0.809;0.81;125;186;0.327;0.985;0.00029;0.000431; 51680;4243;13796;12.1;14.7;47;0.932;1.15;0.809;0.81;127;189;0.327;0.983;0.000296;0.00044; 48560;4353;13637;12.4;15;44;6.98e+03;6.87e+03;6.93e+03;  6%;  6%;  6%;6.87e+03;6.81e+03;6.92e+03;  6%;  6%;  6%;6.86e+03;6.93e+03;7.08e+03;  6%;  6%;  6%;7.09e+03;6.83e+03;6.95e+03;  6%;  6%;  6%;99.9;0.0599;0;0;0;0;0;0;0;100;0.0218;0;0;0;0;0;0;0;100;0.0195;0;0;0;0;0;0;0;100;0.0148;0;0;0;0;0;0;0;417;406;425;418;72.9 ;75.5 ;78.8 ;69.2 ;
2018-01-11;22:16:22.432;0.977;1.21;0.809;0.81;839;1.33e+03;0.37;0.157;0.000446;0.000708;64.7;71.1;1.88e+06;1.56e+06;1.16e+04;2.41;60.3;1.95;48.8;1e+05;100;0.00378;0;0;0;0;0;0;0;1.69e+03;357;0.977;1.21;0.809;0.81;206;329;0.373;0.157;0.000444;0.000708; 51760;5829;16688;16.1;17.7;44;0.971;1.2;0.809;0.81;216;347;0.379;0.153;0.000463;0.000746; 53920;5958;17201;16.3;17.9;45;0.979;1.21;0.809;0.81;209;328;0.364;0.159;0.00044;0.000691; 51200;5857;17344;16.1;17.8;47;0.98;1.21;0.809;0.81;208;328;0.364;0.16;0.000437;0.000687; 55760;5668;17061;16.1;17.8;44;8.46e+03;8.21e+03;8.23e+03;  7%;  7%;  7%;8.38e+03;8.17e+03;8.35e+03;  7%;  7%;  7%;8.51e+03;8.29e+03;8.42e+03;  7%;  7%;  7%;8.5e+03;8.23e+03;8.28e+03;  7%;  7%;  7%;100;0.00439;0;0;0;0;0;0;0;100;0.00331;0;0;0;0;0;0;0;100;0.00386;0;0;0;0;0;0;0;100;0.00358;0;0;0;0;0;0;0;422;411;429;425;86.9 ;91.1 ;96.5 ;82.6 ;
2018-01-11;22:16:27.876;1.05;1.3;0.808;0.81;654;1.27e+03;0.484;0.966;0.000336;0.000651;47.3;40;1.95e+06;1.49e+06;1.21e+04;2.6;65.1;2.1;52.6;6.33e+04;99.9;0.13;5.15e-05;0.00727;0;0;0;0;0;1.58e+03;285;1.05;1.29;0.808;0.81;164;318;0.484;0.965;0.000335;0.000649; 49360;3777;10800;11.8;9.89;44;1.05;1.3;0.809;0.81;168;329;0.49;0.963;0.000344;0.000674; 50480;3757;11064;11.8;9.96;45;1.05;1.3;0.808;0.81;160;309;0.482;0.968;0.000331;0.000639; 50560;3555;10553;11.8;10;47;1.06;1.31;0.808;0.81;161;310;0.48;0.966;0.000333;0.000641; 52960;3440;10369;11.9;10.1;44;5.33e+03;5.22e+03;5.26e+03;  5%;  4%;  4%;5.3e+03;5.25e+03;5.28e+03;  5%;  4%;  4%;5.36e+03;5.21e+03;5.26e+03;  5%;  4%;  4%;5.28e+03;5.28e+03;5.26e+03;  4%;  4%;  4%;99.9;0.119;0.000131;0.0141;0;0;0;0;0;99.9;0.121;0;0.000205;0;0;0;0;0;99.8;0.155;7.35e-05;0;0;0;0;0;0;99.9;0.125;0;0.0148;0;0;0;0;0;395;384;404;397;69.6 ;72.6 ;76.2 ;66.2 ;
2018-01-11;22:16:33.336;1.26;1.56;0.81;0.81;1.21e+03;2.44e+03;0.504;0.604;0.00052;0.00105;78;19.3;2.32e+06;1.49e+06;1.15e+04;3.12;78.1;2.53;63.2;1e+05;100;0.000629;0;0;0;0;0;0;0;1.43e+03;302;1.26;1.56;0.81;0.81;302;609;0.504;0.604;0.00052;0.00105; 55680;4754;13823;19.6;4.84;44;1.27;1.56;0.81;0.81;303;609;0.503;0.604;0.000521;0.00105; 53920;4900;14323;19.5;4.82;45;1.26;1.56;0.81;0.81;302;615;0.509;0.601;0.000521;0.00106; 51280;4573;14252;19.4;4.83;47;1.26;1.56;0.81;0.81;301;604;0.502;0.607;0.000519;0.00104; 46960;4511;13790;19.6;4.85;44;8.35e+03;8.38e+03;8.36e+03;  7%;  7%;  7%;8.33e+03;8.28e+03;8.29e+03;  7%;  7%;  7%;8.29e+03;8.3e+03;8.33e+03;  7%;  7%;  7%;8.39e+03;8.32e+03;8.4e+03;  7%;  7%;  8%;100;0.000492;0;0;0;0;0;0;0;100;0.000504;0;0;0;0;0;0;0;100;0.000565;0;0;0;0;0;0;0;100;0.000955;0;0;0;0;0;0;0;358;348;365;360;74 ;77.1 ;81.4 ;69.6 ;
