Date Time Prediction All_Predictions EXEC IPC FREQ AFREQ L3MISS_Rate L2MISS_Rate L3HIT L2HIT L3MPI L2MPI READ_Rate WRITE_Rate INST_Rate POWER_Total POWER_Proc POWER_DRAM
2018-01-11 14:32:41.321199 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0233 1.36 0.0172 1.26 1.408 4.12 0.659 0.676 0.000179 0.000525 0.214 0.318 7860.0 325.88 285.0 40.88
2018-01-11 14:32:46.360790 0x000000000000000FFFFF000000000000000FFFFF_1800000 0x000000000000000FFFFF000000000000000FFFFF_1800000 0.039 0.0689 0.566 1.24 30.4 50.6 0.4 0.208 0.00231 0.00385 2.34 1.208 13120.0 367.76 324.0 43.76
2018-01-11 14:32:51.378179 0x000000000000000FFFFF000000000000000FFFFF_1800000 0x000000000000000FFFFF000000000000000FFFFF_1800000 0.0256 0.0589 0.434 0.858 33.2 43.4 0.238 0.128 0.00384 0.00504 2.48 1.114 8620.0 231.64 192.0 39.64
2018-01-11 14:32:56.389534 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0646 0.2 0.323 0.857 21.8 52.2 0.583 0.292 0.000993 0.00238 1.592 0.778 21800.0 217.66 183.0 34.66
2018-01-11 14:33:01.413618 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0835 0.412 0.203 0.857 14.74 55.2 0.732 0.331 0.000524 0.00196 1.164 0.934 28200.0 204.2 170.2 34.0
2018-01-11 14:33:06.433612 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0416 0.0667 0.624 0.857 35.6 62.0 0.426 0.0958 0.00254 0.00442 2.84 1.104 14040.0 242.32 205.2 37.12
2018-01-11 14:33:11.450288 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0213 0.0495 0.43 0.857 10.6 39.0 0.729 0.2 0.00148 0.00544 1.036 0.242 7180.0 240.74 208.0 32.74
2018-01-11 14:33:16.465033 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0218 0.0508 0.43 0.857 9.78 39.6 0.753 0.247 0.00133 0.00539 0.976 0.214 7360.0 246.34 213.8 32.54
2018-01-11 14:33:21.475075 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0237 0.056 0.424 0.857 9.36 40.2 0.767 0.294 0.00117 0.00502 0.936 0.208 8000.0 245.84 213.4 32.44
2018-01-11 14:33:26.486086 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0246 0.0664 0.37 0.857 9.24 39.4 0.766 0.38 0.00112 0.00476 0.974 0.206 8280.0 238.12 205.6 32.52
2018-01-11 14:33:31.497800 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0233 0.0761 0.306 0.905 9.08 36.4 0.751 0.486 0.00116 0.00466 0.89 0.202 7840.0 232.74 200.4 32.34
2018-01-11 14:33:36.556713 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0208 0.113 0.184 0.905 8.44 30.4 0.722 0.578 0.0012 0.00433 0.808 0.202 7020.0 210.02 177.8 32.22
2018-01-11 14:33:41.560804 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.0228 0.0795 0.287 0.905 22.2 34.2 0.349 0.455 0.00288 0.00443 1.726 0.67 7700.0 210.78 176.0 34.78
2018-01-11 14:33:46.592512 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1900000 0.0452 0.0597 0.757 0.905 41.0 71.2 0.425 0.335 0.00268 0.00466 2.98 1.088 15300.0 261.46 223.6 37.86
2018-01-11 14:33:51.635465 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0456 0.0682 0.669 0.81 37.2 64.6 0.426 0.274 0.00241 0.0042 2.86 1.112 15400.0 236.26 198.8 37.46
2018-01-11 14:33:56.684961 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0396 0.0573 0.691 0.904 39.0 60.8 0.358 0.257 0.00291 0.00454 2.92 1.168 13380.0 251.12 213.2 37.92
2018-01-11 14:34:01.690894 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0352 0.0594 0.594 0.859 37.4 55.6 0.326 0.196 0.00314 0.00465 2.82 1.106 11940.0 241.88 204.2 37.68
2018-01-11 14:34:06.867687 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0359 0.0572 0.628 0.857 35.2 58.0 0.393 0.235 0.0029 0.00478 2.6 0.956 12140.0 243.56 206.4 37.16
2018-01-11 14:34:11.902170 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1700000 0.00722 0.0539 0.134 0.857 22.2 25.2 0.113 0.155 0.00905 0.0102 1.78 1.132 2460.0 191.96 155.2 36.76
2018-01-11 14:34:16.928100 0x000000000000000FFFFF000000000000000FFFFF_1800000 0x000000000000000FFFFF000000000000000FFFFF_1800000 0.0103 0.0121 0.852 0.857 65.8 76.6 0.14 0.0497 0.0186 0.0216 4.64 0.96 3540.0 259.12 218.6 40.52
2018-01-11 14:34:21.935740 0x000000000000000FFFFF000000000000000FFFFF_1800000 0x000000000000000FFFFF000000000000000FFFFF_1800000 0.0627 0.104 0.604 0.81 119.8 166.4 0.281 0.0467 0.00564 0.00784 8.14 2.8 21200.0 254.9 209.0 45.9
2018-01-11 14:34:26.947852 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0409 0.183 0.223 0.852 6.72 45.2 0.852 0.157 0.000487 0.00328 0.518 0.1996 13780.0 193.76 163.0 30.76
2018-01-11 14:34:31.967587 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0406 0.19 0.214 0.857 4.98 44.4 0.887 0.155 0.000365 0.00324 0.388 0.1406 13660.0 193.12 162.8 30.32
2018-01-11 14:34:36.985309 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0222 0.0527 0.421 0.857 15.66 45.8 0.658 0.112 0.0021 0.00612 1.38 0.296 7460.0 238.14 204.4 33.74
2018-01-11 14:34:41.997458 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF_1800000 0.0196 0.0475 0.412 0.857 15.0 44.4 0.662 0.0928 0.00227 0.00673 1.352 0.268 6600.0 243.68 210.0 33.68
