System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-11;00:29:42.223;0.0773;0.314;0.246;0.809;2.14e+03;2.72e+03;0.214;0.123;0.0162;0.0207;114;35.2;1.32e+05;4.19e+05;1.08e+04;0.629;15.7;0.155;3.86;2.26e+05;30.4;30.1;0.00264;39.6;0;22.2;0;0;0;1.27e+03;302;0.082;0.323;0.254;0.81;551;695;0.207;0.12;0.0157;0.0198; 50880;7834;26008;28.5;8.72;47;0.0777;0.315;0.247;0.809;540;699;0.227;0.124;0.0163;0.021; 51120;7842;25387;28.6;8.85;47;0.0755;0.311;0.243;0.809;531;667;0.204;0.127;0.0165;0.0208; 45280;11037;21524;28.5;8.84;49;0.0739;0.308;0.24;0.809;516;660;0.218;0.123;0.0165;0.0211; 50240;6779;24482;28.7;8.78;46;1.9e+04;1.87e+04;1.9e+04; 19%; 19%; 19%;1.9e+04;1.87e+04;1.91e+04; 19%; 19%; 19%;1.89e+04;1.89e+04;1.87e+04; 19%; 19%; 19%;1.87e+04;1.87e+04;1.9e+04; 19%; 19%; 19%;31.3;31.4;0.00289;37.3;0;0;0;0;0;30.5;29.9;0.00563;39.6;0;30.3;0;0;0;30;29.8;0.000916;40.2;0;21.6;0;0;0;29.6;29.2;0.00108;41.2;0;36.9;0;0;0;320;312;327;311;74.5 ;76.9 ;79.7 ;70.7 ;
2018-01-11;00:29:47.668;0.533;1.22;0.437;0.809;56.3;304;0.815;0.938;6.09e-05;0.00033;5.92;6.35;9.23e+05;7.57e+05;1.05e+04;2.44;60.9;1.07;26.7;9.39e+03;54;2.86;0.0198;43.1;0;19;0;0;0;1.17e+03;188;0.529;1.21;0.438;0.81;26;89.1;0.708;0.925;0.000115;0.000394; 50880;782;2189;1.59;1.56;45;0.529;1.22;0.434;0.809;10;70.9;0.858;0.942;4.4e-05;0.000311; 51040;372;1304;1.38;1.58;46;0.533;1.22;0.438;0.81;10;71.3;0.86;0.942;4.32e-05;0.000308; 50880;394;1189;1.53;1.62;48;0.54;1.23;0.439;0.809;10.2;73;0.861;0.942;4.28e-05;0.000308; 53520;364;1099;1.41;1.59;45;840;848;848;  0%;  0%;  0%;658;645;960;  0%;  0%;  0%;664;977;663;  0%;  0%;  0%;658;652;976;  0%;  0%;  0%;54.1;2.84;0.0211;43;0;0.0298;0;0;0;53.6;1.44;0.0342;44.9;0;36.9;0;0;0;54.2;5.58;0.0124;40.2;0;1.29;0;0;0;54.3;1.6;0.0119;44.1;0;37.5;0;0;0;297;284;298;293;46.9 ;47.6 ;49.1 ;44.2 ;
2018-01-11;00:29:53.108;1.04;1.28;0.81;0.81;67.3;651;0.897;0.889;3.54e-05;0.000342;6.77;7.45;1.9e+06;1.48e+06;1.15e+04;2.57;64.2;2.08;52;1.07e+04;100;0.000363;0;0;0;0;0;0;0;1.58e+03;193;1.04;1.28;0.81;0.81;16.7;160;0.896;0.891;3.51e-05;0.000336; 50880;618;1443;1.68;1.82;45;1.04;1.28;0.81;0.81;16.7;163;0.897;0.889;3.51e-05;0.000343; 50480;663;1779;1.65;1.89;46;1.04;1.29;0.81;0.81;16.9;164;0.897;0.888;3.55e-05;0.000344; 50720;554;1803;1.81;1.89;48;1.04;1.28;0.81;0.81;16.9;164;0.897;0.888;3.56e-05;0.000345; 51760;546;1413;1.63;1.85;45;873;905;897;  0%;  0%;  0%;904;873;868;  0%;  0%;  0%;912;908;916;  0%;  0%;  0%;905;874;887;  0%;  0%;  0%;100;0.000342;0;0;0;0;0;0;0;100;0.000373;0;0;0;0;0;0;0;100;0.000362;0;0;0;0;0;0;0;100;0.000377;0;0;0;0;0;0;0;393;385;400;398;48 ;49.1 ;50.5 ;45.8 ;
2018-01-11;00:29:58.600;1.04;1.28;0.81;0.81;66.4;651;0.898;0.89;3.48e-05;0.000341;6.78;7.39;1.91e+06;1.49e+06;1.14e+04;2.57;64.2;2.08;52;1.08e+04;100;0.000361;0;0;0;0;0;0;0;1.59e+03;195;1.04;1.28;0.81;0.81;16.4;159;0.897;0.892;3.45e-05;0.000336; 48400;608;1426;1.69;1.81;45;1.04;1.28;0.81;0.81;16.5;163;0.899;0.89;3.46e-05;0.000342; 51760;610;1740;1.6;1.85;46;1.04;1.29;0.81;0.81;16.6;164;0.899;0.889;3.48e-05;0.000343; 49920;561;1715;1.85;1.88;48;1.04;1.28;0.81;0.81;16.9;164;0.897;0.889;3.53e-05;0.000344; 54080;528;1377;1.64;1.84;45;875;910;905;  0%;  0%;  0%;905;875;871;  0%;  0%;  0%;913;911;924;  0%;  0%;  0%;914;878;893;  0%;  0%;  0%;100;0.00033;0;0;0;0;0;0;0;100;0.000363;0;0;0;0;0;0;0;100;0.000357;0;0;0;0;0;0;0;100;0.000394;0;0;0;0;0;0;0;397;389;404;402;48.4 ;49.3 ;50.8 ;46.2 ;
2018-01-11;00:30:04.108;1.04;1.28;0.81;0.81;67.1;655;0.898;0.89;3.5e-05;0.000341;6.83;7.4;1.92e+06;1.49e+06;1.15e+04;2.57;64.2;2.08;52;1.09e+04;100;0.000356;0;0;0;0;0;0;0;1.6e+03;195;1.04;1.28;0.81;0.81;16.6;161;0.897;0.892;3.46e-05;0.000336; 45840;633;1383;1.7;1.81;45;1.04;1.28;0.81;0.81;16.7;164;0.898;0.89;3.48e-05;0.000342; 51360;600;1776;1.67;1.87;45;1.04;1.29;0.81;0.81;16.8;165;0.898;0.889;3.5e-05;0.000344; 51200;524;1733;1.82;1.87;47;1.04;1.28;0.81;0.81;17;165;0.897;0.888;3.54e-05;0.000344; 54080;507;1375;1.65;1.85;44;886;914;909;  0%;  0%;  0%;914;884;881;  0%;  0%;  0%;920;915;927;  0%;  0%;  0%;917;887;898;  0%;  0%;  0%;100;0.000343;0;0;0;0;0;0;0;100;0.000361;0;0;0;0;0;0;0;100;0.000356;0;0;0;0;0;0;0;100;0.000365;0;0;0;0;0;0;0;398;390;405;403;48.5 ;49.4 ;51 ;46.5 ;
2018-01-11;00:30:09.588;1.04;1.28;0.81;0.81;66;652;0.899;0.89;3.45e-05;0.000341;6.74;7.32;1.91e+06;1.49e+06;1.15e+04;2.57;64.2;2.08;52;1.07e+04;100;0.00174;0;0;0;0;0;0;0;1.59e+03;194;1.04;1.28;0.81;0.81;16.6;161;0.897;0.892;3.47e-05;0.000336; 51120;623;1402;1.67;1.79;44;1.04;1.29;0.81;0.81;16.5;163;0.899;0.89;3.45e-05;0.000341; 54000;646;1728;1.67;1.85;46;1.04;1.29;0.809;0.81;16.8;165;0.898;0.889;3.5e-05;0.000344; 51360;524;1773;1.77;1.85;48;1.04;1.29;0.81;0.81;16.2;163;0.901;0.889;3.38e-05;0.000341; 52880;499;1370;1.64;1.83;44;878;905;886;  0%;  0%;  0%;904;869;882;  0%;  0%;  0%;912;914;901;  0%;  0%;  0%;897;873;891;  0%;  0%;  0%;100;0.000334;0;0;0;0;0;0;0;100;0.000408;0;0;0;0;0;0;0;100;0.00582;0;0;0;0;0;0;0;100;0.000372;0;0;0;0;0;0;0;396;388;403;401;48.3 ;49.5 ;50.7 ;45.9 ;
2018-01-11;00:30:15.104;1.04;1.28;0.809;0.81;66.3;655;0.899;0.889;3.45e-05;0.00034;6.79;7.38;1.92e+06;1.5e+06;1.16e+04;2.57;64.2;2.08;52;1.08e+04;100;0.0165;6.69e-05;0;0;0;0;0;0;1.6e+03;196;1.04;1.28;0.809;0.81;16.5;161;0.898;0.892;3.43e-05;0.000335; 48880;607;1439;1.75;1.81;44;1.04;1.29;0.809;0.81;16.7;164;0.898;0.889;3.47e-05;0.000341; 50640;628;1702;1.63;1.87;46;1.04;1.29;0.81;0.81;16.9;165;0.898;0.888;3.51e-05;0.000344; 52240;545;1699;1.78;1.86;47;1.04;1.28;0.81;0.81;16.3;164;0.901;0.889;3.38e-05;0.000342; 52320;511;1401;1.64;1.84;44;890;924;900;  0%;  0%;  0%;915;876;885;  0%;  0%;  0%;923;922;911;  0%;  0%;  0%;906;881;897;  0%;  0%;  0%;100;0.00361;0.000267;0;0;0;0;0;0;99.9;0.062;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.00151;0;0;0;0;0;0;0;399;390;406;404;48.6 ;49.7 ;51 ;46.3 ;
2018-01-11;00:30:20.552;1.04;1.29;0.809;0.81;66.6;650;0.898;0.889;3.48e-05;0.000339;7.67;7.44;1.92e+06;1.49e+06;1.15e+04;2.57;64.3;2.08;52;1.16e+04;99.9;0.0512;0;0;0;0;0;0;0;1.58e+03;195;1.04;1.28;0.809;0.81;18.5;163;0.887;0.889;3.86e-05;0.00034; 48960;682;1520;1.95;1.82;45;1.04;1.29;0.809;0.81;16.2;162;0.9;0.889;3.38e-05;0.000338; 51680;598;1632;1.82;1.88;46;1.04;1.29;0.81;0.81;16.3;163;0.9;0.888;3.4e-05;0.000341; 51120;502;1647;2.04;1.88;47;1.04;1.29;0.809;0.81;15.6;162;0.903;0.889;3.27e-05;0.000339; 50480;511;1387;1.85;1.86;44;927;961;940;  0%;  0%;  0%;891;850;1.15e+03;  0%;  0%;  1%;900;1.19e+03;893;  0%;  1%;  0%;886;855;1.17e+03;  0%;  0%;  1%;99.9;0.0751;0;0;0;0;0;0;0;100;0.0184;0;0;0;0;0;0;0;100;0.000445;0;0;0;0;0;0;0;99.9;0.111;0;0;0;0;0;0;0;394;386;401;398;48.4 ;49.7 ;50.9 ;46 ;
2018-01-11;00:30:26.124;1.03;1.29;0.799;0.81;70.2;655;0.893;0.888;3.67e-05;0.000343;8.26;7.68;1.91e+06;1.49e+06;1.16e+04;2.57;64.3;2.06;51.4;1.24e+04;98.7;0.497;0.00159;0.777;0;0.243;0;0;0;1.6e+03;200;1.03;1.28;0.801;0.81;19.8;164;0.879;0.888;4.16e-05;0.000345; 47520;744;1577;2.08;1.87;45;1.03;1.28;0.801;0.81;17.3;163;0.894;0.888;3.62e-05;0.000342; 49840;648;1817;1.94;1.93;45;1.03;1.29;0.797;0.81;16.5;163;0.899;0.888;3.46e-05;0.000341; 52160;504;1791;2.16;1.94;48;1.03;1.29;0.798;0.81;16.5;165;0.9;0.887;3.44e-05;0.000343; 50160;481;1542;2.08;1.94;44;983;1e+03;1e+03;  0%;  0%;  0%;917;907;1.27e+03;  0%;  0%;  1%;933;1.31e+03;931;  0%;  1%;  0%;920;915;1.3e+03;  0%;  0%;  1%;98.9;0.175;0;0.888;0;0.544;0;0;0;98.9;0.474;0;0.609;0;0;0;0;0;98.5;0.503;0.00636;0.986;0;0.428;0;0;0;98.5;0.834;0;0.624;0;0;0;0;0;400;392;407;405;49.7 ;50.9 ;52.4 ;47.4 ;
2018-01-11;00:30:31.249;1.03;1.29;0.8;0.81;69.5;645;0.892;0.888;3.69e-05;0.000343;7.57;7.25;1.88e+06;1.46e+06;1.16e+04;2.58;64.5;2.06;51.5;1.13e+04;98.8;0.546;0;0.675;0;0.12;0;0;0;1.47e+03;185;1.03;1.29;0.8;0.81;19.9;165;0.879;0.887;4.16e-05;0.000345; 44560;765;1691;1.91;1.74;44;1.03;1.29;0.798;0.81;16.8;161;0.896;0.888;3.55e-05;0.000341; 53840;599;1880;1.78;1.84;45;1.03;1.29;0.802;0.81;16.9;162;0.896;0.888;3.6e-05;0.000346; 52880;579;1995;2.07;1.85;47;1.03;1.29;0.799;0.81;15.9;157;0.898;0.889;3.45e-05;0.000339; 51520;459;1305;1.81;1.82;44;890;943;899;  0%;  0%;  0%;853;816;1.15e+03;  0%;  0%;  1%;865;1.21e+03;865;  0%;  1%;  0%;854;821;1.16e+03;  0%;  0%;  1%;98.8;0.583;0;0.654;0;0.222;0;0;0;98.5;0.794;0;0.68;0;0;0;0;0;99.1;0.204;0;0.704;0;0.257;0;0;0;98.7;0.599;0;0.663;0;0;0;0;0;368;359;374;372;46 ;46.6 ;48.3 ;43.7 ;
