System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-11;03:59:16.916;1.34;1.16;1.15;1.15;316;661;0.522;0.768;0.000123;0.000258;27.1;24.4;2.56e+06;2.2e+06;1.15e+04;2.33;58.2;2.69;67.1;4.32e+04;100;0.0453;0;0;0;0;0;0;0;2.96e+03;277;1.34;1.16;1.15;1.15;78.8;163;0.518;0.766;0.000125;0.000259; 49200;2222;6124;6.9;7.21;35;1.34;1.16;1.15;1.15;79.4;165;0.519;0.766;0.000124;0.000259; 50720;1732;4336;6.72;5.72;40;1.34;1.16;1.15;1.16;76.8;164;0.532;0.769;0.000119;0.000255; 50800;2280;7167;6.69;5.71;43;1.35;1.16;1.16;1.16;81.3;169;0.519;0.771;0.000125;0.00026; 46480;2277;5956;6.75;5.74;43;3.56e+03;3.47e+03;3.63e+03;  3%;  3%;  3%;3.69e+03;3.74e+03;3.45e+03;  3%;  3%;  3%;3.7e+03;3.37e+03;3.68e+03;  3%;  3%;  3%;3.68e+03;3.75e+03;3.51e+03;  3%;  3%;  3%;100;0.00451;0;0;0;0;0;0;0;100;0.00402;0;0;0;0;0;0;0;99.8;0.168;0;0;0;0;0;0;0;100;0.004;0;0;0;0;0;0;0;742;736;754;732;69.2 ;70.5 ;72.4 ;65.3 ;
2018-01-11;03:59:22.532;1.01;1.19;0.844;0.895;235;411;0.427;0.971;0.000125;0.000218;24.6;26.9;1.88e+06;1.57e+06;1.2e+04;2.39;59.7;2.02;50.4;4.03e+04;94.2;1.09;0.0262;4.68;0;2.37;0.0245;0.17;0;1.71e+03;250;1.02;1.19;0.853;0.904;59.7;106;0.435;0.97;0.000125;0.000222; 50400;2267;5812;6.31;6.85;44;1.01;1.19;0.846;0.899;58.9;103;0.426;0.97;0.000125;0.000218; 53280;2003;6606;6.02;6.67;49;1.01;1.2;0.842;0.892;58.2;101;0.424;0.972;0.000125;0.000216; 53520;2399;6700;6.1;6.68;52;0.999;1.2;0.834;0.887;58.6;101;0.421;0.971;0.000126;0.000218; 52720;2117;6126;6.18;6.72;50;3.35e+03;3.36e+03;3.36e+03;  3%;  3%;  3%;3.33e+03;3.36e+03;3.34e+03;  3%;  3%;  3%;3.33e+03;3.37e+03;3.36e+03;  3%;  3%;  3%;3.37e+03;3.34e+03;3.38e+03;  3%;  3%;  3%;94.4;0.983;0.0439;4.55;0;0.908;0.0975;0.0955;0;94.1;1.2;0.0228;4.7;0;2.91;0;0.193;0;94.3;0.982;0.0269;4.67;0;2.38;0;0.196;0;94;1.2;0.0111;4.81;0;3.28;0;0.197;0;426;418;434;434;61.8 ;63.5 ;65.7 ;59.3 ;
2018-01-11;03:59:28.108;1.12;1.24;0.9;0.9;302;519;0.417;0.747;0.000144;0.000247;30.8;34;2.1e+06;1.69e+06;1.18e+04;2.48;62;2.23;55.8;5.08e+04;100;0.00144;0;0;0;0;0;0;0;1.84e+03;267;1.11;1.24;0.899;0.899;75;129;0.419;0.749;0.000143;0.000246; 48080;2770;7311;7.74;8.47;44;1.11;1.24;0.899;0.899;75.7;130;0.417;0.751;0.000144;0.000247; 54640;2598;8572;7.65;8.58;49;1.12;1.24;0.9;0.9;75.7;130;0.417;0.748;0.000144;0.000246; 55680;3158;8518;7.6;8.45;51;1.12;1.24;0.9;0.9;75.9;130;0.416;0.739;0.000145;0.000248; 54240;2617;7810;7.77;8.48;49;4.21e+03;4.24e+03;4.25e+03;  3%;  3%;  3%;4.22e+03;4.25e+03;4.2e+03;  3%;  3%;  3%;4.22e+03;4.23e+03;4.25e+03;  3%;  3%;  3%;4.27e+03;4.23e+03;4.25e+03;  3%;  3%;  3%;100;0.00149;0;0;0;0;0;0;0;100;0.00146;0;0;0;0;0;0;0;100;0.0014;0;0;0;0;0;0;0;100;0.0014;0;0;0;0;0;0;0;458;449;467;464;65.4 ;68.3 ;70.6 ;62.9 ;
2018-01-11;03:59:33.668;0.94;1.24;0.757;0.758;256;441;0.42;0.745;0.000145;0.00025;25.5;28.9;1.77e+06;1.42e+06;1.17e+04;2.48;62.1;1.88;47;4.15e+04;99.9;0.125;0;0;0;0;0;0;0;1.48e+03;255;0.942;1.24;0.76;0.76;63.7;110;0.422;0.747;0.000144;0.000249; 45680;2358;6090;6.43;7.22;45;0.94;1.24;0.758;0.759;63.9;110;0.42;0.75;0.000145;0.000249; 50560;2158;7275;6.33;7.09;49;0.941;1.25;0.756;0.757;63.5;110;0.42;0.747;0.000144;0.000249; 54160;2602;7214;6.32;7.19;51;0.936;1.24;0.754;0.755;64.7;111;0.419;0.736;0.000147;0.000253; 52000;2221;6609;6.46;7.4;49;3.44e+03;3.45e+03;3.46e+03;  3%;  3%;  3%;3.45e+03;3.47e+03;3.47e+03;  3%;  3%;  3%;3.45e+03;3.47e+03;3.46e+03;  3%;  3%;  3%;3.47e+03;3.45e+03;3.49e+03;  3%;  3%;  3%;99.9;0.121;0;0;0;0;0;0;0;99.9;0.123;0;0;0;0;0;0;0;99.9;0.126;0;0;0;0;0;0;0;99.9;0.128;0;0;0;0;0;0;0;372;363;376;373;62.5 ;64.8 ;67.2 ;60.5 ;
2018-01-11;03:59:39.260;0.977;1.24;0.786;0.786;263;453;0.419;0.746;0.000144;0.000248;27.2;30.6;1.83e+06;1.47e+06;1.17e+04;2.49;62.2;1.95;48.9;4.45e+04;100;0.0405;0;0;0;0;0;0;0;1.58e+03;260;0.975;1.24;0.785;0.785;65;112;0.421;0.749;0.000143;0.000247; 44720;2433;6298;6.83;7.77;45;0.976;1.24;0.786;0.786;65.6;113;0.418;0.751;0.000144;0.000248; 50640;2218;7361;6.75;7.58;49;0.98;1.25;0.786;0.787;65.7;113;0.419;0.748;0.000143;0.000247; 55280;2681;7499;6.71;7.59;51;0.979;1.24;0.788;0.788;66.8;115;0.418;0.737;0.000146;0.000251; 52320;2281;6900;6.86;7.67;49;3.68e+03;3.69e+03;3.72e+03;  3%;  3%;  3%;3.71e+03;3.74e+03;3.68e+03;  3%;  3%;  3%;3.71e+03;3.69e+03;3.73e+03;  3%;  3%;  3%;3.74e+03;3.72e+03;3.72e+03;  3%;  3%;  3%;100;0.0425;0;0;0;0;0;0;0;100;0.0412;0;0;0;0;0;0;0;100;0.0397;0;0;0;0;0;0;0;100;0.0385;0;0;0;0;0;0;0;396;387;402;399;63.9 ;66.2 ;68.7 ;61.4 ;
2018-01-11;03:59:45.040;1.01;1.25;0.809;0.81;265;459;0.423;0.911;0.000134;0.000232;25.4;28.4;1.97e+06;1.58e+06;1.18e+04;2.5;62.5;2.02;50.6;4.16e+04;100;0.00335;0;0;0;0;0;0;0;1.69e+03;261;1.01;1.25;0.81;0.81;66.5;115;0.423;0.883;0.000136;0.000236; 44720;2479;6475;6.43;7.13;44;1.01;1.25;0.81;0.81;66.2;115;0.422;0.901;0.000135;0.000233; 49120;2239;7531;6.29;7.08;48;1.01;1.25;0.81;0.81;66.2;115;0.423;0.917;0.000133;0.000231; 52320;2681;7468;6.26;7.09;51;1.01;1.25;0.809;0.81;66.2;115;0.422;0.931;0.000133;0.00023; 50560;2284;6783;6.42;7.16;48;3.45e+03;3.46e+03;3.49e+03;  3%;  3%;  3%;3.45e+03;3.48e+03;3.44e+03;  3%;  3%;  3%;3.45e+03;3.45e+03;3.47e+03;  3%;  3%;  3%;3.49e+03;3.46e+03;3.48e+03;  3%;  3%;  3%;100;0.000836;0;0;0;0;0;0;0;100;0.000752;0;0;0;0;0;0;0;100;0.000752;0;0;0;0;0;0;0;100;0.011;0;0;0;0;0;0;0;421;412;429;426;64.1 ;66.3 ;68.9 ;61.7 ;
2018-01-11;03:59:50.784;0.842;1.16;0.723;0.724;408;614;0.335;0.988;0.00025;0.000377;41.9;51.9;1.63e+06;1.4e+06;1.21e+04;2.33;58.2;1.68;42.1;7.19e+04;99.8;0.178;0;0;0;0;0;0;0;1.55e+03;287;0.846;1.17;0.725;0.726;97.5;149;0.347;0.988;0.000238;0.000365; 47440;3499;11408;10.5;12.9;45;0.844;1.17;0.723;0.725;100;150;0.331;0.988;0.000245;0.000367; 45600;3523;11738;10.4;13.1;49;0.839;1.16;0.723;0.724;104;156;0.332;0.988;0.000257;0.000384; 55840;3749;11869;10.3;12.6;51;0.838;1.16;0.721;0.722;106;158;0.332;0.987;0.000261;0.000391; 55040;3665;12028;10.7;13.2;49;6.05e+03;5.96e+03;6.12e+03;  5%;  5%;  5%;5.74e+03;6.04e+03;6.07e+03;  5%;  5%;  5%;5.73e+03;5.93e+03;6.06e+03;  5%;  5%;  5%;6.04e+03;6.04e+03;6.13e+03;  5%;  5%;  5%;99.9;0.142;0;0;0;0;0;0;0;99.8;0.247;0;0;0;0;0;0;0;99.8;0.151;0;0;0;0;0;0;0;99.8;0.17;0;0;0;0;0;0;0;390;380;395;390;70.6 ;73.3 ;75.6 ;67.8 ;
2018-01-11;03:59:56.576;0.862;1.21;0.713;0.714;755;1.19e+03;0.364;0.153;0.000451;0.00071;57.9;63;1.67e+06;1.38e+06;1.21e+04;2.42;60.4;1.72;43.1;9.05e+04;99.8;0.161;0;0;0;0;0;0;0;1.5e+03;344;0.861;1.21;0.713;0.714;187;293;0.362;0.152;0.000449;0.000703; 50160;5014;15487;14.3;15.4;46;0.864;1.21;0.713;0.714;187;292;0.359;0.153;0.000446;0.000696; 49200;5181;15510;14.6;16.2;49;0.861;1.21;0.713;0.714;192;305;0.369;0.152;0.00046;0.000729; 49760;5408;15121;14.4;15.6;51;0.861;1.21;0.713;0.714;188;298;0.367;0.154;0.00045;0.000711; 55760;4984;15552;14.6;15.8;48;7.68e+03;7.47e+03;7.57e+03;  6%;  6%;  6%;7.35e+03;7.58e+03;7.69e+03;  6%;  6%;  6%;7.31e+03;7.38e+03;7.61e+03;  6%;  6%;  6%;7.67e+03;7.54e+03;7.63e+03;  6%;  6%;  6%;99.8;0.16;0;0;0;0;0;0;0;99.8;0.159;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;376;367;379;374;83.5 ;88.3 ;92.1 ;79.8 ;
2018-01-11;04:00:02.360;0.87;1.22;0.713;0.714;536;971;0.448;0.964;0.000317;0.000574;40.2;43;1.69e+06;1.39e+06;1.22e+04;2.44;61;1.74;43.5;6.07e+04;99.8;0.162;0;0;0;0;0;0;0;1.51e+03;295;0.868;1.22;0.713;0.714;136;244;0.445;0.961;0.000321;0.000578; 50560;3637;11236;10.1;10.8;46;0.869;1.22;0.713;0.714;133;236;0.436;0.965;0.000315;0.000559; 57520;3633;11224;10.1;10.8;48;0.869;1.22;0.713;0.714;137;250;0.454;0.964;0.000324;0.000594; 42000;3744;10728;9.97;10.6;51;0.874;1.23;0.713;0.714;131;240;0.455;0.966;0.000309;0.000567; 61360;3410;10635;10.1;10.8;48;5.19e+03;5.07e+03;5.04e+03;  4%;  4%;  4%;4.92e+03;5.08e+03;5.23e+03;  4%;  4%;  4%;4.91e+03;4.95e+03;5.05e+03;  4%;  4%;  4%;5.11e+03;5.07e+03;5.07e+03;  4%;  4%;  4%;99.8;0.16;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.166;0;0;0;0;0;0;0;381;371;384;378;72.4 ;75.5 ;78.1 ;68.6 ;
2018-01-11;04:00:08.160;0.939;1.6;0.587;0.588;922;1.89e+03;0.513;0.781;0.000505;0.00104;61.6;25.5;1.83e+06;1.14e+06;1.21e+04;3.2;80;1.88;46.9;7.49e+04;99.8;0.164;0;0;0;0;0;0;0;1.17e+03;306;0.937;1.59;0.589;0.59;226;465;0.513;0.823;0.000499;0.00102; 54000;3533;10298;15.4;6.36;46;0.939;1.6;0.588;0.589;230;478;0.518;0.789;0.000504;0.00105; 50400;3530;11188;15.4;6.36;49;0.94;1.6;0.586;0.587;233;474;0.508;0.766;0.000509;0.00103; 51600;3774;10645;15.4;6.35;52;0.939;1.61;0.584;0.585;233;476;0.511;0.723;0.000508;0.00104; 49280;3669;10530;15.5;6.39;49;6.25e+03;6.25e+03;6.2e+03;  5%;  5%;  5%;6.21e+03;6.2e+03;6.28e+03;  5%;  5%;  5%;6.24e+03;6.24e+03;6.24e+03;  5%;  5%;  5%;6.29e+03;6.23e+03;6.3e+03;  5%;  5%;  5%;99.8;0.166;0;0;0;0;0;0;0;99.8;0.165;0;0;0;0;0;0;0;99.8;0.166;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;297;287;296;291;74.9 ;78.4 ;82.5 ;70.5 ;
