System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-11;06:11:55.844;0.915;1.17;0.779;0.81;220;460;0.522;0.76;0.000127;0.000266;19.9;16.6;1.73e+06;1.47e+06;1.18e+04;2.35;58.7;1.83;45.8;3.05e+04;96.2;2.88;0.0698;0.847;0;0;0;0;0;1.56e+03;232;0.919;1.18;0.781;0.81;59.9;123;0.512;0.748;0.000138;0.000282; 49360;1070;2674;5.09;4.09;46;0.909;1.17;0.775;0.81;53.3;112;0.525;0.764;0.000124;0.000261; 52080;894;2795;4.96;4.21;47;0.916;1.17;0.781;0.81;53.5;113;0.526;0.764;0.000123;0.00026; 53440;1359;3449;4.96;4.22;48;0.916;1.18;0.778;0.81;53;112;0.528;0.764;0.000122;0.000259; 52880;2048;4450;4.94;4.04;45;2.49e+03;2.54e+03;2.48e+03;  2%;  2%;  2%;2.4e+03;2.34e+03;2.96e+03;  2%;  2%;  2%;2.38e+03;2.99e+03;2.33e+03;  2%;  2%;  2%;2.32e+03;2.35e+03;2.94e+03;  2%;  2%;  2%;96.4;3.12;0;0.438;0;0;0;0;0;95.8;3.24;0.125;0.842;0;0;0;0;0;96.5;2.58;0.0783;0.856;0;0;0;0;0;96.1;2.57;0.0755;1.25;0;0;0;0;0;392;381;398;394;57.2 ;59.3 ;61.3 ;54.6 ;
2018-01-11;06:12:00.897;0.74;1.19;0.624;0.809;143;303;0.526;0.977;0.000107;0.000226;12.5;9.36;1.34e+06;1.13e+06;1.17e+04;2.37;59.4;1.48;37;1.83e+04;77;2.46;0.159;20.3;0;12.3;0.103;0.713;0;1.25e+03;188;0.752;1.19;0.63;0.809;39.7;81.8;0.515;0.977;0.000115;0.000237; 50480;802;2005;3.24;2.34;47;0.737;1.18;0.623;0.809;35.7;75.4;0.527;0.975;0.000106;0.000225; 46240;618;1781;3.07;2.36;48;0.732;1.18;0.618;0.809;34.5;74;0.534;0.978;0.000105;0.000225; 47280;1155;2751;3.08;2.36;50;0.74;1.19;0.623;0.809;33.5;71.3;0.53;0.978;0.000102;0.000218; 47840;1235;2855;3.08;2.3;46;1.49e+03;1.49e+03;1.47e+03;  1%;  1%;  1%;1.39e+03;1.37e+03;1.86e+03;  1%;  1%;  1%;1.4e+03;1.87e+03;1.37e+03;  1%;  1%;  1%;1.36e+03;1.38e+03;1.85e+03;  1%;  1%;  1%;77.8;2.94;0.444;18.8;0;8.58;0.406;0.4;0;77;2.02;0.0396;20.9;0;14.9;0;0.789;0;76.4;2.63;0.0895;20.9;0;13;0;0.81;0;77;2.25;0.0575;20.7;0;12.9;0;0.859;0;316;304;316;316;46.9 ;47.9 ;49.2 ;44.1 ;
2018-01-11;06:12:05.946;0.434;1.07;0.404;0.81;11.7;230;0.949;0.578;1.59e-05;0.000313;3.17;1.69;7.35e+05;6.84e+05;1.06e+04;2.15;53.7;0.868;21.7;3.55e+03;50;49.5;0.0217;0.529;0;0.00511;0;0;0;1.16e+03;158;0.435;1.07;0.405;0.81;4.61;45.8;0.9;0.646;2.5e-05;0.000249; 48640;282;399;0.837;0.467;46;0.435;1.07;0.405;0.81;2.49;71.8;0.965;0.52;1.36e-05;0.000391; 51040;79;314;0.74;0.4;48;0.434;1.08;0.402;0.81;2.16;26.3;0.918;0.745;1.18e-05;0.000144; 52960;81;244;0.843;0.422;49;0.434;1.07;0.406;0.81;2.46;86;0.971;0.472;1.34e-05;0.000468; 51840;86;284;0.753;0.402;46;247;244;242;  0%;  0%;  0%;143;148;647;  0%;  0%;  0%;142;650;145;  0%;  0%;  0%;146;148;645;  0%;  0%;  0%;50;49.5;0.0314;0.502;0;0.00993;0;0;0;50;49.4;0.0213;0.61;0;0.0105;0;0;0;49.6;49.8;0.0114;0.524;0;0;0;0;0;50.2;49.3;0.0226;0.48;0;0;0;0;0;291;284;293;292;39.9 ;40 ;41.3 ;37.2 ;
2018-01-11;06:12:11.179;0.638;1.57;0.405;0.81;107;403;0.735;0.725;9.6e-05;0.000362;13.2;13.4;1.11e+06;7.05e+05;1.06e+04;3.15;78.7;1.28;31.9;2.04e+04;50;49.9;0.0108;0.083;0;0;0;0;0;1.32e+03;199;0.632;1.57;0.402;0.81;28.5;91.8;0.689;0.738;0.000105;0.000336; 49920;1009;2833;3.4;3.37;46;0.633;1.57;0.403;0.81;25.2;113;0.776;0.695;9.18e-05;0.00041; 51760;786;2559;3.22;3.34;47;0.643;1.59;0.404;0.81;25.8;63.4;0.593;0.811;9.19e-05;0.000226; 53120;902;2705;3.27;3.35;49;0.643;1.57;0.411;0.81;27.1;135;0.799;0.668;9.59e-05;0.000477; 55440;913;2565;3.28;3.37;46;1.66e+03;1.66e+03;1.68e+03;  1%;  1%;  1%;1.55e+03;1.56e+03;2.03e+03;  1%;  1%;  2%;1.55e+03;2.03e+03;1.55e+03;  1%;  2%;  1%;1.54e+03;1.55e+03;2.04e+03;  1%;  1%;  2%;49.7;50.2;0.0195;0.11;0;0;0;0;0;49.8;50;0.00139;0.147;0;0;0;0;0;49.9;50.1;0.0222;0.025;0;0;0;0;0;50.8;49.2;0;0.051;0;0;0;0;0;331;323;336;334;49.5 ;50.5 ;52.3 ;46.5 ;
2018-01-11;06:12:16.231;0.788;1.9;0.414;0.81;207;579;0.642;0.416;0.000153;0.000428;21.4;22.3;1.35e+06;7.09e+05;1.1e+04;3.81;95.2;1.58;39.4;3.47e+04;51.1;48.9;0;0;0;0;0;0;0;1.34e+03;224;0.796;1.91;0.418;0.81;56.2;148;0.622;0.417;0.000163;0.000432; 50640;1957;5096;5.48;5.62;46;0.798;1.92;0.416;0.81;51.7;151;0.657;0.41;0.00015;0.000438; 51200;1600;4854;5.28;5.52;47;0.783;1.91;0.409;0.81;49.8;102;0.51;0.497;0.000149;0.000304; 51520;1601;4578;5.34;5.56;49;0.774;1.88;0.413;0.81;49.5;178;0.722;0.363;0.000151;0.000542; 50480;1690;4574;5.32;5.59;45;2.89e+03;2.87e+03;2.88e+03;  2%;  2%;  2%;2.78e+03;2.77e+03;3.19e+03;  2%;  2%;  3%;2.77e+03;3.15e+03;2.75e+03;  2%;  3%;  2%;2.74e+03;2.76e+03;3.16e+03;  2%;  2%;  3%;51.6;48.4;0;0;0;0;0;0;0;51.3;48.7;0;0;0;0;0;0;0;50.6;49.4;0;0;0;0;0;0;0;51;49;0;0;0;0;0;0;0;336;328;341;338;55.3 ;56.9 ;59.3 ;52.5 ;
2018-01-11;06:12:21.376;0.776;1.91;0.406;0.81;200;522;0.616;0.437;0.00015;0.000391;20.6;23.2;1.33e+06;6.98e+05;1.06e+04;3.82;95.5;1.55;38.8;3.36e+04;50.2;49.8;0;0;0;0;0;0;0;1.37e+03;227;0.778;1.93;0.403;0.81;50.6;101;0.499;0.499;0.000152;0.000303; 49280;1810;4784;5.22;5.79;46;0.775;1.91;0.406;0.81;49.9;145;0.657;0.411;0.00015;0.000438; 47760;1452;4574;5.09;5.75;47;0.767;1.9;0.404;0.81;49.2;99.9;0.507;0.498;0.000149;0.000303; 51840;1633;4826;5.12;5.87;49;0.783;1.9;0.411;0.81;50.7;175;0.711;0.372;0.00015;0.000518; 49040;1703;4794;5.12;5.77;45;2.82e+03;2.8e+03;2.84e+03;  2%;  2%;  2%;2.74e+03;2.79e+03;2.84e+03;  2%;  2%;  2%;2.75e+03;2.84e+03;2.77e+03;  2%;  2%;  2%;2.77e+03;2.8e+03;2.88e+03;  2%;  2%;  2%;49.8;50.2;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;341;334;347;345;55.8 ;57.7 ;60.2 ;53.2 ;
2018-01-11;06:12:26.439;0.786;1.91;0.411;0.81;202;522;0.613;0.44;0.00015;0.000388;20.1;23;1.34e+06;7.03e+05;1.08e+04;3.83;95.7;1.57;39.3;3.3e+04;50.7;49.3;0;0;0;0;0;0;0;1.34e+03;223;0.779;1.9;0.41;0.81;50.3;101;0.501;0.5;0.000151;0.000302; 54240;1801;4858;5.08;5.69;46;0.786;1.9;0.413;0.81;51.1;148;0.654;0.412;0.000152;0.000438; 50160;1402;4592;4.98;5.7;47;0.789;1.93;0.409;0.81;50.4;101;0.501;0.502;0.000149;0.000299; 50960;1677;4735;5;5.64;49;0.79;1.92;0.412;0.81;50.2;173;0.709;0.377;0.000149;0.000514; 48080;1720;4839;5.01;5.92;45;2.76e+03;2.74e+03;2.73e+03;  2%;  2%;  2%;2.74e+03;2.76e+03;2.74e+03;  2%;  2%;  2%;2.76e+03;2.74e+03;2.75e+03;  2%;  2%;  2%;2.76e+03;2.77e+03;2.74e+03;  2%;  2%;  2%;50.6;49.4;0;0;0;0;0;0;0;51;49;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;335;328;341;340;54.9 ;56.9 ;58.8 ;52.4 ;
2018-01-11;06:12:31.603;0.776;1.91;0.406;0.81;200;528;0.622;0.435;0.000149;0.000395;20.4;23.1;1.34e+06;7e+05;1.06e+04;3.82;95.5;1.55;38.8;3.36e+04;50.2;49.8;0;0;0;0;0;0;0;1.37e+03;228;0.766;1.9;0.404;0.81;50;101;0.504;0.495;0.000152;0.000306; 52240;1837;4765;5.18;5.79;45;0.778;1.92;0.406;0.81;50;150;0.666;0.404;0.00015;0.000448; 50800;1504;4746;5.05;5.77;47;0.778;1.93;0.404;0.81;49.6;102;0.514;0.496;0.000148;0.000305; 48320;1598;4744;5.06;5.74;49;0.784;1.9;0.411;0.81;50.3;176;0.714;0.374;0.000148;0.000517; 54640;1753;4633;5.06;5.77;45;2.83e+03;2.81e+03;2.8e+03;  2%;  2%;  2%;2.76e+03;2.8e+03;2.81e+03;  2%;  2%;  2%;2.77e+03;2.8e+03;2.78e+03;  2%;  2%;  2%;2.79e+03;2.82e+03;2.8e+03;  2%;  2%;  2%;49.9;50.1;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;342;335;348;346;56.1 ;57.8 ;60.2 ;53.5 ;
2018-01-11;06:12:36.891;0.777;1.91;0.406;0.81;206;537;0.617;0.437;0.00015;0.000391;20.9;23.7;1.37e+06;7.18e+05;1.08e+04;3.82;95.6;1.55;38.9;3.44e+04;50.2;49.8;0;0;0;0;0;0;0;1.4e+03;233;0.78;1.94;0.402;0.81;51.5;104;0.505;0.499;0.00015;0.000304; 53040;1662;4866;5.3;5.95;46;0.772;1.9;0.407;0.81;51.2;153;0.666;0.404;0.00015;0.00045; 50240;1528;4977;5.19;5.92;47;0.776;1.91;0.406;0.81;50.9;102;0.503;0.501;0.000148;0.000298; 48960;1545;4680;5.21;5.91;48;0.781;1.9;0.411;0.81;52.3;177;0.705;0.376;0.000151;0.00051; 54800;1791;5096;5.19;5.91;45;2.9e+03;2.88e+03;2.9e+03;  2%;  2%;  2%;2.82e+03;2.87e+03;2.87e+03;  2%;  2%;  2%;2.82e+03;2.87e+03;2.83e+03;  2%;  2%;  2%;2.84e+03;2.88e+03;2.9e+03;  2%;  2%;  2%;49.7;50.3;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;350;343;356;355;57.4 ;59.3 ;61.6 ;54.6 ;
2018-01-11;06:12:42.019;0.784;1.9;0.412;0.81;173;520;0.667;0.633;0.000127;0.000382;17.2;19.4;1.36e+06;7.15e+05;1.11e+04;3.8;95.1;1.57;39.2;2.8e+04;50.9;49.1;0;0;0;0;0;0;0;1.36e+03;217;0.794;1.92;0.413;0.81;42.7;89.9;0.524;0.728;0.000123;0.000259; 54880;1406;4026;4.39;4.88;45;0.783;1.88;0.417;0.81;43.9;175;0.749;0.575;0.000129;0.000512; 49680;1340;4315;4.25;4.82;47;0.778;1.91;0.408;0.81;42.9;92.4;0.535;0.699;0.000128;0.000275; 50640;1315;4033;4.27;4.83;49;0.781;1.9;0.412;0.81;43.4;163;0.734;0.558;0.000129;0.000484; 52640;1413;4045;4.27;4.84;45;2.33e+03;2.33e+03;2.34e+03;  2%;  2%;  2%;2.32e+03;2.38e+03;2.31e+03;  2%;  2%;  2%;2.32e+03;2.31e+03;2.35e+03;  2%;  2%;  2%;2.35e+03;2.37e+03;2.33e+03;  2%;  2%;  2%;51;49;0;0;0;0;0;0;0;51.5;48.5;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.8;49.2;0;0;0;0;0;0;0;340;332;346;344;53.5 ;55.3 ;57 ;51.1 ;
