System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-11;05:15:20.299;0.128;1.49;0.0857;1.24;23.2;119;0.806;0.522;0.000108;0.000556;2.96;3.72;2.15e+05;1.44e+05;1.05e+04;2.98;74.4;0.255;6.38;5.49e+03;6.92;58;1.54;33.5;0;1.08;0;0;0;1.44e+03;208;0.116;1.58;0.0736;1.24;5.27;35.1;0.85;0.431;0.000108;0.000719; 51040;254;580;0.913;0.994;48;0.148;1.43;0.103;1.24;5.98;35.7;0.832;0.464;9.64e-05;0.000575; 52800;245;746;0.675;0.917;49;0.115;1.46;0.0787;1.24;6.17;21.1;0.708;0.606;0.000128;0.000438; 50080;296;718;0.691;0.929;48;0.132;1.5;0.0878;1.24;5.77;27.5;0.79;0.597;0.000104;0.000494; 47440;215;672;0.679;0.884;48;652;666;634;  0%;  0%;  0%;380;365;415;  0%;  0%;  0%;384;443;377;  0%;  0%;  0%;379;370;428;  0%;  0%;  0%;5.95;63.9;0.987;29.1;0;1.21;0;0;0;8.31;57;1.87;32.8;0;1.26;0;0;0;6.35;63.1;1.38;29.2;0;1.69;0;0;0;7.07;48;1.93;43;0;0.146;0;0;0;358;361;377;340;52.1 ;53 ;52.9 ;50.2 ;
2018-01-11;05:15:25.349;0.143;1.47;0.0974;1.25;37.5;452;0.917;0.316;0.000155;0.00187;3.98;4.76;2.42e+05;1.65e+05;1.05e+04;2.94;73.6;0.287;7.17;7.39e+03;7.82;62.3;0.448;29.4;0;0;0;0;0;1.55e+03;213;0.0943;1.49;0.0632;1.26;6.75;97.6;0.931;0.26;0.00017;0.00245; 49200;190;554;1.06;1.26;44;0.138;1.37;0.101;1.24;8.15;101;0.919;0.327;0.00014;0.00173; 54480;264;770;0.981;1.2;47;0.161;1.51;0.106;1.24;10.7;119;0.909;0.327;0.000158;0.00175; 48800;345;1099;0.966;1.15;47;0.18;1.51;0.12;1.25;11.8;135;0.913;0.334;0.000155;0.00177; 50960;423;1250;0.973;1.15;46;784;853;882;  0%;  0%;  0%;529;560;468;  0%;  0%;  0%;504;515;605;  0%;  0%;  0%;605;536;552;  0%;  0%;  0%;5.03;64.4;0.0342;30.5;0;0;0;0;0;8.09;64.7;0.296;26.9;0;0;0;0;0;8.57;74.6;0.536;16.2;0;0;0;0;0;9.59;45.6;0.926;43.8;0;0;0;0;0;369;388;426;372;53.1 ;54.4 ;54.1 ;51.5 ;
2018-01-11;05:15:30.361;0.189;1.5;0.126;0.821;60.1;597;0.899;0.312;0.000189;0.00188;5.42;6.12;3.19e+05;2.12e+05;1.05e+04;3.01;75.2;0.378;9.46;9.85e+03;15.3;61.7;0.524;22.5;0;0;0;0;0;951;201;0.112;1.48;0.0751;0.822;8.65;112;0.923;0.268;0.000184;0.00238; 48000;236;654;1.44;1.66;49;0.124;1.52;0.0815;0.828;11.2;92.4;0.879;0.317;0.000215;0.00177; 58240;296;869;1.33;1.56;50;0.225;1.52;0.148;0.821;18.5;166;0.889;0.322;0.000195;0.00175; 49840;505;1614;1.31;1.45;51;0.296;1.49;0.199;0.817;21.7;227;0.904;0.324;0.000174;0.00182; 48880;576;1790;1.33;1.45;49;898;1.08e+03;1.15e+03;  0%;  1%;  1%;743;807;557;  0%;  0%;  0%;676;677;917;  0%;  0%;  0%;890;734;721;  0%;  0%;  0%;9.13;62.4;1.26;27.2;0;0;0;0;0;9.84;68.1;0.369;21.7;0;0;0;0;0;18;68.6;0.00136;13.4;0;0;0;0;0;24.3;47.6;0.463;27.6;0;0;0;0;0;222;221;253;255;46.7 ;53.3 ;52.3 ;49.1 ;
2018-01-11;05:15:35.373;0.274;1.49;0.184;0.81;106;883;0.88;0.304;0.000229;0.00191;8.49;9.85;4.63e+05;3.11e+05;1.06e+04;2.97;74.4;0.548;13.7;1.54e+04;22.8;64.5;0.555;12.2;0;0;0;0;0;1.02e+03;187;0.143;1.49;0.096;0.81;11.1;134;0.917;0.273;0.000183;0.00221; 49760;261;711;2.2;2.69;49;0.247;1.5;0.165;0.81;18.1;189;0.904;0.315;0.000173;0.00181; 50640;446;1292;2.1;2.57;49;0.396;1.47;0.269;0.81;51.1;322;0.841;0.302;0.000305;0.00192; 53760;1127;3389;2.05;2.06;51;0.31;1.49;0.208;0.81;25.9;238;0.891;0.315;0.000198;0.00182; 51840;633;1880;2.14;2.53;49;1.12e+03;1.86e+03;1.3e+03;  1%;  1%;  1%;1.55e+03;991;709;  1%;  1%;  0%;1.44e+03;1.34e+03;1.64e+03;  1%;  1%;  1%;1.68e+03;924;823;  1%;  0%;  0%;11.9;80.9;0.154;7.05;0;0;0;0;0;20.3;65.8;0.586;13.3;0;0;0;0;0;33.2;64.2;0.146;2.51;0;0;0;0;0;25.7;47;1.34;26;0;0;0;0;0;236;245;288;255;46.9 ;47.8 ;47.6 ;44.4 ;
2018-01-11;05:15:40.385;0.247;1.5;0.164;0.81;86.8;789;0.89;0.305;0.000209;0.0019;6.86;7.65;4.15e+05;2.77e+05;1.05e+04;3;75;0.493;12.3;1.24e+04;20.3;54.5;0.764;24.4;0;0;0;0;0;976;181;0.117;1.5;0.078;0.81;10.9;114;0.905;0.26;0.000222;0.00232; 49600;221;749;1.77;2.1;49;0.273;1.5;0.182;0.81;20.9;210;0.9;0.314;0.000182;0.00183; 50000;526;1604;1.68;1.89;49;0.316;1.5;0.211;0.81;30.5;246;0.876;0.309;0.000229;0.00185; 48960;664;2147;1.69;1.79;51;0.28;1.5;0.187;0.81;24.4;219;0.888;0.314;0.000207;0.00185; 51760;520;1636;1.71;1.87;48;1.17e+03;1.38e+03;1.24e+03;  1%;  1%;  1%;1.08e+03;945;704;  1%;  0%;  0%;1.01e+03;877;1.09e+03;  1%;  0%;  1%;1.15e+03;944;781;  1%;  0%;  0%;9.64;63.9;1.63;24.8;0;0;0;0;0;22.5;52.2;0.103;25.3;0;0;0;0;0;26.1;60.2;0.178;13.6;0;0;0;0;0;23.1;41.6;1.15;34.1;0;0;0;0;0;222;243;266;244;45.5 ;46.2 ;46.7 ;42.9 ;
2018-01-11;05:15:45.442;0.239;1.46;0.164;0.857;79.4;762;0.896;0.304;0.000196;0.00188;6.41;6.91;4.05e+05;2.77e+05;1.05e+04;2.92;73;0.478;12;1.15e+04;19.1;54.4;1.18;25.3;0;0;0;0;0;1.01e+03;181;0.0934;1.47;0.0634;0.857;7.74;98.7;0.922;0.25;0.000196;0.0025; 49840;183;488;1.66;1.91;49;0.278;1.5;0.185;0.857;21.5;213;0.899;0.311;0.000183;0.00182; 49360;541;1595;1.57;1.68;49;0.287;1.51;0.19;0.857;24.2;220;0.89;0.31;0.0002;0.00182; 60080;641;1811;1.58;1.68;50;0.299;1.38;0.217;0.857;26;229;0.887;0.312;0.000205;0.00181; 50720;634;1905;1.6;1.65;49;1.14e+03;1.22e+03;1.25e+03;  1%;  1%;  1%;941;989;645;  0%;  1%;  0%;922;695;1.04e+03;  0%;  0%;  1%;1.01e+03;944;707;  1%;  0%;  0%;7.4;64.9;1.09;26.7;0;0;0;0;0;21.6;51.2;1;26.2;0;0;0;0;0;22.2;63.3;0.0345;14.5;0;0;0;0;0;25.4;38.4;2.6;33.6;0;0;0;0;0;225;255;272;260;45.3 ;45.9 ;46.5 ;42.9 ;
2018-01-11;05:15:50.454;0.272;1.5;0.182;0.857;92.2;868;0.894;0.305;0.0002;0.00189;7.33;7.88;4.6e+05;3.07e+05;1.06e+04;2.99;74.8;0.544;13.6;1.31e+04;21.2;60.5;0.64;17.7;0;0;0;0;0;1.05e+03;182;0.17;1.48;0.115;0.857;14.3;158;0.91;0.277;0.000199;0.00221; 48640;370;1119;1.9;2.12;48;0.262;1.5;0.175;0.857;19.5;201;0.903;0.312;0.000175;0.00181; 51520;484;1381;1.8;1.98;49;0.324;1.5;0.216;0.857;30.2;251;0.879;0.308;0.000221;0.00183; 51840;729;2210;1.8;1.85;51;0.333;1.5;0.222;0.857;28.2;258;0.891;0.313;0.000201;0.00184; 51440;644;1979;1.84;1.92;48;1.18e+03;1.41e+03;1.38e+03;  1%;  1%;  1%;1.06e+03;1.02e+03;777;  1%;  1%;  0%;1.02e+03;958;1.21e+03;  1%;  0%;  1%;1.18e+03;948;916;  1%;  0%;  0%;13.4;70;1.1;15.5;0;0;0;0;0;20.4;60.7;0.0581;18.8;0;0;0;0;0;25.2;70.1;0;4.76;0;0;0;0;0;25.9;41;1.4;31.7;0;0;0;0;0;244;254;282;265;45.7 ;46.6 ;46.7 ;43.3 ;
2018-01-11;05:15:55.466;0.271;1.5;0.181;0.857;87.7;866;0.899;0.305;0.000192;0.0019;6.94;7.5;4.56e+05;3.04e+05;1.05e+04;3;74.9;0.541;13.5;1.24e+04;21.1;61.5;0.79;16.6;0;0;0;0;0;1.05e+03;181;0.197;1.49;0.132;0.857;14.9;179;0.917;0.281;0.00018;0.00215; 49520;326;999;1.8;2.02;48;0.318;1.5;0.213;0.857;28;248;0.887;0.31;0.000209;0.00185; 53360;620;1902;1.7;1.77;49;0.258;1.5;0.172;0.857;20.4;199;0.897;0.309;0.000188;0.00182; 49440;470;1446;1.7;1.86;51;0.308;1.5;0.205;0.857;24.3;241;0.899;0.315;0.000187;0.00186; 50080;554;1668;1.73;1.85;48;1.37e+03;1.2e+03;1.28e+03;  1%;  1%;  1%;957;1.04e+03;902;  0%;  1%;  0%;1.02e+03;805;954;  1%;  0%;  0%;918;1.07e+03;866;  0%;  1%;  0%;15.4;74;1.66;8.89;0;0;0;0;0;24.8;59.1;0.259;15.8;0;0;0;0;0;20.1;71.3;0.418;8.19;0;0;0;0;0;24;41.7;0.82;33.6;0;0;0;0;0;253;266;267;259;45.4 ;46 ;46.8 ;43 ;
2018-01-11;05:16:00.477;0.265;1.5;0.177;0.857;86.2;855;0.899;0.306;0.000193;0.00192;6.85;7.28;4.46e+05;2.97e+05;1.05e+04;3;75;0.53;13.2;1.22e+04;20.6;55.6;1.38;22.4;0;0;0;0;0;1.03e+03;181;0.152;1.48;0.103;0.857;12.8;145;0.912;0.269;0.0002;0.00227; 48960;324;878;1.78;1.98;48;0.277;1.5;0.184;0.857;22;215;0.898;0.312;0.000189;0.00185; 50400;537;1593;1.68;1.79;49;0.306;1.5;0.204;0.857;23.9;238;0.899;0.313;0.000185;0.00184; 52560;578;1689;1.68;1.76;50;0.324;1.5;0.216;0.857;27.5;256;0.893;0.313;0.000201;0.00188; 48640;599;1750;1.71;1.75;48;1.21e+03;1.25e+03;1.33e+03;  1%;  1%;  1%;954;1.02e+03;770;  0%;  1%;  0%;928;798;1.05e+03;  0%;  0%;  1%;1.03e+03;983;851;  1%;  1%;  0%;12;65.3;2.17;20.6;0;0;0;0;0;21.5;56.4;0.648;21.5;0;0;0;0;0;23.8;61.3;0.712;14.2;0;0;0;0;0;25.2;39.6;1.98;33.2;0;0;0;0;0;238;255;273;263;45.3 ;46 ;46.7 ;42.9 ;
2018-01-11;05:16:05.493;0.225;1.5;0.15;0.857;83.6;726;0.885;0.302;0.000221;0.00192;6.61;7.48;3.79e+05;2.53e+05;1.05e+04;2.99;74.9;0.45;11.3;1.2e+04;17.5;59.2;1.16;22.1;0;0;0;0;0;998;181;0.125;1.49;0.0836;0.857;10.2;124;0.918;0.258;0.000194;0.00237; 48240;240;705;1.71;2.05;48;0.17;1.5;0.113;0.857;14.4;129;0.889;0.311;0.000201;0.00181; 49040;356;1036;1.62;1.92;49;0.286;1.51;0.189;0.857;23.6;217;0.891;0.311;0.000197;0.00181; 49040;530;1618;1.62;1.82;51;0.32;1.49;0.216;0.857;35.4;256;0.862;0.31;0.000263;0.0019; 51120;767;2590;1.65;1.69;48;985;1.19e+03;1.46e+03;  1%;  1%;  1%;856;1.12e+03;609;  0%;  1%;  0%;757;713;1.2e+03;  0%;  0%;  1%;1.16e+03;973;954;  1%;  1%;  0%;9.75;68.2;2.8;19.2;0;0;0;0;0;13.2;67.4;0.885;18.5;0;0;0;0;0;22.1;64.5;0.0375;13.4;0;0;0;0;0;25.2;36.7;0.936;37.2;0;0;0;0;0;232;236;270;260;45.5 ;46.1 ;46.9 ;42.8 ;
