System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-06;23:02:31.880;0.982;1.23;0.799;0.81;122;298;0.591;0.984;6.81e-05;0.000166;10.9;7.32;1.79e+06;1.46e+06;1.14e+04;2.46;61.4;1.96;49.1;1.56e+04;98.7;1.17;0.0183;0.0742;0;0;0;0;0;1.59e+03;198;0.978;1.23;0.794;0.81;33.6;81.7;0.589;0.983;7.52e-05;0.000183; 49200;962;1988;2.84;1.8;45;0.99;1.23;0.803;0.81;26.8;67.1;0.601;0.987;5.93e-05;0.000148; 49200;584;1735;2.68;1.86;46;0.986;1.23;0.799;0.81;28.6;72.9;0.607;0.98;6.37e-05;0.000162; 52240;983;3031;2.69;1.84;48;0.974;1.21;0.802;0.81;33.1;76.8;0.569;0.985;7.45e-05;0.000173; 48560;699;2442;2.69;1.82;44;1.21e+03;1.26e+03;1.38e+03;  1%;  1%;  1%;1.14e+03;1.21e+03;1.5e+03;  1%;  1%;  1%;1.09e+03;1.5e+03;1.24e+03;  1%;  1%;  1%;1.24e+03;1.19e+03;1.63e+03;  1%;  1%;  1%;98;1.73;0.0733;0.155;0;0;0;0;0;99.1;0.836;0;0.0157;0;0;0;0;0;98.7;1.22;0;0.103;0;0;0;0;0;99.1;0.875;0;0.0232;0;0;0;0;0;395;390;402;398;49.1 ;50.6 ;51.5 ;46.5 ;
2018-01-06;23:02:37.264;0.758;1.25;0.607;0.809;52.1;139;0.625;0.996;3.74e-05;9.97e-05;5.89;3.05;1.39e+06;1.12e+06;1.15e+04;2.5;62.4;1.52;37.9;7.52e+03;75;1.62;0.072;23.3;0;11.3;0.136;2.59;0;1.35e+03;171;0.769;1.26;0.612;0.809;14.7;41.2;0.642;0.995;4.16e-05;0.000116; 51680;509;917;1.58;0.813;46;0.755;1.24;0.607;0.809;12.4;32.8;0.621;0.996;3.57e-05;9.42e-05; 54560;282;917;1.39;0.724;47;0.769;1.25;0.614;0.809;14.6;38.9;0.624;0.994;4.15e-05;0.00011; 55680;355;1110;1.41;0.733;49;0.739;1.24;0.595;0.809;10.4;26.2;0.604;0.998;3.05e-05;7.72e-05; 36480;232;1068;1.51;0.78;45;587;641;560;  0%;  0%;  0%;566;469;851;  0%;  0%;  0%;536;875;499;  0%;  0%;  0%;562;509;862;  0%;  0%;  0%;75.7;1.36;0.211;22.8;0;14.1;0.544;2.18;0;75;1.69;0.0246;23.2;0;8;0;2.7;0;75.9;1.29;0.0309;22.8;0;13.3;0;2.72;0;73.5;2.15;0.0208;24.3;0;10;0;2.77;0;339;330;342;342;43 ;43.4 ;44 ;40.5 ;
2018-01-06;23:02:42.796;0.98;1.22;0.805;0.81;247;423;0.416;0.8;0.00014;0.000239;28.2;30.4;1.77e+06;1.45e+06;1.13e+04;2.44;60.9;1.96;49;4.57e+04;99.4;0.283;0.00776;0.298;0;0.0637;0;0;0;1.58e+03;258;0.978;1.22;0.804;0.81;63.5;108;0.412;0.791;0.000144;0.000246; 47920;2241;6396;7.17;7.7;45;0.981;1.22;0.802;0.81;60.8;105;0.419;0.809;0.000137;0.000237; 53440;2278;6842;6.93;7.51;46;0.98;1.22;0.805;0.81;61;105;0.418;0.8;0.000137;0.000236; 56000;2419;6790;7.04;7.65;48;0.981;1.22;0.807;0.81;61.9;106;0.414;0.799;0.000139;0.000237; 47680;2377;6929;7.05;7.56;44;3.78e+03;3.76e+03;3.77e+03;  3%;  3%;  3%;3.7e+03;3.69e+03;4.05e+03;  3%;  3%;  3%;3.71e+03;4.03e+03;3.72e+03;  3%;  3%;  3%;3.71e+03;3.7e+03;4.06e+03;  3%;  3%;  3%;99.3;0.442;0.0129;0.208;0;0.0149;0;0;0;99.1;0.163;0.00238;0.704;0;0.24;0;0;0;99.5;0.372;0.00746;0.119;0;0;0;0;0;99.7;0.156;0.00831;0.165;0;0;0;0;0;397;386;403;398;63.3 ;65.6 ;68.5 ;60.2 ;
2018-01-06;23:02:48.460;1.01;1.24;0.809;0.81;274;470;0.417;0.738;0.000145;0.000249;28.8;30.9;1.88e+06;1.52e+06;1.16e+04;2.48;62.1;2.01;50.3;4.71e+04;100;0.00953;0;0;0;0;0;0;0;1.63e+03;265;1;1.24;0.809;0.81;70.6;120;0.413;0.726;0.00015;0.000256; 53600;2409;6649;7.32;7.66;45;1.01;1.24;0.81;0.81;67.7;116;0.419;0.747;0.000144;0.000247; 51760;2446;7185;7.13;7.74;46;1.01;1.24;0.809;0.81;67.5;116;0.42;0.742;0.000143;0.000247; 57680;2496;7161;7.19;7.82;48;1;1.24;0.81;0.81;67.8;116;0.417;0.738;0.000144;0.000246; 48640;2442;7314;7.19;7.64;44;3.92e+03;3.89e+03;3.9e+03;  3%;  3%;  3%;3.84e+03;3.84e+03;4.11e+03;  3%;  3%;  3%;3.85e+03;4.09e+03;3.87e+03;  3%;  3%;  3%;3.85e+03;3.85e+03;4.12e+03;  3%;  3%;  3%;100;0.00523;0;0;0;0;0;0;0;100;0.000892;0;0;0;0;0;0;0;100;0.0312;0;0;0;0;0;0;0;100;0.00083;0;0;0;0;0;0;0;409;399;416;410;64.9 ;67.9 ;70.7 ;61.8 ;
2018-01-06;23:02:53.964;1.01;1.24;0.809;0.81;274;471;0.419;0.738;0.000144;0.000248;27.9;31.2;1.9e+06;1.53e+06;1.19e+04;2.48;62.1;2.01;50.3;4.52e+04;100;0.00521;0;0;0;0;0;0;0;1.59e+03;260;1;1.24;0.809;0.81;70.5;121;0.416;0.728;0.000148;0.000254; 52000;2364;6735;7.1;7.81;44;1.01;1.24;0.81;0.81;68.1;117;0.42;0.746;0.000143;0.000247; 54880;2448;7277;6.9;7.81;45;1.01;1.24;0.81;0.81;67.6;117;0.421;0.742;0.000143;0.000246; 53040;2534;7158;6.95;7.64;48;1;1.24;0.81;0.81;67.4;116;0.418;0.738;0.000143;0.000246; 52000;2418;7226;6.97;7.94;44;3.76e+03;3.75e+03;3.72e+03;  3%;  3%;  3%;3.71e+03;3.67e+03;3.93e+03;  3%;  3%;  3%;3.72e+03;3.93e+03;3.72e+03;  3%;  3%;  3%;3.7e+03;3.68e+03;3.92e+03;  3%;  3%;  3%;100;0.0185;0;0;0;0;0;0;0;100;0.000758;0;0;0;0;0;0;0;100;0.000674;0;0;0;0;0;0;0;100;0.000793;0;0;0;0;0;0;0;398;388;404;399;63.8 ;66.3 ;68.9 ;60.8 ;
2018-01-06;23:02:59.580;1.01;1.24;0.809;0.81;272;466;0.417;0.738;0.000145;0.000249;29;31.3;1.87e+06;1.51e+06;1.15e+04;2.48;62.1;2.01;50.3;4.72e+04;100;0.00426;0;0;0;0;0;0;0;1.62e+03;266;1;1.24;0.809;0.81;70.8;120;0.412;0.724;0.000152;0.000258; 52160;2392;6614;7.36;7.84;44;1.01;1.25;0.81;0.81;67;115;0.419;0.747;0.000143;0.000246; 51520;2420;7146;7.16;7.77;45;1.01;1.24;0.81;0.81;67;115;0.42;0.743;0.000143;0.000246; 50720;2472;7044;7.23;7.81;48;1;1.24;0.81;0.81;67.2;115;0.417;0.737;0.000143;0.000246; 47520;2444;7169;7.24;7.84;44;3.89e+03;3.87e+03;3.88e+03;  3%;  3%;  3%;3.83e+03;3.82e+03;4.18e+03;  3%;  3%;  3%;3.85e+03;4.17e+03;3.85e+03;  3%;  3%;  3%;3.83e+03;3.83e+03;4.19e+03;  3%;  3%;  3%;100;0.0146;0;0;0;0;0;0;0;100;0.000848;0;0;0;0;0;0;0;100;0.000785;0;0;0;0;0;0;0;100;0.000796;0;0;0;0;0;0;0;406;396;413;407;65.3 ;67.9 ;70.6 ;62 ;
2018-01-06;23:03:05.040;1.01;1.25;0.81;0.81;230;401;0.426;0.974;0.000122;0.000213;22.5;23.8;1.88e+06;1.51e+06;1.18e+04;2.49;62.3;2.02;50.5;3.64e+04;100;0.000702;0;0;0;0;0;0;0;1.6e+03;240;1.01;1.24;0.81;0.81;63.2;108;0.418;0.965;0.000134;0.00023; 47360;2125;5884;5.74;5.96;44;1.01;1.25;0.81;0.81;55.7;96.9;0.426;0.979;0.000118;0.000205; 50160;2016;5971;5.55;5.94;45;1.01;1.25;0.81;0.81;57;101;0.436;0.972;0.000121;0.000215; 51280;2070;5943;5.59;5.94;47;1.01;1.25;0.81;0.81;54;94.2;0.427;0.977;0.000115;0.000201; 46240;1934;5725;5.61;6;44;3e+03;3.04e+03;2.99e+03;  2%;  2%;  2%;2.91e+03;2.86e+03;3.28e+03;  2%;  2%;  3%;2.92e+03;3.33e+03;2.95e+03;  2%;  3%;  2%;2.93e+03;2.87e+03;3.3e+03;  2%;  2%;  3%;100;0.00068;0;0;0;0;0;0;0;100;0.000748;0;0;0;0;0;0;0;100;0.000706;0;0;0;0;0;0;0;100;0.000676;0;0;0;0;0;0;0;400;393;408;403;59.2 ;61.1 ;63.6 ;56.2 ;
2018-01-06;23:03:10.508;0.932;1.15;0.809;0.81;366;556;0.342;0.992;0.000213;0.000323;39.8;48.7;1.72e+06;1.49e+06;1.16e+04;2.3;57.6;1.86;46.6;6.84e+04;100;0.0151;0;0;0;0;0;0;0;1.68e+03;269;0.93;1.15;0.809;0.81;90.3;134;0.326;0.992;0.000211;0.000313; 45200;3322;10545;9.98;12.1;44;0.933;1.15;0.809;0.81;90;133;0.322;0.992;0.000209;0.000309; 47200;3177;10644;9.95;12.1;45;0.931;1.15;0.809;0.81;92.1;151;0.389;0.991;0.000214;0.000351; 47360;3257;10889;9.84;12.2;47;0.936;1.16;0.809;0.81;93.4;138;0.325;0.991;0.000217;0.000321; 49360;3322;11071;10;12.3;43;5.62e+03;5.61e+03;5.71e+03;  5%;  5%;  5%;5.53e+03;5.68e+03;5.9e+03;  5%;  5%;  5%;5.55e+03;5.86e+03;5.57e+03;  5%;  5%;  5%;5.62e+03;5.7e+03;6.02e+03;  5%;  5%;  5%;100;0.017;0;0;0;0;0;0;0;100;0.0139;0;0;0;0;0;0;0;100;0.0138;0;0;0;0;0;0;0;100;0.0157;0;0;0;0;0;0;0;421;411;429;423;66.2 ;68.8 ;71.3 ;63 ;
2018-01-06;23:03:15.972;0.976;1.21;0.81;0.81;808;1.26e+03;0.357;0.153;0.000452;0.000702;62.9;66.9;1.79e+06;1.49e+06;1.15e+04;2.41;60.3;1.95;48.8;9.87e+04;100;0.00105;0;0;0;0;0;0;0;1.59e+03;339;0.974;1.2;0.81;0.81;205;317;0.354;0.152;0.000458;0.000709; 52080;5577;16452;15.7;16.5;44;0.977;1.21;0.81;0.81;201;313;0.356;0.153;0.00045;0.000698; 54000;5403;16439;15.8;16.8;45;0.973;1.2;0.81;0.81;203;320;0.364;0.153;0.000456;0.000716; 57200;5289;16513;15.6;17.1;47;0.979;1.21;0.81;0.81;199;308;0.355;0.155;0.000443;0.000686; 47680;5361;16346;15.8;16.5;43;8.11e+03;8.08e+03;8.16e+03;  7%;  7%;  7%;8.17e+03;8.31e+03;8.39e+03;  7%;  7%;  8%;8.08e+03;8.33e+03;8.08e+03;  7%;  7%;  7%;8.14e+03;8.35e+03;8.54e+03;  7%;  7%;  8%;100;0.000935;0;0;0;0;0;0;0;100;0.00137;0;0;0;0;0;0;0;100;0.000939;0;0;0;0;0;0;0;100;0.000959;0;0;0;0;0;0;0;399;389;405;402;82.4 ;86.5 ;91.8 ;78.1 ;
2018-01-06;23:03:21.480;1.02;1.25;0.809;0.81;646;1.19e+03;0.455;0.956;0.000345;0.000633;50.8;49.2;1.87e+06;1.49e+06;1.15e+04;2.51;62.7;2.03;50.8;7.27e+04;100;0.0165;0;0;0;0;0;0;0;1.61e+03;304;1.01;1.25;0.809;0.81;162;292;0.447;0.954;0.000347;0.000627; 53520;4141;11981;12.7;12.3;44;1.02;1.25;0.809;0.81;160;292;0.452;0.957;0.000341;0.000623; 51360;3949;11982;12.7;12.3;45;1.01;1.25;0.809;0.81;165;311;0.471;0.951;0.000352;0.000666; 53200;3929;12348;12.6;12.2;47;1.02;1.26;0.809;0.81;160;291;0.451;0.959;0.000339;0.000617; 50160;3829;11985;12.7;12.4;44;5.9e+03;6.01e+03;6e+03;  5%;  5%;  5%;6.07e+03;6.01e+03;6.21e+03;  5%;  5%;  5%;5.99e+03;6.3e+03;5.91e+03;  5%;  5%;  5%;5.97e+03;6.05e+03;6.35e+03;  5%;  5%;  6%;100;0.0156;0;0;0;0;0;0;0;100;0.0124;0;0;0;0;0;0;0;100;0.0179;0;0;0;0;0;0;0;100;0.0199;0;0;0;0;0;0;0;404;393;409;406;74.2 ;77.6 ;81.3 ;70.6 ;
