System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-07;01:14:01.289;0.539;1.03;0.525;0.809;122;184;0.338;0.997;0.000127;0.000191;9.28;6.89;9.62e+05;9.37e+05;1.14e+04;2.05;51.3;1.08;26.9;1.4e+04;64.9;5.26;0.0293;29.9;0;8.43;0;0;0;1.2e+03;177;0.543;1.03;0.528;0.809;29.4;44.5;0.338;0.997;0.00012;0.000181; 32640;640;2001;2.36;1.71;45;0.539;1.02;0.528;0.809;29.5;47.8;0.382;0.997;0.000122;0.000198; 27600;538;2237;2.32;1.73;46;0.534;1.02;0.521;0.809;21.8;31.4;0.306;0.998;9.2e-05;0.000133; 40800;369;1511;2.32;1.83;48;0.54;1.03;0.523;0.81;41.1;60.4;0.32;0.996;0.000173;0.000254; 51520;1306;2578;2.28;1.63;45;1.16e+03;996;1.35e+03;  1%;  0%;  1%;1.01e+03;1.36e+03;1.17e+03;  0%;  1%;  1%;1.05e+03;1.03e+03;1.25e+03;  1%;  1%;  1%;1.12e+03;1.27e+03;1.26e+03;  1%;  1%;  1%;65.2;2.76;0.0799;32;0;16.7;0;0;0;65.2;4.89;0.013;29.9;0;7.9;0;0;0;64.4;9.52;0.0155;26.1;0;8.9;0;0;0;64.7;3.88;0.00791;31.4;0;0;0;0;0;301;293;308;302;44.1 ;45.4 ;46.2 ;41.6 ;
2018-01-07;01:14:06.700;0.685;1.12;0.612;0.81;199;341;0.416;0.971;0.000168;0.000288;22.5;21.6;1.18e+06;1.06e+06;1.05e+04;2.24;56;1.37;34.3;3.6e+04;75.7;3.77;0.12;20.5;0;0.695;0;0;0;1.35e+03;215;0.679;1.11;0.61;0.81;47.8;82.1;0.418;0.971;0.000165;0.000283; 54560;1860;5345;5.79;5.74;44;0.683;1.12;0.607;0.81;48.8;82.6;0.409;0.972;0.000166;0.000281; 51920;1827;5930;5.47;5.11;45;0.686;1.12;0.611;0.81;49.1;83.2;0.41;0.971;0.000165;0.00028; 51840;1821;5656;5.56;5.21;47;0.694;1.12;0.621;0.809;53.3;92.8;0.426;0.97;0.000175;0.000306; 47200;1986;5878;5.67;5.5;43;2.96e+03;2.95e+03;3.18e+03;  2%;  2%;  3%;2.89e+03;3e+03;2.96e+03;  2%;  3%;  2%;2.88e+03;2.97e+03;3.04e+03;  2%;  3%;  3%;3.03e+03;3e+03;3.19e+03;  3%;  3%;  3%;75.4;2.46;0.0227;22.2;0;0.0109;0;0;0;75;5.08;0.0139;19.9;0;0.0669;0;0;0;75.5;5.96;0.0209;18.5;0;0.0146;0;0;0;76.7;1.61;0.417;21.3;0;2.65;0;0;0;337;328;343;339;53.8 ;54.5 ;55.8 ;50.9 ;
2018-01-07;01:14:12.156;0.962;1.19;0.81;0.81;12.6;41.9;0.699;1;7.16e-06;2.38e-05;0.783;0.608;1.76e+06;1.48e+06;1.15e+04;2.38;59.4;1.92;48.1;586;100;0.00022;0;0;0;0;0;0;0;1.72e+03;169;0.961;1.19;0.81;0.81;2.88;7.07;0.592;1;6.54e-06;1.6e-05; 55840;177;160;0.227;0.16;43;0.958;1.18;0.81;0.81;2.4;5.84;0.589;1;5.47e-06;1.33e-05; 50480;45;565;0.181;0.157;45;0.961;1.19;0.81;0.81;2.04;5.12;0.602;1;4.62e-06;1.16e-05; 52640;45;208;0.181;0.155;46;0.97;1.2;0.81;0.81;5.31;23.9;0.778;0.999;1.2e-05;5.38e-05; 52320;131;481;0.195;0.137;43;33;28.8;98.1;  0%;  0%;  0%;19.5;91.1;29;  0%;  0%;  0%;18.5;24;88;  0%;  0%;  0%;48.2;49.9;57.7;  0%;  0%;  0%;100;0.000198;0;0;0;0;0;0;0;100;0.0002;0;0;0;0;0;0;0;100;0.000186;0;0;0;0;0;0;0;100;0.000296;0;0;0;0;0;0;0;432;418;441;434;42.6 ;42.9 ;43.8 ;39.8 ;
2018-01-07;01:14:17.612;0.961;1.19;0.81;0.81;4.99;29;0.828;1;2.83e-06;1.65e-05;0.745;0.525;1.76e+06;1.48e+06;1.14e+04;2.37;59.4;1.92;48.1;530;100;0.000155;0;0;0;0;0;0;0;1.73e+03;168;0.96;1.19;0.81;0.81;0.482;2.84;0.83;1;1.1e-06;6.46e-06; 54960;119;7;0.218;0.14;43;0.956;1.18;0.81;0.81;0.36;2.23;0.838;1;8.23e-07;5.09e-06; 50960;2;450;0.17;0.132;44;0.96;1.19;0.81;0.81;0.322;2.06;0.844;1;7.32e-07;4.69e-06; 52160;2;107;0.172;0.132;46;0.969;1.2;0.81;0.81;3.82;21.9;0.825;0.999;8.62e-06;4.93e-05; 52400;87;340;0.184;0.121;43;33.1;29.9;91.2;  0%;  0%;  0%;19.2;81.3;28.9;  0%;  0%;  0%;18.2;26;79.9;  0%;  0%;  0%;37.4;37.7;46.8;  0%;  0%;  0%;100;0.00013;0;0;0;0;0;0;0;100;0.000104;0;0;0;0;0;0;0;100;9.29e-05;0;0;0;0;0;0;0;100;0.000294;0;0;0;0;0;0;0;433;418;441;433;42.2 ;42.5 ;43.4 ;39.5 ;
2018-01-07;01:14:23.080;0.831;1.03;0.809;0.81;1.01e+03;1.39e+03;0.271;0.936;0.000663;0.000909;82.6;64.3;1.53e+06;1.49e+06;1.14e+04;2.05;51.4;1.66;41.6;1.27e+05;100;0.00396;0;0;0;0;0;0;0;1.55e+03;347;0.828;1.02;0.809;0.81;255;347;0.266;0.939;0.00067;0.000913; 53040;6312;18647;20.7;16.1;44;0.829;1.02;0.809;0.81;252;345;0.272;0.936;0.000662;0.000909; 50960;7374;19875;20.7;16;44;0.828;1.02;0.809;0.81;256;350;0.27;0.932;0.000673;0.000922; 51280;7117;20879;20.5;15.8;46;0.841;1.04;0.809;0.81;250;345;0.275;0.935;0.000648;0.000894; 51040;6403;16631;20.7;16.3;43;1.07e+04;1.07e+04;1.06e+04; 10%; 10%; 10%;1.05e+04;1.04e+04;1.06e+04; 10%;  9%; 10%;1.05e+04;1.07e+04;1.03e+04;  9%; 10%;  9%;1.05e+04;1.06e+04;1.07e+04; 10%; 10%; 10%;100;0.00392;0;0;0;0;0;0;0;100;0.0041;0;0;0;0;0;0;0;100;0.00385;0;0;0;0;0;0;0;100;0.00399;0;0;0;0;0;0;0;390;378;396;391;85.2 ;88.4 ;92.7 ;80.2 ;
2018-01-07;01:14:28.552;0.843;1.04;0.81;0.81;1.23e+03;1.69e+03;0.272;0.559;0.000795;0.00109;91.1;65.8;1.55e+06;1.49e+06;1.15e+04;2.08;52;1.69;42.1;1.37e+05;100;0.000845;0;0;0;0;0;0;0;1.55e+03;361;0.838;1.04;0.81;0.81;314;429;0.269;0.462;0.000818;0.00112; 53040;7310;21525;22.8;16.3;43;0.84;1.04;0.81;0.81;307;423;0.275;0.466;0.000796;0.0011; 48640;8648;22823;22.8;16.4;44;0.84;1.04;0.81;0.81;310;426;0.272;0.464;0.000803;0.0011; 54960;8170;23984;22.6;16.3;46;0.852;1.05;0.81;0.81;299;411;0.273;0.715;0.000765;0.00105; 50560;7096;18595;22.9;16.8;43;1.16e+04;1.16e+04;1.15e+04; 11%; 11%; 10%;1.14e+04;1.13e+04;1.15e+04; 10%; 10%; 10%;1.13e+04;1.16e+04;1.12e+04; 10%; 11%; 10%;1.14e+04;1.14e+04;1.16e+04; 10%; 10%; 11%;100;0.000892;0;0;0;0;0;0;0;100;0.000726;0;0;0;0;0;0;0;100;0.000782;0;0;0;0;0;0;0;100;0.000981;0;0;0;0;0;0;0;387;377;393;389;88.3 ;92.4 ;97.1 ;83.7 ;
2018-01-07;01:14:34.004;0.785;0.969;0.81;0.81;1.06e+03;1.47e+03;0.279;0.921;0.000736;0.00102;73.3;41.4;1.44e+06;1.49e+06;1.15e+04;1.94;48.5;1.57;39.2;1.04e+05;100;0.0018;0;0;0;0;0;0;0;1.55e+03;316;0.784;0.968;0.81;0.81;271;374;0.276;0.919;0.000751;0.00104; 49360;5619;15999;18.3;10.3;44;0.786;0.971;0.81;0.81;264;367;0.28;0.921;0.000732;0.00102; 46560;5908;16502;18.3;10.3;44;0.783;0.968;0.81;0.81;266;369;0.279;0.917;0.000739;0.00103; 53680;5745;17044;18.3;10.3;46;0.786;0.971;0.81;0.81;261;364;0.283;0.925;0.000722;0.00101; 53120;5249;14468;18.4;10.5;43;8.71e+03;8.73e+03;8.67e+03;  8%;  8%;  8%;8.62e+03;8.55e+03;8.7e+03;  8%;  8%;  8%;8.57e+03;8.73e+03;8.52e+03;  8%;  8%;  8%;8.61e+03;8.63e+03;8.75e+03;  8%;  8%;  8%;100;0.00186;0;0;0;0;0;0;0;100;0.00171;0;0;0;0;0;0;0;100;0.00213;0;0;0;0;0;0;0;100;0.00151;0;0;0;0;0;0;0;389;379;395;391;77.1 ;80.9 ;85.1 ;73.1 ;
2018-01-07;01:14:39.484;0.668;0.825;0.81;0.81;1.24e+03;1.66e+03;0.251;0.417;0.00101;0.00135;83;32.6;1.22e+06;1.48e+06;1.14e+04;1.65;41.3;1.34;33.4;1.09e+05;100;0.000381;0;0;0;0;0;0;0;1.53e+03;325;0.668;0.825;0.81;0.81;310;414;0.251;0.422;0.00102;0.00136; 50400;5579;15172;20.8;8.17;44;0.67;0.828;0.81;0.81;312;416;0.251;0.411;0.00101;0.00135; 44960;5389;15623;20.7;8.1;45;0.669;0.826;0.81;0.81;311;415;0.252;0.411;0.00101;0.00135; 48800;5367;16205;20.7;8.05;46;0.665;0.822;0.81;0.81;310;414;0.251;0.423;0.00102;0.00136; 54240;5422;15498;20.8;8.32;43;9.08e+03;9.06e+03;9.06e+03;  8%;  8%;  8%;9.08e+03;8.99e+03;9.08e+03;  8%;  8%;  8%;9.08e+03;9.07e+03;9.04e+03;  8%;  8%;  8%;9.04e+03;9.06e+03;9.08e+03;  8%;  8%;  8%;100;0.000364;0;0;0;0;0;0;0;100;0.000386;0;0;0;0;0;0;0;100;0.000374;0;0;0;0;0;0;0;100;0.000399;0;0;0;0;0;0;0;383;373;389;386;78.7 ;82.9 ;88.6 ;74.7 ;
2018-01-07;01:14:44.960;0.433;0.535;0.809;0.81;1.63e+03;2.73e+03;0.405;0.46;0.00204;0.00343;149;166;7.98e+05;1.49e+06;1.15e+04;1.07;26.8;0.866;21.7;2.5e+05;100;0.0481;0;0;0;0;0;0;0;1.62e+03;456;0.438;0.541;0.809;0.81;403;675;0.403;0.461;0.002;0.00334; 48320;13413;40504;37.3;41.8;43;0.436;0.539;0.809;0.81;407;683;0.404;0.454;0.00202;0.0034; 47920;13221;41537;37;41.8;44;0.432;0.534;0.809;0.81;408;686;0.405;0.459;0.00205;0.00345; 50800;14320;40822;37.1;41.3;46;0.426;0.526;0.809;0.81;409;690;0.408;0.464;0.00208;0.00352; 51600;14204;40812;37.5;41.6;43;2.08e+04;2.09e+04;2.09e+04; 19%; 19%; 19%;2.09e+04;2.08e+04;2.08e+04; 19%; 19%; 19%;2.08e+04;2.08e+04;2.09e+04; 19%; 19%; 19%;2.1e+04;2.09e+04;2.09e+04; 19%; 19%; 19%;100;0.0422;0;0;0;0;0;0;0;100;0.0493;0;0;0;0;0;0;0;99.9;0.053;0;0;0;0;0;0;0;100;0.0479;0;0;0;0;0;0;0;405;396;416;406;112 ;116 ;121 ;108 ;
2018-01-07;01:14:50.448;0.291;0.36;0.808;0.81;2.06e+03;3.9e+03;0.471;0.687;0.00386;0.00729;134;145;5.35e+05;1.49e+06;1.15e+04;0.72;18;0.582;14.5;2.26e+05;99.8;0.177;0;0;0;0;0;0;0;1.48e+03;446;0.285;0.352;0.808;0.81;520;986;0.473;0.667;0.00398;0.00754; 43200;12046;35032;33.6;36.1;42;0.292;0.362;0.808;0.81;517;978;0.472;0.698;0.00385;0.00729; 61920;11581;35050;33.5;36.2;43;0.293;0.363;0.808;0.81;515;969;0.468;0.699;0.00382;0.00719; 55520;11797;35033;33.6;36.1;44;0.293;0.362;0.808;0.81;511;963;0.47;0.684;0.00379;0.00715; 54560;11748;35458;33.7;36.1;42;1.88e+04;1.89e+04;1.88e+04; 17%; 17%; 17%;1.88e+04;1.88e+04;1.88e+04; 17%; 17%; 17%;1.88e+04;1.88e+04;1.88e+04; 17%; 17%; 17%;1.89e+04;1.89e+04;1.89e+04; 17%; 18%; 17%;99.8;0.172;0;0;0;0;0;0;0;99.8;0.181;0;0;0;0;0;0;0;99.8;0.178;0;0;0;0;0;0;0;99.8;0.176;0;0;0;0;0;0;0;370;362;379;371;110 ;113 ;118 ;105 ;
