System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-07;00:46:04.641;0.712;1.67;0.426;0.852;315;720;0.563;0.867;0.000255;0.000584;30.1;23.8;1.23e+06;7.38e+05;1.06e+04;3.34;83.5;1.42;35.6;5.14e+04;50;49.9;0.00406;0.0457;0;0;0;0;0;1.43e+03;211;0.716;1.68;0.426;0.851;69;205;0.664;0.852;0.000224;0.000665; 51600;1796;5364;7.67;6.03;45;0.713;1.68;0.424;0.851;71.4;173;0.587;0.87;0.000232;0.000562; 49360;1991;5709;7.4;5.89;46;0.709;1.67;0.424;0.851;80.1;148;0.46;0.886;0.000261;0.000483; 46240;1876;5820;7.45;5.91;47;0.709;1.65;0.43;0.852;94.2;194;0.513;0.864;0.000305;0.000626; 45440;2210;6259;7.54;6.02;45;4.26e+03;4.25e+03;4.25e+03;  4%;  4%;  4%;4.32e+03;4.34e+03;4.26e+03;  4%;  4%;  4%;4.3e+03;4.24e+03;4.31e+03;  4%;  4%;  4%;4.3e+03;4.32e+03;4.27e+03;  4%;  4%;  4%;50.1;49.8;0.00457;0.0923;0;0;0;0;0;49.8;50.1;0.00056;0.0744;0;0;0;0;0;49.8;50.2;0.0106;0.00754;0;0;0;0;0;50.4;49.6;0.000517;0.0092;0;0;0;0;0;357;348;364;362;53.6 ;53.7 ;54.9 ;49.2 ;
2018-01-07;00:46:09.868;0.608;1.02;0.596;0.81;343;432;0.205;0.989;0.000336;0.000423;20.1;14.4;1.02e+06;1e+06;1.05e+04;2.04;51;1.22;30.4;3.57e+04;73.5;5.62;0.0731;20.8;0;9.57;0.0438;0.131;0;1.33e+03;198;0.6;1.01;0.595;0.811;91.8;121;0.239;0.988;0.000367;0.000482; 48560;1889;5543;5.12;3.72;46;0.604;1.02;0.594;0.811;94;116;0.193;0.988;0.000369;0.000458; 51520;2012;5919;5.02;3.57;46;0.61;1.02;0.596;0.81;84.3;103;0.184;0.99;0.000327;0.000401; 54960;1865;5346;4.99;3.54;49;0.615;1.03;0.597;0.81;73.4;91.7;0.199;0.991;0.000282;0.000352; 55760;1659;4934;5;3.54;45;2.89e+03;2.93e+03;3.01e+03;  3%;  3%;  3%;2.97e+03;3.03e+03;2.91e+03;  3%;  3%;  3%;2.96e+03;2.97e+03;2.99e+03;  3%;  3%;  3%;2.98e+03;3.01e+03;3.03e+03;  3%;  3%;  3%;73.4;5.33;0.0854;21.2;0;15.4;0;0.176;0;73.3;6.36;0.0888;20.3;0;3.09;0;0.174;0;73.5;5.71;0.0407;20.7;0;6.98;0;0.175;0;73.8;5.08;0.0777;21.1;0;12.9;0.174;0;0;332;324;339;334;49.9 ;50.6 ;51.6 ;46.3 ;
2018-01-07;00:46:15.340;0.565;0.703;0.803;0.81;1.82e+03;1.99e+03;0.0863;0.948;0.00175;0.00192;164;150;1.04e+06;1.48e+06;1.15e+04;1.41;35.2;1.13;28.2;2.63e+05;99.2;0.756;0;0;0;0;0;0;0;1.69e+03;434;0.571;0.707;0.807;0.81;449;487;0.0787;0.95;0.00171;0.00186; 26320;12502;37595;41;37.5;42;0.574;0.716;0.802;0.81;445;486;0.0829;0.949;0.00169;0.00184; 76160;12462;38433;40.8;37.6;44;0.56;0.701;0.799;0.81;455;500;0.0889;0.947;0.00177;0.00194; 68160;13208;38162;40.8;37.5;45;0.555;0.688;0.806;0.81;469;518;0.094;0.944;0.00184;0.00203; 38960;13355;39210;40.8;37.5;44;2.19e+04;2.2e+04;2.19e+04; 20%; 20%; 20%;2.18e+04;2.18e+04;2.18e+04; 20%; 20%; 20%;2.18e+04;2.2e+04;2.19e+04; 20%; 20%; 20%;2.19e+04;2.18e+04;2.19e+04; 20%; 20%; 20%;99.6;0.364;0;0;0;0;0;0;0;99;0.959;0;0;0;0;0;0;0;98.7;1.28;0;0;0;0;0;0;0;99.6;0.417;0;0;0;0;0;0;0;420;411;433;422;108 ;110 ;114 ;103 ;
2018-01-07;00:46:20.784;0.629;0.777;0.809;0.81;2.8e+03;4.17e+03;0.33;0.357;0.00243;0.00363;176;172;1.15e+06;1.48e+06;1.15e+04;1.55;38.9;1.26;31.4;2.95e+05;99.9;0.0858;0;0;0;0;0;0;0;1.64e+03;485;0.627;0.776;0.808;0.81;667;1.01e+03;0.342;0.38;0.00233;0.00353; 51840;12015;38125;44.4;43.6;45;0.627;0.775;0.809;0.81;709;1.05e+03;0.327;0.357;0.00247;0.00367; 47760;10857;42022;43.8;43.3;46;0.629;0.777;0.809;0.81;733;1.08e+03;0.319;0.352;0.00255;0.00374; 51760;12542;41091;43.5;42;47;0.632;0.781;0.809;0.81;687;1.03e+03;0.332;0.338;0.00238;0.00356; 52800;14769;46367;43.9;43.1;45;2.48e+04;2.48e+04;2.35e+04; 23%; 23%; 22%;2.52e+04;2.47e+04;2.45e+04; 24%; 23%; 23%;2.52e+04;2.47e+04;2.5e+04; 24%; 23%; 23%;2.5e+04;2.47e+04;2.33e+04; 23%; 23%; 22%;99.8;0.158;0;0;0;0;0;0;0;99.9;0.0594;0;0;0;0;0;0;0;99.9;0.0584;0;0;0;0;0;0;0;99.9;0.067;0;0;0;0;0;0;0;412;399;417;412;120 ;124 ;127 ;114 ;
2018-01-07;00:46:26.280;0.788;0.974;0.809;0.81;1.52e+03;2.39e+03;0.367;0.318;0.00104;0.00165;96.8;71.5;1.45e+06;1.49e+06;1.15e+04;1.95;48.7;1.58;39.4;1.51e+05;100;0.0054;0;0;0;0;0;0;0;1.57e+03;372;0.787;0.973;0.809;0.81;352;575;0.387;0.324;0.000971;0.00159; 52640;5235;16944;24.5;18.4;45;0.788;0.973;0.809;0.81;394;611;0.356;0.303;0.00109;0.00169; 49280;5399;19614;24.3;18.2;46;0.788;0.974;0.809;0.81;389;609;0.36;0.322;0.00107;0.00168; 51280;5187;17634;23.9;17.2;47;0.789;0.975;0.809;0.81;381;600;0.364;0.324;0.00105;0.00165; 50880;7189;22746;24.1;17.7;44;1.28e+04;1.24e+04;1.19e+04; 12%; 11%; 11%;1.27e+04;1.31e+04;1.26e+04; 12%; 12%; 11%;1.28e+04;1.23e+04;1.26e+04; 12%; 11%; 11%;1.26e+04;1.31e+04;1.18e+04; 12%; 12%; 11%;100;0.005;0;0;0;0;0;0;0;100;0.00601;0;0;0;0;0;0;0;100;0.0046;0;0;0;0;0;0;0;100;0.00598;0;0;0;0;0;0;0;393;381;400;396;92.1 ;95.1 ;99.8 ;85.5 ;
2018-01-07;00:46:31.784;0.863;1.02;0.842;0.847;1.22e+03;1.94e+03;0.371;0.309;0.000767;0.00122;79.7;49.6;1.59e+06;1.55e+06;1.15e+04;2.05;51.2;1.73;43.2;1.2e+05;99.5;0.496;0;0.0385;0;0;0;0;0;1.66e+03;338;0.864;1.03;0.842;0.846;279;461;0.394;0.303;0.000702;0.00116; 53760;3840;12451;20.1;12.9;44;0.859;1.02;0.839;0.847;316;493;0.359;0.3;0.000798;0.00125; 50720;4378;14604;20.1;12.8;45;0.866;1.02;0.847;0.847;319;500;0.363;0.309;0.000798;0.00125; 51440;3972;13194;19.7;11.7;47;0.865;1.03;0.842;0.848;307;487;0.37;0.323;0.000769;0.00122; 50320;5069;16731;19.8;12.2;44;1.02e+04;9.9e+03;9.37e+03;  9%;  9%;  8%;1.01e+04;1.04e+04;1.01e+04;  9%;  9%;  9%;1.02e+04;9.89e+03;9.99e+03;  9%;  9%;  9%;1.01e+04;1.04e+04;9.42e+03;  9%;  9%;  8%;99.5;0.539;0;0;0;0;0;0;0;99;0.814;0;0.154;0;0;0;0;0;100;0.0011;0;0;0;0;0;0;0;99.4;0.631;0;0;0;0;0;0;0;414;401;424;418;83.5 ;86.6 ;91 ;77.4 ;
2018-01-07;00:46:37.284;0.85;1.04;0.819;0.819;1.12e+03;1.76e+03;0.363;0.289;0.000715;0.00112;72.5;43.3;1.57e+06;1.51e+06;1.16e+04;2.07;51.9;1.7;42.5;1.09e+05;100;0;0;0;0;0;0;0;0;1.59e+03;324;0.852;1.04;0.82;0.82;256;416;0.386;0.301;0.000648;0.00106; 54400;3369;10999;18.3;11.3;44;0.849;1.04;0.819;0.819;293;450;0.35;0.277;0.000746;0.00115; 54000;4301;13083;18.4;11.2;45;0.849;1.04;0.819;0.819;290;450;0.355;0.29;0.000741;0.00115; 52240;3487;11584;17.9;10.1;47;0.849;1.04;0.819;0.819;285;446;0.361;0.289;0.000727;0.00114; 50160;4338;15300;18;10.6;44;9.24e+03;8.89e+03;8.52e+03;  8%;  8%;  8%;9.16e+03;9.57e+03;9.09e+03;  8%;  9%;  8%;9.23e+03;8.79e+03;9.11e+03;  8%;  8%;  8%;9.17e+03;9.58e+03;8.45e+03;  8%;  9%;  8%;100;0.00117;0;0;0;0;0;0;0;100;0.00106;0;0;0;0;0;0;0;100;0.00111;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;398;385;405;400;79.7 ;83 ;87.2 ;74.5 ;
2018-01-07;00:46:42.780;0.844;1.04;0.81;0.81;1.08e+03;1.69e+03;0.36;0.29;0.000693;0.00108;70.1;40.9;1.56e+06;1.5e+06;1.16e+04;2.09;52.2;1.69;42.2;1.05e+05;100;0.000607;0;0;0;0;0;0;0;1.57e+03;320;0.846;1.05;0.81;0.81;246;399;0.383;0.302;0.000629;0.00102; 50080;3191;10587;17.7;10.7;44;0.843;1.04;0.81;0.81;282;432;0.348;0.28;0.000723;0.00111; 53920;4157;12748;17.8;10.6;45;0.843;1.04;0.81;0.81;280;433;0.352;0.29;0.00072;0.00111; 51280;3384;11146;17.3;9.55;47;0.845;1.04;0.81;0.81;274;427;0.36;0.288;0.000701;0.0011; 52240;4197;14503;17.4;10;44;8.9e+03;8.58e+03;8.2e+03;  8%;  8%;  7%;8.85e+03;9.19e+03;8.77e+03;  8%;  8%;  8%;8.9e+03;8.48e+03;8.77e+03;  8%;  8%;  8%;8.84e+03;9.21e+03;8.14e+03;  8%;  8%;  7%;100;0.000514;0;0;0;0;0;0;0;100;0.0006;0;0;0;0;0;0;0;100;0.000529;0;0;0;0;0;0;0;100;0.000784;0;0;0;0;0;0;0;394;382;401;396;78.7 ;81.8 ;85.8 ;73.4 ;
2018-01-07;00:46:48.288;0.846;1.04;0.81;0.81;1.07e+03;1.67e+03;0.358;0.291;0.000686;0.00107;69.7;40.4;1.56e+06;1.5e+06;1.16e+04;2.09;52.2;1.69;42.3;1.04e+05;100;0.000589;0;0;0;0;0;0;0;1.58e+03;319;0.847;1.05;0.81;0.81;244;394;0.38;0.304;0.000624;0.00101; 50320;3159;10508;17.6;10.6;44;0.845;1.04;0.81;0.81;279;426;0.346;0.282;0.000715;0.00109; 55200;4132;12555;17.7;10.5;45;0.843;1.04;0.81;0.81;279;428;0.349;0.289;0.000716;0.0011; 52480;3318;10945;17.2;9.42;47;0.847;1.05;0.81;0.81;270;421;0.358;0.289;0.000691;0.00108; 50000;4167;14271;17.3;9.88;44;8.84e+03;8.54e+03;8.13e+03;  8%;  8%;  7%;8.81e+03;9.11e+03;8.71e+03;  8%;  8%;  8%;8.85e+03;8.45e+03;8.71e+03;  8%;  8%;  8%;8.8e+03;9.14e+03;8.09e+03;  8%;  8%;  7%;100;0.000503;0;0;0;0;0;0;0;100;0.000701;0;0;0;0;0;0;0;100;0.000526;0;0;0;0;0;0;0;100;0.000624;0;0;0;0;0;0;0;395;383;402;397;78.5 ;81.6 ;85.8 ;73.3 ;
2018-01-07;00:46:53.752;0.847;1.05;0.81;0.81;1.06e+03;1.66e+03;0.357;0.29;0.000681;0.00106;68.8;39.5;1.56e+06;1.5e+06;1.15e+04;2.09;52.3;1.69;42.3;1.03e+05;100;0.000713;0;0;0;0;0;0;0;1.56e+03;316;0.847;1.05;0.81;0.81;243;392;0.379;0.303;0.000622;0.001; 51520;3152;10464;17.3;10.4;44;0.846;1.04;0.81;0.81;278;423;0.345;0.282;0.00071;0.00108; 56400;4103;12594;17.4;10.3;45;0.846;1.05;0.81;0.81;276;423;0.348;0.287;0.000705;0.00108; 52080;3306;10835;16.9;9.21;47;0.849;1.05;0.81;0.81;269;417;0.357;0.29;0.000686;0.00107; 50560;4200;14101;17.1;9.66;43;8.72e+03;8.38e+03;8.02e+03;  8%;  7%;  7%;8.64e+03;8.99e+03;8.61e+03;  8%;  8%;  8%;8.69e+03;8.32e+03;8.56e+03;  8%;  7%;  8%;8.63e+03;9.01e+03;7.99e+03;  8%;  8%;  7%;100;0.000511;0;0;0;0;0;0;0;100;0.000585;0;0;0;0;0;0;0;100;0.00102;0;0;0;0;0;0;0;100;0.00074;0;0;0;0;0;0;0;392;380;398;394;77.7 ;80.5 ;85 ;72.6 ;
