System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-07;01:12:45.920;0.052;0.267;0.195;0.809;220;256;0.14;0.13;0.00236;0.00274;12.9;9.46;9.35e+04;3.5e+05;1.19e+04;0.534;13.3;0.104;2.6;1.82e+04;24.1;7.36;0.0155;68.6;0;33.7;0;0;0;759;190;0.0625;0.288;0.217;0.81;77;92.4;0.167;0.132;0.00267;0.00321; 51360;1425;4182;3.29;2.28;46;0.049;0.262;0.187;0.809;48.9;56;0.127;0.124;0.0022;0.00252; 35120;694;2535;3.18;2.38;47;0.0499;0.255;0.196;0.809;50;56.8;0.119;0.13;0.00225;0.00255; 36000;751;2521;3.25;2.4;50;0.046;0.258;0.178;0.809;44.6;51.1;0.127;0.131;0.0022;0.00253; 39440;908;2011;3.22;2.41;46;1.58e+03;1.68e+03;1.61e+03;  1%;  1%;  1%;1.36e+03;1.29e+03;1.74e+03;  1%;  1%;  1%;1.32e+03;1.79e+03;1.35e+03;  1%;  1%;  1%;1.4e+03;1.3e+03;1.78e+03;  1%;  1%;  1%;26.8;10.2;0.0174;63;0;0;0;0;0;23.1;6.69;0.0104;70.2;0;61.2;0;0;0;24.2;7.13;0.00958;68.7;0;9.89;0;0;0;22.1;5.35;0.0248;72.6;0;64.8;0;0;0;200;181;190;188;47 ;48.5 ;49.7 ;44.5 ;
2018-01-07;01:12:51.364;0.178;1.05;0.169;0.809;50.5;71;0.288;0.99;0.000164;0.000231;5.61;6.21;3.08e+05;2.93e+05;1.05e+04;2.1;52.6;0.355;8.88;9.46e+03;20.9;4.21;0.0675;74.9;0;36;0;0;0;901;186;0.174;1.01;0.171;0.81;38.3;47.9;0.201;0.968;0.000515;0.000645; 35360;1026;2934;1.5;1.41;46;0.171;1.08;0.158;0.809;3.58;7.18;0.501;0.996;4.87e-05;9.75e-05; 51840;166;723;1.3;1.58;47;0.177;1.06;0.167;0.809;3.79;6.81;0.443;0.996;4.93e-05;8.84e-05; 51200;232;653;1.5;1.66;49;0.188;1.05;0.179;0.809;4.9;9.11;0.463;0.996;5.91e-05;0.00011; 74320;377;988;1.31;1.56;46;883;901;932;  0%;  0%;  0%;483;500;1.12e+03;  0%;  0%;  1%;511;1.17e+03;555;  0%;  1%;  0%;591;571;1.24e+03;  0%;  0%;  1%;21.2;7.56;0.106;71.2;0;0.0256;0;0;0;19.6;1.98;0.0499;78.4;0;67.8;0;0;0;20.7;6.27;0.0581;73;0;5.65;0;0;0;22.1;1.1;0.0562;76.8;0;69.6;0;0;0;235;216;227;223;46 ;47.3 ;48.7 ;43.8 ;
2018-01-07;01:12:56.812;0.667;0.824;0.809;0.81;2.74e+03;2.91e+03;0.0562;0.956;0.00224;0.00238;225;126;1.22e+06;1.48e+06;1.15e+04;1.65;41.2;1.33;33.4;3.49e+05;100;0.0294;0;0;0;0;0;0;0;1.93e+03;457;0.669;0.826;0.809;0.81;674;714;0.0551;0.957;0.0022;0.00233; 53600;18541;49130;58.4;31.5;42;0.659;0.814;0.809;0.81;708;752;0.0586;0.954;0.00234;0.00249; 48960;17876;53934;56.4;30.5;44;0.678;0.838;0.809;0.81;654;691;0.0547;0.96;0.0021;0.00222; 42080;12430;42389;54.6;32.3;44;0.663;0.819;0.809;0.81;708;750;0.0563;0.955;0.00233;0.00247; 51200;16800;52705;56;31.3;43;3.06e+04;2.82e+04;3.09e+04; 29%; 26%; 29%;3e+04;3.08e+04;3.02e+04; 28%; 29%; 28%;2.8e+04;2.58e+04;2.66e+04; 26%; 24%; 25%;2.76e+04;3.06e+04;2.97e+04; 26%; 29%; 28%;100;0.0268;0;0;0;0;0;0;0;100;0.0299;0;0;0;0;0;0;0;100;0.0317;0;0;0;0;0;0;0;100;0.0291;0;0;0;0;0;0;0;480;473;504;478;114 ;115 ;119 ;108 ;
2018-01-07;01:13:02.304;0.908;1.12;0.809;0.81;1.61e+03;1.68e+03;0.0409;0.984;0.000963;0.001;109;135;1.67e+06;1.49e+06;1.15e+04;2.25;56.1;1.82;45.4;1.97e+05;99.9;0.0521;0;0;0;0;0;0;0;1.76e+03;423;0.886;1.09;0.809;0.81;495;510;0.0283;0.98;0.00122;0.00125; 51920;14148;41247;27.4;32.5;44;0.911;1.13;0.809;0.81;466;486;0.0419;0.98;0.00111;0.00116; 63760;12265;36383;27.3;33.8;45;0.94;1.16;0.809;0.81;161;169;0.0459;0.994;0.000373;0.000391; 46640;4248;12594;27.6;37.1;47;0.897;1.11;0.809;0.81;488;514;0.0508;0.98;0.00118;0.00125; 62960;13897;40632;27.1;32.1;44;1.86e+04;1.3e+04;2.04e+04; 17%; 12%; 19%;1.14e+04;1.87e+04;1.84e+04; 10%; 17%; 17%;1.29e+04;1.43e+04;1.47e+04; 12%; 13%; 14%;1.38e+04;1.94e+04;2.08e+04; 13%; 18%; 19%;100;0.0471;0;0;0;0;0;0;0;99.9;0.0585;0;0;0;0;0;0;0;99.9;0.0528;0;0;0;0;0;0;0;100;0.0499;0;0;0;0;0;0;0;437;426;459;443;103 ;107 ;115 ;97.2 ;
2018-01-07;01:13:07.784;0.924;1.14;0.81;0.81;836;893;0.0635;0.991;0.000491;0.000525;59.3;46.7;1.7e+06;1.49e+06;1.15e+04;2.28;57.1;1.85;46.2;9.37e+04;100;0.0019;0;0;0;0;0;0;0;1.7e+03;316;0.908;1.12;0.81;0.81;230;242;0.0508;0.99;0.00055;0.00058; 65520;5824;16343;14.8;11.8;44;0.918;1.13;0.81;0.81;226;248;0.0868;0.99;0.000536;0.000587; 61040;5483;16374;14.5;11.7;45;0.944;1.17;0.81;0.81;85.1;95.2;0.107;0.997;0.000196;0.000219; 51120;1912;5759;15;12.8;47;0.927;1.15;0.81;0.81;295;307;0.0413;0.988;0.00069;0.00072; 53520;7396;21765;15.1;10.4;44;8.02e+03;5.39e+03;9.51e+03;  7%;  5%;  9%;5.37e+03;9.45e+03;7.8e+03;  5%;  8%;  7%;6.69e+03;6.62e+03;8.09e+03;  6%;  6%;  7%;7.3e+03;9.79e+03;9.71e+03;  6%;  9%;  9%;100;0.00205;0;0;0;0;0;0;0;100;0.00206;0;0;0;0;0;0;0;100;0.00226;0;0;0;0;0;0;0;100;0.00124;0;0;0;0;0;0;0;421;409;439;428;77.4 ;80.5 ;86.7 ;71.9 ;
2018-01-07;01:13:13.232;0.948;1.17;0.81;0.81;494;544;0.0912;0.995;0.000283;0.000312;35.5;28;1.74e+06;1.49e+06;1.15e+04;2.34;58.6;1.9;47.4;5.51e+04;100;0.000313;0;0;0;0;0;0;0;1.7e+03;268;0.931;1.15;0.81;0.81;164;178;0.0795;0.993;0.000383;0.000417; 52400;4020;10894;8.89;6.79;44;0.962;1.19;0.81;0.81;110;128;0.144;0.995;0.000248;0.00029; 52320;2476;7534;8.7;7.2;45;0.96;1.19;0.81;0.81;34.3;39.8;0.138;0.999;7.77e-05;9.02e-05; 50720;854;2707;8.96;7.62;47;0.941;1.16;0.81;0.81;186;197;0.0583;0.992;0.000431;0.000457; 55040;4528;13116;8.97;6.38;44;4.44e+03;3.02e+03;5.86e+03;  4%;  2%;  5%;2.8e+03;5.5e+03;5.01e+03;  2%;  5%;  4%;3.51e+03;4.41e+03;4.98e+03;  3%;  4%;  4%;3.99e+03;5.28e+03;6.25e+03;  3%;  5%;  5%;100;0.000317;0;0;0;0;0;0;0;100;0.000313;0;0;0;0;0;0;0;100;0.000288;0;0;0;0;0;0;0;100;0.000334;0;0;0;0;0;0;0;420;410;440;426;65.3 ;68.7 ;72.8 ;61.5 ;
2018-01-07;01:13:18.240;0.963;1.19;0.81;0.81;300;336;0.108;0.996;0.000186;0.000208;20.4;16.7;1.62e+06;1.36e+06;1.05e+04;2.38;59.5;1.93;48.1;3.2e+04;100;0.000303;0;0;0;0;0;0;0;1.57e+03;220;0.96;1.19;0.81;0.81;76.1;84.5;0.0993;0.996;0.000189;0.00021; 51840;2093;5585;5.06;4.19;44;0.983;1.21;0.81;0.81;38.1;51.3;0.257;0.998;9.22e-05;0.000124; 52320;895;2833;5.05;4.61;45;0.966;1.19;0.81;0.81;11.2;14.8;0.239;0.999;2.77e-05;3.64e-05; 49600;256;906;5.14;4.73;46;0.942;1.16;0.81;0.81;175;186;0.06;0.992;0.000441;0.00047; 54320;4024;11622;5.12;3.22;43;1.86e+03;1.48e+03;4.53e+03;  1%;  1%;  4%;1.14e+03;4.09e+03;2.2e+03;  1%;  4%;  2%;1.28e+03;1.97e+03;3.97e+03;  1%;  2%;  4%;2.7e+03;3e+03;3.77e+03;  2%;  3%;  3%;100;0.000292;0;0;0;0;0;0;0;100;0.000305;0;0;0;0;0;0;0;100;0.000274;0;0;0;0;0;0;0;100;0.000341;0;0;0;0;0;0;0;390;381;404;391;53.5 ;56.7 ;59.2 ;50 ;
2018-01-07;01:13:23.708;0.969;1.2;0.81;0.81;237;272;0.13;0.997;0.000134;0.000153;17.2;14.6;1.77e+06;1.48e+06;1.14e+04;2.39;59.9;1.94;48.5;2.72e+04;100;0.000301;0;0;0;0;0;0;0;1.71e+03;225;0.973;1.2;0.81;0.81;40.3;48.2;0.163;0.998;9.07e-05;0.000108; 52160;1159;2918;4.33;3.9;44;0.982;1.21;0.81;0.81;41.1;54.7;0.248;0.998;9.15e-05;0.000122; 47520;975;3025;4.22;3.86;45;0.965;1.19;0.81;0.81;13.6;16.8;0.193;0.999;3.07e-05;3.8e-05; 42400;329;1055;4.37;4.16;47;0.957;1.18;0.81;0.81;142;152;0.0694;0.994;0.000324;0.000348; 59040;3434;10153;4.24;2.69;43;1.66e+03;1.15e+03;3.54e+03;  1%;  1%;  3%;1.16e+03;3.5e+03;1.61e+03;  1%;  3%;  1%;1.45e+03;1.38e+03;3.23e+03;  1%;  1%;  3%;2.48e+03;3.04e+03;3.01e+03;  2%;  2%;  2%;100;0.000294;0;0;0;0;0;0;0;100;0.000302;0;0;0;0;0;0;0;100;0.000272;0;0;0;0;0;0;0;100;0.000337;0;0;0;0;0;0;0;428;417;441;429;55.5 ;57.7 ;60.2 ;51.3 ;
2018-01-07;01:13:29.144;0.965;1.19;0.81;0.81;98.1;121;0.19;0.999;5.55e-05;6.85e-05;7.52;5.21;1.77e+06;1.48e+06;1.15e+04;2.39;59.6;1.93;48.3;1.08e+04;100;0.000266;0;0;0;0;0;0;0;1.71e+03;192;0.972;1.2;0.81;0.81;22.4;27.8;0.193;0.999;5.04e-05;6.24e-05; 48880;703;1510;1.93;1.39;43;0.965;1.19;0.81;0.81;17.2;27.7;0.38;0.999;3.88e-05;6.27e-05; 50960;363;1217;1.85;1.41;45;0.956;1.18;0.81;0.81;5.72;7.8;0.267;1;1.3e-05;1.78e-05; 45840;124;444;1.9;1.52;47;0.969;1.2;0.81;0.81;52.8;57.8;0.0871;0.998;0.000119;0.000131; 52720;1149;3458;1.85;0.894;43;661;552;1.48e+03;  0%;  0%;  1%;440;1.33e+03;764;  0%;  1%;  0%;513;745;1.28e+03;  0%;  0%;  1%;827;958;1.2e+03;  0%;  0%;  1%;100;0.000294;0;0;0;0;0;0;0;100;0.000282;0;0;0;0;0;0;0;100;0.000201;0;0;0;0;0;0;0;100;0.000286;0;0;0;0;0;0;0;428;416;440;426;48 ;49.5 ;50.1 ;44.7 ;
2018-01-07;01:13:34.576;0.963;1.19;0.81;0.81;68.4;87.3;0.216;0.999;3.89e-05;4.96e-05;4.62;3.17;1.76e+06;1.48e+06;1.14e+04;2.38;59.4;1.93;48.1;6.52e+03;100;0.000193;0;0;0;0;0;0;0;1.71e+03;183;0.963;1.19;0.81;0.81;14.3;18;0.203;0.999;3.26e-05;4.09e-05; 52880;471;900;1.19;0.878;44;0.96;1.19;0.81;0.81;0.413;9;0.954;1;9.42e-07;2.05e-05; 48720;2;112;1.14;0.896;44;0.957;1.18;0.81;0.81;0.265;1.89;0.86;1;6.06e-07;4.32e-06; 46800;1;85;1.15;0.898;46;0.97;1.2;0.81;0.81;53.4;58.4;0.0858;0.998;0.000121;0.000132; 52880;1183;3396;1.14;0.503;43;218;225;1.16e+03;  0%;  0%;  1%;159;1.09e+03;302;  0%;  1%;  0%;159;305;1.08e+03;  0%;  0%;  1%;554;563;707;  0%;  0%;  0%;100;0.000239;0;0;0;0;0;0;0;100;0.000121;0;0;0;0;0;0;0;100;9.54e-05;0;0;0;0;0;0;0;100;0.000315;0;0;0;0;0;0;0;429;418;440;425;45.9 ;47 ;47.4 ;42.8 ;
