System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-07;02:15:11.862;0.0776;0.232;0.334;0.656;846;1.06e+03;0.199;0.0649;0.00604;0.00754;43;13;1.4e+05;6.04e+05;1.2e+04;0.464;11.6;0.155;3.88;8.22e+04;51;5.09;0.0432;43.9;0;10.2;0;0;0;894;221;0.0773;0.228;0.34;0.663;218;270;0.194;0.0589;0.00609;0.00756; 45200;3045;9189;10.6;3.24;45;0.0835;0.242;0.346;0.657;224;282;0.206;0.066;0.00589;0.00742; 51280;3475;9421;10.8;3.2;47;0.0757;0.23;0.329;0.653;206;256;0.196;0.0711;0.00608;0.00755; 46480;2896;8684;10.6;3.25;50;0.0738;0.229;0.322;0.649;199;248;0.198;0.0639;0.00612;0.00763; 45520;2762;8273;11;3.35;46;7.02e+03;6.68e+03;6.72e+03;  6%;  6%;  6%;6.89e+03;6.9e+03;6.9e+03;  6%;  6%;  6%;6.97e+03;6.69e+03;6.82e+03;  6%;  6%;  6%;6.83e+03;6.99e+03;6.74e+03;  6%;  6%;  6%;51.3;4.81;0.136;43.8;0;12.7;0;0;0;52.6;5.22;0.0112;42.1;0;0;0;0;0;50.4;4.58;0.0141;45;0;14;0;0;0;49.7;5.76;0.00886;44.5;0;14.2;0;0;0;225;222;226;221;54.6 ;56.5 ;57.8 ;52.3 ;
2018-01-07;02:15:17.316;0.321;1.21;0.265;0.619;42.9;170;0.747;0.947;7.7e-05;0.000304;4.67;4.78;5.57e+05;4.6e+05;1.05e+04;2.42;60.5;0.642;16;7.15e+03;42.8;7.57;0.0312;49.6;0;4.77;0;0;0;895;183;0.313;1.2;0.261;0.619;7.06;37.1;0.81;0.953;5.27e-05;0.000277; 47520;324;735;1.26;1.27;46;0.321;1.2;0.267;0.619;22.5;57.1;0.606;0.927;0.000162;0.000412; 52320;634;1969;1.07;1.08;47;0.321;1.21;0.265;0.619;6.66;36.9;0.819;0.953;4.77e-05;0.000264; 53120;300;792;1.22;1.21;49;0.327;1.22;0.268;0.619;6.67;38.4;0.826;0.953;4.62e-05;0.000266; 52320;330;877;1.13;1.21;45;786;512;497;  0%;  0%;  0%;622;611;683;  0%;  0%;  0%;744;536;458;  0%;  0%;  0%;452;727;521;  0%;  0%;  0%;42.2;3.99;0.0401;53.8;0;19.3;0;0;0;43.1;6.4;0.0314;50.4;0;0.0144;0;0;0;42.8;9.14;0.0253;48;0;0.0521;0;0;0;43.3;10.6;0.0282;46.1;0;0.0295;0;0;0;225;221;226;222;45.9 ;46.6 ;47.3 ;43.3 ;
2018-01-07;02:15:22.720;1.13;1.28;0.88;0.88;71.3;695;0.897;0.891;3.47e-05;0.000337;7.31;8.13;2.06e+06;1.6e+06;1.15e+04;2.57;64.2;2.26;56.5;1.17e+04;100;0.0153;0;0;0;0;0;0;0;1.77e+03;194;1.13;1.28;0.877;0.877;17.5;172;0.898;0.891;3.41e-05;0.000336; 48800;624;1509;1.82;2.03;44;1.13;1.28;0.879;0.879;18.8;174;0.892;0.891;3.65e-05;0.000337; 51280;898;1942;1.8;2.03;45;1.13;1.28;0.879;0.879;17.7;174;0.898;0.891;3.44e-05;0.000338; 50880;594;1742;1.95;2.05;48;1.13;1.29;0.883;0.883;17.3;175;0.901;0.891;3.36e-05;0.000339; 53760;833;1855;1.75;2.01;44;988;988;952;  0%;  0%;  0%;977;964;968;  0%;  0%;  0%;997;987;961;  0%;  0%;  0%;955;973;947;  0%;  0%;  0%;100;0.0171;0;0;0;0;0;0;0;100;0.0165;0;0;0;0;0;0;0;100;0.0152;0;0;0;0;0;0;0;100;0.0127;0;0;0;0;0;0;0;442;431;451;446;48 ;49.6 ;50.7 ;45.8 ;
2018-01-07;02:15:28.172;1.05;1.28;0.818;0.818;65.5;647;0.899;0.891;3.42e-05;0.000338;6.86;7.39;1.91e+06;1.49e+06;1.13e+04;2.57;64.2;2.1;52.6;1.08e+04;100;0.005;0;0;0;0;0;0;0;1.59e+03;194;1.05;1.28;0.819;0.819;16.7;162;0.897;0.89;3.5e-05;0.000338; 45920;568;1388;1.77;1.85;44;1.05;1.29;0.819;0.819;16.1;160;0.899;0.892;3.36e-05;0.000335; 52640;781;1710;1.67;1.85;45;1.05;1.29;0.818;0.818;16.5;162;0.898;0.891;3.44e-05;0.000338; 51280;554;1500;1.79;1.86;48;1.05;1.29;0.817;0.817;16.2;163;0.901;0.89;3.38e-05;0.00034; 53120;775;1698;1.64;1.84;44;889;927;899;  0%;  0%;  0%;879;872;919;  0%;  0%;  0%;886;961;878;  0%;  0%;  0%;872;867;928;  0%;  0%;  0%;100;0.00123;0;0;0;0;0;0;0;100;0.00131;0;0;0;0;0;0;0;100;0.0162;0;0;0;0;0;0;0;100;0.00125;0;0;0;0;0;0;0;397;388;405;400;48.1 ;49.4 ;50.3 ;45.9 ;
2018-01-07;02:15:33.644;1.04;1.29;0.809;0.81;66.8;650;0.897;0.89;3.48e-05;0.000339;7.25;7.4;1.92e+06;1.49e+06;1.15e+04;2.57;64.3;2.08;52;1.12e+04;99.9;0.0946;0;0;0;0;0;0;0;1.59e+03;195;1.04;1.28;0.809;0.81;17.9;164;0.891;0.889;3.72e-05;0.000342; 47120;628;1421;1.85;1.85;44;1.04;1.29;0.807;0.81;16.1;161;0.899;0.891;3.36e-05;0.000334; 51600;763;1699;1.74;1.85;45;1.04;1.29;0.81;0.81;16.4;163;0.899;0.89;3.42e-05;0.000338; 51760;530;1536;1.93;1.87;48;1.04;1.29;0.809;0.81;16.4;164;0.9;0.89;3.42e-05;0.000341; 52400;784;1736;1.73;1.84;44;909;950;926;  0%;  0%;  0%;877;869;1.03e+03;  0%;  0%;  0%;885;1.07e+03;884;  0%;  1%;  0%;876;865;1.04e+03;  0%;  0%;  0%;100;0.0306;0;0;0;0;0;0;0;99.7;0.296;0;0;0;0;0;0;0;100;0.000368;0;0;0;0;0;0;0;99.9;0.0514;0;0;0;0;0;0;0;397;386;404;399;48.2 ;49.6 ;50.7 ;46.2 ;
2018-01-07;02:15:39.120;1.03;1.28;0.804;0.81;70.8;649;0.891;0.889;3.73e-05;0.000342;8.1;7.57;1.89e+06;1.48e+06;1.15e+04;2.57;64.2;2.06;51.6;1.21e+04;99.3;0.4;0;0.298;0;0;0;0;0;1.58e+03;197;1.03;1.28;0.803;0.81;20.2;165;0.877;0.887;4.28e-05;0.000349; 46000;651;1494;2.03;1.88;44;1.03;1.29;0.804;0.81;16.8;160;0.895;0.89;3.54e-05;0.000338; 55120;705;1638;1.92;1.89;45;1.03;1.28;0.804;0.81;16.9;161;0.895;0.89;3.57e-05;0.000339; 53920;523;1528;2.25;1.92;48;1.03;1.28;0.804;0.81;16.9;163;0.897;0.89;3.55e-05;0.000343; 53520;804;1849;1.9;1.87;44;967;1.02e+03;976;  0%;  0%;  0%;908;884;1.23e+03;  0%;  0%;  1%;922;1.3e+03;916;  0%;  1%;  0%;904;882;1.24e+03;  0%;  0%;  1%;99.2;0.528;0;0.227;0;0;0;0;0;99.3;0.417;0;0.322;0;0;0;0;0;99.3;0.266;0;0.402;0;0;0;0;0;99.4;0.388;0;0.24;0;0;0;0;0;395;385;402;398;48.8 ;49.9 ;51.5 ;46.4 ;
2018-01-07;02:15:44.516;1.02;1.3;0.782;0.81;68.1;622;0.89;0.889;3.66e-05;0.000334;7.78;7.19;1.86e+06;1.43e+06;1.14e+04;2.61;65.1;2.04;50.9;1.16e+04;96.5;2.48;0.000345;0.976;0;0;0;0;0;1.55e+03;193;1.01;1.32;0.762;0.81;19.2;154;0.876;0.887;4.16e-05;0.000335; 52800;624;1524;1.96;1.79;44;1.02;1.29;0.797;0.81;16.5;157;0.895;0.89;3.54e-05;0.000337; 54080;660;1608;1.85;1.79;45;1.02;1.3;0.783;0.81;16.4;154;0.894;0.89;3.52e-05;0.000332; 50400;513;1485;2.13;1.82;48;1.02;1.3;0.784;0.81;16;155;0.897;0.89;3.44e-05;0.000334; 54160;766;1699;1.84;1.79;44;932;970;928;  0%;  0%;  0%;873;847;1.18e+03;  0%;  0%;  1%;887;1.23e+03;872;  0%;  1%;  0%;860;846;1.18e+03;  0%;  0%;  1%;94.1;4.71;0.00138;1.15;0;0;0;0;0;98.4;0.733;0;0.871;0;0;0;0;0;96.8;2.31;0;0.94;0;0;0;0;0;96.9;2.15;0;0.946;0;0;0;0;0;386;378;394;389;47.9 ;48.9 ;50.5 ;45.6 ;
2018-01-07;02:15:49.984;1.04;1.3;0.796;0.81;65.3;629;0.896;0.89;3.46e-05;0.000333;7.77;7.34;1.89e+06;1.45e+06;1.14e+04;2.6;65.1;2.07;51.8;1.16e+04;98.3;1.67;0;0;0;0;0;0;0;1.58e+03;196;1.03;1.31;0.791;0.81;19.1;159;0.88;0.887;4.05e-05;0.000339; 50960;657;1619;1.98;1.82;44;1.04;1.29;0.803;0.81;15.4;155;0.901;0.892;3.26e-05;0.000328; 52720;534;1692;1.86;1.84;45;1.04;1.3;0.797;0.81;15.6;156;0.9;0.891;3.3e-05;0.000329; 53440;452;1492;2.07;1.85;48;1.03;1.3;0.793;0.81;15.2;158;0.904;0.889;3.22e-05;0.000335; 54160;720;1627;1.86;1.83;44;944;977;942;  0%;  0%;  0%;862;844;1.2e+03;  0%;  0%;  1%;867;1.24e+03;860;  0%;  1%;  0%;855;843;1.21e+03;  0%;  0%;  1%;97.7;2.29;0;0;0;0;0;0;0;99.2;0.808;0;0;0;0;0;0;0;98.4;1.59;0;0;0;0;0;0;0;98;1.98;0;0;0;0;0;0;0;395;386;403;398;48.7 ;49.8 ;50.8 ;46.3 ;
2018-01-07;02:15:55.452;1.04;1.29;0.809;0.81;67.3;650;0.896;0.889;3.51e-05;0.000339;7.88;7.48;1.92e+06;1.49e+06;1.15e+04;2.57;64.3;2.08;52;1.18e+04;99.9;0.111;0;0.0114;0;0;0;0;0;1.58e+03;196;1.04;1.28;0.809;0.81;19.7;166;0.881;0.886;4.12e-05;0.000346; 50640;656;1636;2;1.86;44;1.04;1.29;0.808;0.81;15.8;159;0.9;0.891;3.3e-05;0.000331; 54080;554;1656;1.88;1.87;45;1.04;1.29;0.808;0.81;15.9;161;0.901;0.889;3.32e-05;0.000336; 51520;473;1531;2.06;1.88;47;1.04;1.29;0.809;0.81;15.8;164;0.903;0.888;3.31e-05;0.000343; 52080;744;1668;1.93;1.87;44;957;985;965;  0%;  0%;  0%;869;869;1.22e+03;  0%;  0%;  1%;876;1.26e+03;876;  0%;  1%;  0%;868;867;1.23e+03;  0%;  0%;  1%;99.9;0.0424;0;0.0267;0;0;0;0;0;99.9;0.128;0;0.00238;0;0;0;0;0;99.8;0.161;0;0.00435;0;0;0;0;0;99.9;0.11;0;0.0123;0;0;0;0;0;396;386;403;398;48.8 ;50 ;51.2 ;46.3 ;
2018-01-07;02:16:00.920;1.04;1.29;0.809;0.81;67;649;0.897;0.889;3.5e-05;0.000339;7.83;7.54;1.91e+06;1.49e+06;1.15e+04;2.57;64.3;2.08;52;1.17e+04;99.9;0.071;0;0;0;0;0;0;0;1.58e+03;196;1.04;1.28;0.809;0.81;19.6;165;0.882;0.887;4.1e-05;0.000346; 51280;667;1688;2.03;1.87;44;1.04;1.29;0.808;0.81;15.9;158;0.9;0.891;3.32e-05;0.000331; 53600;528;1598;1.88;1.89;45;1.04;1.29;0.809;0.81;15.9;161;0.902;0.889;3.32e-05;0.000338; 50960;450;1527;2.01;1.89;48;1.04;1.29;0.81;0.81;15.7;164;0.904;0.888;3.28e-05;0.000343; 54960;757;1707;1.92;1.89;44;952;975;955;  0%;  0%;  0%;859;862;1.22e+03;  0%;  0%;  1%;866;1.25e+03;865;  0%;  1%;  0%;859;858;1.22e+03;  0%;  0%;  1%;100;0.0115;0;0;0;0;0;0;0;99.8;0.236;0;0;0;0;0;0;0;100;0.0364;0;0;0;0;0;0;0;100;0.00034;0;0;0;0;0;0;0;396;386;403;398;48.8 ;49.6 ;51 ;46.5 ;
