System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-07;21:51:40.028;1.24;1.19;1.04;1.22;23.6;43.9;0.462;1;1.11e-05;2.07e-05;3.32;3.57;2.12e+06;1.79e+06;1.05e+04;2.37;59.3;2.47;61.8;4.92e+03;85.3;1.98;0.107;12.6;0;4.02;0;0;0;2.82e+03;222;1.22;1.18;1.04;1.23;3.37;8.19;0.589;1;6.49e-06;1.58e-05; 52560;306;837;0.89;0.99;36;1.24;1.19;1.04;1.23;10.6;16.4;0.351;0.999;2.01e-05;3.09e-05; 55440;461;2022;0.782;0.866;35;1.22;1.18;1.04;1.21;3.3;7.08;0.534;1;6.25e-06;1.34e-05; 49760;606;528;0.888;0.931;40;1.25;1.19;1.05;1.23;6.31;12.3;0.485;1;1.16e-05;2.25e-05; 47840;321;1774;0.757;0.782;37;385;269;468;  0%;  0%;  0%;322;532;337;  0%;  0%;  0%;380;279;463;  0%;  0%;  0%;445;576;460;  0%;  0%;  0%;85.1;1.64;0.00573;13.3;0;5.01;0;0;0;85;2.86;0.0118;12.1;0;0.45;0;0;0;85.6;1.02;0.0115;13.4;0;10.6;0;0;0;85.7;2.38;0.392;11.5;0;0;0;0;0;702;706;705;705;55 ;57.3 ;56.1 ;53.8 ;
2018-01-07;21:51:45.074;0.399;1.14;0.35;0.99;29;81.1;0.642;0.997;4.09e-05;0.000114;2.8;2.83;7.09e+05;6.23e+05;1.13e+04;2.28;56.9;0.798;19.9;3.82e+03;35.4;4.11;0.0439;60.4;0;19.3;0;0;0;1.03e+03;159;0.984;1.14;0.866;0.91;6.38;17.3;0.631;0.998;1.44e-05;3.92e-05; 53280;572;1083;0.723;0.737;45;0.215;1.15;0.187;1.16;3.81;31.4;0.879;0.995;3.97e-05;0.000327; 48880;87;306;0.711;0.736;47;0.199;1.15;0.174;1.15;3.29;11;0.701;0.998;3.73e-05;0.000125; 51040;84;295;0.681;0.699;50;0.188;1.12;0.168;1.16;15.5;21.4;0.273;0.996;0.000188;0.000258; 44800;570;1681;0.686;0.659;47;391;379;558;  0%;  0%;  0%;167;344;278;  0%;  0%;  0%;170;268;332;  0%;  0%;  0%;265;282;381;  0%;  0%;  0%;95.1;1.09;0.0387;3.76;0;0;0;0;0;16;5.21;0.0213;78.7;0;11.8;0;0;0;15.2;6.24;0.00948;78.6;0;48.8;0;0;0;14.5;3.95;0.107;81.5;0;16.8;0;0;0;382;214;221;217;37.5 ;44.1 ;39.7 ;37.7 ;
2018-01-07;21:51:50.105;0.0811;0.398;0.204;0.811;1.39;31.9;0.956;0.174;1.02e-05;0.000233;0.461;0.506;1.37e+05;3.45e+05;1.06e+04;0.795;19.9;0.162;4.05;338;25.1;4.24;0.00598;70.6;0;24.1;0;0;0;765;118;0.321;0.396;0.811;0.811;0.372;1.97;0.812;0.676;2.73e-06;1.45e-05; 48640;129;188;0.122;0.132;45;0.00218;0.8;0.00272;0.782;0.305;24.5;0.988;0.0284;0.000331;0.0266; 47200;3;8;0.116;0.133;48;0.00018;0.416;0.000432;0.72;0.157;2.25;0.93;0.0516;0.00206;0.0295; 50240;4;25;0.0895;0.105;51;0.0006;0.695;0.000864;0.816;0.56;3.25;0.828;0.35;0.00221;0.0128; 47200;16;41;0.133;0.136;48;61.2;55;65.6;  0%;  0%;  0%;12.1;18.5;26.6;  0%;  0%;  0%;11.5;20.2;15.2;  0%;  0%;  0%;10.9;16.9;24.4;  0%;  0%;  0%;100;0.00112;0;0;0;0;0;0;0;0.348;5.18;0.0116;94.5;0;19.5;0;0;0;0.06;5.61;0.00205;94.3;0;54.4;0;0;0;0.106;6.16;0.0102;93.7;0;22.7;0;0;0;292;156;160;157;32.3 ;29.3 ;28.6 ;27.4 ;
2018-01-07;21:51:55.141;0.203;1;0.203;0.809;7.25;44.7;0.838;0.997;2.11e-05;0.00013;0.819;0.592;3.44e+05;3.43e+05;1.06e+04;2;50.1;0.407;10.2;805;25.1;3.34;0.00385;71.6;0;22.1;0;0;0;836;143;0.811;1;0.809;0.81;6.74;17.3;0.609;0.999;1.97e-05;5.04e-05; 51840;216;428;0.237;0.146;44;0.00217;0.771;0.00281;0.81;0.309;23.4;0.987;0.0302;0.000337;0.0256; 47600;4;3;0.211;0.167;49;0.000144;0.486;0.000296;0.69;0.0982;2.05;0.952;0.0279;0.00161;0.0337; 48320;1;34;0.143;0.0946;52;0.000151;0.442;0.00034;0.81;0.102;1.93;0.947;0.0391;0.00161;0.0303; 46880;1;27;0.228;0.184;48;84.8;75;76.4;  0%;  0%;  0%;27.5;27.3;140;  0%;  0%;  0%;27;135;24;  0%;  0%;  0%;23.2;28.5;136;  0%;  0%;  0%;99.9;0.07;0.00232;0.0153;0;0;0;0;0;0.347;6.55;0.0114;93.1;0;0;0;0;0;0.0429;0.792;0;99.2;0;88.4;0;0;0;0.0421;5.95;0.00161;94;0;0;0;0;0;364;156;157;158;36.7 ;36.3 ;35.9 ;34 ;
2018-01-07;21:52:00.181;0.254;1.18;0.215;0.857;9.39;48.3;0.806;0.998;2.18e-05;0.000112;0.971;0.372;4.3e+05;3.64e+05;1.06e+04;2.36;59.1;0.508;12.7;932;25.1;2.73;0.01;72.2;0;33.2;0;0;0;903;158;1.01;1.18;0.857;0.857;8.82;20.5;0.571;0.999;2.06e-05;4.79e-05; 52560;183;399;0.299;0.12;44;0.0021;0.757;0.00278;0.818;0.33;23.3;0.986;0.0296;0.000371;0.0262; 48480;6;6;0.236;0.0939;49;0.000148;0.47;0.000314;0.693;0.095;2.07;0.954;0.0294;0.00152;0.0332; 48000;0;34;0.176;0.0373;52;0.000421;0.762;0.000553;0.8;0.14;2.39;0.941;0.114;0.000785;0.0134; 46800;0;37;0.261;0.121;48;45.6;37.7;53.7;  0%;  0%;  0%;37;39.6;190;  0%;  0%;  0%;36.7;185;34.9;  0%;  0%;  0%;34.1;40.8;197;  0%;  0%;  0%;100;0.00078;0;0;0;0;0;0;0;0.339;5.4;0.00966;94.3;0;18.8;0;0;0;0.0453;0.487;0.00038;99.5;0;92.5;0;0;0;0.0691;5.03;0.0302;94.9;0;21.6;0;0;0;424;159;161;160;39.6 ;40.3 ;41.1 ;37.4 ;
2018-01-07;21:52:05.213;0.24;1.18;0.203;0.81;10.2;47.9;0.788;0.998;2.5e-05;0.000118;1.07;0.46;4.06e+05;3.44e+05;1.06e+04;2.36;59;0.48;12;1.11e+03;25.1;3.3;0.00358;71.6;0;26.7;0;0;0;869;159;0.957;1.18;0.81;0.81;9.62;20.1;0.521;0.999;2.37e-05;4.96e-05; 50480;211;488;0.308;0.126;44;0.00216;0.784;0.00275;0.785;0.304;23.3;0.987;0.0305;0.000332;0.0255; 49200;1;5;0.255;0.115;50;0.000138;0.469;0.000295;0.705;0.0909;1.94;0.953;0.0291;0.00155;0.0331; 48160;0;33;0.218;0.0674;53;0.000396;0.719;0.00055;0.777;0.152;2.59;0.941;0.107;0.000911;0.0155; 48880;3;34;0.291;0.151;49;75.4;69.8;74.6;  0%;  0%;  0%;43.3;43.5;208;  0%;  0%;  0%;43.1;206;40.4;  0%;  0%;  0%;39.6;44.7;217;  0%;  0%;  0%;100;0.00083;0;0;0;0;0;0;0;0.351;5.42;0.00363;94.2;0;17.6;0;0;0;0.0419;1.97;0.00218;98;0;77.9;0;0;0;0.0709;5.83;0.0085;94.1;0;11.1;0;0;0;398;156;158;157;39.7 ;40.4 ;41.2 ;37.5 ;
2018-01-07;21:52:10.233;0.24;1.18;0.203;0.809;9.88;51.1;0.807;0.998;2.44e-05;0.000126;0.941;0.439;4.05e+05;3.44e+05;1.06e+04;2.36;59;0.48;12;969;25.1;3.7;0.00117;71.2;0;27.9;0;0;0;867;158;0.957;1.18;0.81;0.81;9.3;19.6;0.525;0.999;2.3e-05;4.84e-05; 49120;212;470;0.28;0.133;44;0.00219;0.757;0.0029;0.797;0.324;24.5;0.987;0.0288;0.00035;0.0265; 49520;4;7;0.236;0.119;50;0.000235;0.513;0.000459;0.723;0.126;3.34;0.962;0.0232;0.00127;0.0336; 48400;0;31;0.17;0.0469;53;0.000266;0.547;0.000486;0.786;0.127;3.71;0.966;0.0277;0.00113;0.0331; 49120;1;34;0.254;0.14;49;71.1;59.2;66;  0%;  0%;  0%;43.1;42.6;175;  0%;  0%;  0%;42.7;170;39.4;  0%;  0%;  0%;38.5;43.8;178;  0%;  0%;  0%;100;0.000282;0;0;0;0;0;0;0;0.364;6.06;0.0025;93.6;0;7.51;0;0;0;0.0635;0.532;0.00053;99.4;0;91.4;0;0;0;0.0618;8.23;0.00166;91.7;0;12.6;0;0;0;397;156;157;157;39.6 ;40.3 ;41 ;37.3 ;
2018-01-07;21:52:15.265;0.24;1.18;0.203;0.809;23.9;68.4;0.65;0.998;5.92e-05;0.000169;1.89;0.764;4.04e+05;3.43e+05;1.05e+04;2.36;59;0.479;12;2.24e+03;25.1;3.28;0.00194;71.6;0;26.2;0;0;0;867;161;0.956;1.18;0.81;0.81;23.3;37.7;0.381;0.999;5.79e-05;9.35e-05; 47520;517;1177;0.531;0.181;44;0.00217;0.801;0.00271;0.81;0.3;23.7;0.987;0.0294;0.000328;0.0258; 49200;3;2;0.477;0.242;50;0.000266;0.563;0.000473;0.704;0.169;3.31;0.949;0.0441;0.0015;0.0295; 47920;4;28;0.414;0.148;53;0.000257;0.563;0.000456;0.789;0.133;3.69;0.964;0.026;0.00122;0.0341; 48320;1;36;0.467;0.193;50;161;137;114;  0%;  0%;  0%;86.7;85.4;441;  0%;  0%;  0%;86.3;447;84.6;  0%;  0%;  0%;83.8;86.8;428;  0%;  0%;  0%;100;0.000316;0;0;0;0;0;0;0;0.335;6.42;0.00762;93.2;0;0;0;0;0;0.0672;0.531;0.000142;99.4;0;91.7;0;0;0;0.0578;6.17;0;93.8;0;12.9;0;0;0;396;157;157;157;40.2 ;41.4 ;41.8 ;38 ;
2018-01-07;21:52:20.301;0.239;1.18;0.203;0.809;33.3;72.9;0.543;0.997;8.23e-05;0.00018;2.52;0.936;4.05e+05;3.44e+05;1.06e+04;2.36;58.9;0.479;12;3.08e+03;25.1;3.16;0.0042;71.7;0;27.8;0;0;0;866;163;0.955;1.18;0.81;0.81;32.9;46.8;0.298;0.998;8.14e-05;0.000116; 49120;727;1640;0.711;0.206;44;0.00204;0.794;0.00258;0.796;0.248;22.2;0.989;0.0298;0.000287;0.0257; 48960;2;7;0.653;0.294;51;0.000138;0.476;0.000291;0.693;0.0911;1.96;0.953;0.0282;0.00156;0.0335; 48080;2;40;0.534;0.174;54;0.000147;0.453;0.000325;0.778;0.0913;1.87;0.951;0.0395;0.00147;0.03; 48000;1;35;0.62;0.263;51;211;171;182;  0%;  0%;  0%;117;117;645;  0%;  0%;  0%;116;592;111;  0%;  0%;  0%;110;118;590;  0%;  0%;  0%;100;0.000294;0;0;0;0;0;0;0;0.323;5.9;0.00258;93.8;0;7.61;0;0;0;0.042;0.527;0.000125;99.4;0;91.3;0;0;0;0.0418;6.2;0.0141;93.7;0;12.4;0;0;0;396;156;157;157;40.5 ;41.7 ;41.9 ;38.4 ;
2018-01-07;21:52:25.333;0.239;1.18;0.203;0.809;28.2;65.1;0.567;0.998;6.96e-05;0.000161;2.44;1.22;4.05e+05;3.44e+05;1.06e+04;2.36;58.9;0.479;12;3.08e+03;25.1;2.69;0.00141;72.2;0;30.9;0;0;0;866;162;0.955;1.18;0.81;0.81;27.8;39;0.288;0.999;6.87e-05;9.66e-05; 50560;688;1736;0.614;0.234;44;0.00209;0.809;0.00258;0.796;0.251;22.3;0.989;0.0305;0.000284;0.0252; 48640;2;7;0.633;0.361;51;0.00014;0.487;0.000289;0.687;0.0871;1.97;0.956;0.031;0.00147;0.0331; 47200;0;31;0.552;0.259;54;0.000144;0.46;0.000313;0.771;0.0856;1.89;0.955;0.0341;0.00141;0.0311; 46960;1;32;0.636;0.365;51;258;231;247;  0%;  0%;  0%;107;106;577;  0%;  0%;  0%;107;565;103;  0%;  0%;  0%;102;107;573;  0%;  0%;  0%;100;0.00031;0;0;0;0;0;0;0;0.324;5.88;0.00412;93.8;0;7.57;0;0;0;0.0421;0.309;0.00146;99.6;0;95.5;0;0;0;0.0406;4.58;5.63e-05;95.4;0;20.4;0;0;0;397;156;157;156;40.4 ;41.5 ;42.1 ;38.5 ;
