System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-07;23:59:52.164;0.056;0.266;0.21;0.809;234;272;0.138;0.128;0.00234;0.00271;14.2;10.1;1e+05;3.77e+05;1.19e+04;0.533;13.3;0.112;2.8;1.96e+04;26;11.3;0.0566;62.7;0;16.7;0;0;0;776;191;0.0629;0.292;0.216;0.81;76.4;90.9;0.16;0.131;0.00265;0.00315; 51440;1390;4050;3.57;2.47;46;0.0559;0.259;0.216;0.809;55.2;64.1;0.139;0.127;0.00219;0.00254; 46960;810;2858;3.55;2.54;49;0.0551;0.253;0.218;0.81;55;62.2;0.117;0.124;0.00224;0.00254; 39600;801;2751;3.56;2.52;52;0.0497;0.26;0.191;0.809;48;54.8;0.124;0.127;0.00221;0.00252; 36240;943;2158;3.52;2.53;49;1.71e+03;1.74e+03;1.64e+03;  1%;  1%;  1%;1.55e+03;1.44e+03;1.85e+03;  1%;  1%;  1%;1.53e+03;1.86e+03;1.47e+03;  1%;  1%;  1%;1.52e+03;1.48e+03;1.82e+03;  1%;  1%;  1%;26.6;15.9;0.0164;57.4;0;0;0;0;0;26.6;11.5;0.182;61.7;0;10.2;0;0;0;26.9;10.7;0.0151;62.4;0;7.96;0;0;0;23.6;6.7;0.012;69.6;0;49.8;0;0;0;201;189;195;191;47 ;49.1 ;50.1 ;45 ;
2018-01-07;23:59:57.612;0.18;1.12;0.16;0.809;50.7;71;0.286;0.991;0.000163;0.000228;6.08;6.81;3.11e+05;2.77e+05;1.05e+04;2.25;56.2;0.36;9;1.03e+04;19.8;10.9;0.08;69.2;0;17.6;0;0;0;914;188;0.179;1.07;0.168;0.81;39.1;49.2;0.205;0.968;0.000511;0.000643; 61440;1188;3095;1.63;1.52;46;0.173;1.14;0.152;0.809;3.5;7.18;0.512;0.996;4.69e-05;9.62e-05; 51840;168;644;1.43;1.76;48;0.179;1.15;0.156;0.809;3.77;6.81;0.447;0.997;4.84e-05;8.75e-05; 46240;231;645;1.51;1.78;50;0.187;1.14;0.165;0.809;4.27;7.79;0.452;0.997;5.18e-05;9.46e-05; 70480;295;788;1.52;1.75;48;1.06e+03;1.04e+03;1.05e+03;  1%;  1%;  1%;601;605;1.29e+03;  0%;  0%;  1%;547;1.22e+03;528;  0%;  1%;  0%;525;553;1.24e+03;  0%;  0%;  1%;20.8;13.5;0.0401;65.6;0;0.00559;0;0;0;18.8;10.7;0.0348;70.4;0;9.3;0;0;0;19.3;16.5;0.0243;64.2;0;14.8;0;0;0;20.3;3.11;0.218;76.3;0;45.7;0;0;0;236;221;233;224;46.3 ;48.3 ;48.6 ;44.7 ;
2018-01-08;00:00:03.032;0.911;0.795;1.15;1.15;2.95e+03;3.13e+03;0.0587;0.967;0.00177;0.00188;245;155;1.66e+06;2.09e+06;1.14e+04;1.59;39.7;1.82;45.5;3.84e+05;99.8;0.248;0;0;0;0;0;0;0;2.76e+03;490;0.896;0.783;1.15;1.15;736;786;0.0626;0.966;0.0018;0.00192; 49200;18792;58889;60.3;38;35;0.933;0.816;1.14;1.15;664;706;0.0591;0.971;0.00156;0.00166; 55920;14204;45068;60.1;40;37;0.896;0.784;1.14;1.15;786;834;0.0573;0.964;0.00192;0.00204; 35680;21802;63819;62.5;38;40;0.917;0.797;1.15;1.15;762;808;0.056;0.965;0.00183;0.00193; 70560;19755;57495;62;38.7;39;2.94e+04;3.44e+04;3.4e+04; 28%; 32%; 32%;3.03e+04;2.86e+04;2.85e+04; 29%; 27%; 27%;3.25e+04;3.55e+04;3.41e+04; 31%; 34%; 32%;3.4e+04;2.94e+04;3.37e+04; 32%; 28%; 32%;99.7;0.324;0;0;0;0;0;0;0;99.8;0.198;0;0;0;0;0;0;0;99.8;0.215;0;0;0;0;0;0;0;99.7;0.255;0;0;0;0;0;0;0;686;685;701;686;121 ;125 ;128 ;117 ;
2018-01-08;00:00:08.772;0.952;1.13;0.841;0.842;1.41e+03;1.47e+03;0.0379;0.987;0.000778;0.000809;95.2;111;1.82e+06;1.6e+06;1.14e+04;2.27;56.6;1.9;47.6;1.69e+05;99.9;0.1;0;0;0;0;0;0;0;1.85e+03;408;0.931;1.1;0.846;0.847;460;480;0.0421;0.982;0.00105;0.00109; 46240;13587;40600;23.5;26.1;44;0.979;1.16;0.841;0.842;162;172;0.0531;0.994;0.000349;0.000369; 40240;4396;13458;24;30.1;46;0.94;1.12;0.839;0.84;501;516;0.0299;0.98;0.00111;0.00115; 58160;12908;39110;23.8;26;48;0.959;1.15;0.837;0.838;291;302;0.0364;0.989;0.000629;0.000653; 62000;7168;21880;23.9;28.8;45;1.3e+04;1.95e+04;1.53e+04; 11%; 17%; 14%;1.36e+04;9.5e+03;1.37e+04; 12%;  8%; 12%;1.2e+04;1.87e+04;1.44e+04; 11%; 17%; 13%;1.52e+04;8.77e+03;1.52e+04; 13%;  8%; 13%;99.9;0.133;0;0;0;0;0;0;0;99.9;0.102;0;0;0;0;0;0;0;99.9;0.0677;0;0;0;0;0;0;0;99.9;0.0985;0;0;0;0;0;0;0;456;459;468;470;98.3 ;106 ;108 ;95.4 ;
2018-01-08;00:00:14.200;0.927;1.15;0.81;0.81;814;867;0.0612;0.992;0.000475;0.000506;55.6;43.4;1.71e+06;1.5e+06;1.21e+04;2.29;57.3;1.85;46.4;8.69e+04;100;0.0017;0;0;0;0;0;0;0;1.69e+03;307;0.907;1.12;0.81;0.81;312;327;0.048;0.987;0.000734;0.000771; 52240;7657;22650;14;9.79;44;0.946;1.17;0.81;0.81;81.2;90.8;0.106;0.997;0.000185;0.000207; 51760;1959;5838;14;11.9;46;0.925;1.14;0.81;0.81;246;258;0.0496;0.989;0.000578;0.000608; 53200;5911;17116;13.8;10.6;48;0.932;1.15;0.81;0.81;175;190;0.0782;0.992;0.000412;0.000446; 49520;3899;11760;13.8;11.1;45;6.52e+03;9.58e+03;8.16e+03;  6%;  9%;  7%;6.77e+03;5.54e+03;7.8e+03;  6%;  5%;  7%;5.53e+03;9.45e+03;7.1e+03;  5%;  8%;  6%;7.48e+03;4.52e+03;8.48e+03;  7%;  4%;  8%;100;0.00187;0;0;0;0;0;0;0;100;0.00189;0;0;0;0;0;0;0;100;0.00151;0;0;0;0;0;0;0;100;0.00152;0;0;0;0;0;0;0;413;420;426;428;73.7 ;79.7 ;82.3 ;71 ;
2018-01-08;00:00:19.620;0.952;1.18;0.81;0.81;460;500;0.0804;0.995;0.000266;0.000289;33.1;26.2;1.73e+06;1.47e+06;1.14e+04;2.35;58.8;1.9;47.6;5.14e+04;100;0.000316;0;0;0;0;0;0;0;1.69e+03;262;0.931;1.15;0.81;0.81;201;213;0.0568;0.991;0.000476;0.000505; 53600;4889;14811;8.21;5.65;44;0.957;1.18;0.81;0.81;52;59.5;0.126;0.998;0.00012;0.000137; 51040;1307;3964;8.35;7.14;46;0.949;1.17;0.81;0.81;155;167;0.0742;0.993;0.000359;0.000388; 53200;3543;10557;8.28;6.36;48;0.97;1.2;0.81;0.81;51.4;59.6;0.137;0.998;0.000117;0.000135; 53440;1324;3810;8.26;7.06;44;4.29e+03;6.16e+03;4.29e+03;  4%;  5%;  4%;4.25e+03;2.48e+03;5.26e+03;  4%;  2%;  5%;3.26e+03;6.14e+03;3.24e+03;  3%;  5%;  3%;4.29e+03;2.53e+03;5.23e+03;  4%;  2%;  5%;100;0.00032;0;0;0;0;0;0;0;100;0.000298;0;0;0;0;0;0;0;100;0.000337;0;0;0;0;0;0;0;100;0.000308;0;0;0;0;0;0;0;414;418;427;432;62.8 ;68.2 ;69.6 ;61.6 ;
2018-01-08;00:00:25.024;0.966;1.19;0.81;0.81;285;320;0.108;0.997;0.000162;0.000182;20.6;17.4;1.76e+06;1.47e+06;1.14e+04;2.39;59.7;1.93;48.3;3.26e+04;100;0.000307;0;0;0;0;0;0;0;1.69e+03;233;0.953;1.18;0.81;0.81;159;171;0.0706;0.993;0.000367;0.000395; 51680;3760;11324;5.16;3.44;44;0.966;1.19;0.81;0.81;12.7;16.7;0.238;0.999;2.89e-05;3.79e-05; 45120;324;1056;5.19;4.82;45;0.969;1.2;0.81;0.81;88.4;100;0.117;0.996;0.000201;0.000227; 60800;2050;5992;5.1;4.34;47;0.978;1.21;0.81;0.81;24.7;31.5;0.216;0.999;5.56e-05;7.09e-05; 51840;661;1846;5.14;4.85;45;2.85e+03;4.25e+03;3.03e+03;  2%;  4%;  2%;2.31e+03;1.17e+03;3.74e+03;  2%;  1%;  3%;1.63e+03;4.48e+03;1.84e+03;  1%;  4%;  1%;2.36e+03;1.08e+03;3.84e+03;  2%;  1%;  3%;100;0.000327;0;0;0;0;0;0;0;100;0.000286;0;0;0;0;0;0;0;100;0.000313;0;0;0;0;0;0;0;100;0.000301;0;0;0;0;0;0;0;414;418;429;431;55.8 ;60.6 ;61.2 ;55.6 ;
2018-01-08;00:00:30.740;0.969;1.2;0.81;0.81;243;271;0.103;0.998;0.000133;0.000148;17.3;14.8;1.84e+06;1.53e+06;1.14e+04;2.39;59.9;1.94;48.5;2.74e+04;100;0.000291;0;0;0;0;0;0;0;1.79e+03;234;0.959;1.18;0.81;0.81;136;147;0.0746;0.995;0.000303;0.000328; 51040;3308;9732;4.36;2.92;44;0.963;1.19;0.81;0.81;13.1;16.7;0.217;0.999;2.88e-05;3.67e-05; 50240;325;1059;4.28;4.06;45;0.983;1.21;0.81;0.81;63.3;71.1;0.11;0.997;0.000135;0.000152; 49600;1577;4535;4.3;3.77;48;0.973;1.2;0.81;0.81;30.7;36.2;0.152;0.999;6.6e-05;7.79e-05; 48720;748;2245;4.39;4.02;44;2.45e+03;3.44e+03;2.81e+03;  2%;  3%;  2%;1.7e+03;1.17e+03;3.14e+03;  1%;  1%;  2%;1.21e+03;3.66e+03;1.56e+03;  1%;  3%;  1%;1.88e+03;1.01e+03;3.39e+03;  1%;  0%;  3%;100;0.00031;0;0;0;0;0;0;0;100;0.000273;0;0;0;0;0;0;0;100;0.000304;0;0;0;0;0;0;0;100;0.000276;0;0;0;0;0;0;0;439;443;455;455;56.1 ;60.3 ;61.9 ;55.6 ;
2018-01-08;00:00:36.432;0.967;1.19;0.81;0.81;92.3;108;0.147;0.999;4.96e-05;5.82e-05;6.68;4.81;1.86e+06;1.56e+06;1.21e+04;2.39;59.7;1.93;48.3;9.5e+03;100;0.000267;0;0;0;0;0;0;0;1.79e+03;197;0.969;1.2;0.81;0.81;48.8;53.3;0.0843;0.998;0.000105;0.000114; 52000;1179;3195;1.73;0.942;44;0.961;1.19;0.81;0.81;9.79;12.7;0.232;1;2.12e-05;2.76e-05; 50240;245;787;1.64;1.32;45;0.976;1.21;0.81;0.81;27.5;33.1;0.17;0.999;5.85e-05;7.04e-05; 73040;655;1932;1.65;1.25;48;0.961;1.19;0.81;0.81;6.24;9.05;0.311;1;1.35e-05;1.96e-05; 50400;132;518;1.66;1.3;44;813;1.15e+03;726;  0%;  1%;  0%;706;379;1.13e+03;  0%;  0%;  1%;544;1.3e+03;527;  0%;  1%;  0%;725;418;1.08e+03;  0%;  0%;  0%;100;0.000295;0;0;0;0;0;0;0;100;0.000269;0;0;0;0;0;0;0;100;0.000298;0;0;0;0;0;0;0;100;0.000204;0;0;0;0;0;0;0;440;440;454;453;48.4 ;50.6 ;51.3 ;47.2 ;
2018-01-08;00:00:42.160;0.964;1.19;0.81;0.81;59.9;71.2;0.158;0.999;3.24e-05;3.85e-05;4.31;3;1.85e+06;1.55e+06;1.19e+04;2.38;59.6;1.93;48.2;5.96e+03;100;0.00151;0;0;0;0;0;0;0;1.8e+03;191;0.967;1.2;0.81;0.81;46.9;50.3;0.0687;0.998;0.000101;0.000109; 52560;1032;2816;1.15;0.533;44;0.959;1.18;0.81;0.81;0.389;2.29;0.83;1;8.46e-07;4.98e-06; 50240;0;126;1.05;0.845;45;0.97;1.2;0.809;0.81;12.2;15.8;0.226;0.999;2.62e-05;3.39e-05; 50400;272;919;1.05;0.788;47;0.961;1.19;0.81;0.81;0.44;2.79;0.842;1;9.53e-07;6.05e-06; 50240;3;132;1.07;0.829;44;486;681;474;  0%;  0%;  0%;326;146;956;  0%;  0%;  0%;212;1.04e+03;216;  0%;  0%;  0%;335;146;945;  0%;  0%;  0%;100;0.000288;0;0;0;0;0;0;0;100;0.000117;0;0;0;0;0;0;0;100;0.00551;0;0;0;0;0;0;0;100;0.000123;0;0;0;0;0;0;0;443;444;458;456;47.1 ;49 ;49.4 ;45.4 ;
