System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-08;17:05:58.548;0.545;1.48;0.368;0.805;573;1.02e+03;0.436;0.795;0.00061;0.00108;40.6;28;9.4e+05;6.35e+05;1.06e+04;2.96;74;1.09;27.2;7.14e+04;45.7;40.7;0.0422;13.6;0;8.33;0.00717;0.0213;0;1.31e+03;238;0.537;1.5;0.359;0.805;143;262;0.452;0.791;0.000627;0.00114; 48480;3117;8340;10.2;7.03;47;0.548;1.49;0.368;0.805;142;273;0.481;0.78;0.000603;0.00116; 51280;2777;8249;10.1;6.99;48;0.547;1.48;0.37;0.805;143;230;0.376;0.81;0.000604;0.000967; 46400;3075;8268;10.1;6.96;50;0.547;1.47;0.373;0.805;144;252;0.428;0.798;0.000605;0.00106; 51280;2779;8796;10.3;7.06;46;6.01e+03;5.85e+03;5.99e+03;  6%;  5%;  6%;5.9e+03;5.91e+03;5.99e+03;  5%;  5%;  6%;5.87e+03;5.87e+03;6.07e+03;  5%;  5%;  6%;6.07e+03;5.93e+03;6e+03;  6%;  6%;  6%;44.6;41.2;0.024;14.2;0;10.8;0;0.0296;0;45.7;40.2;0.0113;14;0;11.2;0;0.0286;0;46;40.1;0.0206;13.8;0;11.3;0;0.0274;0;46.3;41.3;0.112;12.2;0;0.142;0.0284;0;0;327;319;333;331;59.4 ;60.4 ;62.5 ;55.9 ;
2018-01-08;17:06:04.033;0.755;1.01;0.745;0.809;246;323;0.237;0.995;0.00018;0.000236;34.7;44.2;1.37e+06;1.35e+06;1.13e+04;2.03;50.7;1.51;37.8;5.92e+04;92;1.99;0.0324;5.98;0;3.05;0.0192;0.0582;0;1.55e+03;249;0.763;1.02;0.745;0.809;58.3;77.8;0.252;0.995;0.000169;0.000226; 47840;2794;7231;8.74;11;46;0.757;1.01;0.751;0.809;59.3;78.2;0.241;0.995;0.000173;0.000228; 51680;2310;7681;8.55;11;47;0.751;1.01;0.741;0.809;61.6;79.3;0.223;0.995;0.000182;0.000234; 49840;2481;7763;8.69;11;48;0.751;1.01;0.741;0.81;67.2;87.7;0.234;0.994;0.000197;0.000257; 54480;2610;8216;8.76;11.1;45;4.92e+03;4.94e+03;4.99e+03;  4%;  4%;  4%;4.88e+03;4.93e+03;4.94e+03;  4%;  4%;  4%;4.87e+03;4.95e+03;4.93e+03;  4%;  4%;  4%;4.93e+03;4.92e+03;4.98e+03;  4%;  4%;  4%;92.1;2;0.0415;5.89;0;2.75;0;0.0786;0;92.7;1.26;0.0312;5.98;0;3.73;0;0.0767;0;91.6;2.44;0.0289;5.96;0;2.73;0.0771;0;0;91.6;2.27;0.0279;6.1;0;2.98;0;0.0772;0;388;378;397;392;62.1 ;63.3 ;65 ;58.9 ;
2018-01-08;17:06:09.468;0.483;0.6;0.806;0.81;3e+03;3.74e+03;0.198;0.727;0.00336;0.00419;224;210;8.91e+05;1.49e+06;1.15e+04;1.2;30;0.967;24.2;3.69e+05;99.6;0.423;0;0;0;0;0;0;0;1.72e+03;520;0.479;0.593;0.808;0.81;756;937;0.193;0.728;0.00341;0.00423; 52960;17084;47580;55;49.7;45;0.491;0.608;0.807;0.81;734;917;0.199;0.75;0.00325;0.00406; 51280;14670;46851;56.1;53;46;0.482;0.6;0.803;0.81;744;930;0.201;0.719;0.00335;0.00419; 54480;16404;48038;56.6;53.6;47;0.482;0.598;0.806;0.81;763;952;0.199;0.708;0.00344;0.00429; 52480;15135;47136;56.8;53.4;44;3.04e+04;3.07e+04;3.11e+04; 28%; 29%; 29%;3.04e+04;3.06e+04;3.02e+04; 28%; 29%; 28%;3.05e+04;3.05e+04;3.12e+04; 28%; 28%; 29%;3.13e+04;3.07e+04;3.1e+04; 29%; 29%; 29%;99.8;0.154;0;0;0;0;0;0;0;99.7;0.303;0;0;0;0;0;0;0;99.2;0.804;0;0;0;0;0;0;0;99.6;0.432;0;0;0;0;0;0;0;426;422;444;431;127 ;132 ;136 ;125 ;
2018-01-08;17:06:14.952;0.716;0.885;0.809;0.81;2.28e+03;3.39e+03;0.329;0.323;0.00173;0.00258;144;133;1.32e+06;1.49e+06;1.15e+04;1.77;44.3;1.43;35.8;2.37e+05;99.9;0.0816;0;0;0;0;0;0;0;1.59e+03;446;0.714;0.883;0.809;0.81;583;861;0.323;0.314;0.00178;0.00262; 54000;8300;23766;33.6;29.1;45;0.717;0.887;0.809;0.81;539;818;0.342;0.326;0.00163;0.00248; 53520;6861;21896;35.8;34.1;47;0.718;0.888;0.809;0.81;566;846;0.332;0.333;0.00171;0.00256; 50400;8948;25190;37.1;35.4;47;0.715;0.884;0.809;0.81;590;867;0.319;0.32;0.0018;0.00264; 50720;6717;20301;37;34.8;44;1.85e+04;1.96e+04;2.03e+04; 17%; 18%; 19%;1.96e+04;1.97e+04;1.84e+04; 18%; 18%; 17%;1.96e+04;1.96e+04;2.11e+04; 18%; 18%; 20%;2.1e+04;1.97e+04;2.02e+04; 19%; 18%; 19%;99.9;0.0682;0;0;0;0;0;0;0;99.9;0.0919;0;0;0;0;0;0;0;99.9;0.0809;0;0;0;0;0;0;0;99.9;0.0856;0;0;0;0;0;0;0;396;386;408;401;106 ;114 ;121 ;106 ;
2018-01-08;17:06:20.476;0.776;1;0.773;0.774;1.45e+03;2.19e+03;0.339;0.289;0.00101;0.00153;92.9;74.1;1.43e+06;1.43e+06;1.15e+04;2.01;50.2;1.55;38.8;1.47e+05;99.9;0.127;0;0;0;0;0;0;0;1.5e+03;372;0.777;1;0.773;0.774;366;550;0.335;0.28;0.00102;0.00154; 53440;4218;12301;21.6;15.6;45;0.779;1.01;0.773;0.774;330;516;0.36;0.297;0.000919;0.00144; 49840;3718;11646;23.2;19.1;46;0.776;1;0.772;0.773;367;556;0.339;0.3;0.00102;0.00155; 51280;5151;14247;24.1;19.8;48;0.772;1;0.772;0.773;385;570;0.324;0.281;0.00108;0.00159; 52080;3545;10999;24;19.6;44;1.1e+04;1.23e+04;1.28e+04; 10%; 11%; 12%;1.22e+04;1.22e+04;1.1e+04; 11%; 11%; 10%;1.22e+04;1.23e+04;1.33e+04; 11%; 11%; 12%;1.32e+04;1.22e+04;1.27e+04; 12%; 11%; 12%;99.9;0.121;0;0;0;0;0;0;0;99.9;0.121;0;0;0;0;0;0;0;99.9;0.137;0;0;0;0;0;0;0;99.9;0.126;0;0;0;0;0;0;0;374;364;383;377;87.4 ;95 ;102 ;87.1 ;
2018-01-08;17:06:25.964;0.832;1.03;0.805;0.805;1.32e+03;1.97e+03;0.332;0.275;0.000854;0.00128;84.9;63.1;1.54e+06;1.49e+06;1.16e+04;2.07;51.7;1.66;41.6;1.33e+05;100;0.0125;0;0;0;0;0;0;0;1.57e+03;354;0.832;1.03;0.804;0.805;333;496;0.327;0.27;0.000863;0.00128; 53920;3563;10381;19.7;13.1;45;0.834;1.04;0.805;0.805;300;464;0.353;0.282;0.000775;0.0012; 52880;3222;9905;21.2;16.3;46;0.834;1.04;0.805;0.805;333;499;0.332;0.277;0.000863;0.00129; 50480;4327;11892;22;16.9;48;0.83;1.03;0.806;0.806;351;514;0.316;0.271;0.000916;0.00134; 51920;2937;9464;22;16.8;44;9.89e+03;1.11e+04;1.16e+04;  9%; 10%; 10%;1.1e+04;1.1e+04;9.86e+03; 10%; 10%;  9%;1.1e+04;1.11e+04;1.2e+04; 10%; 10%; 11%;1.19e+04;1.1e+04;1.15e+04; 11%; 10%; 10%;100;0.0171;0;0;0;0;0;0;0;100;0.0163;0;0;0;0;0;0;0;100;0.00402;0;0;0;0;0;0;0;100;0.0126;0;0;0;0;0;0;0;391;381;401;396;82.7 ;90.7 ;97.7 ;82.5 ;
2018-01-08;17:06:31.460;0.845;1.04;0.809;0.81;1.25e+03;1.85e+03;0.327;0.271;0.000802;0.00119;81.5;58.5;1.56e+06;1.49e+06;1.15e+04;2.09;52.2;1.69;42.3;1.27e+05;99.9;0.067;0;0;0;0;0;0;0;1.58e+03;347;0.847;1.05;0.809;0.81;314;464;0.324;0.269;0.000807;0.00119; 52080;3432;9873;18.9;12.1;45;0.846;1.05;0.809;0.81;284;435;0.347;0.281;0.00073;0.00112; 46160;3070;9352;20.3;15.1;46;0.846;1.05;0.809;0.81;317;472;0.327;0.267;0.000815;0.00121; 50800;4010;11111;21.1;15.7;47;0.842;1.04;0.809;0.81;331;483;0.313;0.269;0.000855;0.00125; 51360;2761;8997;21.1;15.6;44;9.43e+03;1.05e+04;1.1e+04;  8%; 10%; 10%;1.04e+04;1.05e+04;9.48e+03;  9%;  9%;  9%;1.05e+04;1.07e+04;1.14e+04;  9%; 10%; 10%;1.13e+04;1.04e+04;1.1e+04; 10%;  9%; 10%;99.9;0.0586;0;0;0;0;0;0;0;100;0.0282;0;0;0;0;0;0;0;99.9;0.104;0;0;0;0;0;0;0;99.9;0.0776;0;0;0;0;0;0;0;392;383;402;398;81.4 ;88.5 ;95.8 ;81.2 ;
2018-01-08;17:06:36.464;0.848;1.05;0.81;0.81;1.11e+03;1.65e+03;0.328;0.274;0.000778;0.00116;72;50.7;1.43e+06;1.36e+06;1.05e+04;2.1;52.4;1.7;42.4;1.11e+05;100;0;0;0;0;0;0;0;0;1.43e+03;311;0.848;1.05;0.81;0.81;283;417;0.321;0.271;0.000794;0.00117; 54000;3029;8771;16.7;10.4;45;0.85;1.05;0.81;0.81;255;389;0.345;0.281;0.000713;0.00109; 50640;2763;8470;18;13.1;46;0.85;1.05;0.81;0.81;278;416;0.331;0.272;0.000778;0.00116; 52480;3084;8892;18.8;13.8;47;0.844;1.04;0.81;0.81;293;428;0.315;0.271;0.000826;0.00121; 52080;2546;8105;18.5;13.3;44;8.41e+03;9.37e+03;9.66e+03;  8%;  9%; 10%;9.12e+03;9.29e+03;8.42e+03;  9%;  9%;  8%;9.18e+03;9.45e+03;9.83e+03;  9%;  9%; 10%;9.73e+03;9.28e+03;9.7e+03; 10%;  9%; 10%;100;0.000484;0;0;0;0;0;0;0;100;0.000567;0;0;0;0;0;0;0;100;0.000853;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;357;348;366;362;72.8 ;79.7 ;86.5 ;72.6 ;
2018-01-08;17:06:41.976;0.849;1.05;0.81;0.81;1.21e+03;1.8e+03;0.325;0.274;0.000771;0.00114;78.8;55.1;1.57e+06;1.5e+06;1.16e+04;2.1;52.4;1.7;42.4;1.22e+05;100;0.000594;0;0;0;0;0;0;0;1.58e+03;342;0.85;1.05;0.81;0.81;308;452;0.319;0.271;0.000784;0.00115; 53520;3306;9665;18.3;11.4;45;0.849;1.05;0.81;0.81;280;426;0.342;0.28;0.000713;0.00108; 49760;3042;9250;19.7;14.3;45;0.852;1.05;0.81;0.81;303;452;0.329;0.275;0.00077;0.00115; 49840;3381;9722;20.6;15;47;0.845;1.04;0.81;0.81;320;466;0.313;0.272;0.000819;0.00119; 54720;2789;8914;20.2;14.5;44;9.17e+03;1.02e+04;1.05e+04;  8%;  9%;  9%;1e+04;1.02e+04;9.17e+03;  9%;  9%;  8%;1.01e+04;1.03e+04;1.07e+04;  9%;  9%; 10%;1.06e+04;1.02e+04;1.06e+04; 10%;  9%;  9%;100;0.000651;0;0;0;0;0;0;0;100;0.000576;0;0;0;0;0;0;0;100;0.000594;0;0;0;0;0;0;0;100;0.000556;0;0;0;0;0;0;0;394;384;403;399;80.1 ;87.4 ;95 ;79.8 ;
2018-01-08;17:06:47.460;0.85;1.05;0.809;0.81;1.21e+03;1.78e+03;0.324;0.275;0.000767;0.00113;78.1;54.3;1.57e+06;1.5e+06;1.16e+04;2.1;52.5;1.7;42.5;1.2e+05;100;0.0171;0;0;0;0;0;0;0;1.57e+03;339;0.85;1.05;0.809;0.81;307;450;0.319;0.271;0.000779;0.00114; 53680;3317;9620;18.2;11.2;45;0.85;1.05;0.81;0.81;278;422;0.34;0.281;0.000709;0.00107; 49760;3009;9169;19.5;14.1;46;0.852;1.05;0.81;0.81;303;450;0.327;0.276;0.000768;0.00114; 52080;3366;9698;20.4;14.8;47;0.846;1.05;0.81;0.81;317;461;0.313;0.272;0.00081;0.00118; 50480;2805;8909;20.1;14.3;44;9.09e+03;1.01e+04;1.04e+04;  8%;  9%;  9%;9.89e+03;1e+04;9.15e+03;  9%;  9%;  8%;9.97e+03;1.03e+04;1.06e+04;  9%;  9%; 10%;1.05e+04;1e+04;1.05e+04;  9%;  9%;  9%;99.9;0.0664;0;0;0;0;0;0;0;100;0.00079;0;0;0;0;0;0;0;100;0.000635;0;0;0;0;0;0;0;100;0.000569;0;0;0;0;0;0;0;392;382;401;397;79.6 ;86.6 ;94.4 ;78.9 ;
