System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-08;17:36:40.462;1.37;1.18;1.16;1.22;28.6;65.4;0.562;1;1.22e-05;2.78e-05;4.59;4.57;2.35e+06;1.99e+06;1.05e+04;2.36;59;2.75;68.6;6.62e+03;95.4;1.77;0.0407;2.79;0;0.656;0;0;0;2.9e+03;219;1.35;1.17;1.16;1.22;3.34;23.7;0.859;0.999;5.86e-06;4.16e-05; 44480;295;402;1.25;1.28;40;1.4;1.19;1.18;1.22;3.53;8.18;0.568;1;5.88e-06;1.36e-05; 49760;135;603;1.08;1.15;39;1.39;1.18;1.18;1.21;13.7;20;0.316;0.999;2.29e-05;3.36e-05; 72720;529;1691;1.13;1.02;43;1.35;1.18;1.14;1.22;8.07;13.5;0.401;1;1.39e-05;2.31e-05; 46640;333;1088;1.12;1.12;40;383;679;473;  0%;  0%;  0%;655;447;388;  0%;  0%;  0%;607;636;706;  0%;  0%;  0%;760;433;456;  0%;  0%;  0%;94.4;1.71;0.00688;3.94;0;0.29;0;0;0;96.4;1.55;0.0583;2;0;0.175;0;0;0;97.4;1.32;0.00924;1.27;0;0;0;0;0;93.5;2.48;0.088;3.98;0;2.15;0;0;0;723;727;733;722;54.5 ;55.9 ;55.9 ;52.6 ;
2018-01-08;17:36:45.489;0.236;1.02;0.231;0.893;16.1;59.6;0.729;0.988;3.94e-05;0.000145;0.961;1.25;4.1e+05;4e+05;1.1e+04;2.05;51.2;0.473;11.8;1.3e+03;25.9;3.86;0.0271;70.2;0;37.2;0;0;0;834;139;0.85;1.03;0.828;0.871;5.95;17.1;0.652;0.993;1.6e-05;4.61e-05; 53920;557;1071;0.23;0.328;46;0.0357;0.975;0.0366;1.16;3.8;28.5;0.866;0.971;0.000245;0.00184; 45360;90;260;0.225;0.287;48;0.0262;0.988;0.0266;1.19;4.36;6.09;0.284;0.992;0.000386;0.000538; 47760;150;491;0.27;0.356;50;0.027;1.03;0.0263;1.2;2.02;7.89;0.743;0.99;0.000174;0.000678; 45120;49;153;0.236;0.279;47;253;238;245;  0%;  0%;  0%;29.3;37.2;128;  0%;  0%;  0%;35.3;110;29.3;  0%;  0%;  0%;28.2;48.6;116;  0%;  0%;  0%;95.1;1.31;0.0591;3.54;0;0.542;0;0;0;3.15;2.47;0.0422;94.3;0;61.1;0;0;0;2.24;10;0.00132;87.7;0;14.8;0;0;0;2.19;1.69;0.00531;96.1;0;72.8;0;0;0;341;161;171;161;34.9 ;33 ;41.8 ;29.7 ;
2018-01-08;17:36:50.525;0.106;0.52;0.203;0.81;1.45;32.2;0.955;0.91;8.11e-06;0.00018;0.417;0.494;1.79e+05;3.44e+05;1.06e+04;1.04;26;0.211;5.29;414;25.1;2.87;0.00173;72;0;44;0;0;0;773;116;0.42;0.519;0.811;0.811;0.809;3.57;0.773;0.989;4.56e-06;2.01e-05; 51760;125;259;0.126;0.143;46;0.00216;0.806;0.00268;0.702;0.301;23.8;0.987;0.0303;0.00033;0.0261; 46800;2;18;0.0833;0.109;48;0.000221;0.61;0.000362;0.756;0.136;2.11;0.935;0.0753;0.00146;0.0226; 47600;3;23;0.102;0.124;51;0.000389;0.637;0.000611;0.792;0.204;2.7;0.924;0.369;0.00124;0.0164; 45600;4;31;0.105;0.119;47;80;73;76.4;  0%;  0%;  0%;12.7;14.4;38.4;  0%;  0%;  0%;12.1;32.7;11.9;  0%;  0%;  0%;10.1;16.5;35.8;  0%;  0%;  0%;100;0.00121;0;0;0;0;0;0;0;0.381;2.05;0.00441;97.6;0;67.7;0;0;0;0.0479;4.98;0.000439;95;0;48.4;0;0;0;0.0772;4.46;0.00205;95.5;0;59.7;0;0;0;302;153;160;158;32.6 ;27.6 ;29.1 ;26.6 ;
2018-01-08;17:36:55.577;0.242;1.19;0.203;0.809;9.17;49.4;0.814;0.998;2.23e-05;0.00012;0.841;0.459;4.1e+05;3.44e+05;1.06e+04;2.39;59.7;0.484;12.1;856;25.1;4.06;0.00253;70.9;0;42.8;0;0;0;871;156;0.967;1.2;0.809;0.81;8.64;21.1;0.59;0.999;2.11e-05;5.15e-05; 51200;281;500;0.273;0.128;45;0.00219;0.793;0.00276;0.692;0.336;23.9;0.986;0.0299;0.000362;0.0257; 46400;1;9;0.17;0.0949;50;0.000135;0.521;0.00026;0.788;0.0944;1.93;0.951;0.0259;0.00165;0.0336; 48480;1;30;0.223;0.145;52;0.000169;0.565;0.000298;0.705;0.096;2.44;0.961;0.0314;0.00134;0.0341; 45680;0;31;0.175;0.0906;48;65.3;54.3;57.3;  0%;  0%;  0%;29.9;31.1;170;  0%;  0%;  0%;30.2;163;28.5;  0%;  0%;  0%;27.8;33.4;166;  0%;  0%;  0%;99.9;0.0922;0.000954;0.021;0;0;0;0;0;0.399;2.07;0.00888;97.5;0;69.9;0;0;0;0.033;13.3;0.000138;86.7;0;15.1;0;0;0;0.0423;0.768;0.000156;99.2;0;86.1;0;0;0;397;153;164;157;39.6 ;39.5 ;40.1 ;36.9 ;
2018-01-08;17:37:00.613;0.24;1.18;0.203;0.809;9.48;52.2;0.818;0.998;2.33e-05;0.000128;0.807;0.318;4.08e+05;3.45e+05;1.06e+04;2.36;59.1;0.481;12;930;25.1;0.82;0.00267;74;0;62.4;0;0;0;864;157;0.959;1.18;0.81;0.81;8.92;21;0.576;0.999;2.19e-05;5.17e-05; 50480;279;500;0.276;0.125;45;0.00216;0.775;0.00279;0.695;0.332;24;0.986;0.0288;0.000362;0.0262; 47040;0;12;0.179;0.0705;50;0.000225;0.55;0.000408;0.717;0.114;3.39;0.966;0.0227;0.0012;0.0356; 48320;1;31;0.16;0.0537;52;0.000252;0.567;0.000445;0.731;0.115;3.74;0.969;0.0273;0.00108;0.035; 45040;2;31;0.192;0.0684;49;71;51;64;  0%;  0%;  0%;38.5;42.1;172;  0%;  0%;  0%;38.4;162;37.3;  0%;  0%;  0%;36.6;44;172;  0%;  0%;  0%;100;0.000288;0;0;0;0;0;0;0;0.401;1.81;0.00684;97.8;0;72.6;0;0;0;0.057;0.47;0.000832;99.5;0;94.5;0;0;0;0.0609;0.999;0.00301;98.9;0;82.8;0;0;0;400;152;157;156;39.7 ;39.9 ;40 ;37.3 ;
2018-01-08;17:37:05.645;0.24;1.18;0.203;0.809;9.41;48.7;0.807;0.998;2.32e-05;0.00012;0.824;0.354;4.06e+05;3.44e+05;1.06e+04;2.36;59.1;0.48;12;931;25.1;1.83;0.00767;73;0;55.7;0;0;0;865;157;0.958;1.18;0.81;0.81;8.91;20.8;0.572;0.999;2.2e-05;5.14e-05; 51360;284;516;0.273;0.13;45;0.00218;0.8;0.00273;0.692;0.312;23.5;0.987;0.0299;0.000338;0.0255; 47840;0;12;0.178;0.0722;50;0.000137;0.511;0.000268;0.698;0.0889;2.06;0.957;0.0224;0.00153;0.0355; 48800;0;33;0.175;0.0728;52;0.000168;0.537;0.000313;0.718;0.101;2.26;0.955;0.0372;0.00142;0.0318; 45200;2;26;0.199;0.0796;49;76.8;59.3;59.9;  0%;  0%;  0%;38.7;41.1;174;  0%;  0%;  0%;38.7;163;36.6;  0%;  0%;  0%;35.4;42.6;165;  0%;  0%;  0%;100;0.000292;0;0;0;0;0;0;0;0.394;1.72;0.00773;97.9;0;74.3;0;0;0;0.0384;2.12;0.0223;97.8;0;81.3;0;0;0;0.0436;3.47;0.000628;96.5;0;67.1;0;0;0;399;152;158;156;39.9 ;39.9 ;40.2 ;37.3 ;
2018-01-08;17:37:10.665;0.24;1.18;0.203;0.809;10.8;48.5;0.778;0.998;2.66e-05;0.000119;0.958;0.446;4.06e+05;3.43e+05;1.06e+04;2.36;59.1;0.481;12;1.05e+03;25.1;3.96;0.00653;70.9;0;39.3;0;0;0;866;158;0.958;1.18;0.81;0.81;10.3;21.7;0.526;0.999;2.55e-05;5.37e-05; 49920;326;587;0.293;0.128;44;0.00207;0.801;0.00259;0.691;0.278;22.7;0.988;0.0294;0.000318;0.0259; 48080;0;4;0.199;0.0927;51;0.000139;0.534;0.00026;0.783;0.0828;2.07;0.96;0.0214;0.00141;0.0354; 48320;2;27;0.254;0.136;53;0.000151;0.479;0.000316;0.697;0.105;1.97;0.947;0.0419;0.00165;0.0308; 46320;1;32;0.212;0.0899;49;87.3;70.8;65.2;  0%;  0%;  0%;41.9;42.3;199;  0%;  0%;  0%;41.8;184;40.3;  0%;  0%;  0%;39;43.8;198;  0%;  0%;  0%;100;0.000304;0;0;0;0;0;0;0;0.374;1.7;0.00613;97.9;0;73.1;0;0;0;0.0332;12.4;0.0171;87.6;0;6.71;0;0;0;0.0454;1.78;0.00293;98.2;0;77.4;0;0;0;398;151;162;154;39.7 ;39.7 ;41.2 ;37.1 ;
2018-01-08;17:37:15.709;0.24;1.18;0.203;0.809;30.3;74.1;0.59;0.997;7.49e-05;0.000183;2.46;0.884;4.05e+05;3.43e+05;1.05e+04;2.36;59.1;0.479;12;3.11e+03;25.1;1.63;0.0017;73.3;0;57.1;0;0;0;864;162;0.958;1.18;0.81;0.81;29.8;47;0.366;0.998;7.38e-05;0.000116; 50720;730;1522;0.697;0.199;44;0.00213;0.829;0.00256;0.69;0.279;22.8;0.988;0.0301;0.00031;0.0253; 48160;1;13;0.584;0.241;51;0.00015;0.522;0.000287;0.688;0.112;2.1;0.947;0.0418;0.00178;0.0332; 49360;2;32;0.577;0.217;53;0.000184;0.516;0.000357;0.724;0.13;2.16;0.94;0.0476;0.00168;0.0277; 48000;2;30;0.606;0.226;50;212;195;187;  0%;  0%;  0%;103;105;638;  0%;  0%;  0%;102;631;103;  0%;  0%;  0%;101;107;629;  0%;  0%;  0%;100;0.00031;0;0;0;0;0;0;0;0.372;1.53;0.00368;98.1;0;73.8;0;0;0;0.0417;0.938;0;99;0;89;0;0;0;0.0493;4.05;0.00311;95.9;0;65.4;0;0;0;398;152;158;156;40.8 ;41.2 ;42.1 ;38.3 ;
2018-01-08;17:37:20.749;0.239;1.18;0.203;0.809;41.8;83.3;0.498;0.997;0.000103;0.000205;3.26;1.42;4.05e+05;3.44e+05;1.06e+04;2.36;58.9;0.479;12;4.43e+03;25.1;0.888;0.00188;74;0;61.1;0;0;0;862;164;0.955;1.18;0.81;0.81;41.4;56.5;0.268;0.998;0.000102;0.00014; 52240;1074;2483;0.836;0.274;44;0.00207;0.823;0.00251;0.695;0.24;22.7;0.989;0.0285;0.000274;0.0259; 46560;0;6;0.818;0.396;51;0.000136;0.515;0.000265;0.68;0.0828;2.06;0.96;0.0223;0.00143;0.0356; 48960;1;31;0.805;0.393;54;0.000158;0.483;0.000328;0.705;0.101;2.07;0.951;0.0428;0.0015;0.0308; 47360;1;28;0.802;0.357;50;350;339;315;  0%;  0%;  0%;153;156;847;  0%;  0%;  0%;153;839;151;  0%;  0%;  0%;150;157;821;  0%;  0%;  0%;100;0.000306;0;0;0;0;0;0;0;0.362;1.5;0.00624;98.1;0;74.2;0;0;0;0.039;0.502;0;99.5;0;91.2;0;0;0;0.0465;1.55;0.00126;98.4;0;79;0;0;0;397;153;158;155;41.1 ;41.9 ;42.7 ;38.7 ;
2018-01-08;17:37:25.789;0.24;1.18;0.203;0.809;16.6;52.6;0.685;0.998;4.07e-05;0.000129;1.29;0.405;4.07e+05;3.44e+05;1.06e+04;2.36;59.1;0.48;12;1.43e+03;25.1;2.22;0.00111;72.7;0;48.3;0;0;0;864;159;0.958;1.18;0.81;0.81;16.2;25.9;0.377;0.999;3.98e-05;6.39e-05; 52800;394;772;0.386;0.114;44;0.00212;0.837;0.00253;0.695;0.244;22.8;0.989;0.0299;0.000271;0.0253; 46880;1;7;0.28;0.088;52;0.000133;0.535;0.000249;0.756;0.0765;1.98;0.961;0.0231;0.00136;0.0352; 48880;3;35;0.321;0.117;54;0.000145;0.488;0.000297;0.701;0.0941;1.91;0.951;0.0397;0.00154;0.0312; 47200;0;38;0.299;0.086;51;67.5;61;63;  0%;  0%;  0%;58.4;60.4;293;  0%;  0%;  0%;58.2;295;58.9;  0%;  0%;  0%;57.6;61.9;296;  0%;  0%;  0%;100;0.000299;0;0;0;0;0;0;0;0.364;1.51;0.00445;98.1;0;74.3;0;0;0;0.0329;6.23;0;93.7;0;39.6;0;0;0;0.0424;1.12;0;98.8;0;79.4;0;0;0;399;152;160;154;39.9 ;40.3 ;41.7 ;37.5 ;
