System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-08;18:41:58.815;0.00467;0.545;0.00857;1.27;58.3;76.1;0.234;0.138;0.00741;0.00967;4.06;4.05;7.86e+03;1.44e+04;1.05e+04;1.09;27.3;0.00934;0.234;6.61e+03;0.677;13.9;0.00115;85.4;0;5.84;0;0;0;1.15e+03;208;0.000168;0.212;0.000792;1.31;0.17;1.09;0.844;0.0974;0.0024;0.0153; 48960;28;8;1.03;1.14;46;0.000151;0.196;0.000773;1.16;0.158;1.18;0.866;0.0874;0.00248;0.0186; 47520;4;68;0.994;1.12;47;0.0182;0.57;0.032;1.27;57.8;73.3;0.211;0.139;0.00753;0.00954; 51760;1373;4275;1.01;0.646;48;0.000121;0.179;0.000676;1.29;0.115;0.542;0.788;0.158;0.00226;0.0107; 48640;2;28;1.03;1.14;46;111;1.18e+03;111;  0%;  1%;  0%;1.18e+03;110;111;  1%;  0%;  0%;801;801;801;  0%;  0%;  0%;1.18e+03;110;112;  1%;  0%;  0%;0.0603;10.3;0.00174;89.6;0;0;0;0;0;0.0664;10.2;0.000899;89.8;0;23.4;0;0;0;2.53;20.2;0.00122;77.3;0;0;0;0;0;0.0525;15.1;0.000746;84.9;0;0;0;0;0;279;275;320;276;52.2 ;51.8 ;53.4 ;51.1 ;
2018-01-08;18:42:03.828;0.218;2.57;0.0846;0.953;19.7;49.1;0.598;0.835;5.39e-05;0.000134;1.96;2.38;3.66e+05;1.43e+05;1.05e+04;5.14;128;0.435;10.9;2.93e+03;8.89;20.7;0.00936;70.4;0;11.5;0;0;0;889;141;0.865;2.63;0.329;0.952;2.73;12.4;0.781;0.951;7.5e-06;3.42e-05; 52640;410;782;0.454;0.614;46;0.00163;0.85;0.00192;0.953;0.436;15.2;0.971;0.115;0.000636;0.0221; 46080;4;78;0.486;0.628;49;0.00339;0.47;0.00721;0.965;16.4;20.5;0.202;0.0971;0.0115;0.0144; 51120;548;1638;0.512;0.495;51;0.000149;0.251;0.000595;0.944;0.187;1;0.813;0.134;0.00298;0.016; 42560;3;23;0.51;0.644;48;259;549;247;  0%;  0%;  0%;349;47.7;137;  0%;  0%;  0%;247;327;245;  0%;  0%;  0%;347;47.9;130;  0%;  0%;  0%;34.5;36.1;0.026;29.3;0;7.24;0;0;0;0.201;9.06;0.00378;90.7;0;25.6;0;0;0;0.747;20.8;0.00074;78.4;0;0.516;0;0;0;0.063;16.7;0.00693;83.2;0;12.8;0;0;0;342;174;192;181;36.5 ;34.9 ;36.2 ;32.9 ;
2018-01-08;18:42:08.838;0.0676;0.454;0.149;1.18;1.48;27.9;0.947;0.135;1.3e-05;0.000245;0.415;0.405;1.14e+05;2.5e+05;1.05e+04;0.909;22.7;0.135;3.38;243;12.6;21.8;0.00324;65.6;0;22.5;0;0;0;1.24e+03;147;0.268;0.453;0.591;1.18;0.44;1.84;0.76;0.498;3.91e-06;1.63e-05; 53680;74;91;0.136;0.118;43;0.00196;0.942;0.00208;1.05;0.412;21.6;0.981;0.0281;0.0005;0.0261; 40080;1;34;0.0741;0.0816;48;0.00017;0.332;0.000512;0.945;0.193;1.73;0.888;0.0719;0.0027;0.0241; 50400;6;39;0.1;0.103;49;0.000507;0.476;0.00107;0.971;0.438;2.74;0.84;0.394;0.00205;0.0129; 47440;12;44;0.105;0.103;47;41.3;27.3;32.5;  0%;  0%;  0%;9.81;23.6;29.4;  0%;  0%;  0%;9.47;14.6;10.5;  0%;  0%;  0%;10.8;14.6;19.6;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.198;5.12;0.0013;94.7;0;44.7;0;0;0;0.0542;17.8;0.00435;82.2;0;19;0;0;0;0.11;14.2;0.00732;85.7;0;26.3;0;0;0;472;248;274;249;43.3 ;33.9 ;36.1 ;33.4 ;
2018-01-08;18:42:13.851;0.0464;0.454;0.102;0.811;1.09;27.2;0.96;0.0955;1.39e-05;0.000348;0.412;0.421;7.81e+04;1.72e+05;1.05e+04;0.908;22.7;0.0928;2.32;220;12.6;21.3;0.00196;66.1;0;17.6;0;0;0;756;120;0.183;0.451;0.406;0.811;0.434;2.05;0.788;0.487;5.62e-06;2.66e-05; 49920;81;110;0.123;0.118;46;0.00201;1;0.00201;0.784;0.369;21.8;0.983;0.0284;0.000435;0.0257; 41440;3;32;0.0903;0.0985;50;0.000131;0.324;0.000404;0.81;0.121;1.44;0.916;0.0473;0.0022;0.0261; 51040;1;29;0.0961;0.101;52;0.000254;0.404;0.000628;0.817;0.166;1.91;0.913;0.102;0.00155;0.0179; 47440;4;22;0.102;0.104;49;46.3;31.7;34.2;  0%;  0%;  0%;8.07;10.4;28.9;  0%;  0%;  0%;7.8;13.2;6.84;  0%;  0%;  0%;6.15;10.5;16.1;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.257;8.52;0.000164;91.2;0;23.6;0;0;0;0.0499;12.3;0.00317;87.7;0;20.2;0;0;0;0.0768;14.6;0.00449;85.3;0;26.5;0;0;0;272;157;164;162;34.4 ;28.7 ;29.4 ;27.3 ;
2018-01-08;18:42:18.871;0.049;0.454;0.108;0.857;1.29;28;0.954;0.0955;1.56e-05;0.000339;0.451;0.447;8.26e+04;1.82e+05;1.05e+04;0.907;22.7;0.0979;2.45;247;12.6;23;0.00222;64.4;0;10.4;0;0;0;775;118;0.193;0.451;0.429;0.857;0.535;2.37;0.775;0.455;6.56e-06;2.91e-05; 49440;95;113;0.129;0.122;46;0.00198;0.97;0.00204;0.827;0.428;21.9;0.98;0.0281;0.000514;0.0263; 43680;2;35;0.0994;0.105;50;0.000149;0.344;0.000434;0.805;0.151;1.56;0.903;0.0744;0.00241;0.0248; 51440;1;39;0.106;0.109;52;0.000264;0.421;0.000627;0.819;0.174;2.14;0.919;0.0908;0.00156;0.0192; 47440;0;20;0.116;0.111;49;49.9;34.7;36.3;  0%;  0%;  0%;9.48;12.3;32.2;  0%;  0%;  0%;9.89;15.6;8.04;  0%;  0%;  0%;7.71;13.2;18;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.246;12.7;0.000767;87.1;0;15.5;0;0;0;0.0539;13.1;0.0029;86.8;0;13.7;0;0;0;0.0766;16.3;0.0052;83.7;0;12.3;0;0;0;281;163;167;165;32.5 ;28.9 ;29.6 ;27.3 ;
2018-01-08;18:42:23.885;0.211;1.95;0.108;0.857;2.53;37.8;0.933;0.965;7.11e-06;0.000106;0.56;0.573;3.55e+05;1.82e+05;1.05e+04;3.9;97.6;0.422;10.5;383;12.6;25.2;0.137;62;0;1.87;0;0;0;846;123;0.841;1.96;0.429;0.857;1.76;11.2;0.843;0.989;4.98e-06;3.17e-05; 49120;127;195;0.157;0.138;45;0.00206;0.915;0.00226;0.848;0.464;22.7;0.98;0.028;0.000533;0.0261; 43600;0;58;0.126;0.142;50;0.000128;0.327;0.00039;0.856;0.116;1.44;0.919;0.0446;0.00215;0.0267; 50640;0;26;0.134;0.145;52;0.000219;0.36;0.000609;0.855;0.184;2.48;0.926;0.051;0.00199;0.0269; 45440;0;20;0.143;0.149;49;68.9;50.8;54.7;  0%;  0%;  0%;9.39;13;59.5;  0%;  0%;  0%;9.93;41.8;8.15;  0%;  0%;  0%;7.92;14.3;44.9;  0%;  0%;  0%;50.1;49.9;0.00786;0.00339;0;0;0;0;0;0.266;15.6;0.00232;84.2;0;4.27;0;0;0;0.0456;19.8;0;80.2;0;1.62;0;0;0;0.0712;15.5;0.539;83.9;0;1.57;0;0;0;347;163;171;165;33.2 ;30.1 ;31 ;28.8 ;
2018-01-08;18:42:28.897;0.206;1.91;0.108;0.857;1.96;35.2;0.944;0.976;5.64e-06;0.000101;0.422;0.362;3.47e+05;1.82e+05;1.05e+04;3.81;95.3;0.412;10.3;203;12.6;20.8;0.0015;66.6;0;19.6;0;0;0;836;118;0.822;1.92;0.429;0.857;1.23;9.02;0.863;0.994;3.57e-06;2.61e-05; 46800;67;73;0.144;0.107;46;0.00203;0.899;0.00226;0.808;0.461;22.7;0.98;0.0282;0.000539;0.0265; 44080;1;96;0.0891;0.0859;51;0.00012;0.303;0.000397;0.775;0.103;1.27;0.919;0.0512;0.00203;0.0252; 50640;0;23;0.0898;0.0837;53;0.000195;0.339;0.000575;0.781;0.158;2.18;0.928;0.0525;0.00192;0.0266; 46640;4;16;0.0985;0.0857;50;31.3;11.1;13.1;  0%;  0%;  0%;6.28;9.78;49.1;  0%;  0%;  0%;6.59;25.8;5.53;  0%;  0%;  0%;5.26;10.1;29.3;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.279;8.63;0.0015;91.1;0;23.1;0;0;0;0.0512;11;0.00157;89;0;26.4;0;0;0;0.0735;13.7;0.00292;86.3;0;29.1;0;0;0;347;160;165;163;32.7 ;28.9 ;29.4 ;27.3 ;
2018-01-08;18:42:33.910;0.194;1.9;0.102;0.809;1.67;34.7;0.952;0.975;5.11e-06;0.000106;0.428;0.359;3.27e+05;1.72e+05;1.05e+04;3.8;95.1;0.388;9.71;213;12.6;21.3;0.000795;66.1;0;19.3;0;0;0;807;119;0.774;1.91;0.405;0.81;0.968;8.65;0.888;0.994;2.97e-06;2.66e-05; 47840;82;79;0.137;0.108;46;0.00214;0.97;0.00221;0.772;0.439;22.6;0.981;0.0324;0.000487;0.0251; 44720;1;60;0.0939;0.0841;51;0.000129;0.329;0.000392;0.759;0.106;1.54;0.931;0.0395;0.00196;0.0283; 50480;0;25;0.0946;0.0817;53;0.000184;0.321;0.000573;0.757;0.159;1.88;0.915;0.0644;0.00206;0.0243; 46560;2;21;0.102;0.0845;50;33.5;15.6;19.2;  0%;  0%;  0%;9.07;11.7;41.9;  0%;  0%;  0%;9.37;20.8;8.15;  0%;  0%;  0%;7.38;12.4;24.1;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.286;13.4;0.00167;86.3;0;22.5;0;0;0;0.0516;10.6;0.000233;89.4;0;26;0;0;0;0.0756;11.4;0.00128;88.6;0;28.5;0;0;0;328;158;162;158;32.7 ;28.8 ;29.5 ;27.6 ;
2018-01-08;18:42:38.923;0.194;1.9;0.102;0.809;1.44;33.5;0.957;0.975;4.42e-06;0.000103;0.464;0.43;3.26e+05;1.72e+05;1.05e+04;3.8;95;0.388;9.69;218;12.6;23.8;0.00736;63.6;0;4.58;0;0;0;810;121;0.773;1.91;0.405;0.81;0.754;8.17;0.908;0.994;2.32e-06;2.51e-05; 49520;86;94;0.133;0.113;45;0.00197;0.962;0.00204;0.776;0.425;21.8;0.981;0.0275;0.000513;0.0264; 44720;1;52;0.0937;0.0928;51;0.000125;0.322;0.000387;0.81;0.0993;1.38;0.928;0.0475;0.00189;0.0264; 50640;1;24;0.112;0.109;53;0.000196;0.332;0.000591;0.81;0.164;2.1;0.922;0.0595;0.00199;0.0254; 47600;3;14;0.125;0.115;50;40.4;22.9;25.9;  0%;  0%;  0%;8;11.8;37.2;  0%;  0%;  0%;8.07;17;7.12;  0%;  0%;  0%;6.55;11.9;20.8;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.263;12.9;0.000745;86.8;0;18.3;0;0;0;0.0478;16.6;0.000133;83.3;0;0;0;0;0;0.0731;15.5;0.0286;84.4;0;0;0;0;0;328;158;164;160;32.6 ;29.6 ;30.7 ;28.5 ;
2018-01-08;18:42:43.944;0.194;1.9;0.102;0.809;1.58;34;0.954;0.975;4.84e-06;0.000104;0.473;0.426;3.27e+05;1.72e+05;1.05e+04;3.8;95;0.387;9.68;245;12.6;24.8;0.0308;62.6;0;6.58;0;0;0;814;122;0.772;1.91;0.405;0.81;0.9;8.46;0.894;0.994;2.76e-06;2.6e-05; 50000;81;99;0.136;0.116;45;0.00204;0.977;0.00209;0.774;0.407;22.1;0.982;0.0285;0.000474;0.0258; 44400;0;48;0.0965;0.0884;51;0.000133;0.331;0.000403;0.805;0.109;1.48;0.927;0.0475;0.00193;0.0264; 50880;0;22;0.115;0.112;54;0.000188;0.321;0.000585;0.806;0.163;1.94;0.916;0.0631;0.00206;0.0246; 47920;1;22;0.126;0.11;51;42.8;25.7;28.9;  0%;  0%;  0%;9.6;13.2;40.6;  0%;  0%;  0%;9.53;20.9;8.14;  0%;  0%;  0%;7.78;14;24.1;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.269;16.8;0.00157;83;0;20.9;0;0;0;0.05;14.8;0;85.1;0;2.71;0;0;0;0.0726;17.5;0.121;82.3;0;2.72;0;0;0;329;160;164;162;32.8 ;29.3 ;30.8 ;28.8 ;
