System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-16;20:30:07.640;0.00364;0.648;0.00562;0.805;39.5;50.3;0.214;0.128;0.00645;0.00821;2.92;2.82;6.13e+03;9.46e+03;1.05e+04;1.3;32.4;0.00727;0.182;4.56e+03;0.698;12.2;0.025;87.1;0;21.9;0;0;0;655;167;0.000268;0.556;0.000483;0.793;0.241;0.975;0.753;0.202;0.00213;0.00863; 45760;34;8;0.745;0.792;46;0.000147;0.218;0.000674;0.691;0.186;0.94;0.802;0.113;0.003;0.0152; 33840;2;44;0.683;0.745;47;0.014;0.672;0.0208;0.81;38.9;46.9;0.172;0.128;0.0066;0.00796; 50880;987;2866;0.744;0.484;50;0.000144;0.288;0.000499;0.8;0.239;1.48;0.839;0.0664;0.00394;0.0245; 34880;4;14;0.751;0.803;46;77.1;799;78.4;  0%;  0%;  0%;796;73.5;107;  0%;  0%;  0%;534;569;542;  0%;  0%;  0%;805;74;109;  0%;  0%;  0%;0.0609;21;0.0748;78.8;0;10.5;0;0;0;0.0975;1.87;0.00953;98;0;68.1;0;0;0;2.57;10.7;0.00803;86.7;0;0;0;0;0;0.0624;15.1;0.00758;84.8;0;8.92;0;0;0;169;151;172;163;42 ;42.9 ;42.4 ;40 ;
2018-01-16;20:30:12.002;0.527;0.985;0.535;0.809;665;742;0.103;0.978;0.000735;0.00082;74.1;31.3;9.05e+05;9.19e+05;1.05e+04;1.97;49.2;1.05;26.4;1.1e+05;66.1;5.65;0.0614;28.2;0;6.76;0;0;0;1.35e+03;261;0.526;1;0.525;0.81;144;165;0.13;0.98;0.000644;0.00074; 47760;3815;10852;18.9;7.92;43;0.532;0.992;0.536;0.809;154;171;0.1;0.98;0.000678;0.000753; 48000;3890;11412;19.1;7.91;44;0.522;0.973;0.536;0.81;180;200;0.0999;0.976;0.000803;0.000892; 41840;4076;13330;18.1;7.71;45;0.529;0.974;0.543;0.81;187;205;0.0885;0.976;0.000813;0.000892; 44880;4225;13326;18;7.78;43;8.91e+03;9.5e+03;9.16e+03;  9%;  9%;  9%;9.57e+03;9.04e+03;9.4e+03;  9%;  9%;  9%;9.35e+03;9.25e+03;9.03e+03;  9%;  9%;  9%;9.08e+03;8.99e+03;8.79e+03;  9%;  9%;  8%;64.9;8.16;0.204;26.8;0;0.535;0;0;0;66.3;1.13;0.0132;32.6;0;26.3;0;0;0;66.2;4.48;0.0178;29.3;0;0.366;0;0;0;67;8.77;0.0126;24.2;0;0;0;0;0;337;328;346;337;65.1 ;66.7 ;67.9 ;61.8 ;
2018-01-16;20:30:18.390;1.06;0.928;1.15;1.15;3.06e+03;3.22e+03;0.0496;0.973;0.0016;0.00168;226;190;1.92e+06;2.07e+06;1.13e+04;1.86;46.4;2.13;53.2;3.74e+05;99.4;0.598;0;0;0;0;0;0;0;2.94e+03;514;1.06;0.924;1.15;1.15;778;830;0.063;0.972;0.00163;0.00174; 50320;19803;57634;57;47.7;35;1.02;0.887;1.15;1.16;944;982;0.0389;0.964;0.00205;0.00213; 57360;27045;80387;56.9;44.9;35;1.1;0.979;1.13;1.14;584;613;0.0472;0.981;0.00117;0.00123; 52480;11871;37935;56.7;50.6;38;1.07;0.923;1.16;1.16;754;795;0.0509;0.974;0.00157;0.00165; 50560;21077;62782;55.3;47.2;36;3.48e+04;2.64e+04;3.16e+04; 33%; 25%; 30%;3.11e+04;3.62e+04;3.6e+04; 30%; 35%; 34%;3.07e+04;2.57e+04;2.66e+04; 29%; 24%; 25%;2.7e+04;3.63e+04;3.15e+04; 26%; 35%; 30%;99.5;0.532;0;0;0;0;0;0;0;99.4;0.615;0;0;0;0;0;0;0;99.3;0.707;0;0;0;0;0;0;0;99.5;0.537;0;0;0;0;0;0;0;733;735;739;732;128 ;128 ;137 ;121 ;
2018-01-16;20:30:23.794;1.03;1.15;0.889;0.89;1.09e+03;1.16e+03;0.0646;0.99;0.000584;0.000624;72;70.3;1.86e+06;1.61e+06;1.13e+04;2.31;57.7;2.05;51.3;1.2e+05;99.8;0.196;0;0;0;0;0;0;0;1.89e+03;344;1.04;1.16;0.894;0.896;225;257;0.124;0.991;0.000479;0.000547; 47520;5720;16113;18.2;18.5;43;1.02;1.14;0.892;0.894;360;373;0.0352;0.985;0.00078;0.000809; 51040;9212;26931;17.7;17;43;1.04;1.18;0.882;0.883;97.6;107;0.0866;0.996;0.000206;0.000226; 50480;2304;7266;18;19.2;46;1.01;1.13;0.886;0.888;403;424;0.0487;0.985;0.000884;0.000929; 49120;10347;29727;18.1;15.6;42;1.07e+04;5.85e+03;1.2e+04; 10%;  5%; 11%;7.37e+03;1.36e+04;9.74e+03;  7%; 13%;  9%;9.14e+03;6.64e+03;1.05e+04;  8%;  6%; 10%;9.33e+03;1.41e+04;1.16e+04;  9%; 13%; 11%;99.8;0.218;0;0;0;0;0;0;0;99.8;0.198;0;0;0;0;0;0;0;99.8;0.172;0;0;0;0;0;0;0;99.8;0.196;0;0;0;0;0;0;0;470;460;485;476;85.1 ;86.7 ;94.2 ;78.2 ;
2018-01-16;20:30:29.190;0.945;1.17;0.81;0.81;682;750;0.0898;0.993;0.000398;0.000437;48.3;36.9;1.72e+06;1.47e+06;1.13e+04;2.34;58.4;1.89;47.3;7.46e+04;100;0.000308;0;0;0;0;0;0;0;1.68e+03;291;0.946;1.17;0.81;0.81;158;190;0.169;0.992;0.000368;0.000443; 48880;3830;10622;12.2;9.46;43;0.938;1.16;0.81;0.81;210;225;0.0681;0.99;0.000493;0.000529; 46880;5118;14727;11.9;9.16;44;0.965;1.19;0.81;0.81;66.3;74.2;0.107;0.997;0.000151;0.000169; 51680;1551;4947;12;9.91;46;0.932;1.15;0.81;0.81;249;261;0.0461;0.99;0.000588;0.000616; 56080;5883;16995;12.2;8.37;43;6.62e+03;4.1e+03;7.51e+03;  6%;  3%;  7%;4.49e+03;7.81e+03;6.1e+03;  4%;  7%;  5%;5.75e+03;4.97e+03;6.72e+03;  5%;  4%;  6%;5.5e+03;7.97e+03;7.11e+03;  5%;  7%;  6%;100;0.000297;0;0;0;0;0;0;0;100;0.000317;0;0;0;0;0;0;0;100;0.000308;0;0;0;0;0;0;0;100;0.000313;0;0;0;0;0;0;0;419;407;436;421;71.6 ;74.1 ;78.8 ;66.5 ;
2018-01-16;20:30:34.622;0.969;1.2;0.81;0.81;379;437;0.133;0.996;0.000215;0.000248;27.6;22.5;1.76e+06;1.47e+06;1.14e+04;2.39;59.8;1.94;48.4;4.31e+04;100;0.00167;0;0;0;0;0;0;0;1.71e+03;251;0.977;1.21;0.81;0.81;58.4;87.1;0.33;0.997;0.000131;0.000196; 44560;1577;4074;6.98;5.97;44;0.973;1.2;0.809;0.81;113;126;0.103;0.994;0.000256;0.000286; 56640;2891;8487;6.7;5.54;44;0.979;1.21;0.81;0.81;12.4;16.7;0.255;0.999;2.79e-05;3.74e-05; 50880;277;1004;6.94;6.35;46;0.945;1.17;0.81;0.81;195;207;0.0588;0.992;0.000452;0.000481; 47760;4771;13562;6.94;4.68;43;3.55e+03;1.68e+03;5.04e+03;  3%;  1%;  4%;2.15e+03;5.46e+03;2.94e+03;  2%;  5%;  2%;3.03e+03;2.07e+03;4.63e+03;  2%;  1%;  4%;3.29e+03;5.21e+03;4.11e+03;  3%;  5%;  3%;100;0.000279;0;0;0;0;0;0;0;100;0.00584;0;0;0;0;0;0;0;100;0.000231;0;0;0;0;0;0;0;100;0.000316;0;0;0;0;0;0;0;425;415;441;424;62.1 ;63.6 ;68.2 ;57.2 ;
2018-01-16;20:30:40.018;0.978;1.21;0.81;0.81;269;320;0.16;0.997;0.000151;0.00018;19.4;16.2;1.78e+06;1.47e+06;1.14e+04;2.42;60.4;1.96;48.9;3.06e+04;100;0;0;0;0;0;0;0;0;1.7e+03;230;0.987;1.22;0.81;0.81;25;51.8;0.517;0.998;5.56e-05;0.000115; 51040;773;1728;4.87;4.42;43;0.992;1.23;0.81;0.81;64.1;72.7;0.119;0.997;0.000142;0.000161; 62880;1580;4643;4.75;4.18;44;0.979;1.21;0.81;0.81;15.7;19.6;0.202;0.999;3.52e-05;4.41e-05; 52720;363;1198;4.92;4.56;46;0.954;1.18;0.81;0.81;164;176;0.0672;0.993;0.000378;0.000405; 55840;3876;11185;4.85;3.07;42;1.89e+03;1.12e+03;3.96e+03;  1%;  1%;  3%;1.38e+03;4.25e+03;1.51e+03;  1%;  4%;  1%;1.83e+03;1.17e+03;3.89e+03;  1%;  1%;  3%;2.85e+03;3.71e+03;3e+03;  2%;  3%;  2%;100;0.000267;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.000269;0;0;0;0;0;0;0;100;0.000302;0;0;0;0;0;0;0;423;414;438;422;56.9 ;58.7 ;61.7 ;52.4 ;
2018-01-16;20:30:45.438;0.977;1.21;0.81;0.81;146;188;0.22;0.998;8.22e-05;0.000105;10.3;7.88;1.78e+06;1.47e+06;1.14e+04;2.41;60.4;1.95;48.9;1.57e+04;100;0.000267;0;0;0;0;0;0;0;1.71e+03;201;0.979;1.21;0.81;0.81;28;53.7;0.478;0.998;6.29e-05;0.00012; 48720;801;1889;2.65;2.16;43;0.984;1.22;0.81;0.81;30.2;36.2;0.164;0.999;6.75e-05;8.08e-05; 23680;730;2195;2.49;1.99;44;0.97;1.2;0.81;0.81;7.2;9.88;0.271;1;1.63e-05;2.24e-05; 52400;150;602;2.59;2.16;46;0.975;1.2;0.81;0.81;80.8;87.8;0.0803;0.997;0.000182;0.000198; 51920;1938;5710;2.6;1.57;43;1.06e+03;685;1.98e+03;  1%;  0%;  1%;677;1.96e+03;1.03e+03;  0%;  1%;  0%;900;885;1.78e+03;  0%;  0%;  1%;1.29e+03;1.72e+03;1.71e+03;  1%;  1%;  1%;100;0.000285;0;0;0;0;0;0;0;100;0.000283;0;0;0;0;0;0;0;100;0.000214;0;0;0;0;0;0;0;100;0.000286;0;0;0;0;0;0;0;427;417;439;425;50.1 ;51.4 ;52.5 ;47 ;
2018-01-16;20:30:50.838;0.973;1.2;0.81;0.81;88.1;122;0.277;0.999;4.99e-05;6.9e-05;6.16;4.09;1.77e+06;1.47e+06;1.13e+04;2.4;60.1;1.95;48.7;8.8e+03;100;0.000223;0;0;0;0;0;0;0;1.71e+03;187;0.973;1.2;0.81;0.81;8.2;30.9;0.735;0.999;1.86e-05;7.01e-05; 44880;330;501;1.58;1.16;44;0.976;1.21;0.81;0.81;22.7;27.1;0.16;0.999;5.13e-05;6.11e-05; 56640;551;1658;1.5;1.04;44;0.969;1.2;0.81;0.81;0.291;2.29;0.873;1;6.62e-07;5.21e-06; 51760;1;105;1.52;1.14;47;0.976;1.21;0.81;0.81;56.9;61.6;0.0764;0.998;0.000128;0.000139; 49760;1206;3601;1.56;0.751;43;574;263;1.29e+03;  0%;  0%;  1%;327;1.37e+03;466;  0%;  1%;  0%;517;346;1.23e+03;  0%;  0%;  1%;655;975;785;  0%;  0%;  0%;100;0.000214;0;0;0;0;0;0;0;100;0.000272;0;0;0;0;0;0;0;100;0.000119;0;0;0;0;0;0;0;100;0.000286;0;0;0;0;0;0;0;428;417;438;424;46.9 ;47.6 ;48.2 ;43.8 ;
2018-01-16;20:30:56.218;0.972;1.2;0.81;0.81;41.8;71.8;0.418;0.999;2.38e-05;4.08e-05;3.62;2.95;1.76e+06;1.47e+06;1.13e+04;2.4;60;1.94;48.6;5.2e+03;100;0.000179;0;0;0;0;0;0;0;1.71e+03;179;0.971;1.2;0.81;0.81;0.316;22.3;0.986;0.999;7.18e-07;5.06e-05; 46560;139;0;0.954;0.811;44;0.971;1.2;0.81;0.81;2.21;4.39;0.496;1;5.03e-06;9.98e-06; 41440;32;156;0.904;0.854;44;0.969;1.2;0.81;0.81;0.31;2.4;0.871;1;7.07e-07;5.46e-06; 51600;0;112;0.912;0.818;46;0.975;1.2;0.81;0.81;39;42.8;0.0886;0.998;8.85e-05;9.71e-05; 50560;1042;3087;0.848;0.469;43;127;130;907;  0%;  0%;  0%;117;892;122;  0%;  0%;  0%;118;126;900;  0%;  0%;  0%;597;579;586;  0%;  0%;  0%;100;0.000118;0;0;0;0;0;0;0;100;0.000178;0;0;0;0;0;0;0;100;0.000148;0;0;0;0;0;0;0;100;0.000272;0;0;0;0;0;0;0;428;418;436;424;45.1 ;46 ;46.1 ;41.7 ;
