System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-16;19:34:00.158;0.108;1.33;0.0808;1.24;24.7;173;0.857;0.49;0.000136;0.000951;3.05;3.99;1.82e+05;1.36e+05;1.05e+04;2.67;66.7;0.216;5.39;5.56e+03;6.5;52;0.506;41;0;7.62;0;0;0;1.4e+03;205;0.0706;1.33;0.0531;1.24;4.37;24.2;0.819;0.472;0.000147;0.000815; 48400;166;422;0.813;1.07;48;0.0979;1.29;0.0761;1.24;6.13;35.5;0.827;0.451;0.000149;0.000863; 50240;320;637;0.758;1.01;49;0.12;1.28;0.0934;1.24;8.05;53.6;0.85;0.343;0.000159;0.00106; 52000;314;978;0.752;0.943;50;0.143;1.42;0.101;1.25;6.1;59.3;0.897;0.594;0.000101;0.000984; 54320;238;670;0.724;0.966;49;613;650;592;  0%;  0%;  0%;460;390;388;  0%;  0%;  0%;441;431;427;  0%;  0%;  0%;430;369;374;  0%;  0%;  0%;4.29;55.6;0.32;39.8;0;2.63;0;0;0;6.14;54.1;0.402;39.3;0;14.2;0;0;0;7.52;47.7;0.68;44.1;0;13.7;0;0;0;8.05;50.4;0.623;41;0;0;0;0;0;337;345;367;353;52.2 ;51.2 ;51.3 ;50.4 ;
2018-01-16;19:34:05.167;0.141;1.51;0.0934;1.24;39.3;436;0.91;0.315;0.000166;0.00184;4.02;4.92;2.37e+05;1.57e+05;1.05e+04;3.01;75.3;0.281;7.04;7.31e+03;7.51;69;0.279;23.3;0;0;0;0;0;1.56e+03;212;0.0689;1.48;0.0466;1.25;5.38;72.5;0.926;0.261;0.000185;0.0025; 48720;165;477;1.05;1.33;46;0.158;1.51;0.104;1.24;11;117;0.906;0.324;0.000165;0.00176; 51520;348;1030;0.986;1.18;47;0.188;1.5;0.125;1.24;11.8;138;0.914;0.328;0.00015;0.00175; 50400;399;1091;0.977;1.19;47;0.148;1.52;0.0974;1.25;11.1;108;0.897;0.321;0.000178;0.00173; 50320;332;1084;0.997;1.22;48;806;822;819;  0%;  0%;  0%;587;562;464;  0%;  0%;  0%;577;476;576;  0%;  0%;  0%;581;562;478;  0%;  0%;  0%;3.72;64.3;1.02;30.9;0;0;0;0;0;8.41;66.9;0.0683;24.6;0;0;0;0;0;10.1;72.4;0;17.5;0;0;0;0;0;7.82;72.2;0.0277;20;0;0;0;0;0;357;390;429;386;53 ;53.9 ;54 ;51.1 ;
2018-01-16;19:34:10.169;0.169;1.5;0.113;0.863;51.9;526;0.901;0.317;0.000183;0.00185;4.8;5.72;2.84e+05;1.89e+05;1.05e+04;3;75;0.338;8.45;8.76e+03;13;69.3;0.731;17;0;0;0;0;0;977;197;0.116;1.48;0.0788;0.864;8.87;110;0.919;0.286;0.000181;0.00225; 48720;227;661;1.27;1.54;49;0.211;1.49;0.141;0.862;15.5;158;0.902;0.327;0.000175;0.00178; 51840;456;1303;1.17;1.36;50;0.142;1.52;0.0936;0.866;10.6;105;0.899;0.321;0.000177;0.00175; 51200;299;939;1.18;1.45;52;0.206;1.51;0.137;0.862;16.9;153;0.889;0.324;0.000195;0.00176; 49760;483;1465;1.18;1.36;50;989;863;1.03e+03;  1%;  0%;  1%;606;768;607;  0%;  0%;  0%;652;524;693;  0%;  0%;  0%;625;751;645;  0%;  0%;  0%;9.12;66.7;2.79;21.4;0;0;0;0;0;16.4;64.7;0.079;18.9;0;0;0;0;0;10.8;77.1;0.00349;12.1;0;0;0;0;0;15.9;68.6;0.0526;15.5;0;0;0;0;0;233;246;245;253;46.9 ;50.4 ;51.2 ;48.9 ;
2018-01-16;19:34:15.206;0.269;1.49;0.181;0.81;91.3;855;0.893;0.311;0.000201;0.00188;7.58;8.74;4.55e+05;3.06e+05;1.05e+04;2.97;74.4;0.539;13.5;1.36e+04;22.4;61;1.12;15.5;0;0;0;0;0;1.02e+03;185;0.136;1.49;0.0912;0.81;11.9;122;0.903;0.283;0.000207;0.00213; 51120;311;829;1.99;2.42;48;0.335;1.48;0.227;0.81;30.3;264;0.885;0.315;0.000214;0.00186; 53440;827;2549;1.87;2.07;50;0.283;1.49;0.189;0.81;23.8;220;0.892;0.315;0.0002;0.00185; 49360;532;1585;1.84;2.11;52;0.323;1.49;0.217;0.81;25.3;249;0.899;0.317;0.000185;0.00183; 55440;594;1909;1.89;2.15;49;1.43e+03;1.27e+03;1.3e+03;  1%;  1%;  1%;1.16e+03;1.2e+03;989;  1%;  1%;  1%;1.18e+03;863;1.1e+03;  1%;  0%;  1%;1.04e+03;1.17e+03;836;  1%;  1%;  0%;11.3;57.3;3.45;28;0;0;0;0;0;28;59.2;0.519;12.2;0;0;0;0;0;23.4;65.9;0.00272;10.8;0;0;0;0;0;26.8;61.7;0.527;11;0;0;0;0;0;224;263;263;268;46.2 ;47 ;47.9 ;43.9 ;
2018-01-16;19:34:20.218;0.259;1.5;0.173;0.81;93.5;819;0.886;0.306;0.000214;0.00187;7.36;8.11;4.37e+05;2.92e+05;1.06e+04;2.99;74.8;0.518;13;1.33e+04;21.4;62.2;0.823;15.6;0;0;0;0;0;1.01e+03;183;0.103;1.48;0.0697;0.81;9.07;98.6;0.908;0.269;0.000208;0.00226; 49040;201;566;1.89;2.25;49;0.317;1.49;0.213;0.81;29.6;246;0.88;0.312;0.000221;0.00184; 51840;727;2221;1.82;1.94;50;0.294;1.51;0.195;0.81;23.7;224;0.894;0.31;0.000191;0.00181; 51200;525;1591;1.81;1.99;51;0.322;1.5;0.215;0.81;31.2;250;0.875;0.308;0.000229;0.00184; 51120;686;2111;1.83;1.93;50;1.36e+03;1.22e+03;1.39e+03;  1%;  1%;  1%;1.06e+03;1.24e+03;816;  1%;  1%;  0%;1.1e+03;717;1.15e+03;  1%;  0%;  1%;1.11e+03;1.23e+03;864;  1%;  1%;  0%;8.61;54.9;2.22;34.3;0;0;0;0;0;26.3;65.2;0.00144;8.42;0;0;0;0;0;24;66.3;0.407;9.3;0;0;0;0;0;26.5;62.3;0.663;10.5;0;0;0;0;0;214;260;264;267;45.6 ;46.6 ;47.5 ;43.4 ;
2018-01-16;19:34:25.231;0.196;1.5;0.13;0.81;64;621;0.897;0.304;0.000194;0.00188;5.19;5.81;3.3e+05;2.2e+05;1.05e+04;3;75.1;0.392;9.8;9.48e+03;16.1;64.9;1.29;17.7;0;0;0;0;0;953;176;0.0948;1.48;0.064;0.81;8.64;94.4;0.908;0.259;0.000217;0.00237; 49520;205;572;1.34;1.57;49;0.27;1.51;0.18;0.81;22.2;207;0.893;0.312;0.000195;0.00182; 48560;500;1558;1.29;1.39;50;0.201;1.51;0.133;0.81;15.8;153;0.896;0.312;0.000187;0.0018; 50720;386;1094;1.28;1.45;51;0.218;1.5;0.145;0.81;17.3;167;0.896;0.312;0.000189;0.00182; 50000;390;1175;1.29;1.41;49;1.11e+03;972;1.01e+03;  1%;  1%;  1%;748;775;651;  0%;  0%;  0%;811;569;721;  0%;  0%;  0%;703;820;595;  0%;  0%;  0%;7.9;49.4;4.54;38.1;0;0;0;0;0;22.2;65.9;0.224;11.6;0;0;0;0;0;16.4;74.7;0.105;8.72;0;0;0;0;0;18;69.4;0.296;12.4;0;0;0;0;0;210;249;247;246;43.8 ;44.9 ;45.5 ;41.6 ;
2018-01-16;19:34:30.266;0.306;1.48;0.207;0.81;128;988;0.87;0.304;0.000249;0.00192;9.99;11.7;5.15e+05;3.49e+05;1.05e+04;2.95;73.9;0.611;15.3;1.8e+04;25.6;59.1;0.853;14.5;0;0;0;0;0;1.05e+03;194;0.177;1.48;0.119;0.81;14.4;155;0.907;0.288;0.000193;0.00207; 49360;360;947;2.58;3.23;48;0.305;1.5;0.204;0.81;23.1;237;0.902;0.313;0.00018;0.00184; 52240;495;1504;2.48;3.04;49;0.371;1.45;0.256;0.81;49.6;303;0.836;0.304;0.000317;0.00193; 51520;1078;3436;2.45;2.62;51;0.368;1.48;0.248;0.81;40.9;294;0.861;0.305;0.000263;0.00189; 58480;847;2703;2.47;2.8;49;1.26e+03;1.87e+03;1.68e+03;  1%;  1%;  1%;1.59e+03;1.39e+03;865;  1%;  1%;  0%;1.5e+03;1.38e+03;1.91e+03;  1%;  1%;  1%;1.94e+03;1.34e+03;1.23e+03;  2%;  1%;  1%;14.8;57.8;2.2;25.2;0;0;0;0;0;25.2;65.4;0.221;9.14;0;0;0;0;0;31.6;58.2;0.167;10.1;0;0;0;0;0;30.7;55.1;0.82;13.4;0;0;0;0;0;234;259;282;277;48.3 ;49.6 ;49.9 ;45.7 ;
2018-01-16;19:34:35.287;0.276;1.5;0.184;0.81;94.5;880;0.893;0.305;0.000202;0.00188;7.44;8.06;4.67e+05;3.11e+05;1.06e+04;3;75;0.552;13.8;1.32e+04;22.8;63.7;0.896;12.7;0;0;0;0;0;1.03e+03;183;0.175;1.49;0.117;0.81;15.1;157;0.904;0.285;0.000204;0.00212; 48720;349;1038;1.91;2.17;48;0.282;1.51;0.187;0.81;25.3;218;0.884;0.306;0.000212;0.00183; 51280;547;1736;1.84;1.99;50;0.332;1.5;0.222;0.81;30.3;259;0.883;0.308;0.000216;0.00185; 50160;714;2015;1.84;1.9;51;0.315;1.5;0.211;0.81;23.8;246;0.903;0.314;0.000179;0.00184; 51040;536;1638;1.85;2;49;1.31e+03;1.42e+03;1.28e+03;  1%;  1%;  1%;1.17e+03;1.03e+03;874;  1%;  1%;  0%;1.12e+03;942;1.07e+03;  1%;  0%;  1%;1.12e+03;1.03e+03;857;  1%;  1%;  0%;14.5;62.5;3.45;19.6;0;0;0;0;0;23.1;67.7;0.00782;9.23;0;0;0;0;0;27.4;62;0.103;10.5;0;0;0;0;0;26;62.6;0.0193;11.4;0;0;0;0;0;235;254;272;266;45.5 ;46.7 ;47.5 ;43.6 ;
2018-01-16;19:34:40.300;0.23;1.5;0.153;0.81;80.6;727;0.889;0.305;0.000208;0.00188;6.35;7.16;3.87e+05;2.58e+05;1.05e+04;3.01;75.1;0.459;11.5;1.16e+04;18.9;59.9;1.24;20;0;0;0;0;0;973;180;0.108;1.49;0.0724;0.81;9.72;105;0.907;0.264;0.000214;0.00231; 48720;244;623;1.64;1.94;48;0.259;1.51;0.172;0.81;23.7;199;0.881;0.31;0.000217;0.00182; 51200;507;1596;1.57;1.73;49;0.282;1.49;0.189;0.81;23.1;218;0.894;0.314;0.000194;0.00183; 54320;547;1657;1.56;1.75;51;0.269;1.51;0.178;0.81;24.1;205;0.883;0.31;0.000212;0.00181; 52160;532;1615;1.58;1.74;49;1.19e+03;1.17e+03;1.22e+03;  1%;  1%;  1%;951;983;710;  0%;  1%;  0%;967;715;971;  1%;  0%;  1%;958;982;745;  0%;  1%;  0%;8.94;43.5;4.45;43.1;0;0;0;0;0;21.2;65.5;0.0431;13.3;0;0;0;0;0;23.4;64.6;0.215;11.8;0;0;0;0;0;22;66;0.263;11.7;0;0;0;0;0;209;247;261;256;44.9 ;45.8 ;46.7 ;42.8 ;
2018-01-16;19:34:45.312;0.217;1.5;0.144;0.81;70.5;691;0.898;0.305;0.000193;0.00189;5.65;6.23;3.65e+05;2.43e+05;1.05e+04;3.01;75.2;0.433;10.8;1.03e+04;17.8;62;1.48;18.7;0;0;0;0;0;966;177;0.17;1.5;0.114;0.81;15.2;155;0.902;0.281;0.000212;0.00216; 50560;358;1031;1.45;1.61;49;0.204;1.51;0.135;0.81;15.6;156;0.9;0.31;0.000182;0.00182; 53600;349;1153;1.39;1.56;49;0.22;1.5;0.146;0.81;16;169;0.906;0.311;0.000173;0.00183; 53280;396;1156;1.39;1.56;51;0.273;1.51;0.181;0.81;23.7;210;0.887;0.313;0.000207;0.00183; 47760;537;1626;1.42;1.5;49;1.05e+03;1.06e+03;1.25e+03;  1%;  1%;  1%;687;855;717;  0%;  0%;  0%;671;711;853;  0%;  0%;  0%;782;776;841;  0%;  0%;  0%;14;53.6;4.69;27.6;0;0;0;0;0;16.7;63;0.292;20;0;0;0;0;0;18.1;69.5;0.274;12.1;0;0;0;0;0;22.4;62;0.659;15;0;0;0;0;0;229;233;249;255;44.2 ;45.2 ;45.9 ;42.1 ;
