System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-17;00:52:57.130;0.942;1.17;0.808;0.81;216;455;0.525;0.763;0.000126;0.000265;19.3;16.4;1.72e+06;1.47e+06;1.14e+04;2.33;58.3;1.88;47.1;2.98e+04;99.8;0.139;0.00128;0.0101;0;0;0;0;0;1.54e+03;227;0.942;1.17;0.808;0.81;53.2;113;0.527;0.764;0.000124;0.000262; 55360;1142;3233;4.88;4.11;44;0.941;1.16;0.809;0.81;57.6;118;0.512;0.755;0.000134;0.000275; 48640;1132;3331;4.79;4.03;45;0.941;1.17;0.807;0.81;52;112;0.534;0.766;0.000121;0.00026; 50080;1016;3131;4.78;4.11;47;0.943;1.17;0.809;0.81;53.3;113;0.526;0.766;0.000124;0.000262; 54400;1341;4572;4.85;4.16;43;2.52e+03;2.37e+03;2.43e+03;  2%;  2%;  2%;2.37e+03;2.41e+03;2.77e+03;  2%;  2%;  2%;2.39e+03;2.66e+03;2.34e+03;  2%;  2%;  2%;2.36e+03;2.44e+03;2.73e+03;  2%;  2%;  2%;99.8;0.2;0;0;0;0;0;0;0;99.9;0.115;0;0;0;0;0;0;0;99.7;0.227;0.00511;0.0403;0;0;0;0;0;100;0.0143;0;0;0;0;0;0;0;386;377;392;388;55.9 ;57.6 ;59.9 ;53.9 ;
2018-01-17;00:53:02.646;0.85;1.14;0.744;0.809;172;344;0.5;0.978;0.00011;0.00022;17.7;15.9;1.56e+06;1.37e+06;1.15e+04;2.29;57.2;1.7;42.5;2.72e+04;91.9;1.2;0.121;6.81;0;3.36;0.299;0.664;0;1.5e+03;220;0.848;1.14;0.742;0.809;42;84.4;0.503;0.979;0.000108;0.000217; 51760;1093;3098;4.53;4.06;44;0.85;1.14;0.746;0.809;46.4;91.5;0.493;0.976;0.000119;0.000234; 54960;1182;3290;4.43;3.92;45;0.849;1.14;0.744;0.809;41.8;84.9;0.507;0.977;0.000107;0.000217; 52560;1025;3214;4.37;3.96;47;0.853;1.15;0.742;0.809;41.8;82.9;0.496;0.981;0.000106;0.000211; 50640;1139;3947;4.37;4;43;2.28e+03;2.17e+03;2.17e+03;  2%;  2%;  2%;2.16e+03;2.15e+03;2.6e+03;  2%;  2%;  2%;2.18e+03;2.51e+03;2.1e+03;  2%;  2%;  1%;2.11e+03;2.19e+03;2.52e+03;  2%;  2%;  2%;91.6;1.39;0.0785;6.91;0;3.19;0;0.966;0;92.2;0.97;0.139;6.73;0;2.26;0.445;0.511;0;92;1.07;0.0502;6.92;0;4.01;0;0.961;0;91.7;1.39;0.215;6.7;0;3.98;0.75;0.216;0;376;367;382;378;54.3 ;55.9 ;57.4 ;52 ;
2018-01-17;00:53:08.574;1.01;1.24;0.809;0.81;288;492;0.414;0.744;0.000146;0.00025;31.4;32.4;1.97e+06;1.59e+06;1.16e+04;2.48;62.1;2.01;50.3;5.08e+04;100;0.0167;0;0;0;0;0;0;0;1.72e+03;280;1.01;1.24;0.81;0.81;69.9;120;0.417;0.75;0.000144;0.000247; 54960;2811;7269;7.94;8.24;44;1;1.24;0.81;0.81;75.7;128;0.407;0.734;0.000154;0.000261; 53680;2801;8130;7.76;8.16;45;1;1.24;0.81;0.81;71;122;0.417;0.745;0.000143;0.000246; 49600;2387;7577;7.86;7.99;47;1.01;1.24;0.809;0.81;71.7;123;0.417;0.746;0.000143;0.000246; 52160;2379;7310;7.85;8.05;44;4.19e+03;4.11e+03;4.12e+03;  3%;  3%;  3%;4.12e+03;4.09e+03;4.61e+03;  3%;  3%;  4%;4.17e+03;4.55e+03;4.08e+03;  3%;  4%;  3%;4.06e+03;4.14e+03;4.56e+03;  3%;  3%;  4%;100;0.000867;0;0;0;0;0;0;0;100;0.000986;0;0;0;0;0;0;0;100;0.000804;0;0;0;0;0;0;0;99.9;0.0633;0;0;0;0;0;0;0;429;419;437;431;69 ;71.4 ;74 ;65.4 ;
2018-01-17;00:53:14.082;1.01;1.24;0.81;0.81;276;471;0.415;0.744;0.000146;0.000249;29;30.7;1.89e+06;1.52e+06;1.24e+04;2.48;62.1;2.01;50.3;4.67e+04;100;0.000825;0;0;0;0;0;0;0;1.59e+03;260;1.01;1.24;0.81;0.81;68.9;118;0.417;0.751;0.000144;0.000246; 55840;2700;7081;7.36;7.83;44;1;1.24;0.81;0.81;72.9;123;0.408;0.735;0.000154;0.00026; 53360;2672;7793;7.17;7.67;45;1.01;1.24;0.81;0.81;66.9;115;0.417;0.745;0.000143;0.000245; 49520;2276;7192;7.24;7.5;47;1.01;1.24;0.81;0.81;66.8;114;0.417;0.746;0.000143;0.000245; 50080;2160;6754;7.25;7.69;43;3.86e+03;3.79e+03;3.78e+03;  3%;  3%;  3%;3.8e+03;3.77e+03;4.22e+03;  3%;  3%;  3%;3.84e+03;4.17e+03;3.75e+03;  3%;  3%;  3%;3.73e+03;3.8e+03;4.17e+03;  3%;  3%;  3%;100;0.000861;0;0;0;0;0;0;0;100;0.000829;0;0;0;0;0;0;0;100;0.000764;0;0;0;0;0;0;0;100;0.000844;0;0;0;0;0;0;0;399;390;406;400;64.2 ;66.4 ;68.7 ;61 ;
2018-01-17;00:53:19.982;1.01;1.24;0.81;0.81;285;487;0.416;0.744;0.000145;0.000248;30.8;33.5;1.96e+06;1.58e+06;1.16e+04;2.49;62.1;2.01;50.3;4.95e+04;100;0.000759;0;0;0;0;0;0;0;1.71e+03;279;1.01;1.24;0.81;0.81;69.3;119;0.418;0.75;0.000143;0.000246; 52400;2805;7190;7.81;8.42;44;1.01;1.24;0.81;0.81;74.1;126;0.41;0.736;0.000152;0.000257; 56640;2756;7963;7.6;8.2;45;1.01;1.24;0.81;0.81;70.2;120;0.418;0.746;0.000142;0.000244; 50640;2372;7571;7.7;8.49;47;1.01;1.24;0.81;0.81;71.1;122;0.417;0.745;0.000143;0.000246; 52640;2267;7226;7.71;8.39;43;4.11e+03;4.01e+03;4.04e+03;  3%;  3%;  3%;4.03e+03;4.03e+03;4.46e+03;  3%;  3%;  3%;4.07e+03;4.38e+03;3.98e+03;  3%;  3%;  3%;3.96e+03;4.06e+03;4.4e+03;  3%;  3%;  3%;100;0.000755;0;0;0;0;0;0;0;100;0.000771;0;0;0;0;0;0;0;100;0.000695;0;0;0;0;0;0;0;100;0.000817;0;0;0;0;0;0;0;427;417;435;429;68.8 ;71 ;74 ;65.4 ;
2018-01-17;00:53:25.506;1.01;1.24;0.81;0.81;275;470;0.415;0.744;0.000145;0.000248;29;31;1.89e+06;1.52e+06;1.24e+04;2.49;62.1;2.01;50.3;4.69e+04;100;0.00218;0;0;0;0;0;0;0;1.6e+03;262;1.01;1.24;0.809;0.81;68.5;118;0.418;0.75;0.000143;0.000245; 55440;2751;7182;7.36;7.77;43;1.01;1.24;0.81;0.81;72.8;123;0.409;0.735;0.000153;0.000259; 54000;2653;7883;7.17;7.71;45;1.01;1.24;0.81;0.81;66.9;115;0.418;0.746;0.000142;0.000244; 50560;2247;7176;7.24;7.75;47;1.01;1.24;0.81;0.81;66.7;114;0.417;0.746;0.000143;0.000245; 52560;2162;6719;7.26;7.77;43;3.89e+03;3.8e+03;3.81e+03;  3%;  3%;  3%;3.81e+03;3.8e+03;4.25e+03;  3%;  3%;  3%;3.86e+03;4.18e+03;3.77e+03;  3%;  3%;  3%;3.75e+03;3.84e+03;4.19e+03;  3%;  3%;  3%;100;0.00615;0;0;0;0;0;0;0;100;0.000878;0;0;0;0;0;0;0;100;0.000839;0;0;0;0;0;0;0;100;0.00077;0;0;0;0;0;0;0;400;391;407;401;64.6 ;66.6 ;69.2 ;61.3 ;
2018-01-17;00:53:30.883;1;1.24;0.81;0.81;155;272;0.431;0.994;8.4e-05;0.000148;17.8;19.7;1.84e+06;1.49e+06;1.16e+04;2.47;61.8;2;50;2.93e+04;100;0.00166;0;0;0;0;0;0;0;1.63e+03;218;0.999;1.23;0.81;0.81;40.7;71.3;0.429;0.994;8.81e-05;0.000154; 50480;1691;4221;4.58;5;42;1;1.24;0.81;0.81;40.7;70.8;0.425;0.994;8.82e-05;0.000153; 55680;1515;4660;4.35;4.78;44;1;1.24;0.81;0.81;36.3;65.1;0.442;0.995;7.87e-05;0.000141; 46320;1234;3927;4.5;5.03;44;0.998;1.23;0.809;0.81;37;64.8;0.429;0.995;8.1e-05;0.000142; 49040;1227;3933;4.41;4.86;42;2.43e+03;2.41e+03;2.38e+03;  2%;  2%;  2%;2.36e+03;2.31e+03;2.72e+03;  2%;  2%;  2%;2.36e+03;2.71e+03;2.32e+03;  2%;  2%;  2%;2.3e+03;2.34e+03;2.68e+03;  2%;  2%;  2%;100;0.000601;0;0;0;0;0;0;0;100;0.000527;0;0;0;0;0;0;0;100;0.000979;0;0;0;0;0;0;0;100;0.00454;0;0;0;0;0;0;0;405;397;415;409;54.2 ;55.4 ;57 ;51.4 ;
2018-01-17;00:53:36.650;0.939;1.16;0.809;0.81;825;1.24e+03;0.334;0.784;0.000462;0.000693;71.6;81.6;1.79e+06;1.54e+06;1.14e+04;2.32;58;1.88;46.9;1.18e+05;99.9;0.104;0;0;0;0;0;0;0;1.71e+03;368;0.936;1.16;0.809;0.81;199;301;0.337;0.831;0.000454;0.000684; 57280;6480;19753;18;20.6;44;0.937;1.16;0.809;0.81;208;312;0.333;0.791;0.000469;0.000703; 47760;6266;20283;17.8;20.7;45;0.941;1.17;0.808;0.81;206;309;0.333;0.761;0.000459;0.000688; 53120;6024;19855;17.7;19.9;46;0.94;1.16;0.808;0.81;211;317;0.334;0.73;0.000464;0.000697; 51680;6500;19862;18;20.4;43;1.01e+04;9.67e+03;1e+04;  9%;  8%;  9%;9.79e+03;9.61e+03;9.96e+03;  9%;  8%;  9%;9.73e+03;9.78e+03;9.85e+03;  8%;  8%;  9%;9.9e+03;9.56e+03;9.9e+03;  9%;  8%;  9%;100;0.0146;0;0;0;0;0;0;0;100;0.0145;0;0;0;0;0;0;0;99.8;0.184;0;0;0;0;0;0;0;99.8;0.198;0;0;0;0;0;0;0;426;416;433;430;90 ;94.5 ;98.7 ;85.1 ;
2018-01-17;00:53:42.374;0.981;1.21;0.81;0.81;808;1.33e+03;0.392;0.25;0.000427;0.000703;61;66.9;1.89e+06;1.56e+06;1.21e+04;2.42;60.6;1.96;49;9.42e+04;100;0.00202;0;0;0;0;0;0;0;1.68e+03;347;0.98;1.21;0.81;0.81;201;331;0.392;0.175;0.000426;0.000701; 53840;5700;16549;15.2;16.7;44;0.979;1.21;0.81;0.81;206;339;0.393;0.204;0.000437;0.000719; 57040;5498;16725;15.4;16.9;44;0.984;1.22;0.81;0.81;199;327;0.391;0.285;0.00042;0.00069; 58080;5098;16064;15.2;16.8;46;0.981;1.21;0.81;0.81;201;331;0.394;0.321;0.000425;0.000702; 61600;5435;16041;15.1;16.6;43;8.15e+03;7.72e+03;7.8e+03;  7%;  7%;  7%;8e+03;7.71e+03;7.99e+03;  7%;  7%;  7%;7.95e+03;7.87e+03;7.76e+03;  7%;  7%;  7%;7.79e+03;7.67e+03;7.77e+03;  7%;  6%;  7%;100;0.00173;0;0;0;0;0;0;0;100;0.00174;0;0;0;0;0;0;0;100;0.00247;0;0;0;0;0;0;0;100;0.00214;0;0;0;0;0;0;0;419;410;427;424;84.2 ;89.1 ;93.4 ;80.2 ;
2018-01-17;00:53:48.150;1.18;1.46;0.81;0.81;896;1.86e+03;0.519;0.951;0.000393;0.000816;61.3;28;2.28e+06;1.56e+06;1.2e+04;2.92;73;2.36;59.1;7.44e+04;100;0.00187;0;0;0;0;0;0;0;1.61e+03;299;1.17;1.45;0.81;0.81;223;468;0.524;0.949;0.000394;0.000828; 52480;3740;10965;15.4;7;44;1.18;1.46;0.81;0.81;223;464;0.519;0.95;0.000393;0.000816; 54240;3527;10807;15.3;7.02;45;1.18;1.46;0.809;0.81;224;461;0.515;0.953;0.000391;0.000806; 47360;3709;10484;15.3;6.98;47;1.19;1.47;0.81;0.81;227;468;0.516;0.951;0.000394;0.000814; 54800;3367;11328;15.3;7.04;44;6.22e+03;6.17e+03;6.23e+03;  5%;  5%;  5%;6.2e+03;6.19e+03;6.21e+03;  5%;  5%;  5%;6.2e+03;6.2e+03;6.16e+03;  5%;  5%;  5%;6.19e+03;6.24e+03;6.24e+03;  5%;  5%;  5%;100;0.00096;0;0;0;0;0;0;0;100;0.00182;0;0;0;0;0;0;0;100;0.00334;0;0;0;0;0;0;0;100;0.00137;0;0;0;0;0;0;0;401;392;409;403;73.1 ;76.5 ;79.8 ;69.2 ;
