System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-17;00:51:41.856;0.191;0.214;0.891;0.898;1.61e+03;2.02e+03;0.201;0.0523;0.00439;0.00549;92.3;26.1;3.67e+05;1.72e+06;1.2e+04;0.428;10.7;0.382;9.54;1.77e+05;99.2;0.785;0;0;0;0;0;0;0;1.62e+03;313;0.191;0.214;0.895;0.896;405;509;0.204;0.0528;0.00439;0.00552; 52000;5854;16608;22.8;6.45;43;0.192;0.214;0.896;0.898;405;507;0.2;0.0533;0.00439;0.00549; 48720;5733;16764;23;6.52;43;0.192;0.214;0.896;0.899;405;506;0.2;0.0513;0.0044;0.0055; 50320;5731;16926;22.7;6.43;45;0.189;0.215;0.879;0.9;398;497;0.199;0.0515;0.00439;0.00548; 54240;5597;16376;23.7;6.67;42;1.51e+04;1.46e+04;1.45e+04; 13%; 13%; 13%;1.48e+04;1.45e+04;1.51e+04; 13%; 13%; 13%;1.47e+04;1.46e+04;1.48e+04; 13%; 13%; 13%;1.49e+04;1.45e+04;1.46e+04; 13%; 13%; 13%;99.9;0.148;0;0;0;0;0;0;0;99.8;0.153;0;0;0;0;0;0;0;99.6;0.419;0;0;0;0;0;0;0;97.6;2.42;0;0;0;0;0;0;0;404;393;414;405;76.4 ;79.6 ;82.8 ;74.3 ;
2018-01-17;00:51:47.270;0.205;0.852;0.24;0.905;171;269;0.365;0.914;0.000454;0.000714;5.74;5.23;3.77e+05;4.42e+05;1.2e+04;1.7;42.6;0.409;10.2;9.17e+03;26.5;15.3;0.0366;58.1;0;6.98;0;0;0;1.01e+03;185;0.19;0.78;0.244;0.905;45.4;68;0.332;0.909;0.000513;0.000768; 51360;892;2253;1.43;1.39;44;0.198;0.822;0.24;0.904;40.6;62.3;0.348;0.92;0.000445;0.000682; 51680;753;2110;1.43;1.34;45;0.205;0.881;0.232;0.904;33;55;0.401;0.928;0.000352;0.000587; 51360;561;1924;1.49;1.35;47;0.227;0.93;0.244;0.905;51.9;83.8;0.381;0.9;0.000503;0.000812; 47840;1038;3242;1.39;1.15;43;563;568;1.05e+03;  0%;  0%;  0%;568;1.05e+03;569;  0%;  0%;  0%;572;584;1.09e+03;  0%;  0%;  1%;874;842;845;  0%;  0%;  0%;26.9;22.5;0.0263;50.5;0;9.22;0;0;0;26.6;14.7;0.0437;58.7;0;10.3;0;0;0;25.7;9.82;0.0499;64.4;0;8.34;0;0;0;27;14.1;0.0268;58.9;0;0;0;0;0;257;241;250;258;46.2 ;47.5 ;47.8 ;43.4 ;
2018-01-17;00:51:52.678;1.16;1.29;0.9;0.905;74.1;711;0.896;0.891;3.53e-05;0.000338;7.56;8.15;2.1e+06;1.63e+06;1.13e+04;2.58;64.4;2.32;58;1.2e+04;99.5;0.415;0;0.0664;0;0;0;0;0;1.79e+03;194;1.16;1.29;0.903;0.905;18.7;177;0.895;0.891;3.55e-05;0.000337; 52560;597;1618;1.83;2.02;43;1.16;1.29;0.903;0.905;18.6;178;0.895;0.891;3.54e-05;0.000338; 51840;546;1606;1.91;2.02;44;1.15;1.29;0.896;0.905;18.4;180;0.897;0.889;3.53e-05;0.000343; 51680;488;1847;2.01;2.08;46;1.16;1.29;0.901;0.905;18.4;176;0.896;0.892;3.49e-05;0.000335; 49920;547;1606;1.81;2.02;42;995;1e+03;964;  0%;  0%;  0%;989;990;1.03e+03;  0%;  0%;  0%;1e+03;1.05e+03;1e+03;  0%;  1%;  0%;996;993;1e+03;  0%;  0%;  0%;99.8;0.246;0;0;0;0;0;0;0;99.8;0.217;0;0;0;0;0;0;0;99;0.748;0;0.266;0;0;0;0;0;99.6;0.448;0;0;0;0;0;0;0;447;436;455;452;48.1 ;49.7 ;50.8 ;45.9 ;
2018-01-17;00:51:58.130;1.05;1.29;0.815;0.818;69.5;652;0.893;0.89;3.63e-05;0.000341;7.77;7.6;1.91e+06;1.49e+06;1.14e+04;2.57;64.3;2.1;52.4;1.18e+04;99.6;0.279;0;0.0855;0;0;0;0;0;1.59e+03;195;1.05;1.29;0.817;0.819;17;162;0.895;0.89;3.56e-05;0.000338; 49520;550;1467;1.98;1.9;43;1.05;1.29;0.814;0.818;18.5;164;0.887;0.889;3.88e-05;0.000343; 51680;546;1633;1.89;1.88;44;1.05;1.28;0.816;0.818;17.1;165;0.896;0.889;3.59e-05;0.000345; 49440;465;1669;2.04;1.92;46;1.05;1.29;0.813;0.817;16.8;161;0.896;0.891;3.51e-05;0.000337; 48160;515;1403;1.86;1.9;43;975;952;907;  0%;  0%;  0%;931;920;1.16e+03;  0%;  0%;  1%;946;1.15e+03;919;  0%;  1%;  0%;915;929;1.1e+03;  0%;  0%;  1%;99.8;0.183;0;0.0615;0;0;0;0;0;99.5;0.463;0;0.0767;0;0;0;0;0;99.8;0.0927;0;0.137;0;0;0;0;0;99.6;0.377;0;0.0664;0;0;0;0;0;396;386;404;401;48.5 ;49.7 ;50.8 ;46.3 ;
2018-01-17;00:52:03.566;1.04;1.29;0.807;0.81;73.5;654;0.888;0.889;3.87e-05;0.000344;8.85;7.73;1.9e+06;1.48e+06;1.14e+04;2.57;64.3;2.07;51.9;1.3e+04;99.7;0.203;0;0.106;0;0;0;0;0;1.58e+03;197;1.04;1.28;0.808;0.81;17.5;162;0.892;0.89;3.68e-05;0.000341; 53280;549;1553;2.31;1.95;44;1.04;1.29;0.806;0.81;21.7;168;0.871;0.886;4.57e-05;0.000353; 53840;658;1688;2.12;1.9;44;1.04;1.28;0.807;0.81;17.4;164;0.894;0.888;3.68e-05;0.000346; 52720;479;1719;2.31;1.95;46;1.04;1.29;0.807;0.81;16.9;160;0.894;0.891;3.56e-05;0.000337; 49920;514;1430;2.11;1.93;43;1.07e+03;995;946;  1%;  0%;  0%;972;957;1.47e+03;  0%;  0%;  1%;1e+03;1.41e+03;923;  0%;  1%;  0%;918;977;1.36e+03;  0%;  0%;  1%;99.8;0.123;0;0.123;0;0;0;0;0;99.6;0.37;0;0.0759;0;0;0;0;0;99.7;0.164;0;0.118;0;0;0;0;0;99.7;0.152;0;0.107;0;0;0;0;0;394;383;401;398;49.1 ;50.1 ;51.1 ;46.6 ;
2018-01-17;00:52:08.538;1.04;1.29;0.808;0.81;64.9;597;0.891;0.889;3.73e-05;0.000343;7.85;7.01;1.74e+06;1.35e+06;1.05e+04;2.57;64.3;2.08;52;1.16e+04;99.8;0.206;0.000882;0.00634;0;0;0;0;0;1.44e+03;180;1.04;1.29;0.808;0.81;15.6;149;0.895;0.889;3.58e-05;0.000342; 50560;569;1506;2.04;1.76;43;1.04;1.29;0.807;0.81;18.8;153;0.877;0.886;4.32e-05;0.000351; 47920;539;1512;1.9;1.73;44;1.04;1.28;0.809;0.81;15.7;150;0.895;0.888;3.62e-05;0.000346; 49520;420;1574;2.02;1.76;46;1.04;1.29;0.807;0.81;14.7;145;0.898;0.893;3.38e-05;0.000332; 51920;456;1327;1.89;1.76;42;959;895;844;  1%;  0%;  0%;871;858;1.3e+03;  0%;  0%;  1%;890;1.25e+03;828;  0%;  1%;  0%;829;873;1.19e+03;  0%;  0%;  1%;99.9;0.114;0.00352;0.0155;0;0;0;0;0;99.6;0.356;0;0;0;0;0;0;0;99.9;0.0975;0;0.00625;0;0;0;0;0;99.7;0.256;0;0.0036;0;0;0;0;0;361;351;367;364;44.7 ;45.8 ;46.6 ;42.7 ;
2018-01-17;00:52:13.990;1.04;1.29;0.809;0.81;66.4;646;0.897;0.89;3.5e-05;0.000341;7.04;7.36;1.9e+06;1.48e+06;1.14e+04;2.57;64.3;2.08;52;1.11e+04;100;0.0468;0;0;0;0;0;0;0;1.58e+03;194;1.04;1.29;0.808;0.81;16.7;163;0.897;0.889;3.53e-05;0.000344; 49840;676;1643;1.77;1.83;43;1.04;1.29;0.809;0.81;16.8;161;0.896;0.889;3.54e-05;0.000341; 47520;473;1464;1.68;1.82;45;1.04;1.28;0.81;0.81;16.9;164;0.897;0.888;3.56e-05;0.000345; 50560;464;1642;1.83;1.85;46;1.04;1.29;0.809;0.81;16.1;158;0.898;0.892;3.39e-05;0.000333; 48240;458;1448;1.76;1.86;43;921;926;891;  0%;  0%;  0%;894;887;987;  0%;  0%;  0%;901;997;907;  0%;  0%;  0%;909;892;960;  0%;  0%;  0%;99.9;0.131;0;0;0;0;0;0;0;100;0.0158;0;0;0;0;0;0;0;100;0.000348;0;0;0;0;0;0;0;100;0.0401;0;0;0;0;0;0;0;396;385;403;399;48.3 ;49.3 ;50.2 ;46.2 ;
2018-01-17;00:52:19.470;1.04;1.29;0.808;0.81;69.8;654;0.893;0.888;3.64e-05;0.000341;8.77;7.7;1.92e+06;1.49e+06;1.15e+04;2.58;64.4;2.08;52.1;1.29e+04;99.9;0.135;5.14e-05;0.0118;0;0;0;0;0;1.59e+03;198;1.04;1.29;0.806;0.81;16.5;163;0.899;0.888;3.44e-05;0.000341; 53040;672;1467;2.19;1.93;43;1.04;1.29;0.809;0.81;20.9;169;0.876;0.885;4.37e-05;0.000352; 49760;595;1728;2.2;1.9;44;1.04;1.29;0.809;0.81;16.4;164;0.9;0.888;3.42e-05;0.000342; 48720;436;1539;2.24;1.93;46;1.04;1.29;0.809;0.81;16;158;0.899;0.892;3.33e-05;0.00033; 45440;491;1445;2.15;1.94;43;1.07e+03;958;931;  1%;  0%;  0%;956;959;1.49e+03;  0%;  0%;  1%;979;1.4e+03;910;  0%;  1%;  0%;906;975;1.36e+03;  0%;  0%;  1%;99.6;0.382;0;0.0152;0;0;0;0;0;100;0.0297;0;0.0106;0;0;0;0;0;99.9;0.0759;0.000205;0.0145;0;0;0;0;0;99.9;0.0505;0;0.00671;0;0;0;0;0;399;387;405;402;49 ;50.5 ;51.5 ;47 ;
2018-01-17;00:52:24.890;1.04;1.29;0.808;0.81;69.3;648;0.893;0.889;3.64e-05;0.000341;8.63;7.62;1.9e+06;1.48e+06;1.15e+04;2.58;64.4;2.08;52.1;1.27e+04;99.8;0.125;0;0.0414;0;0;0;0;0;1.57e+03;196;1.04;1.29;0.808;0.81;16.7;163;0.898;0.888;3.5e-05;0.000343; 50480;569;1531;2.15;1.91;44;1.04;1.29;0.808;0.81;20.5;167;0.877;0.886;4.3e-05;0.00035; 47840;576;1655;2.11;1.87;44;1.04;1.29;0.808;0.81;16.3;161;0.899;0.889;3.43e-05;0.00034; 47120;446;1518;2.23;1.92;46;1.04;1.29;0.809;0.81;15.9;157;0.899;0.892;3.34e-05;0.00033; 51200;491;1469;2.14;1.93;42;1.05e+03;950;929;  1%;  0%;  0%;937;943;1.46e+03;  0%;  0%;  1%;961;1.38e+03;906;  0%;  1%;  0%;901;962;1.34e+03;  0%;  0%;  1%;99.8;0.144;0;0.0571;0;0;0;0;0;99.9;0.11;0;0.0213;0;0;0;0;0;99.8;0.181;0;0.0334;0;0;0;0;0;99.9;0.0651;0;0.0537;0;0;0;0;0;394;382;400;397;48.4 ;50 ;50.9 ;46.6 ;
2018-01-17;00:52:30.306;1.04;1.29;0.808;0.81;69.6;645;0.892;0.889;3.67e-05;0.00034;8.67;7.64;1.89e+06;1.47e+06;1.14e+04;2.58;64.4;2.08;52;1.28e+04;99.8;0.207;0;0.0282;0;0;0;0;0;1.57e+03;196;1.04;1.29;0.808;0.81;16.3;162;0.899;0.888;3.45e-05;0.000342; 52480;625;1665;2.16;1.93;43;1.04;1.29;0.808;0.81;21.1;166;0.873;0.885;4.45e-05;0.000352; 47120;570;1672;2.18;1.87;45;1.04;1.29;0.808;0.81;16.4;161;0.898;0.889;3.46e-05;0.00034; 48000;417;1536;2.23;1.92;47;1.04;1.29;0.807;0.81;15.8;155;0.898;0.893;3.33e-05;0.000327; 51280;498;1465;2.1;1.92;43;1.06e+03;943;914;  1%;  0%;  0%;961;953;1.47e+03;  0%;  0%;  1%;985;1.37e+03;899;  0%;  1%;  0%;894;969;1.33e+03;  0%;  0%;  1%;99.8;0.217;0;0.0279;0;0;0;0;0;99.8;0.2;0;0.0379;0;0;0;0;0;99.9;0.137;0;0.00723;0;0;0;0;0;99.7;0.275;0;0.0396;0;0;0;0;0;394;382;400;396;48.5 ;49.9 ;50.8 ;46.5 ;
