System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;18:08:32.072;0.899;1.17;0.768;0.81;202;429;0.53;0.763;0.000123;0.000262;17.6;15.1;1.64e+06;1.4e+06;1.14e+04;2.34;58.5;1.8;44.9;2.73e+04;94.9;1.02;0.0052;4.11;0;0.394;0;0;0;1.5e+03;221;0.899;1.17;0.768;0.81;53.5;112;0.524;0.754;0.000131;0.000275; 49680;1201;3238;4.47;3.79;45;0.896;1.17;0.767;0.81;49.9;106;0.53;0.765;0.000122;0.00026; 51200;893;2514;4.38;3.73;46;0.902;1.17;0.77;0.81;48.9;105;0.534;0.767;0.000119;0.000256; 51360;1127;3179;4.36;3.8;48;0.898;1.17;0.767;0.81;49.3;106;0.534;0.767;0.00012;0.000258; 46080;817;2460;4.36;3.75;44;2.29e+03;2.27e+03;2.25e+03;  2%;  2%;  2%;2.19e+03;2.19e+03;2.49e+03;  2%;  2%;  2%;2.17e+03;2.46e+03;2.19e+03;  2%;  2%;  2%;2.19e+03;2.18e+03;2.44e+03;  2%;  2%;  2%;94.9;1.1;0;4.02;0;0;0;0;0;94.7;0.924;0.0169;4.36;0;0;0;0;0;95.1;0.906;0;3.96;0;1.58;0;0;0;94.7;1.14;0.00391;4.11;0;0;0;0;0;375;365;382;376;54.5 ;56.5 ;58.1 ;52.1 ;
2018-01-12;18:08:37.090;0.844;1.17;0.724;0.809;173;364;0.524;0.964;0.000115;0.000242;14.1;11.9;1.5e+06;1.29e+06;1.14e+04;2.33;58.3;1.69;42.2;2.17e+04;89.5;0.354;0.0378;10.2;0;6.2;0;0.665;0;1.34e+03;195;0.846;1.17;0.725;0.809;45;94.4;0.524;0.958;0.000118;0.000247; 44160;1076;2605;3.62;3.02;46;0.843;1.16;0.725;0.809;44.6;92.9;0.52;0.962;0.000118;0.000246; 47360;859;2194;3.51;2.92;46;0.845;1.17;0.723;0.809;41.9;88.4;0.526;0.966;0.000112;0.000236; 44720;826;2392;3.49;3;49;0.841;1.16;0.724;0.81;41.8;88.5;0.528;0.967;0.000113;0.00024; 50720;736;2177;3.49;2.95;45;1.83e+03;1.8e+03;1.78e+03;  1%;  1%;  1%;1.75e+03;1.76e+03;1.95e+03;  1%;  1%;  1%;1.76e+03;1.94e+03;1.75e+03;  1%;  1%;  1%;1.74e+03;1.77e+03;1.91e+03;  1%;  1%;  1%;89.6;0.345;0.0724;9.99;0;6.98;0;0.657;0;89.5;0.322;0.0263;10.1;0;7.45;0;0.657;0;89.3;0.265;0.0232;10.4;0;9;0;0.664;0;89.4;0.486;0.0285;10.1;0;1.28;0;0.68;0;336;327;342;337;48.2 ;49.8 ;50.8 ;46 ;
2018-01-12;18:08:42.612;0.853;1.22;0.7;0.809;198;341;0.419;0.887;0.000134;0.00023;23.7;25.2;1.48e+06;1.22e+06;1.05e+04;2.44;61;1.71;42.7;3.82e+04;86.4;1.36;0.0592;12.2;0;6.92;0.0447;1.05;0;1.45e+03;239;0.851;1.22;0.7;0.809;51.1;87.5;0.417;0.883;0.00014;0.00024; 51920;2070;5649;6.04;6.38;45;0.855;1.22;0.703;0.809;48.5;83.9;0.422;0.889;0.000131;0.000227; 55520;1902;5638;5.81;6.28;46;0.852;1.23;0.692;0.81;48.9;84.3;0.42;0.886;0.000132;0.000227; 49680;1719;5667;5.97;6.3;48;0.855;1.22;0.703;0.81;49.9;85.7;0.417;0.888;0.000132;0.000226; 50480;2100;5849;5.89;6.29;44;3.16e+03;3.15e+03;3.15e+03;  3%;  3%;  3%;3.05e+03;3.05e+03;3.45e+03;  3%;  3%;  3%;3.06e+03;3.46e+03;3.07e+03;  3%;  3%;  3%;3.06e+03;3.05e+03;3.44e+03;  3%;  3%;  3%;86.5;1.1;0.127;12.3;0;7.36;0.182;0.929;0;86.9;0.873;0.0275;12.2;0;8.74;0;1.09;0;85.5;2.36;0.0347;12.1;0;2.76;0;1.08;0;86.8;1.09;0.0492;12;0;8.82;0;1.08;0;365;355;370;364;59.2 ;60.7 ;63.3 ;55.8 ;
2018-01-12;18:08:48.488;1;1.24;0.809;0.81;285;490;0.417;0.742;0.000146;0.00025;30.5;32.6;1.96e+06;1.58e+06;1.16e+04;2.48;62.1;2.01;50.2;4.93e+04;100;0.00831;0;0;0;0;0;0;0;1.69e+03;276;1;1.24;0.809;0.81;73.5;125;0.413;0.738;0.000152;0.000259; 47120;2825;7483;7.75;8.22;44;1.01;1.24;0.809;0.81;69.9;120;0.42;0.74;0.000143;0.000246; 52560;2651;7596;7.55;8.08;45;1.01;1.24;0.81;0.81;70.5;122;0.42;0.75;0.000143;0.000246; 49600;2210;7731;7.59;8.16;47;1;1.24;0.81;0.81;71.4;122;0.416;0.738;0.000144;0.000247; 51040;2769;7790;7.58;8.16;44;4.1e+03;4.06e+03;4.09e+03;  3%;  3%;  3%;3.98e+03;4e+03;4.41e+03;  3%;  3%;  3%;3.98e+03;4.39e+03;3.98e+03;  3%;  3%;  3%;3.98e+03;3.98e+03;4.4e+03;  3%;  3%;  3%;100;0.0226;0;0;0;0;0;0;0;100;0.00936;0;0;0;0;0;0;0;100;0.000814;0;0;0;0;0;0;0;100;0.000776;0;0;0;0;0;0;0;424;414;432;425;68.1 ;70.3 ;73.3 ;64.5 ;
2018-01-12;18:08:54.448;1;1.24;0.81;0.81;291;499;0.418;0.741;0.000145;0.00025;30.9;33.4;2e+06;1.61e+06;1.23e+04;2.48;62.1;2.01;50.2;5.01e+04;100;0;0;0;0;0;0;0;0;1.72e+03;282;1.01;1.24;0.81;0.81;75.8;129;0.413;0.739;0.000152;0.000259; 49760;2906;7676;7.86;8.39;45;1.01;1.24;0.81;0.81;71.4;123;0.421;0.739;0.000143;0.000247; 53520;2690;7744;7.65;8.32;45;1.01;1.24;0.81;0.81;71.4;123;0.421;0.75;0.000143;0.000246; 52000;2264;7855;7.7;8.31;47;1;1.24;0.81;0.81;72;124;0.418;0.737;0.000144;0.000248; 50640;2834;7911;7.67;8.33;44;4.15e+03;4.13e+03;4.14e+03;  3%;  3%;  3%;4.04e+03;4.06e+03;4.47e+03;  3%;  3%;  3%;4.04e+03;4.46e+03;4.05e+03;  3%;  3%;  3%;4.04e+03;4.04e+03;4.46e+03;  3%;  3%;  3%;100;0;0;0;0;0;0;0;0;100;0.000762;0;0;0;0;0;0;0;100;0.000779;0;0;0;0;0;0;0;100;0.000908;0;0;0;0;0;0;0;430;420;438;431;69.2 ;71.9 ;74.8 ;65.5 ;
2018-01-12;18:09:00.312;1;1.24;0.809;0.81;290;498;0.418;0.742;0.000145;0.000249;30.3;32.7;2e+06;1.61e+06;1.25e+04;2.48;62.1;2.01;50.2;4.93e+04;100;0.0106;0;0;0;0;0;0;0;1.69e+03;277;1;1.24;0.809;0.81;76.2;130;0.413;0.738;0.000152;0.000259; 49440;2862;7820;7.7;8.22;44;1.01;1.24;0.81;0.81;71.5;123;0.421;0.74;0.000143;0.000246; 54160;2681;7721;7.5;8.16;46;1.01;1.24;0.81;0.81;70.9;122;0.421;0.75;0.000142;0.000245; 53440;2218;7904;7.54;8.16;47;1;1.24;0.81;0.81;71.6;123;0.417;0.738;0.000144;0.000247; 53600;2858;7831;7.53;8.19;44;4.08e+03;4.05e+03;4.08e+03;  3%;  3%;  3%;3.99e+03;4e+03;4.38e+03;  3%;  3%;  3%;3.99e+03;4.37e+03;3.99e+03;  3%;  3%;  3%;3.98e+03;3.98e+03;4.38e+03;  3%;  3%;  3%;100;0.0398;0;0;0;0;0;0;0;100;0.000757;0;0;0;0;0;0;0;100;0.000792;0;0;0;0;0;0;0;100;0.00078;0;0;0;0;0;0;0;424;413;431;424;68.2 ;70.9 ;73.4 ;64.6 ;
2018-01-12;18:09:05.568;0.989;1.28;0.772;0.81;233;408;0.428;0.919;0.000128;0.000224;22.9;24.4;1.82e+06;1.42e+06;1.23e+04;2.56;64;1.98;49.4;3.71e+04;95.4;4.46;0.0454;0.0685;0;0;0;0;0;1.51e+03;235;0.994;1.28;0.778;0.81;63;111;0.43;0.912;0.000135;0.000236; 48400;2425;6535;5.85;6.13;45;0.993;1.27;0.782;0.81;58.8;103;0.427;0.923;0.000128;0.000223; 53920;2176;6368;5.65;6.08;45;0.983;1.29;0.762;0.81;57.1;100;0.429;0.866;0.000127;0.000223; 53360;1810;6387;5.68;6.08;47;0.984;1.28;0.768;0.81;54.4;94.6;0.425;0.945;0.000122;0.000213; 49360;2114;6058;5.69;6.13;44;3.09e+03;3.06e+03;3.03e+03;  2%;  2%;  2%;3.02e+03;2.97e+03;3.35e+03;  2%;  2%;  3%;3.02e+03;3.34e+03;2.96e+03;  2%;  3%;  2%;2.95e+03;2.96e+03;3.3e+03;  2%;  2%;  3%;96.1;3.87;0.0471;0;0;0;0;0;0;96.6;3.13;0.0762;0.174;0;0;0;0;0;94.1;5.91;0;0.0132;0;0;0;0;0;94.9;5;0.0578;0.0877;0;0;0;0;0;378;368;382;378;57.8 ;59.8 ;62.2 ;54.9 ;
2018-01-12;18:09:11.040;0.925;1.17;0.791;0.81;397;592;0.329;0.989;0.000239;0.000357;42.5;51.6;1.66e+06;1.42e+06;1.1e+04;2.34;58.5;1.85;46.3;7.21e+04;97.7;2.33;0.00459;0;0;0;0;0;0;1.67e+03;278;0.924;1.17;0.79;0.81;98.6;149;0.336;0.989;0.00024;0.000361; 56400;3668;11226;10.9;13;44;0.925;1.17;0.789;0.81;97.4;144;0.325;0.989;0.000236;0.00035; 52400;3585;11451;10.3;12.5;45;0.925;1.17;0.788;0.81;99;147;0.325;0.989;0.000238;0.000353; 49840;3591;11349;10.5;13;47;0.928;1.17;0.796;0.81;102;152;0.328;0.988;0.000244;0.000363; 49280;3643;11765;10.8;13.1;44;5.97e+03;6.02e+03;6.11e+03;  5%;  5%;  5%;5.69e+03;5.92e+03;6.2e+03;  5%;  5%;  6%;5.7e+03;6.26e+03;5.98e+03;  5%;  6%;  5%;5.96e+03;5.89e+03;6.41e+03;  5%;  5%;  6%;97.6;2.4;0;0;0;0;0;0;0;97.5;2.5;0.0184;0;0;0;0;0;0;97.3;2.69;0;0;0;0;0;0;0;98.3;1.72;0;0;0;0;0;0;0;417;407;426;419;68.6 ;70.4 ;74 ;65 ;
2018-01-12;18:09:16.444;0.977;1.21;0.809;0.81;803;1.25e+03;0.358;0.155;0.00045;0.000701;62.2;67.6;1.79e+06;1.48e+06;1.15e+04;2.41;60.4;1.95;48.9;9.59e+04;100;0.00319;0;0;0;0;0;0;0;1.58e+03;336;0.973;1.2;0.809;0.81;207;325;0.363;0.151;0.000466;0.000731; 55360;5894;16544;15.9;17.1;44;0.979;1.21;0.81;0.81;199;308;0.355;0.155;0.000444;0.000689; 56160;5825;16626;15.4;16.8;45;0.98;1.21;0.809;0.81;197;306;0.356;0.158;0.00044;0.000683; 50800;5513;16147;15.4;16.9;47;0.977;1.21;0.809;0.81;200;311;0.359;0.156;0.000448;0.0007; 54000;5497;16238;15.5;16.9;44;8e+03;8.05e+03;7.91e+03;  7%;  7%;  7%;7.69e+03;7.93e+03;8.33e+03;  7%;  7%;  7%;7.73e+03;8.29e+03;7.94e+03;  7%;  7%;  7%;7.84e+03;7.92e+03;8.28e+03;  7%;  7%;  7%;100;0.00316;0;0;0;0;0;0;0;100;0.00271;0;0;0;0;0;0;0;100;0.00318;0;0;0;0;0;0;0;100;0.00371;0;0;0;0;0;0;0;395;385;401;396;82.2 ;85.6 ;90.6 ;77.7 ;
2018-01-12;18:09:21.900;0.986;1.22;0.81;0.81;505;905;0.442;0.977;0.000281;0.000503;40.3;41.5;1.8e+06;1.48e+06;1.14e+04;2.44;60.9;1.97;49.3;5.96e+04;100;0.00266;0;0;0;0;0;0;0;1.63e+03;280;0.98;1.21;0.81;0.81;131;239;0.454;0.975;0.000293;0.000536; 51840;3700;10456;10.3;10.5;44;0.986;1.22;0.809;0.81;124;218;0.432;0.979;0.000274;0.000483; 41120;3533;10225;9.99;10.3;45;0.989;1.22;0.81;0.81;124;219;0.435;0.978;0.000274;0.000485; 51200;3368;9979;10;10.3;47;0.989;1.22;0.81;0.81;127;229;0.444;0.977;0.000282;0.000507; 38000;3376;10131;10.1;10.4;43;4.94e+03;4.99e+03;4.95e+03;  4%;  4%;  4%;4.76e+03;4.89e+03;5.24e+03;  4%;  4%;  5%;4.78e+03;5.24e+03;4.9e+03;  4%;  5%;  4%;4.85e+03;4.87e+03;5.25e+03;  4%;  4%;  5%;100;0.00214;0;0;0;0;0;0;0;100;0.00378;0;0;0;0;0;0;0;100;0.00265;0;0;0;0;0;0;0;100;0.00209;0;0;0;0;0;0;0;408;397;415;410;69 ;71 ;74.6 ;65.1 ;
