System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;18:07:16.631;0.0617;0.228;0.271;0.836;568;721;0.212;0.0749;0.00513;0.00651;26.5;9.08;1.11e+05;4.87e+05;1.19e+04;0.455;11.4;0.123;3.09;5.01e+04;32.5;8.39;0.0115;59.1;0;11.7;0;0;0;873;198;0.0612;0.22;0.278;0.83;146;184;0.207;0.067;0.00519;0.00654; 46560;2162;6195;6.54;2.29;46;0.06;0.221;0.271;0.834;139;177;0.214;0.0746;0.00511;0.0065; 48880;1843;6149;6.59;2.3;47;0.0582;0.22;0.265;0.837;134;168;0.203;0.0693;0.00516;0.00647; 50880;2066;5607;6.58;2.3;49;0.0677;0.25;0.27;0.842;150;193;0.223;0.0872;0.00506;0.00651; 50800;2369;7052;6.8;2.2;45;3.98e+03;3.97e+03;4.4e+03;  3%;  3%;  4%;4.03e+03;4.46e+03;3.96e+03;  3%;  4%;  3%;4.01e+03;3.99e+03;4.47e+03;  3%;  3%;  4%;4.29e+03;4.29e+03;4.22e+03;  4%;  4%;  4%;33.5;4.56;0.0171;61.9;0;8.32;0;0;0;32.5;3.55;0.00729;63.9;0;26;0;0;0;31.7;13.4;0.00964;54.9;0;12.3;0;0;0;32.1;12.3;0.0119;55.6;0;0;0;0;0;216;208;223;225;49.1 ;50.8 ;51.5 ;46.8 ;
2018-01-12;18:07:22.076;0.925;1.27;0.727;0.857;62.9;485;0.87;0.904;3.93e-05;0.000303;7.21;7.81;1.6e+06;1.26e+06;1.05e+04;2.54;63.6;1.85;46.3;1.14e+04;84.8;3.07;0.0854;12;0;0.279;0;0;0;1.53e+03;192;0.925;1.27;0.728;0.857;14.8;116;0.872;0.908;3.76e-05;0.000294; 51440;728;1707;1.79;1.99;45;0.931;1.27;0.736;0.857;15;120;0.875;0.908;3.74e-05;0.000298; 53120;536;1871;1.66;1.92;45;0.903;1.29;0.702;0.857;14.3;121;0.882;0.898;3.64e-05;0.000308; 53120;534;1445;1.99;1.94;47;0.94;1.26;0.743;0.857;18.8;128;0.854;0.903;4.55e-05;0.000312; 53360;736;2254;1.77;1.96;44;903;917;974;  0%;  0%;  0%;909;965;945;  0%;  0%;  0%;917;968;971;  0%;  0%;  0%;943;949;996;  0%;  0%;  1%;84.9;2.33;0.0975;12.6;0;0.397;0;0;0;85.9;1.95;0.0823;12.1;0;0.199;0;0;0;81.9;5.25;0.0602;12.8;0;0.436;0;0;0;86.7;2.74;0.102;10.5;0;0.0864;0;0;0;383;373;388;388;47.6 ;48.7 ;49.9 ;45.4 ;
2018-01-12;18:07:27.652;1.03;1.29;0.802;0.814;67.3;657;0.898;0.89;3.5e-05;0.000342;7.25;7.56;1.92e+06;1.5e+06;1.16e+04;2.57;64.3;2.06;51.5;1.12e+04;98.5;0.237;0.000348;1.26;0;0.275;0;0;0;1.6e+03;198;1.03;1.28;0.802;0.814;17.5;162;0.892;0.891;3.66e-05;0.000338; 48960;889;2082;1.77;1.86;45;1.03;1.29;0.801;0.814;16.7;163;0.898;0.89;3.48e-05;0.000341; 43280;583;1863;1.71;1.89;45;1.03;1.29;0.802;0.814;16.4;166;0.901;0.889;3.4e-05;0.000345; 53840;488;1522;1.9;1.88;48;1.03;1.29;0.801;0.813;16.8;166;0.899;0.889;3.48e-05;0.000344; 49920;690;2115;1.86;1.94;44;912;928;919;  0%;  0%;  0%;900;901;990;  0%;  0%;  0%;910;1.02e+03;901;  0%;  0%;  0%;897;911;1.01e+03;  0%;  0%;  0%;98.6;0.238;0.00139;1.21;0;0;0;0;0;98.5;0.121;0;1.4;0;1.1;0;0;0;98.5;0.404;0;1.09;0;0;0;0;0;98.5;0.185;0;1.33;0;0;0;0;0;401;391;409;403;49.3 ;50.4 ;51.4 ;47.1 ;
2018-01-12;18:07:33.160;1.04;1.28;0.808;0.81;72.6;667;0.891;0.889;3.75e-05;0.000344;8.3;7.69;1.94e+06;1.51e+06;1.17e+04;2.57;64.2;2.08;51.9;1.24e+04;99.8;0.148;0.000348;0.0144;0;0;0;0;0;1.59e+03;199;1.04;1.28;0.809;0.81;21.1;169;0.875;0.887;4.35e-05;0.000349; 51120;1045;2452;2.06;1.89;45;1.04;1.28;0.809;0.81;17.5;166;0.895;0.89;3.6e-05;0.000342; 48320;632;1956;1.96;1.91;45;1.04;1.29;0.807;0.81;17;166;0.898;0.889;3.51e-05;0.000344; 50320;506;1437;2.16;1.92;48;1.04;1.28;0.807;0.81;17.1;165;0.896;0.889;3.56e-05;0.000344; 54240;656;1962;2.12;1.97;43;976;1e+03;993;  0%;  0%;  0%;914;913;1.27e+03;  0%;  0%;  1%;928;1.32e+03;917;  0%;  1%;  0%;911;918;1.3e+03;  0%;  0%;  1%;100;0.0122;0.00139;0.0272;0;0;0;0;0;99.9;0.0527;0;0.0153;0;0;0;0;0;99.7;0.252;0;0.00798;0;0;0;0;0;99.7;0.276;0;0.00716;0;0;0;0;0;399;388;406;400;49.2 ;50.8 ;51.5 ;47.1 ;
2018-01-12;18:07:38.684;1.03;1.29;0.802;0.81;72.1;656;0.89;0.889;3.77e-05;0.000343;8.27;7.66;1.91e+06;1.49e+06;1.16e+04;2.57;64.3;2.06;51.6;1.24e+04;99;0.372;0.000813;0.604;0;0.176;0;0.0069;0;1.59e+03;199;1.03;1.29;0.8;0.81;20.9;166;0.874;0.887;4.39e-05;0.000348; 48720;1011;2399;2.05;1.88;44;1.03;1.29;0.8;0.81;17;163;0.896;0.89;3.55e-05;0.00034; 46640;614;1942;1.95;1.91;45;1.03;1.29;0.803;0.81;16.7;163;0.898;0.89;3.49e-05;0.000341; 51440;457;1435;2.15;1.91;47;1.03;1.28;0.804;0.81;17.5;164;0.893;0.889;3.67e-05;0.000344; 51680;697;2041;2.11;1.96;44;967;992;998;  0%;  0%;  0%;909;925;1.26e+03;  0%;  0%;  1%;921;1.3e+03;931;  0%;  1%;  0%;925;930;1.3e+03;  0%;  0%;  1%;98.8;0.639;0;0.579;0;0.139;0;0.0063;0;98.9;0.524;6.89e-05;0.619;0;0.205;0;0.00636;0;99.2;0.21;0;0.615;0;0.198;0;0.00674;0;99.3;0.115;0.00318;0.602;0;0.164;0;0.00821;0;398;388;405;400;49.4 ;50.6 ;51.6 ;47.2 ;
2018-01-12;18:07:44.204;1.04;1.28;0.809;0.81;70.3;662;0.894;0.889;3.65e-05;0.000344;7.84;7.57;1.92e+06;1.5e+06;1.16e+04;2.57;64.2;2.08;52;1.19e+04;100;0.033;0;0;0;0;0;0;0;1.6e+03;197;1.04;1.28;0.809;0.81;19.4;167;0.883;0.887;4.04e-05;0.000346; 46080;790;2189;1.95;1.88;44;1.04;1.29;0.809;0.81;17;167;0.898;0.889;3.54e-05;0.000347; 45360;512;1740;1.84;1.85;45;1.04;1.29;0.809;0.81;16.7;164;0.898;0.89;3.46e-05;0.000341; 50080;511;1553;2.04;1.89;47;1.04;1.28;0.809;0.81;17.2;164;0.895;0.889;3.58e-05;0.000342; 51520;654;1748;2;1.94;44;941;969;964;  0%;  0%;  0%;911;900;1.15e+03;  0%;  0%;  1%;920;1.19e+03;927;  0%;  1%;  0%;920;906;1.18e+03;  0%;  0%;  1%;100;0.0211;0;0;0;0;0;0;0;99.9;0.082;0;0;0;0;0;0;0;100;0.023;0;0;0;0;0;0;0;100;0.00581;0;0;0;0;0;0;0;400;390;407;401;48.8 ;50.4 ;50.9 ;47 ;
2018-01-12;18:07:49.696;1.03;1.29;0.805;0.81;68.6;653;0.895;0.889;3.58e-05;0.000341;7.53;7.45;1.91e+06;1.49e+06;1.16e+04;2.57;64.3;2.07;51.7;1.16e+04;99.4;0.232;0.00089;0.373;0;0.0193;0;0;0;1.59e+03;196;1.03;1.28;0.806;0.81;18.6;164;0.886;0.888;3.89e-05;0.000342; 52720;683;2136;1.9;1.85;44;1.03;1.28;0.805;0.81;16.7;165;0.899;0.888;3.49e-05;0.000346; 46480;524;1775;1.76;1.82;45;1.04;1.29;0.804;0.81;16.5;162;0.899;0.889;3.43e-05;0.000339; 49760;517;1630;1.98;1.86;48;1.03;1.29;0.803;0.81;16.8;162;0.896;0.889;3.52e-05;0.000339; 49040;665;1842;1.9;1.92;44;937;960;961;  0%;  0%;  0%;897;885;1.09e+03;  0%;  0%;  1%;911;1.13e+03;917;  0%;  1%;  0%;910;891;1.12e+03;  0%;  0%;  1%;99.5;0.131;0.00325;0.349;0;0.0486;0;0;0;99.5;0.162;0.000306;0.368;0;0.0212;0;0;0;99.4;0.295;0;0.345;0;0.00728;0;0;0;99.2;0.34;0;0.431;0;0;0;0;0;397;387;404;398;48.9 ;49.5 ;50.9 ;46.5 ;
2018-01-12;18:07:55.196;1.03;1.28;0.802;0.81;69.8;648;0.892;0.889;3.66e-05;0.00034;8.19;7.51;1.9e+06;1.48e+06;1.16e+04;2.57;64.2;2.06;51.5;1.22e+04;99.1;0.208;0.00211;0.702;0;0.327;0;0.0557;0;1.58e+03;198;1.03;1.28;0.802;0.81;19.6;163;0.88;0.888;4.13e-05;0.000344; 52080;678;2139;2.07;1.85;44;1.03;1.29;0.802;0.81;16.5;163;0.899;0.888;3.46e-05;0.000343; 50960;461;1724;1.91;1.85;45;1.03;1.29;0.803;0.81;16.6;162;0.897;0.889;3.48e-05;0.00034; 52800;527;1676;2.15;1.87;47;1.03;1.29;0.802;0.81;17;159;0.893;0.89;3.58e-05;0.000335; 52560;701;1979;2.05;1.94;43;959;985;989;  0%;  0%;  0%;897;886;1.26e+03;  0%;  0%;  1%;912;1.3e+03;936;  0%;  1%;  0%;928;892;1.3e+03;  0%;  0%;  1%;99.1;0.16;0.00147;0.764;0;0.287;0;0.0576;0;99;0.233;0.00699;0.731;0;0.318;0;0.055;0;99.2;0.118;0;0.651;0;0.35;0;0.0543;0;99;0.32;0;0.662;0;0.354;0;0.0558;0;396;386;403;397;49.1 ;50.4 ;51.2 ;46.9 ;
2018-01-12;18:08:00.200;1.04;1.29;0.808;0.81;62.3;594;0.895;0.889;3.56e-05;0.00034;7.33;6.85;1.75e+06;1.36e+06;1.05e+04;2.57;64.3;2.08;52;1.1e+04;99.9;0.142;0;0.00492;0;0;0;0;0;1.45e+03;179;1.04;1.29;0.807;0.81;17.8;150;0.881;0.888;4.09e-05;0.000345; 53040;611;1953;1.86;1.69;44;1.04;1.29;0.809;0.81;14.7;149;0.901;0.889;3.37e-05;0.000341; 47520;428;1568;1.73;1.69;45;1.04;1.29;0.809;0.81;14.5;148;0.902;0.889;3.31e-05;0.000338; 53760;457;1429;1.89;1.71;47;1.04;1.29;0.809;0.81;15.2;146;0.896;0.891;3.49e-05;0.000335; 52960;646;1852;1.84;1.77;44;869;878;897;  0%;  0%;  0%;805;802;1.13e+03;  0%;  0%;  1%;817;1.15e+03;827;  0%;  1%;  0%;820;807;1.17e+03;  0%;  0%;  1%;99.7;0.32;0;0.00456;0;0;0;0;0;99.9;0.0797;0;0.0125;0;0;0;0;0;99.9;0.0766;0;0.00266;0;0;0;0;0;99.9;0.0927;0;0;0;0;0;0;0;362;353;369;363;44.6 ;45.6 ;46.6 ;42.5 ;
2018-01-12;18:08:05.660;1.04;1.29;0.809;0.81;67.5;648;0.896;0.889;3.53e-05;0.000339;8.01;7.68;1.91e+06;1.49e+06;1.15e+04;2.57;64.3;2.08;52;1.18e+04;99.9;0.0736;0;0.00387;0;0;0;0;0;1.58e+03;197;1.04;1.28;0.809;0.81;19.5;165;0.882;0.887;4.09e-05;0.000347; 55680;742;2174;2.09;1.91;44;1.04;1.29;0.808;0.81;15.9;161;0.901;0.89;3.33e-05;0.000337; 49360;484;1758;1.9;1.91;45;1.04;1.29;0.809;0.81;15.6;162;0.904;0.889;3.26e-05;0.000339; 52160;509;1545;2.05;1.92;47;1.04;1.29;0.809;0.81;16.4;160;0.897;0.891;3.44e-05;0.000334; 50080;666;1999;1.96;1.94;44;938;948;968;  0%;  0%;  0%;858;861;1.24e+03;  0%;  0%;  1%;870;1.26e+03;885;  0%;  1%;  0%;877;865;1.27e+03;  0%;  0%;  1%;99.9;0.0832;0;0.00448;0;0;0;0;0;99.8;0.168;0;0;0;0;0;0;0;100;0.0235;0;0.00434;0;0;0;0;0;100;0.0195;0;0.00668;0;0;0;0;0;396;386;402;397;49 ;50.1 ;51 ;46.6 ;
