System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;20:41:31.191;0.59;1.94;0.304;0.81;67.4;135;0.501;0.959;6.78e-05;0.000136;5.59;5.56;9.95e+05;5.13e+05;1.05e+04;3.88;96.9;1.18;29.5;8.73e+03;37.6;38.9;0.00587;23.5;0;0.517;0;0;0;1.14e+03;163;0.789;1.95;0.405;0.81;6.45;16;0.596;0.988;1.94e-05;4.8e-05; 53280;233;437;1.49;1.56;46;0.787;1.94;0.405;0.81;13.6;31.7;0.57;0.972;4.11e-05;9.57e-05; 50880;259;888;1.37;1.47;47;0.782;1.93;0.405;0.81;46.7;70.8;0.341;0.911;0.000141;0.000214; 53360;1365;3904;1.37;1.13;48;0.00134;0.803;0.00167;0.806;0.664;16.7;0.96;0.0285;0.00118;0.0295; 41600;1;30;1.37;1.4;55;495;1.23e+03;198;  0%;  1%;  0%;1.28e+03;279;443;  1%;  0%;  0%;1.13e+03;1.02e+03;844;  1%;  1%;  0%;1.13e+03;404;278;  1%;  0%;  0%;50;49.9;0.00696;0.0587;0;0;0;0;0;50.1;49.8;0.00761;0.091;0;0.0391;0;0;0;50;49.9;0.00704;0.0999;0;0.028;0;0;0;0.207;6.07;0.00188;93.7;0;2;0;0;0;329;322;333;157;41.7 ;41.2 ;41.6 ;38.8 ;
2018-01-12;20:41:36.204;0.377;1.33;0.285;0.809;8.49;48.9;0.826;0.878;1.34e-05;7.7e-05;1.47;1.48;6.35e+05;4.79e+05;1.05e+04;2.65;66.3;0.754;18.9;1.8e+03;35.2;36.4;0.0205;28.4;0;10.6;0.00728;0.123;0;1.02e+03;129;0.478;1.29;0.371;0.809;3.03;12.9;0.765;0.902;1.51e-05;6.42e-05; 50480;204;326;0.478;0.446;46;0.519;1.35;0.384;0.809;2.56;11.3;0.774;0.913;1.17e-05;5.19e-05; 49920;139;415;0.331;0.353;47;0.51;1.34;0.381;0.809;2.37;10.4;0.771;0.917;1.11e-05;4.83e-05; 48800;105;373;0.339;0.355;49;0.00116;0.808;0.00144;0.752;0.522;14.3;0.963;0.0294;0.00107;0.0292; 40320;1;32;0.325;0.33;55;207;188;115;  0%;  0%;  0%;183;117;264;  0%;  0%;  0%;166;220;98.9;  0%;  0%;  0%;67;70;108;  0%;  0%;  0%;45.8;46.1;0.0366;8.02;0;2.9;0.0291;0.103;0;47.5;47.7;0.0233;4.8;0;3.19;0;0.126;0;47.1;47.3;0.0203;5.55;0;3.22;0;0.13;0;0.191;4.53;0.00191;95.3;0;33.1;0;0.133;0;286;284;292;155;34 ;32.4 ;33.1 ;29.6 ;
2018-01-12;20:41:41.320;0.312;1.03;0.301;0.809;17.2;81.1;0.787;0.905;3.24e-05;0.000152;2.69;3.28;5.33e+05;5.15e+05;1.05e+04;2.07;51.7;0.624;15.6;4.09e+03;37.2;39.2;0.0022;23.6;0;2.88;0;0;0;1.05e+03;136;0.414;1.03;0.401;0.81;5.14;13.2;0.61;0.95;2.92e-05;7.49e-05; 55040;288;762;0.681;0.809;46;0.414;1.03;0.402;0.81;5.29;23.9;0.779;0.915;3e-05;0.000136; 52720;243;808;0.647;0.813;47;0.419;1.04;0.403;0.81;6.1;20.5;0.703;0.928;3.39e-05;0.000114; 50480;294;886;0.649;0.805;49;0.00171;0.886;0.00193;0.793;0.711;23.5;0.97;0.0225;0.000969;0.032; 40640;1;27;0.716;0.849;55;445;438;271;  0%;  0%;  0%;444;275;446;  0%;  0%;  0%;438;438;274;  0%;  0%;  0%;207;205;204;  0%;  0%;  0%;49.5;50.4;0;0.0164;0;0;0;0;0;49.6;50.3;0.00145;0.0416;0;0;0;0;0;49.8;50;0.00662;0.134;0;0;0;0;0;0.243;6.09;0.000713;93.7;0;11.5;0;0;0;299;292;302;160;35.4 ;34.1 ;34.8 ;31.8 ;
2018-01-12;20:41:46.337;0.586;1.9;0.309;0.81;193;395;0.51;0.434;0.000195;0.000397;18;20.4;9.94e+05;5.23e+05;1.07e+04;3.8;95;1.17;29.3;3.01e+04;38.1;39.4;0.000412;22.5;0;0;0;0;0;1.15e+03;217;0.779;1.9;0.41;0.81;64.5;105;0.387;0.489;0.000195;0.000317; 49040;1976;5855;4.43;4.92;46;0.782;1.9;0.411;0.81;63.9;118;0.458;0.461;0.000192;0.000355; 49840;1847;5869;4.47;4.95;47;0.777;1.9;0.409;0.81;63.8;123;0.479;0.451;0.000194;0.000373; 52720;1984;5906;4.39;4.94;48;0.0033;1.04;0.00317;0.81;1.26;49.4;0.975;0.0158;0.000906;0.0356; 40160;0;50;4.73;5.6;54;3.24e+03;3.26e+03;1.76e+03;  3%;  3%;  1%;3.28e+03;1.74e+03;3.26e+03;  3%;  1%;  3%;3.27e+03;3.26e+03;1.76e+03;  3%;  3%;  1%;1.76e+03;1.75e+03;1.76e+03;  1%;  1%;  1%;50.6;49.4;0;0;0;0;0;0;0;50.7;49.3;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;0.392;9.24;0.00166;90.4;0;0;0;0;0;332;325;338;159;53.1 ;55.3 ;56.7 ;51.7 ;
2018-01-12;20:41:51.352;0.581;1.9;0.306;0.81;191;411;0.537;0.419;0.000195;0.00042;18;20.2;9.79e+05;5.16e+05;1.05e+04;3.79;94.9;1.16;29;3.02e+04;37.8;39.4;0.00202;22.8;0;1.07;0;0;0;1.15e+03;215;0.775;1.91;0.406;0.81;64.2;108;0.404;0.477;0.000197;0.00033; 48320;1962;6040;4.43;4.87;46;0.77;1.89;0.407;0.81;63.2;123;0.484;0.446;0.000195;0.000378; 50480;1920;5821;4.46;4.86;47;0.775;1.9;0.407;0.81;61.9;125;0.503;0.442;0.00019;0.000382; 50560;1810;5659;4.4;4.88;49;0.00374;1.05;0.00357;0.805;1.35;56.3;0.976;0.0152;0.000856;0.0357; 40880;1;54;4.72;5.54;54;3.29e+03;3.27e+03;1.78e+03;  3%;  3%;  1%;3.24e+03;1.76e+03;3.31e+03;  3%;  1%;  3%;3.23e+03;3.27e+03;1.74e+03;  3%;  3%;  1%;1.75e+03;1.77e+03;1.78e+03;  1%;  1%;  1%;50.2;49.8;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.444;8.48;0.00806;91.1;0;4.26;0;0;0;332;324;337;159;52.8 ;54.8 ;56.5 ;51.4 ;
2018-01-12;20:41:56.377;0.579;1.87;0.309;0.809;189;395;0.521;0.428;0.000193;0.000404;17.9;20.5;9.78e+05;5.21e+05;1.05e+04;3.75;93.7;1.16;29;2.97e+04;38.2;39;0.00203;22.8;0;6.52;0;0;0;1.15e+03;216;0.767;1.83;0.42;0.81;62.4;103;0.397;0.483;0.000193;0.00032; 52960;1892;5997;4.4;5;46;0.776;1.91;0.407;0.81;63.3;120;0.471;0.452;0.000194;0.000366; 49920;2056;5997;4.45;5.04;47;0.773;1.9;0.407;0.81;62;121;0.487;0.45;0.00019;0.000371; 51280;1736;5486;4.38;4.87;48;0.00337;1.05;0.0032;0.773;1.27;50.5;0.975;0.0156;0.000894;0.0355; 40400;1;48;4.67;5.58;55;3.23e+03;3.21e+03;1.69e+03;  3%;  3%;  1%;3.24e+03;1.73e+03;3.25e+03;  3%;  1%;  3%;3.24e+03;3.21e+03;1.74e+03;  3%;  3%;  1%;1.74e+03;1.74e+03;1.7e+03;  1%;  1%;  1%;51.8;48.2;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.413;8.29;0.00813;91.3;0;26.1;0;0;0;332;325;338;160;53 ;54.9 ;56.7 ;51.4 ;
2018-01-12;20:42:01.389;0.581;1.88;0.309;0.809;190;402;0.529;0.424;0.000194;0.000411;17.8;20.5;9.79e+05;5.21e+05;1.06e+04;3.76;94;1.16;29;2.96e+04;38.2;37.7;6.96e-05;24.1;0;13;0;0;0;1.15e+03;216;0.776;1.91;0.406;0.81;64;105;0.393;0.481;0.000196;0.000322; 51280;2037;5800;4.37;4.86;46;0.776;1.86;0.418;0.81;61.5;119;0.483;0.454;0.000188;0.000363; 49120;1994;5443;4.45;4.96;47;0.768;1.88;0.408;0.81;62.7;124;0.495;0.442;0.000194;0.000384; 50080;1966;5798;4.38;5.03;48;0.00355;1.07;0.00333;0.749;1.34;53.4;0.975;0.0152;0.000893;0.0357; 40080;0;50;4.65;5.65;54;3.2e+03;3.23e+03;1.75e+03;  3%;  3%;  1%;3.2e+03;1.69e+03;3.22e+03;  3%;  1%;  3%;3.19e+03;3.23e+03;1.7e+03;  3%;  3%;  1%;1.71e+03;1.7e+03;1.76e+03;  1%;  1%;  1%;50.2;49.8;0;0;0;0;0;0;0;51.6;48.4;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;0.444;3.08;0.000278;96.5;0;52;0;0;0;332;324;337;157;52.9 ;55.1 ;56.7 ;51.7 ;
2018-01-12;20:42:06.402;0.581;1.89;0.308;0.809;191;407;0.531;0.422;0.000195;0.000416;18;20.6;9.78e+05;5.18e+05;1.05e+04;3.78;94.4;1.16;29;2.99e+04;38;38.4;0.000828;23.7;0;9.85;0;0;0;1.15e+03;217;0.768;1.89;0.406;0.81;64.7;107;0.397;0.477;0.0002;0.000332; 49040;2157;5873;4.42;4.94;46;0.775;1.88;0.413;0.81;62;123;0.494;0.446;0.00019;0.000376; 48640;1981;5675;4.5;5.02;47;0.777;1.91;0.407;0.81;63;124;0.491;0.447;0.000192;0.000378; 51120;2044;5560;4.4;4.97;48;0.00354;1.06;0.00332;0.765;1.35;53.3;0.975;0.0153;0.000909;0.0358; 39440;0;54;4.69;5.69;54;3.26e+03;3.26e+03;1.76e+03;  3%;  3%;  1%;3.23e+03;1.71e+03;3.27e+03;  3%;  1%;  3%;3.23e+03;3.26e+03;1.74e+03;  3%;  3%;  1%;1.74e+03;1.71e+03;1.76e+03;  1%;  1%;  1%;50.2;49.8;0;0;0;0;0;0;0;51.1;48.9;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.435;4.95;0.00331;94.6;0;39.4;0;0;0;332;325;337;158;53 ;55.2 ;56.8 ;51.7 ;
2018-01-12;20:42:11.415;0.581;1.9;0.306;0.809;190;402;0.528;0.423;0.000194;0.000411;17.9;20.4;9.79e+05;5.15e+05;1.05e+04;3.8;94.9;1.16;29;2.98e+04;37.8;37.6;0.000392;24.6;0;18.3;0;0;0;1.15e+03;217;0.768;1.89;0.406;0.81;61.1;103;0.408;0.485;0.000189;0.000319; 51120;1899;5494;4.42;4.97;46;0.776;1.9;0.407;0.81;62.7;122;0.488;0.447;0.000192;0.000375; 51760;2049;5982;4.46;4.96;46;0.776;1.91;0.407;0.81;64.9;123;0.472;0.445;0.000199;0.000376; 50880;2056;5932;4.38;4.91;48;0.00359;1.06;0.0034;0.732;1.29;54;0.976;0.0154;0.000852;0.0357; 39680;1;49;4.64;5.61;55;3.19e+03;3.22e+03;1.68e+03;  3%;  3%;  1%;3.3e+03;1.74e+03;3.21e+03;  3%;  1%;  3%;3.27e+03;3.23e+03;1.78e+03;  3%;  3%;  1%;1.78e+03;1.73e+03;1.68e+03;  1%;  1%;  1%;50.2;49.8;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.464;1.33;0.00157;98.2;0;73.3;0;0;0;331;325;337;157;53.3 ;54.9 ;56.8 ;51.6 ;
2018-01-12;20:42:16.569;0.574;1.9;0.302;0.809;192;401;0.521;0.426;0.000194;0.000406;18.4;21.1;9.88e+05;5.2e+05;1.05e+04;3.8;94.9;1.15;28.7;3.06e+04;37.4;38.6;0.000917;24.1;0;11.4;0;0;0;1.18e+03;222;0.76;1.9;0.4;0.81;63.6;104;0.389;0.483;0.000196;0.00032; 52960;1944;5351;4.54;5.09;46;0.769;1.91;0.403;0.81;64.2;120;0.467;0.452;0.000195;0.000365; 55520;2059;6268;4.6;5.1;47;0.77;1.9;0.406;0.81;62.9;124;0.493;0.446;0.00019;0.000374; 51760;2020;6002;4.51;5.1;48;0.00339;1.05;0.00322;0.755;1.34;52;0.974;0.0167;0.00091;0.0354; 41600;3;49;4.8;5.84;55;3.35e+03;3.28e+03;1.77e+03;  3%;  3%;  1%;3.34e+03;1.8e+03;3.37e+03;  3%;  1%;  3%;3.32e+03;3.3e+03;1.75e+03;  3%;  3%;  1%;1.75e+03;1.8e+03;1.77e+03;  1%;  1%;  1%;49.5;50.5;0;0;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;0.427;3.96;0.00364;95.6;0;45.5;0;0;0;341;334;346;162;54.4 ;56.6 ;58 ;53.1 ;
