System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;19:46:25.825;0.809;1.17;0.691;0.807;180;249;0.276;0.959;0.000113;0.000156;15.9;9.81;1.59e+06;1.36e+06;1.18e+04;2.34;58.5;1.62;40.5;2.46e+04;85.6;12.8;0.0206;1.55;0;0.0363;0;0;0;1.54e+03;221;0.814;1.11;0.736;0.806;60.8;92;0.34;0.953;0.000152;0.00023; 48480;1499;5786;3.76;2.37;45;0.807;1.16;0.698;0.808;42.6;56;0.239;0.964;0.000107;0.000141; 50560;696;4316;4.2;2.49;46;0.802;1.19;0.673;0.808;37.7;49.8;0.244;0.964;9.55e-05;0.000126; 49440;553;3876;3.66;2.42;48;0.812;1.23;0.658;0.807;38.8;50.7;0.234;0.957;9.75e-05;0.000127; 51600;2750;1909;4.31;2.54;44;2.31e+03;2.07e+03;2.19e+03;  2%;  1%;  1%;1.69e+03;1.72e+03;2.81e+03;  1%;  1%;  2%;1.68e+03;2.52e+03;1.58e+03;  1%;  2%;  1%;1.61e+03;1.74e+03;2.63e+03;  1%;  1%;  2%;91.3;7.03;0.0547;1.61;0;0.042;0;0;0;86.4;12.6;0.00203;0.974;0;0;0;0;0;83.3;15.4;0.00201;1.31;0;0.103;0;0;0;81.5;16.1;0.0238;2.29;0;0;0;0;0;389;376;392;384;53.6 ;57.1 ;57.2 ;52.7 ;
2018-01-12;19:46:30.837;0.359;1.66;0.215;0.809;16;157;0.898;0.671;2.63e-05;0.000258;3.3;1.69;6.08e+05;3.65e+05;1.13e+04;3.33;83.2;0.717;17.9;3.96e+03;26.6;27.1;0.259;46;0;26.9;0.0144;0.167;0;924;159;0.474;1.62;0.291;0.809;7.02;68.6;0.898;0.632;3.47e-05;0.000339; 51520;237;553;0.858;0.481;45;0.477;1.68;0.284;0.809;4.32;38.2;0.887;0.727;2.14e-05;0.000189; 48880;134;482;0.758;0.389;47;0.479;1.7;0.282;0.809;2.82;21.3;0.868;0.823;1.39e-05;0.000105; 47120;124;398;0.81;0.408;49;0.00201;0.821;0.00245;0.758;1.84;28.4;0.935;0.0214;0.00218;0.0335; 40640;9;74;0.877;0.412;46;319;302;303;  0%;  0%;  0%;195;152;728;  0%;  0%;  0%;206;720;143;  0%;  0%;  0%;106;124;665;  0%;  0%;  0%;36;34.5;0.557;28.9;0;13.2;0.0571;0.122;0;35.1;35.2;0.0366;29.7;0;20.9;0;0.181;0;34.9;35.6;0.127;29.4;0;16.9;0;0.182;0;0.323;2.79;0.313;96.6;0;56.9;0;0.185;0;260;250;261;152;40.4 ;40.7 ;40.8 ;36.9 ;
2018-01-12;19:46:35.850;0.142;0.46;0.308;0.809;5.64;188;0.97;0.0444;2.36e-05;0.000789;2.41;0.758;2.39e+05;5.19e+05;1.05e+04;0.919;23;0.283;7.08;2.36e+03;38.1;37.5;0.00396;24.4;0;17;0;0;0;963;155;0.191;0.46;0.416;0.81;2.59;73.1;0.965;0.0685;3.22e-05;0.000907; 52960;101;203;0.65;0.209;46;0.187;0.458;0.408;0.81;1.11;44.1;0.975;0.0305;1.41e-05;0.00056; 51920;23;146;0.59;0.195;47;0.186;0.457;0.407;0.81;0.944;28.9;0.967;0.0402;1.21e-05;0.000369; 52480;30;114;0.61;0.201;49;0.00288;1.03;0.00279;0.751;0.991;42.3;0.977;0.018;0.000817;0.0349; 41200;0;46;0.558;0.154;47;151;143;143;  0%;  0%;  0%;55;56.4;550;  0%;  0%;  0%;53.5;539;51.4;  0%;  0%;  0%;41.7;43.2;531;  0%;  0%;  0%;51.3;48.7;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;0.372;1.91;0.0158;97.7;0;68;0;0;0;273;262;273;155;39.7 ;39.9 ;39.9 ;35.8 ;
2018-01-12;19:46:40.863;0.425;1.38;0.308;0.809;511;719;0.289;0.577;0.000715;0.00101;59;75.1;7.15e+05;5.19e+05;1.05e+04;2.76;68.9;0.849;21.2;9.83e+04;38;37.6;0.00662;24.4;0;16.3;0;0;0;1.19e+03;283;0.566;1.36;0.415;0.81;174;239;0.274;0.587;0.00073;0.00101; 48720;7674;25161;14.4;17.9;45;0.565;1.39;0.408;0.81;168;231;0.27;0.584;0.000707;0.000969; 50480;7191;23685;14.6;18.2;46;0.565;1.39;0.406;0.81;168;213;0.21;0.597;0.000707;0.000895; 51120;7273;23646;14.5;18.1;48;0.00248;1.01;0.00245;0.736;1.05;36;0.971;0.0188;0.00101;0.0346; 28000;2;38;15.5;20.9;47;1.1e+04;1.09e+04;6.19e+03; 11%; 11%;  6%;1.06e+04;5.86e+03;1.1e+04; 11%;  6%; 11%;1.06e+04;1.11e+04;5.92e+03; 11%; 11%;  6%;4.92e+03;4.88e+03;5.36e+03;  5%;  5%;  5%;51.3;48.7;0;0.0426;0;0;0;0;0;50.4;49.6;0.00859;0.0239;0;0;0;0;0;50.2;49.8;0;0.0544;0;0;0;0;0;0.333;2.26;0.0179;97.4;0;65.3;0;0;0;342;329;348;175;69.9 ;71.8 ;73.5 ;67.6 ;
2018-01-12;19:46:45.946;0.403;1.25;0.322;0.857;540;690;0.217;0.663;0.000787;0.001;42.3;38.7;6.86e+05;5.48e+05;1.05e+04;2.51;62.7;0.807;20.2;6.11e+04;37.6;39.2;0.00229;23.2;0;4.91;0;0;0;1.21e+03;261;0.518;1.21;0.428;0.857;192;217;0.116;0.643;0.000874;0.000989; 47680;4517;13175;10.5;9.27;45;0.548;1.28;0.429;0.857;172;221;0.225;0.677;0.000738;0.000953; 49760;3917;11853;10.5;9.45;46;0.547;1.27;0.43;0.857;175;217;0.194;0.697;0.000752;0.000932; 53600;4084;12039;10.6;9.46;47;0.00237;1;0.00236;0.822;0.957;33.5;0.971;0.0224;0.000945;0.0331; 28160;0;52;10.8;10.5;47;6.58e+03;6.59e+03;2.86e+03;  6%;  6%;  2%;6.39e+03;2.64e+03;6.91e+03;  6%;  2%;  7%;6.4e+03;6.92e+03;2.64e+03;  6%;  7%;  2%;4.22e+03;4.22e+03;4.76e+03;  4%;  4%;  4%;49.9;50.1;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;0.287;7.18;0.00914;92.5;0;19.6;0;0;0;346;338;355;168;63.9 ;66.3 ;69.2 ;62 ;
2018-01-12;19:46:50.989;0.31;1.01;0.308;0.81;1.15e+03;1.43e+03;0.191;0.461;0.00219;0.00271;90;113;5.25e+05;5.23e+05;1.07e+04;2.01;50.3;0.619;15.5;1.71e+05;38;37.8;0.00486;24.2;0;13.3;0;0;0;1.19e+03;355;0.404;0.982;0.411;0.81;392;465;0.157;0.448;0.00228;0.00271; 48480;11856;34469;22.6;28.3;45;0.404;0.987;0.41;0.81;399;484;0.176;0.462;0.00232;0.00282; 50160;11942;35573;22.4;28.1;45;0.427;1.05;0.407;0.81;361;436;0.172;0.495;0.002;0.00241; 50160;10716;31886;22.5;28.7;47;0.00272;1.05;0.00259;0.76;1;40.6;0.975;0.0184;0.000869;0.0351; 28080;3;43;22.5;27.7;48;1.9e+04;1.82e+04;9.63e+03; 19%; 18%;  9%;1.83e+04;9.85e+03;1.93e+04; 18%; 10%; 19%;1.84e+04;1.86e+04;9.05e+03; 18%; 19%;  9%;9.67e+03;1.05e+04;1.06e+04;  9%; 10%; 10%;50.8;49.2;0;0;0;0;0;0;0;50.5;49.5;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.341;2.64;0.0195;97;0;53.2;0;0;0;336;326;345;180;87.8 ;90.3 ;94.2 ;82.8 ;
2018-01-12;19:46:56.013;0.221;0.723;0.306;0.809;953;1.59e+03;0.4;0.7;0.00255;0.00425;62.1;52.5;3.74e+05;5.18e+05;1.06e+04;1.45;36.2;0.443;11.1;1.02e+05;37.8;38.4;0.00279;23.7;0;11.1;0;0;0;1.08e+03;309;0.291;0.716;0.407;0.81;319;510;0.375;0.707;0.00259;0.00414; 51760;6328;18392;15.7;13.2;45;0.289;0.708;0.408;0.81;328;546;0.4;0.694;0.00268;0.00447; 52320;6750;19362;15.7;13.2;46;0.303;0.743;0.407;0.81;306;501;0.39;0.713;0.00239;0.00392; 52960;6217;17458;15.8;13.3;48;0.00228;0.993;0.0023;0.755;0.803;32.3;0.975;0.0207;0.000833;0.0336; 28000;0;37;14.9;12.8;48;1.19e+04;1.14e+04;4.4e+03; 12%; 11%;  4%;1.15e+04;4.56e+03;1.18e+04; 11%;  4%; 12%;1.17e+04;1.15e+04;4.26e+03; 12%; 11%;  4%;6.24e+03;6.56e+03;6.38e+03;  6%;  6%;  6%;50.2;49.8;0;0;0;0;0;0;0;50.4;49.6;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.305;4.6;0.0112;95.1;0;44.5;0;0;0;308;299;315;162;76 ;78.8 ;83.7 ;70.1 ;
2018-01-12;19:47:01.026;0.3;0.982;0.306;0.809;498;670;0.257;0.836;0.000984;0.00132;32.3;23.8;5.06e+05;5.15e+05;1.06e+04;1.96;49.1;0.6;15;4.9e+04;37.8;38.3;0.00208;24;0;11.9;0;0;0;1.09e+03;246;0.396;0.974;0.406;0.81;168;206;0.187;0.846;0.00101;0.00124; 48480;3281;9319;8.13;6;45;0.394;0.968;0.407;0.81;172;226;0.237;0.835;0.00104;0.00136; 50480;3336;9720;8.07;5.94;47;0.408;1;0.407;0.81;157;205;0.234;0.848;0.000915;0.00119; 52160;2921;8751;8.12;6.05;48;0.0023;1;0.0023;0.748;0.799;32.8;0.976;0.0196;0.000823;0.0338; 28720;0;38;7.98;5.8;49;5.31e+03;5e+03;2.16e+03;  5%;  5%;  2%;5.04e+03;2.22e+03;5.27e+03;  5%;  2%;  5%;5.16e+03;5.07e+03;2.05e+03;  5%;  5%;  2%;3.77e+03;4.02e+03;3.94e+03;  3%;  4%;  4%;50.2;49.8;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.307;3.77;0.00831;95.9;0;47.5;0;0;0;310;302;317;159;60.9 ;63.1 ;65.9 ;56.2 ;
2018-01-12;19:47:06.039;0.311;1.02;0.306;0.809;438;566;0.226;0.853;0.000837;0.00108;28.6;18.4;5.24e+05;5.15e+05;1.05e+04;2.03;50.9;0.622;15.5;4.32e+04;37.8;38.1;0.00217;24.1;0;14.9;0;0;0;1.09e+03;234;0.411;1.01;0.406;0.81;146;168;0.131;0.866;0.000844;0.000972; 50800;2752;7943;7.19;4.77;46;0.411;1.01;0.407;0.81;148;187;0.209;0.852;0.000852;0.00108; 54080;2731;7979;7.13;4.73;47;0.419;1.03;0.407;0.81;144;181;0.204;0.86;0.000815;0.00102; 50960;2630;7896;7.18;4.8;48;0.00218;0.973;0.00224;0.74;0.827;30.8;0.973;0.0199;0.0009;0.0336; 29440;0;41;7.06;4.14;49;4.46e+03;4.4e+03;1.93e+03;  4%;  4%;  2%;4.4e+03;1.96e+03;4.44e+03;  4%;  2%;  4%;4.44e+03;4.42e+03;1.91e+03;  4%;  4%;  1%;3.56e+03;3.64e+03;3.6e+03;  3%;  3%;  3%;50.1;49.9;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.303;3.19;0.0087;96.5;0;59.6;0;0;0;311;302;318;158;57.8 ;60.2 ;63.1 ;53.4 ;
2018-01-12;19:47:11.051;0.313;1.03;0.305;0.809;441;562;0.216;0.853;0.000835;0.00106;28.8;17.6;5.28e+05;5.14e+05;1.05e+04;2.05;51.3;0.627;15.7;4.34e+04;37.7;39.3;0.00114;23;0;4.71;0;0;0;1.09e+03;233;0.413;1.02;0.406;0.81;148;169;0.126;0.866;0.000848;0.00097; 50480;2680;7930;7.24;4.59;46;0.413;1.02;0.407;0.81;149;184;0.193;0.853;0.000855;0.00106; 49520;2725;7997;7.18;4.55;46;0.425;1.04;0.407;0.81;144;180;0.201;0.861;0.000804;0.00101; 51120;2624;7724;7.23;4.64;49;0.00207;0.984;0.0021;0.781;0.762;29.1;0.974;0.0199;0.000876;0.0335; 30240;0;42;7.14;3.88;49;4.47e+03;4.4e+03;1.95e+03;  4%;  4%;  2%;4.39e+03;1.98e+03;4.46e+03;  4%;  2%;  4%;4.45e+03;4.42e+03;1.92e+03;  4%;  4%;  1%;3.6e+03;3.69e+03;3.66e+03;  3%;  3%;  3%;50.1;49.9;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;50.3;49.7;0;0;0;0;0;0;0;0.269;7.66;0.00456;92.1;0;18.8;0;0;0;311;302;318;160;57.6 ;60 ;62.6 ;53.1 ;
