System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;21:47:54.868;0.946;1.17;0.809;0.81;222;467;0.524;0.901;0.000122;0.000256;19.6;15.8;1.82e+06;1.56e+06;1.16e+04;2.34;58.5;1.89;47.3;2.97e+04;100;0.0405;0;0.00692;0;0;0;0;0;1.65e+03;238;0.943;1.17;0.809;0.81;61.8;125;0.505;0.841;0.000138;0.000278; 44000;1744;4912;5.06;3.95;44;0.946;1.17;0.809;0.81;53.9;114;0.529;0.897;0.000119;0.000252; 53200;2106;4861;4.83;3.97;45;0.947;1.17;0.809;0.81;52.9;114;0.534;0.916;0.000116;0.000248; 49040;1628;4920;4.83;3.92;47;0.948;1.17;0.809;0.81;53.7;114;0.53;0.923;0.000117;0.000248; 54320;1569;4435;4.85;4;44;2.47e+03;2.45e+03;2.5e+03;  2%;  2%;  2%;2.26e+03;2.29e+03;2.93e+03;  2%;  2%;  2%;2.25e+03;2.93e+03;2.22e+03;  2%;  2%;  2%;2.22e+03;2.28e+03;2.96e+03;  2%;  2%;  2%;100;0.0412;0;0;0;0;0;0;0;100;0.0304;0;0.0153;0;0;0;0;0;99.9;0.0536;0;0.0124;0;0;0;0;0;100;0.0366;0;0;0;0;0;0;0;413;404;420;415;58.6 ;60.7 ;62.3 ;55.9 ;
2018-01-12;21:48:00.456;0.789;1.18;0.666;0.809;154;265;0.419;0.991;0.000105;0.00018;19.4;19.6;1.47e+06;1.24e+06;1.2e+04;2.37;59.2;1.58;39.5;3.03e+04;82.3;1.84;0.0778;15.8;0;8.98;0.141;1.57;0;1.45e+03;225;0.789;1.19;0.664;0.809;41.2;70.8;0.418;0.99;0.000111;0.000191; 50480;1553;4222;4.98;4.98;44;0.786;1.18;0.666;0.809;36.8;63;0.416;0.992;0.0001;0.000172; 46080;1284;3922;4.7;4.87;45;0.796;1.18;0.672;0.809;37.5;63.8;0.412;0.991;0.000102;0.000173; 51520;1444;4290;4.81;4.91;48;0.786;1.19;0.663;0.809;38.5;67.6;0.431;0.99;0.000106;0.000186; 50640;1537;4165;4.9;4.84;44;2.47e+03;2.47e+03;2.5e+03;  2%;  2%;  2%;2.33e+03;2.34e+03;2.88e+03;  2%;  2%;  2%;2.34e+03;2.91e+03;2.38e+03;  2%;  2%;  2%;2.38e+03;2.35e+03;2.92e+03;  2%;  2%;  2%;82.1;2.11;0.237;15.6;0;8.3;0.457;1.25;0;82.3;1.56;0.0189;16.2;0;11.5;0;1.7;0;83;1.58;0.0199;15.4;0;8.27;0;1.71;0;81.8;2.09;0.0343;16;0;7.84;0.102;1.63;0;363;353;370;363;56.1 ;57.2 ;59.1 ;52.9 ;
2018-01-12;21:48:06.372;1;1.24;0.81;0.81;290;496;0.416;0.743;0.000146;0.000251;31.4;32.9;1.98e+06;1.6e+06;1.17e+04;2.48;62;2.01;50.2;5.03e+04;100;0.00079;0;0;0;0;0;0;0;1.71e+03;280;1;1.24;0.81;0.81;75.3;128;0.412;0.735;0.000154;0.000262; 51200;2757;7451;8;8.36;44;1;1.24;0.81;0.81;70.8;121;0.417;0.746;0.000144;0.000247; 47760;2337;7179;7.75;8.14;45;1.01;1.24;0.81;0.81;71.8;123;0.417;0.747;0.000144;0.000247; 51280;2541;7845;7.83;8.34;47;1;1.24;0.81;0.81;71.7;123;0.418;0.744;0.000144;0.000247; 48880;2773;7440;7.81;8.04;44;4.15e+03;4.12e+03;4.15e+03;  3%;  3%;  3%;3.99e+03;4e+03;4.61e+03;  3%;  3%;  4%;4e+03;4.61e+03;4.03e+03;  3%;  4%;  3%;4.03e+03;4.01e+03;4.63e+03;  3%;  3%;  4%;100;0.000794;0;0;0;0;0;0;0;100;0.000775;0;0;0;0;0;0;0;100;0.000747;0;0;0;0;0;0;0;100;0.000845;0;0;0;0;0;0;0;428;417;435;428;69.1 ;71.2 ;74.3 ;65 ;
2018-01-12;21:48:12.396;1;1.24;0.81;0.81;294;504;0.417;0.743;0.000146;0.000251;31.8;33.8;2.01e+06;1.62e+06;1.24e+04;2.48;62;2.01;50.2;5.1e+04;100;0.000775;0;0;0;0;0;0;0;1.74e+03;286;1;1.24;0.81;0.81;77.2;132;0.413;0.734;0.000154;0.000262; 47360;2855;7722;8.12;8.48;45;1;1.24;0.81;0.81;72.1;124;0.417;0.746;0.000144;0.000247; 48880;2389;7301;7.86;8.63;45;1.01;1.24;0.81;0.81;72.5;124;0.417;0.747;0.000144;0.000247; 51600;2582;7911;7.93;8.49;47;1;1.24;0.81;0.81;72.3;124;0.419;0.744;0.000143;0.000247; 52160;2824;7536;7.93;8.21;44;4.19e+03;4.19e+03;4.23e+03;  3%;  3%;  3%;4.03e+03;4.05e+03;4.64e+03;  3%;  3%;  4%;4.04e+03;4.66e+03;4.1e+03;  3%;  4%;  3%;4.1e+03;4.05e+03;4.69e+03;  3%;  3%;  4%;100;0.000813;0;0;0;0;0;0;0;100;0.000783;0;0;0;0;0;0;0;100;0.000708;0;0;0;0;0;0;0;100;0.000796;0;0;0;0;0;0;0;436;425;443;436;70.5 ;73 ;76 ;66.2 ;
2018-01-12;21:48:18.396;1;1.24;0.81;0.81;292;502;0.418;0.745;0.000144;0.000247;30;33.3;2.03e+06;1.64e+06;1.26e+04;2.48;62;2.01;50.2;4.91e+04;100;0.000777;0;0;0;0;0;0;0;1.73e+03;282;1;1.24;0.81;0.81;74.2;128;0.418;0.741;0.000146;0.000251; 54000;2739;7546;7.58;8.37;44;1;1.24;0.81;0.81;72.6;125;0.417;0.746;0.000143;0.000246; 45040;2442;7258;7.41;8.52;45;1.01;1.24;0.81;0.81;72.8;125;0.417;0.747;0.000143;0.000246; 51280;2617;7904;7.49;8.36;47;1;1.24;0.81;0.81;72.4;125;0.419;0.744;0.000143;0.000246; 50960;2771;7501;7.49;8.01;44;4.08e+03;4.08e+03;4.12e+03;  3%;  3%;  3%;4.01e+03;4.03e+03;4.15e+03;  3%;  3%;  3%;4.01e+03;4.18e+03;4.09e+03;  3%;  3%;  3%;4.09e+03;4.03e+03;4.22e+03;  3%;  3%;  3%;100;0.00078;0;0;0;0;0;0;0;100;0.000832;0;0;0;0;0;0;0;100;0.000712;0;0;0;0;0;0;0;100;0.000785;0;0;0;0;0;0;0;434;423;441;434;69.4 ;71.8 ;74.8 ;65.6 ;
2018-01-12;21:48:24.236;1.01;1.24;0.81;0.81;277;479;0.421;0.878;0.000138;0.000239;26.9;29.6;2.01e+06;1.61e+06;1.26e+04;2.49;62.2;2.01;50.3;4.4e+04;100;0.00076;0;0;0;0;0;0;0;1.7e+03;267;1.01;1.24;0.81;0.81;71.4;123;0.421;0.844;0.000141;0.000244; 46560;2647;7355;6.83;7.5;44;1.01;1.24;0.81;0.81;68.4;118;0.421;0.895;0.000136;0.000235; 45200;2240;6948;6.65;7.47;45;1.01;1.25;0.81;0.81;69.2;119;0.421;0.883;0.000138;0.000238; 54080;2414;7578;6.71;7.48;47;1.01;1.24;0.81;0.81;68.5;119;0.422;0.881;0.000137;0.000238; 54400;2623;7112;6.7;7.14;44;3.64e+03;3.66e+03;3.72e+03;  3%;  3%;  3%;3.58e+03;3.62e+03;3.7e+03;  3%;  3%;  3%;3.58e+03;3.74e+03;3.69e+03;  3%;  3%;  3%;3.69e+03;3.62e+03;3.79e+03;  3%;  3%;  3%;100;0.000752;0;0;0;0;0;0;0;100;0.000793;0;0;0;0;0;0;0;100;0.000714;0;0;0;0;0;0;0;100;0.000782;0;0;0;0;0;0;0;424;415;432;425;65.9 ;68.3 ;70.7 ;62.1 ;
2018-01-12;21:48:30.012;0.941;1.16;0.809;0.81;337;504;0.331;0.993;0.000183;0.000274;36.8;45.9;1.84e+06;1.58e+06;1.23e+04;2.33;58.2;1.88;47.1;6.33e+04;99.9;0.0686;0;0;0;0;0;0;0;1.78e+03;271;0.939;1.16;0.808;0.81;80.1;120;0.335;0.993;0.000174;0.000262; 50240;3190;9687;9.21;11.9;44;0.945;1.17;0.809;0.81;82.5;124;0.332;0.993;0.000178;0.000267; 52880;3147;10210;8.9;11.1;45;0.937;1.16;0.809;0.81;84.7;126;0.329;0.993;0.000185;0.000276; 51760;3114;9992;9.24;11.6;47;0.943;1.17;0.809;0.81;90;134;0.329;0.992;0.000196;0.000292; 49200;3391;10615;9.43;11.3;43;5.08e+03;5.22e+03;5.48e+03;  4%;  4%;  4%;5.05e+03;5.39e+03;5.07e+03;  4%;  4%;  4%;5.05e+03;5.28e+03;5.43e+03;  4%;  4%;  4%;5.43e+03;5.37e+03;5.47e+03;  4%;  4%;  4%;99.8;0.224;0;0;0;0;0;0;0;100;0.0206;0;0;0;0;0;0;0;100;0.0143;0;0;0;0;0;0;0;100;0.0144;0;0;0;0;0;0;0;444;435;455;447;67.5 ;68.6 ;71.8 ;63.5 ;
2018-01-12;21:48:35.844;0.977;1.21;0.81;0.81;852;1.33e+03;0.357;0.153;0.000447;0.000696;65.5;71.9;1.91e+06;1.58e+06;1.21e+04;2.41;60.4;1.95;48.9;1.02e+05;100;0.00169;0;0;0;0;0;0;0;1.7e+03;360;0.978;1.21;0.81;0.81;213;330;0.356;0.154;0.000446;0.000694; 47120;6056;17121;16.3;18.1;44;0.978;1.21;0.81;0.81;211;327;0.356;0.154;0.000443;0.000687; 50160;5899;17651;16.2;17.5;45;0.977;1.21;0.81;0.81;214;335;0.359;0.153;0.00045;0.000702; 49920;5751;16737;16.6;18.3;46;0.976;1.21;0.809;0.81;214;333;0.357;0.153;0.00045;0.000699; 50880;5780;17141;16.5;17.9;44;8.35e+03;8.47e+03;8.56e+03;  7%;  7%;  7%;8.36e+03;8.6e+03;8.31e+03;  7%;  7%;  7%;8.41e+03;8.53e+03;8.51e+03;  7%;  7%;  7%;8.64e+03;8.49e+03;8.58e+03;  7%;  7%;  7%;100;0.00294;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.00259;0;0;0;0;0;0;0;100;0.00342;0;0;0;0;0;0;0;426;415;433;429;88 ;91 ;97.4 ;83.2 ;
2018-01-12;21:48:41.596;1.05;1.3;0.809;0.81;790;1.48e+03;0.465;0.926;0.000386;0.000722;58.5;52.3;2.05e+06;1.57e+06;1.22e+04;2.61;65.2;2.11;52.7;8.03e+04;99.9;0.11;0.00525;0.0024;0;0;0;0;0;1.65e+03;325;1.05;1.29;0.809;0.81;196;362;0.46;0.923;0.000385;0.000712; 54080;4791;13406;14.6;13;44;1.05;1.3;0.809;0.81;197;368;0.464;0.922;0.000386;0.00072; 52960;4621;13580;14.5;13;45;1.06;1.31;0.809;0.81;199;374;0.467;0.926;0.000388;0.000728; 45760;4437;13126;14.7;13.1;47;1.06;1.31;0.809;0.81;198;372;0.469;0.933;0.000385;0.000726; 49360;4392;13294;14.7;13.1;44;6.68e+03;6.75e+03;6.73e+03;  6%;  6%;  6%;6.65e+03;6.69e+03;6.65e+03;  5%;  6%;  5%;6.7e+03;6.75e+03;6.64e+03;  6%;  6%;  5%;6.71e+03;6.68e+03;6.73e+03;  6%;  6%;  6%;99.9;0.11;0.0126;0;0;0;0;0;0;99.9;0.103;0.0073;0.00537;0;0;0;0;0;99.9;0.107;0.00107;0.00422;0;0;0;0;0;99.9;0.121;0;0;0;0;0;0;0;414;402;420;416;79.8 ;82.4 ;87.3 ;75.3 ;
2018-01-12;21:48:47.088;1.24;1.56;0.792;0.81;1.19e+03;2.42e+03;0.507;0.604;0.000517;0.00105;76.5;19.5;2.3e+06;1.47e+06;1.21e+04;3.13;78.1;2.48;61.9;9.81e+04;97.8;0.66;0.086;1.43;0;0.0405;0;0;0;1.42e+03;301;1.24;1.56;0.792;0.81;303;615;0.508;0.601;0.00052;0.00106; 53840;4759;14123;19.2;4.91;44;1.24;1.56;0.792;0.81;298;601;0.504;0.606;0.000517;0.00104; 48320;4530;13261;19.1;4.88;45;1.24;1.56;0.791;0.81;295;601;0.509;0.603;0.000516;0.00105; 55280;4470;13726;19.1;4.86;48;1.24;1.56;0.792;0.81;294;599;0.508;0.605;0.000517;0.00105; 55920;4447;14194;19.1;4.89;44;8.18e+03;8.17e+03;8.21e+03;  7%;  7%;  7%;8.1e+03;8.17e+03;8.21e+03;  7%;  7%;  7%;8.15e+03;8.21e+03;8.15e+03;  7%;  7%;  7%;8.19e+03;8.13e+03;8.26e+03;  7%;  7%;  7%;97.9;0.879;0.00975;1.24;0;0;0;0;0;97.8;0.914;0;1.24;0;0;0;0;0;97.8;0.568;0.336;1.33;0;0;0;0;0;97.8;0.271;0;1.94;0;0.163;0;0;0;358;347;363;357;73.9 ;76.6 ;81.1 ;69.3 ;
