System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;21:46:32.651;0.158;0.221;0.716;0.722;1.43e+03;1.78e+03;0.197;0.0504;0.00537;0.00669;80.9;22.4;2.66e+05;1.21e+06;1.05e+04;0.442;11;0.316;7.91;1.56e+05;99.2;0.821;0;0;0;0;0;0;0;1.27e+03;274;0.159;0.221;0.721;0.724;357;446;0.199;0.0511;0.00533;0.00666; 45120;4737;14812;19.9;5.53;44;0.159;0.22;0.721;0.723;360;447;0.194;0.0499;0.00538;0.00668; 50160;5038;14683;20.2;5.6;45;0.158;0.222;0.712;0.721;357;446;0.199;0.0507;0.00538;0.00672; 46320;5045;14443;19.9;5.54;46;0.157;0.221;0.709;0.72;356;442;0.195;0.0498;0.00539;0.00669; 55360;5132;14395;20.9;5.78;43;1.3e+04;1.28e+04;1.29e+04; 13%; 13%; 13%;1.3e+04;1.31e+04;1.3e+04; 13%; 13%; 13%;1.3e+04;1.29e+04;1.3e+04; 13%; 13%; 13%;1.31e+04;1.31e+04;1.3e+04; 13%; 13%; 13%;99.6;0.384;0;0;0;0;0;0;0;99.8;0.174;0;0;0;0;0;0;0;98.7;1.29;0;0;0;0;0;0;0;98.6;1.43;0;0;0;0;0;0;0;319;309;324;315;66.6 ;69.9 ;72.3 ;64.7 ;
2018-01-12;21:46:38.060;0.12;0.539;0.223;0.853;369;475;0.224;0.519;0.00166;0.00214;16.6;7.68;2.22e+05;4.12e+05;1.2e+04;1.08;26.9;0.24;6;3.08e+04;26.1;7.55;0.025;66.3;0;5.4;0;0;0;953;196;0.113;0.504;0.225;0.839;94.5;121;0.217;0.488;0.00178;0.00228; 51520;1424;4443;4.11;2.01;45;0.115;0.52;0.222;0.848;88.4;113;0.216;0.508;0.00165;0.0021; 51760;1526;3973;4.18;1.96;46;0.129;0.561;0.231;0.86;109;144;0.245;0.447;0.00183;0.00242; 48800;1807;5645;4.05;1.73;48;0.123;0.572;0.214;0.867;77;97.8;0.213;0.627;0.00138;0.00175; 48800;1283;3566;4.24;1.98;44;2.39e+03;2.83e+03;2.39e+03;  2%;  2%;  2%;2.85e+03;2.38e+03;2.41e+03;  2%;  2%;  2%;2.63e+03;2.63e+03;2.63e+03;  2%;  2%;  2%;2.84e+03;2.38e+03;2.41e+03;  2%;  2%;  2%;26.8;5.49;0.0183;67.7;0;9.52;0;0;0;26.2;10.5;0.0331;63.2;0;3.21;0;0;0;26.8;8.28;0.0188;64.9;0;0;0;0;0;24.7;5.9;0.0297;69.4;0;8.86;0;0;0;237;231;251;233;49.2 ;50.6 ;50.5 ;46.1 ;
2018-01-12;21:46:43.520;1.13;1.26;0.893;0.905;76.2;671;0.887;0.921;3.72e-05;0.000328;7.92;8.43;2.05e+06;1.62e+06;1.14e+04;2.53;63.1;2.26;56.4;1.25e+04;98.7;1.08;0.00579;0.163;0;0;0;0;0;1.81e+03;196;1.12;1.25;0.896;0.905;19.5;166;0.883;0.922;3.84e-05;0.000327; 53440;818;2037;1.91;2.08;43;1.13;1.26;0.893;0.905;18.7;169;0.889;0.922;3.67e-05;0.000331; 52000;545;1842;1.87;2.09;44;1.13;1.27;0.892;0.905;19;169;0.887;0.921;3.7e-05;0.000328; 50000;728;1959;2.25;2.12;46;1.13;1.27;0.892;0.905;18.9;167;0.887;0.92;3.67e-05;0.000324; 42400;561;1687;1.89;2.15;43;1.01e+03;1.05e+03;1.02e+03;  0%;  1%;  0%;1.03e+03;994;1.05e+03;  0%;  0%;  1%;1.05e+03;1.11e+03;1.05e+03;  1%;  1%;  1%;1.03e+03;990;1.06e+03;  0%;  0%;  1%;99;0.722;0.0232;0.268;0;0;0;0;0;98.7;1.15;0;0.128;0;0;0;0;0;98.6;1.35;0;0.0127;0;0;0;0;0;98.6;1.11;0;0.243;0;0;0;0;0;451;441;460;455;48.7 ;50 ;51.4 ;46.3 ;
2018-01-12;21:46:48.964;1.05;1.29;0.818;0.818;67.4;653;0.897;0.89;3.5e-05;0.000339;7.46;7.52;1.93e+06;1.5e+06;1.14e+04;2.57;64.3;2.1;52.6;1.13e+04;100;0.021;0;0;0;0;0;0;0;1.59e+03;195;1.05;1.29;0.819;0.819;18;165;0.89;0.89;3.75e-05;0.000342; 53920;724;1760;1.88;1.85;44;1.05;1.29;0.819;0.819;16.2;166;0.902;0.889;3.36e-05;0.000343; 50480;436;1610;1.84;1.88;45;1.05;1.29;0.818;0.818;16.7;163;0.898;0.89;3.46e-05;0.000339; 53440;591;1735;1.93;1.88;47;1.05;1.29;0.817;0.817;16.5;160;0.897;0.892;3.42e-05;0.000333; 47120;478;1486;1.81;1.9;44;924;937;925;  0%;  0%;  0%;883;864;1.09e+03;  0%;  0%;  1%;891;1.11e+03;890;  0%;  1%;  0%;879;859;1.09e+03;  0%;  0%;  1%;99.9;0.0567;0;0;0;0;0;0;0;100;0.0235;0;0;0;0;0;0;0;100;0.00234;0;0;0;0;0;0;0;100;0.00126;0;0;0;0;0;0;0;398;388;404;399;48.2 ;49.8 ;50.7 ;46 ;
2018-01-12;21:46:54.464;1.04;1.29;0.806;0.81;72.6;654;0.889;0.889;3.79e-05;0.000342;8.88;7.78;1.92e+06;1.49e+06;1.15e+04;2.57;64.3;2.07;51.9;1.3e+04;99.6;0.369;0;0.0528;0;0;0;0;0;1.6e+03;199;1.04;1.29;0.806;0.81;21.8;169;0.871;0.887;4.55e-05;0.000353; 50560;836;2020;2.27;1.92;44;1.04;1.29;0.808;0.81;16.9;165;0.897;0.889;3.53e-05;0.000344; 48320;440;1697;2.17;1.94;45;1.04;1.29;0.803;0.81;16.9;160;0.895;0.891;3.53e-05;0.000335; 52160;570;1725;2.3;1.95;47;1.04;1.29;0.807;0.81;17;160;0.894;0.892;3.55e-05;0.000334; 47680;507;1485;2.14;1.97;43;1.03e+03;1.04e+03;1.03e+03;  0%;  0%;  0%;907;898;1.46e+03;  0%;  0%;  1%;922;1.48e+03;922;  0%;  1%;  0%;906;896;1.46e+03;  0%;  0%;  1%;99.6;0.341;0;0.0642;0;0;0;0;0;99.8;0.131;0;0.0558;0;0;0;0;0;99.2;0.735;0;0.0654;0;0;0;0;0;99.7;0.269;0;0.0256;0;0;0;0;0;400;389;406;401;49.3 ;50.9 ;51.8 ;46.9 ;
2018-01-12;21:46:59.944;1.04;1.29;0.808;0.81;72.2;652;0.889;0.89;3.78e-05;0.000342;8.7;7.69;1.91e+06;1.49e+06;1.15e+04;2.57;64.3;2.08;51.9;1.27e+04;99.8;0.145;0.000158;0.0301;0;0;0;0;0;1.59e+03;198;1.04;1.28;0.809;0.81;22.2;168;0.868;0.887;4.65e-05;0.000353; 54960;853;2175;2.23;1.89;44;1.04;1.29;0.807;0.81;16.4;163;0.9;0.889;3.42e-05;0.000342; 48480;478;1624;2.12;1.92;45;1.04;1.28;0.809;0.81;16.7;161;0.896;0.89;3.49e-05;0.000337; 53760;522;1623;2.25;1.92;47;1.04;1.29;0.808;0.81;17;160;0.894;0.892;3.55e-05;0.000335; 46720;503;1466;2.1;1.95;43;1.02e+03;1.03e+03;1.03e+03;  0%;  0%;  0%;889;889;1.42e+03;  0%;  0%;  1%;900;1.44e+03;913;  0%;  1%;  0%;899;884;1.43e+03;  0%;  0%;  1%;99.9;0.0725;0.00021;0.0296;0;0;0;0;0;99.7;0.27;0;0.0357;0;0;0;0;0;99.9;0.0777;0;0.03;0;0;0;0;0;99.8;0.162;0.000424;0.0252;0;0;0;0;0;399;388;404;399;49.2 ;50.7 ;51.4 ;46.6 ;
2018-01-12;21:47:05.444;1.04;1.28;0.809;0.81;68.3;654;0.895;0.89;3.55e-05;0.000339;7.36;7.46;1.93e+06;1.5e+06;1.16e+04;2.57;64.2;2.08;52;1.14e+04;100;0.00751;0;0;0;0;0;0;0;1.6e+03;196;1.04;1.28;0.809;0.81;18;163;0.889;0.891;3.74e-05;0.000338; 53680;816;1946;1.92;1.86;44;1.04;1.28;0.81;0.81;16.3;166;0.902;0.888;3.4e-05;0.000346; 45600;469;1562;1.75;1.86;45;1.04;1.29;0.81;0.81;16.8;163;0.897;0.89;3.48e-05;0.000337; 53920;502;1663;1.91;1.86;47;1.04;1.28;0.809;0.81;17.2;162;0.894;0.892;3.56e-05;0.000336; 47760;496;1476;1.78;1.89;43;931;950;954;  0%;  0%;  0%;884;884;1.04e+03;  0%;  0%;  0%;894;1.08e+03;917;  0%;  1%;  0%;903;881;1.07e+03;  0%;  0%;  1%;100;0.0114;0;0;0;0;0;0;0;100;0.000356;0;0;0;0;0;0;0;100;0.000361;0;0;0;0;0;0;0;100;0.0179;0;0;0;0;0;0;0;400;389;406;401;48.7 ;50 ;51 ;46.3 ;
2018-01-12;21:47:10.952;1.04;1.29;0.808;0.81;70.8;653;0.892;0.889;3.69e-05;0.00034;8.93;7.76;1.92e+06;1.49e+06;1.15e+04;2.58;64.4;2.08;52;1.3e+04;99.8;0.196;0;0.0337;0;0;0;0;0;1.6e+03;200;1.04;1.29;0.809;0.81;21.8;168;0.87;0.886;4.54e-05;0.000351; 50000;978;2263;2.28;1.91;44;1.04;1.29;0.807;0.81;16.1;164;0.902;0.888;3.35e-05;0.000342; 46080;496;1681;2.12;1.93;45;1.04;1.29;0.809;0.81;16.4;161;0.898;0.89;3.4e-05;0.000335; 49840;489;1605;2.3;1.94;47;1.04;1.29;0.806;0.81;16.6;160;0.896;0.891;3.46e-05;0.000333; 50320;477;1407;2.23;1.98;43;1.02e+03;1.05e+03;1.05e+03;  0%;  0%;  0%;889;890;1.48e+03;  0%;  0%;  1%;904;1.52e+03;927;  0%;  1%;  0%;911;887;1.51e+03;  0%;  0%;  1%;99.9;0.0691;0;0.0343;0;0;0;0;0;99.7;0.271;0;0.0476;0;0;0;0;0;99.9;0.0529;0;0.0225;0;0;0;0;0;99.6;0.389;0;0.0305;0;0;0;0;0;401;390;406;401;49.7 ;50.8 ;51.8 ;47.5 ;
2018-01-12;21:47:16.452;1.04;1.29;0.805;0.81;72.3;653;0.889;0.888;3.77e-05;0.00034;8.83;7.71;1.92e+06;1.49e+06;1.16e+04;2.58;64.4;2.08;51.9;1.3e+04;99.5;0.367;0;0.137;0;0;0;0;0;1.59e+03;199;1.04;1.29;0.806;0.81;22.1;169;0.87;0.885;4.6e-05;0.000353; 52320;929;2181;2.2;1.88;44;1.04;1.29;0.803;0.81;16.4;163;0.899;0.888;3.42e-05;0.000339; 48480;495;1599;2.07;1.91;45;1.04;1.29;0.807;0.81;16.9;161;0.895;0.89;3.51e-05;0.000335; 50800;489;1617;2.39;1.95;47;1.04;1.29;0.807;0.81;17;161;0.895;0.891;3.53e-05;0.000335; 51600;478;1420;2.17;1.97;43;1.01e+03;1.06e+03;1.04e+03;  0%;  0%;  0%;905;888;1.43e+03;  0%;  0%;  1%;923;1.5e+03;946;  0%;  1%;  0%;927;886;1.46e+03;  0%;  0%;  1%;99.5;0.366;0;0.124;0;0;0;0;0;99.2;0.642;0;0.175;0;0;0;0;0;99.6;0.26;0;0.108;0;0;0;0;0;99.7;0.202;0;0.14;0;0;0;0;0;400;388;405;400;49.3 ;50.7 ;52.1 ;46.8 ;
2018-01-12;21:47:21.956;1.01;1.29;0.786;0.81;70.7;639;0.889;0.888;3.78e-05;0.000341;8.71;7.58;1.87e+06;1.45e+06;1.15e+04;2.58;64.4;2.02;50.6;1.28e+04;97.1;0.412;0.0161;2.51;0;1.51;0.00568;0.139;0;1.57e+03;198;1.01;1.29;0.786;0.81;21.7;166;0.869;0.884;4.65e-05;0.000355; 51440;983;2296;2.18;1.85;44;1.01;1.29;0.786;0.81;16;158;0.899;0.889;3.41e-05;0.000338; 47440;494;1494;2.05;1.87;44;1.01;1.29;0.787;0.81;16.8;158;0.894;0.889;3.59e-05;0.000337; 51520;504;1605;2.38;1.92;47;1.01;1.29;0.784;0.81;16.2;157;0.896;0.89;3.47e-05;0.000335; 47600;458;1426;2.1;1.94;43;989;1.05e+03;1.01e+03;  0%;  0%;  0%;900;855;1.42e+03;  0%;  0%;  1%;917;1.5e+03;920;  0%;  1%;  0%;904;852;1.44e+03;  0%;  0%;  1%;97.1;0.503;0.045;2.33;0;0.657;0.0227;0.119;0;97.1;0.321;0;2.6;0;2.1;0;0.144;0;97.2;0.185;0;2.62;0;1.89;0;0.145;0;96.8;0.64;0.0193;2.5;0;1.39;0;0.149;0;394;383;399;394;49.3 ;50.2 ;51.7 ;46.8 ;
