System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;10:24:53.483;0.0116;1.77;0.00656;1.27;16.3;42.1;0.613;0.598;0.000833;0.00215;1.95;2.84;1.95e+04;1.1e+04;1.05e+04;3.54;88.5;0.0232;0.58;3.89e+03;0.518;76.6;0.0583;22.8;0;6.98;0;0;0;1.4e+03;204;0.00069;0.586;0.00118;1.18;0.528;4.83;0.891;0.0912;0.00182;0.0166; 24480;17;26;0.521;0.769;48;3.38e-05;0.339;9.98e-05;1.18;0.0622;0.163;0.618;0.128;0.00437;0.0114; 20000;2;8;0.449;0.708;49;0.0419;1.93;0.0217;1.27;14.7;31.5;0.532;0.633;0.000836;0.00179; 51600;565;1396;0.477;0.538;49;0.00382;1.16;0.00329;1.3;0.946;5.6;0.831;0.578;0.000588;0.00348; 46880;60;53;0.502;0.825;48;341;785;380;  0%;  0%;  0%;463;79.6;105;  0%;  0%;  0%;295;377;359;  0%;  0%;  0%;496;81.5;124;  0%;  0%;  0%;0.0997;72.9;0.141;26.8;0;2.95;0;0;0;0.00846;74.7;0.000585;25.3;0;17.6;0;0;0;1.71;76.7;0.0237;21.6;0;0;0;0;0;0.253;82.2;0.0679;17.4;0;7.39;0;0;0;338;339;377;344;51.4 ;50.8 ;52.2 ;49.4 ;
2018-01-12;10:24:58.492;0.0086;1.96;0.00439;1.24;12.4;27.8;0.552;0.601;0.000861;0.00192;1.49;1.89;1.45e+04;7.38e+03;1.05e+04;3.92;98;0.0172;0.43;2.69e+03;0.353;73;0.0637;26.6;0;1.93;0;0;0;1.39e+03;202;0.000465;0.575;0.000809;1.25;0.321;3.23;0.9;0.101;0.00164;0.0165; 25040;7;20;0.397;0.531;47;3.14e-05;0.32;9.83e-05;1.25;0.0484;0.14;0.655;0.119;0.00366;0.0106; 20080;1;4;0.362;0.513;48;0.0339;2.05;0.0166;1.24;12;24.3;0.505;0.631;0.000844;0.0017; 51680;289;856;0.361;0.325;49;2.97e-05;0.342;8.68e-05;1.22;0.0561;0.133;0.58;0.105;0.00449;0.0107; 46720;1;3;0.368;0.516;48;281;585;282;  0%;  0%;  0%;343;58.1;107;  0%;  0%;  0%;144;229;148;  0%;  0%;  0%;346;57.5;110;  0%;  0%;  0%;0.0647;68.3;0.0999;31.5;0;0;0;0;0;0.00784;74;0.000202;26;0;0;0;0;0;1.33;74.5;0.155;24;0;0;0;0;0;0.0071;75.2;0;24.8;0;7.71;0;0;0;335;343;373;335;50.8 ;51.8 ;50.9 ;48 ;
2018-01-12;10:25:03.495;0.00996;1.62;0.00616;0.813;14.6;32.7;0.553;0.596;0.000875;0.00195;1.51;2.07;1.67e+04;1.04e+04;1.05e+04;3.23;80.8;0.0199;0.498;2.93e+03;0.759;78.6;0.00565;20.7;0;8.92;0;1.25;0;780;164;0.000672;0.697;0.000964;0.822;0.477;4.44;0.893;0.102;0.00169;0.0157; 28240;12;27;0.415;0.587;49;0.000266;0.715;0.000373;0.843;0.294;0.677;0.566;0.696;0.00262;0.00605; 32160;9;24;0.357;0.548;50;0.0374;2.07;0.018;0.811;13.7;27.2;0.496;0.628;0.000873;0.00173; 51600;327;917;0.372;0.355;52;0.00149;0.283;0.00527;0.813;0.154;0.396;0.611;0.446;0.000246;0.000632; 48240;3;25;0.371;0.582;49;319;655;315;  0%;  0%;  0%;376;64.4;96.8;  0%;  0%;  0%;159;232;167;  0%;  0%;  0%;384;64.7;98.2;  0%;  0%;  0%;0.117;72;0.0224;27.8;0;4.79;0;1.25;0;0.0442;82.7;0;17.2;0;14.7;0;1.25;0;2.22;78.7;5.92e-05;19.1;0;0.49;0;1.25;0;0.648;80.9;0.000158;18.5;0;15.7;0;1.26;0;190;190;204;195;40.2 ;40.9 ;42.9 ;40 ;
2018-01-12;10:25:08.510;0.00929;1.98;0.00469;0.809;13.7;30.8;0.556;0.6;0.000874;0.00197;1.48;2.03;1.57e+04;7.89e+03;1.05e+04;3.97;99.1;0.0186;0.465;2.81e+03;0.579;89.8;0.00605;9.62;0;0.847;0;0;0;787;160;0.000525;0.649;0.00081;0.81;0.341;3.97;0.914;0.0912;0.00154;0.0179; 28320;6;19;0.397;0.592;49;3.95e-05;0.382;0.000103;0.81;0.0627;0.162;0.612;0.182;0.00378;0.00974; 32000;2;3;0.357;0.547;50;0.0365;2.06;0.0177;0.81;13.2;26.5;0.501;0.633;0.000859;0.00172; 52000;315;869;0.358;0.341;52;5.48e-05;0.453;0.000121;0.803;0.0628;0.205;0.694;0.262;0.00272;0.0089; 48160;2;1;0.368;0.552;50;300;632;302;  0%;  0%;  0%;368;62.7;87.2;  0%;  0%;  0%;154;221;156;  0%;  0%;  0%;372;62.2;90.8;  0%;  0%;  0%;0.1;81.7;0.0242;18.2;0;0;0;0;0;0.0128;92.3;0;7.72;0;0;0;0;0;2.19;89.5;0;8.33;0;0.188;0;0;0;0.015;95.8;0;4.21;0;3.2;0;0;0;191;191;206;198;40.2 ;41 ;41.4 ;37.8 ;
2018-01-12;10:25:13.530;0.0098;1.74;0.00562;0.809;14.5;30.8;0.529;0.603;0.000877;0.00186;1.55;2.1;1.65e+04;9.49e+03;1.05e+04;3.49;87.1;0.0196;0.49;2.89e+03;0.695;76.4;0.0199;22.9;0;5.28;0;0;0;771;161;0.0391;1.77;0.0221;0.81;14.3;30.2;0.527;0.606;0.000866;0.00183; 52480;367;1032;0.373;0.379;49;5.51e-05;0.373;0.000148;0.803;0.0909;0.246;0.63;0.234;0.00391;0.0106; 34320;1;12;0.381;0.564;50;3.46e-05;0.307;0.000113;0.793;0.0793;0.174;0.544;0.136;0.00543;0.0119; 43520;3;16;0.388;0.572;52;3.29e-05;0.316;0.000104;0.8;0.0485;0.14;0.655;0.109;0.00349;0.0101; 46880;1;3;0.409;0.588;50;411;413;427;  0%;  0%;  0%;62.1;64.5;407;  0%;  0%;  0%;62.3;421;65.8;  0%;  0%;  0%;64.1;65.3;429;  0%;  0%;  0%;2.73;65;0.0711;32.2;0;0;0;0;0;0.0184;77.4;0;22.5;0;6.89;0;0;0;0.0142;81.9;0.00857;18.1;0;7.03;0;0;0;0.013;81.3;0;18.6;0;7.2;0;0;0;197;186;195;193;40.1 ;41 ;41.7 ;37.9 ;
2018-01-12;10:25:18.549;0.00989;1.71;0.00577;0.809;14.2;32.8;0.568;0.583;0.000849;0.00197;1.51;2.11;1.67e+04;9.72e+03;1.05e+04;3.43;85.7;0.0198;0.494;2.91e+03;0.713;85.4;0.0201;13.9;0;2.66;0;0;0;781;162;0.0385;2;0.0192;0.81;13.9;32.2;0.568;0.587;0.000857;0.00198; 48000;374;934;0.375;0.363;49;0.000945;0.263;0.00359;0.81;0.085;0.228;0.627;0.283;0.000214;0.000572; 34480;1;10;0.377;0.582;50;6.67e-05;0.519;0.000128;0.81;0.105;0.204;0.488;0.285;0.00372;0.00727; 45680;2;16;0.373;0.573;52;3.5e-05;0.338;0.000104;0.803;0.0543;0.156;0.652;0.126;0.00369;0.0106; 46960;2;3;0.384;0.591;50;421;416;424;  0%;  0%;  0%;64.8;64.4;416;  0%;  0%;  0%;64.4;416;64.9;  0%;  0%;  0%;64.9;64.6;432;  0%;  0%;  0%;2.38;75.7;0.0803;21.9;0;0;0;0;0;0.444;89.4;0;10.2;0;0;0;0;0;0.0159;88.1;0;11.8;0;0;0;0;0;0.0129;88.3;0;11.6;0;10.6;0;0;0;199;191;196;194;40.2 ;41.5 ;42.3 ;38.3 ;
2018-01-12;10:25:23.568;0.00978;1.97;0.00496;0.81;14.2;32.8;0.567;0.589;0.000861;0.00199;1.52;2.12;1.65e+04;8.36e+03;1.05e+04;3.95;98.7;0.0196;0.489;2.92e+03;0.612;87.3;0.0203;12.1;0;0;0;0;0;783;162;0.039;2;0.0195;0.81;14;32.3;0.566;0.592;0.000852;0.00197; 49040;356;934;0.376;0.36;49;3.94e-05;0.318;0.000124;0.81;0.0618;0.175;0.648;0.12;0.00372;0.0106; 34080;2;4;0.374;0.592;51;3.5e-05;0.314;0.000112;0.81;0.0659;0.157;0.58;0.15;0.00447;0.0106; 45760;0;7;0.373;0.576;52;5.37e-05;0.402;0.000134;0.81;0.0712;0.2;0.645;0.269;0.00315;0.00885; 47360;1;5;0.396;0.59;50;419;416;425;  0%;  0%;  0%;62.8;66.2;417;  0%;  0%;  0%;62.5;417;66.9;  0%;  0%;  0%;66.2;64.5;435;  0%;  0%;  0%;2.4;76.6;0.081;20.9;0;0;0;0;0;0.0153;85.4;0;14.6;0;0;0;0;0;0.0138;92.6;0;7.42;0;0;0;0;0;0.0165;94.6;0;5.37;0;0;0;0;0;199;188;198;198;40.1 ;41.4 ;42 ;38.2 ;
2018-01-12;10:25:28.583;0.00977;1.8;0.00544;0.809;14.1;32.3;0.562;0.595;0.000857;0.00196;1.49;2.08;1.65e+04;9.17e+03;1.05e+04;3.59;89.8;0.0195;0.489;2.88e+03;0.672;82.5;0.207;16.6;0;1.22;0;0;0;778;160;0.039;1.83;0.0213;0.81;13.9;31.7;0.56;0.598;0.000848;0.00193; 50880;327;914;0.367;0.36;49;4.01e-05;0.272;0.000147;0.81;0.0624;0.19;0.672;0.117;0.00369;0.0112; 34160;1;7;0.372;0.574;51;3.75e-05;0.275;0.000136;0.81;0.0709;0.172;0.588;0.148;0.00449;0.0109; 46800;0;8;0.369;0.567;52;5.3e-05;0.344;0.000154;0.801;0.0607;0.201;0.698;0.269;0.00272;0.00899; 47920;2;7;0.385;0.578;50;416;409;419;  0%;  0%;  0%;63.7;65.5;413;  0%;  0%;  0%;63.4;412;65.7;  0%;  0%;  0%;65.3;65;426;  0%;  0%;  0%;2.64;72.5;0.826;24.1;0;0.221;0;0;0;0.0182;81.1;0.000264;18.9;0;0;0;0;0;0.0168;88.3;0;11.7;0;0;0;0;0;0.0192;88.3;0;11.7;0;4.66;0;0;0;200;187;196;195;39.9 ;41 ;41.7 ;37.8 ;
2018-01-12;10:25:33.595;0.00427;1.34;0.00318;0.808;6.84;15.5;0.559;0.524;0.000951;0.00216;1.69;1.12;7.2e+03;5.36e+03;1.05e+04;2.68;67.1;0.00854;0.214;2.01e+03;0.394;70.4;0.0221;29.2;0;3.86;0;0;0;712;149;0.00347;0.676;0.00514;0.806;1.46;3.93;0.63;0.333;0.000994;0.00268; 44160;42;109;0.443;0.302;50;3.74e-05;0.274;0.000137;0.809;0.0599;0.191;0.686;0.098;0.0038;0.0121; 33120;1;4;0.409;0.29;51;0.0135;1.85;0.00731;0.81;5.27;11.2;0.529;0.573;0.000926;0.00197; 48160;141;444;0.423;0.234;52;5.24e-05;0.381;0.000138;0.794;0.0535;0.212;0.748;0.249;0.00242;0.00961; 48000;1;5;0.417;0.294;50;149;310;148;  0%;  0%;  0%;145;26.8;268;  0%;  0%;  0%;73.5;363;79.2;  0%;  0%;  0%;150;26.2;272;  0%;  0%;  0%;0.638;56.7;0.0738;42.6;0;9.71;0;0;0;0.0169;72.5;0.00011;27.5;0;0;0;0;0;0.903;75;0.0144;24.1;0;0;0;0;0;0.0173;77.3;0;22.7;0;5.75;0;0;0;173;174;184;181;38 ;37.9 ;38.6 ;34.8 ;
2018-01-12;10:25:38.607;0.0101;1.63;0.00621;0.809;14.2;32.6;0.564;0.616;0.000832;0.00191;1.5;2.17;1.7e+04;1.05e+04;1.05e+04;3.26;81.4;0.0202;0.506;2.94e+03;0.768;66.9;0.0724;32.2;0;2.64;0;0;0;749;162;0.0401;1.71;0.0235;0.81;14;32;0.563;0.619;0.000828;0.00189; 49920;323;936;0.371;0.375;49;3.99e-05;0.292;0.000137;0.788;0.0643;0.207;0.689;0.108;0.00383;0.0123; 33040;2;7;0.364;0.599;51;0.000305;0.271;0.00112;0.81;0.0898;0.191;0.53;0.116;0.0007;0.00149; 44000;3;13;0.373;0.593;53;5.16e-05;0.398;0.00013;0.81;0.0582;0.202;0.712;0.255;0.00268;0.0093; 48000;0;3;0.394;0.597;50;428;425;435;  0%;  0%;  0%;60.1;63.5;415;  0%;  0%;  0%;60.3;425;65.2;  0%;  0%;  0%;64.6;63;435;  0%;  0%;  0%;2.9;47;0.289;49.8;0;0.0148;0;0;0;0.0173;68.4;0.000139;31.6;0;10.5;0;0;0;0.139;76.2;0;23.7;0;0;0;0;0;0.016;76.1;0;23.9;0;0;0;0;0;188;181;191;189;40.1 ;41.4 ;42.1 ;38.2 ;
