System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-12;10:37:03.215;0.0115;1.77;0.00654;1.27;16.1;42.2;0.618;0.583;0.00083;0.00217;1.98;2.85;1.94e+04;1.1e+04;1.05e+04;3.53;88.3;0.0231;0.577;3.93e+03;0.513;73;0.0242;26.5;0;3.49;0;0;0;1.38e+03;206;0.00258;0.988;0.00261;1.28;0.74;6.97;0.894;0.383;0.000682;0.00643; 34480;73;22;0.596;0.865;49;0.00341;1.14;0.003;1.33;0.972;5.23;0.814;0.55;0.000679;0.00365; 50480;56;62;0.499;0.824;49;0.0402;1.97;0.0204;1.27;14.3;29.8;0.518;0.618;0.000849;0.00176; 51840;472;1491;0.414;0.438;50;3.6e-05;0.332;0.000109;1.26;0.0702;0.182;0.614;0.131;0.00463;0.012;  4880;0;13;0.468;0.722;49;433;778;357;  0%;  0%;  0%;479;88.2;146;  0%;  0%;  0%;324;392;276;  0%;  0%;  0%;449;84.4;119;  0%;  0%;  0%;0.205;58.4;0.04;41.3;0;1.8;0;0;0;0.226;81.6;0.0396;18.2;0;11.1;0;0;0;1.61;74.1;0.0172;24.3;0;1.04;0;0;0;0.00865;78;0;22;0;0;0;0;0;323;349;373;339;51.5 ;51.7 ;52.1 ;50.3 ;
2018-01-12;10:37:08.222;0.00859;1.95;0.0044;1.25;12.2;27.4;0.554;0.606;0.000844;0.00189;1.48;1.88;1.45e+04;7.41e+03;1.05e+04;3.9;97.6;0.0172;0.43;2.67e+03;0.353;68.9;0.0866;30.6;0;0.811;0;0;0;1.37e+03;201;0.00044;0.456;0.000965;1.25;0.299;3.08;0.903;0.106;0.00161;0.0166; 34640;2;2;0.397;0.53;48;3.22e-05;0.343;9.37e-05;1.23;0.0571;0.147;0.611;0.117;0.00422;0.0109; 50320;0;5;0.355;0.511;48;0.0339;2.06;0.0165;1.25;11.8;24;0.509;0.635;0.000828;0.00169; 51680;269;839;0.358;0.321;49;2.95e-05;0.34;8.68e-05;1.24;0.0452;0.128;0.646;0.0993;0.00364;0.0103;  5360;0;3;0.371;0.517;48;280;583;281;  0%;  0%;  0%;340;57.6;106;  0%;  0%;  0%;144;225;145;  0%;  0%;  0%;344;57;110;  0%;  0%;  0%;0.0774;50.3;0.154;49.4;0;0;0;0;0;0.0076;76.3;0;23.7;0;3.24;0;0;0;1.32;75;0.193;23.5;0;0;0;0;0;0.00698;74;0;26;0;0;0;0;0;315;344;374;337;50.5 ;51.2 ;50.9 ;48.6 ;
2018-01-12;10:37:13.225;0.00945;1.96;0.00482;0.813;14;31.7;0.557;0.596;0.000883;0.00199;1.48;2.02;1.59e+04;8.1e+03;1.05e+04;3.92;98.1;0.0189;0.473;2.84e+03;0.593;74.5;0.0169;24.9;0;4.9;0;3.88;0;757;164;0.000861;0.629;0.00137;0.813;0.643;4.64;0.861;0.299;0.00178;0.0128; 46160;21;13;0.408;0.593;50;9.73e-05;0.569;0.000171;0.892;0.117;0.294;0.601;0.329;0.00287;0.00719; 50160;6;5;0.357;0.547;50;0.0367;2.09;0.0176;0.811;13.2;26.4;0.502;0.627;0.000853;0.00171; 51760;283;873;0.354;0.339;52;0.000126;0.665;0.000189;0.918;0.104;0.277;0.626;0.335;0.00196;0.00524;  7120;3;8;0.36;0.544;50;307;636;307;  0%;  0%;  0%;369;64.9;95.6;  0%;  0%;  0%;153;220;157;  0%;  0%;  0%;372;64.3;97.5;  0%;  0%;  0%;0.169;55.6;0.0663;44.2;0;1.95;0;3.89;0;0.0192;81.5;0;18.5;0;3.38;0;3.87;0;2.16;82.1;0.000763;15.7;0;1.03;0;3.88;0;0.0206;78.6;0.00039;21.4;0;13.2;0;3.9;0;179;186;203;189;39.2 ;43.3 ;41.6 ;40.2 ;
2018-01-12;10:37:18.241;0.00958;1.87;0.00513;0.809;14.1;32;0.56;0.585;0.000872;0.00198;1.53;2.11;1.61e+04;8.64e+03;1.05e+04;3.74;93.4;0.0192;0.479;2.91e+03;0.633;83.8;0.0155;15.5;0;0.184;0;0;0;783;162;0.000905;0.37;0.00245;0.809;0.349;4.24;0.918;0.0946;0.000917;0.0111; 45920;7;2;0.425;0.629;50;5.91e-05;0.436;0.000135;0.81;0.0912;0.234;0.611;0.249;0.00367;0.00942; 49760;2;8;0.364;0.562;51;0.0373;2.09;0.0178;0.81;13.6;27.4;0.504;0.619;0.000864;0.00174; 52720;309;946;0.363;0.347;52;3.45e-05;0.341;0.000101;0.81;0.0544;0.15;0.638;0.112;0.00374;0.0103;  8080;0;5;0.381;0.57;50;310;657;310;  0%;  0%;  0%;376;64.3;91.6;  0%;  0%;  0%;159;240;163;  0%;  0%;  0%;383;64.1;93.6;  0%;  0%;  0%;0.302;58.9;0.0498;40.7;0;0.685;0;0;0;0.0167;94.9;0;5.05;0;0;0;0;0;2.2;90.9;0.0121;6.89;0;0;0;0;0;0.0125;90.7;0;9.33;0;0.0497;0;0;0;183;194;209;197;40.7 ;41.2 ;42 ;38 ;
2018-01-12;10:37:23.252;0.0099;2;0.00494;0.809;14.7;31.9;0.538;0.591;0.000882;0.00191;1.6;2.15;1.67e+04;8.32e+03;1.05e+04;4.01;100;0.0198;0.495;2.98e+03;0.61;72.1;0.0772;27.3;0;3.59;0;0;0;753;162;0.000581;0.538;0.00108;0.805;0.327;4.22;0.922;0.0971;0.00134;0.0172; 45440;1;14;0.429;0.63;50;5.49e-05;0.389;0.000141;0.81;0.07;0.212;0.67;0.232;0.00303;0.00917; 50080;2;5;0.391;0.579;51;0.0389;2.11;0.0184;0.81;14.3;27.3;0.477;0.625;0.00087;0.00166; 51680;363;1042;0.372;0.36;52;3.61e-05;0.31;0.000117;0.791;0.0546;0.162;0.662;0.14;0.00359;0.0106;  7920;0;6;0.403;0.582;50;294;655;295;  0%;  0%;  0%;392;66;88.8;  0%;  0%;  0%;187;252;192;  0%;  0%;  0%;400;65.7;91.8;  0%;  0%;  0%;0.134;51.6;0.0524;48.2;0;7.03;0;0;0;0.0174;83.7;0;16.3;0;0;0;0;0;2.28;77.6;0.256;19.9;0;0;0;0;0;0.0147;75.3;0.000888;24.6;0;7.35;0;0;0;177;188;201;187;40.7 ;41.5 ;42.1 ;38.1 ;
2018-01-12;10:37:28.263;0.0097;1.86;0.00522;0.809;14;32.3;0.567;0.592;0.000856;0.00198;1.5;2.07;1.63e+04;8.79e+03;1.05e+04;3.71;92.8;0.0194;0.485;2.89e+03;0.646;74.4;0.0143;24.9;0;2.47;0;0;0;760;161;0.000971;0.36;0.0027;0.807;0.322;4.46;0.928;0.0868;0.000787;0.0109; 45360;6;13;0.407;0.603;50;5.44e-05;0.402;0.000135;0.81;0.0659;0.198;0.668;0.251;0.00288;0.00867; 50160;1;9;0.366;0.562;51;0.0377;2.1;0.0179;0.81;13.5;27.5;0.507;0.628;0.000852;0.00173; 51760;318;901;0.36;0.347;52;3.6e-05;0.294;0.000122;0.807;0.0533;0.161;0.668;0.141;0.00352;0.0106;  8640;0;10;0.366;0.56;50;312;653;313;  0%;  0%;  0%;380;64.8;91.2;  0%;  0%;  0%;158;221;160;  0%;  0%;  0%;379;64.3;93.4;  0%;  0%;  0%;0.334;51.9;0.0574;47.7;0;0.00739;0;0;0;0.0167;88.5;0;11.5;0;0;0;0;0;2.22;86.6;0;11.2;0;0;0;0;0;0.0152;70.8;0;29.2;0;9.87;0;0;0;178;190;206;185;40.3 ;41.1 ;41.7 ;37.9 ;
2018-01-12;10:37:33.274;0.00972;1.96;0.00496;0.81;14.1;33;0.572;0.614;0.000863;0.00201;1.53;2.18;1.64e+04;8.35e+03;1.05e+04;3.92;98;0.0194;0.486;2.94e+03;0.613;78.5;0.141;20.7;0;0;0;0;0;766;162;0.0388;1.99;0.0195;0.81;13.9;32.5;0.571;0.617;0.000853;0.00199; 52160;362;966;0.374;0.399;50;5.19e-05;0.462;0.000112;0.81;0.0617;0.186;0.668;0.256;0.00283;0.0085; 50080;0;3;0.383;0.595;50;3.58e-05;0.371;9.66e-05;0.81;0.0857;0.168;0.489;0.143;0.00568;0.0111; 44720;1;17;0.376;0.594;52;3.77e-05;0.357;0.000106;0.81;0.0537;0.157;0.658;0.183;0.00338;0.00988;  8400;0;5;0.395;0.594;50;430;421;431;  0%;  0%;  0%;62.4;65.8;419;  0%;  0%;  0%;61.9;427;64.5;  0%;  0%;  0%;63.9;65.4;432;  0%;  0%;  0%;2.41;44;0.564;53;0;0;0;0;0;0.0139;95;0;5.03;0;0;0;0;0;0.0119;94.6;0;5.39;0;0;0;0;0;0.0131;80.6;0;19.4;0;0;0;0;0;184;192;199;191;40.2 ;41.3 ;42.1 ;38 ;
2018-01-12;10:37:38.289;0.00968;1.94;0.00499;0.809;14.2;32.5;0.564;0.613;0.000868;0.00199;1.52;2.1;1.63e+04;8.4e+03;1.05e+04;3.88;97.1;0.0194;0.484;2.89e+03;0.616;69.9;0.184;29.3;0;1;0;0;0;751;161;0.0386;1.98;0.0195;0.81;14;31.9;0.562;0.617;0.00086;0.00196; 52080;361;941;0.375;0.373;50;5.29e-05;0.338;0.000157;0.81;0.0608;0.213;0.715;0.215;0.00273;0.00956; 49680;0;4;0.374;0.571;51;3.73e-05;0.281;0.000133;0.791;0.0686;0.167;0.59;0.144;0.00437;0.0107; 45840;0;16;0.372;0.567;53;3.84e-05;0.283;0.000136;0.81;0.0547;0.165;0.669;0.16;0.00338;0.0102;  8800;0;3;0.397;0.59;50;414;414;422;  0%;  0%;  0%;64;65;413;  0%;  0%;  0%;63.5;413;65.6;  0%;  0%;  0%;65.1;64.6;430;  0%;  0%;  0%;2.41;39.7;0.735;57.1;0;0;0;0;0;0.0194;82.3;0;17.7;0;0;0;0;0;0.0168;84.5;0;15.5;0;4.01;0;0;0;0.0168;73;0;27;0;0;0;0;0;183;187;194;187;40 ;41.1 ;41.9 ;38 ;
2018-01-12;10:37:43.303;0.0031;1.56;0.00198;0.808;5.17;12.9;0.599;0.517;0.000989;0.00247;1.56;0.895;5.22e+03;3.34e+03;1.05e+04;3.13;78.2;0.0062;0.155;1.67e+03;0.245;59.1;0.21;40.5;0;3.23;0;0;0;675;146;0.0112;1.72;0.00647;0.809;4.27;10.3;0.587;0.554;0.000908;0.0022; 51840;118;324;0.403;0.189;50;4.6e-05;0.326;0.000141;0.785;0.0636;0.218;0.708;0.149;0.00329;0.0112; 48720;1;4;0.371;0.226;51;0.00115;0.98;0.00117;0.806;0.755;2.12;0.644;0.291;0.00156;0.00438; 51760;16;36;0.391;0.236;53;4.5e-05;0.318;0.000142;0.81;0.0771;0.202;0.618;0.154;0.00406;0.0106;  9840;2;3;0.392;0.244;51;145;176;150;  0%;  0%;  0%;31.1;20.3;335;  0%;  0%;  0%;21.7;372;23.6;  0%;  0%;  0%;31.6;19.1;344;  0%;  0%;  0%;0.8;34.4;0.637;64.2;0;0.684;0;0;0;0.0179;75.7;0.000167;24.3;0;6.25;0;0;0;0.146;65.1;0.202;34.6;0;5.98;0;0;0;0.0175;61.3;0;38.7;0;0;0;0;0;161;173;173;169;37.2 ;37 ;37.7 ;34 ;
2018-01-12;10:37:48.315;0.00989;1.82;0.00545;0.81;14.2;32.4;0.562;0.618;0.000853;0.00195;1.51;2.13;1.67e+04;9.17e+03;1.05e+04;3.63;90.8;0.0198;0.494;2.94e+03;0.673;55.9;0.043;43.4;0;0.233;0;0;0;723;161;0.0394;1.84;0.0214;0.81;14;31.9;0.56;0.621;0.000845;0.00192; 49120;341;920;0.374;0.373;50;4.84e-05;0.329;0.000147;0.81;0.0653;0.216;0.697;0.169;0.00321;0.0106; 49200;1;9;0.372;0.578;51;3.07e-05;0.259;0.000119;0.81;0.0532;0.157;0.662;0.0968;0.00411;0.0122; 51680;1;12;0.375;0.586;53;4.42e-05;0.307;0.000144;0.805;0.0638;0.191;0.666;0.176;0.00343;0.0103; 10880;0;7;0.392;0.592;51;421;423;429;  0%;  0%;  0%;64.2;66.6;418;  0%;  0%;  0%;64;421;66.3;  0%;  0%;  0%;65.5;66.2;433;  0%;  0%;  0%;2.64;29.9;0.172;67.3;0;0;0;0;0;0.0182;79.5;0;20.5;0;0;0;0;0;0.0146;63.9;0;36.1;0;0;0;0;0;0.0179;50.3;0;49.7;0;0.933;0;0;0;179;186;184;174;39.9 ;41.2 ;42 ;38 ;
