System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-19;20:19:32.009;0.00338;0.592;0.00571;0.807;44.3;55.3;0.199;0.14;0.00777;0.0097;3.47;3.17;5.7e+03;9.63e+03;1.05e+04;1.18;29.6;0.00677;0.169;5.27e+03;0.708;8.35;0.045;90.9;0;8.76;0;0;0;648;168;0.0133;0.615;0.0215;0.81;43.9;53.2;0.174;0.142;0.00786;0.00952; 49920;1089;3304;0.892;0.524;47;5.69e-05;0.2;0.000285;0.795;0.0997;0.362;0.725;0.0753;0.00416;0.0151; 31120;2;37;0.857;0.88;48;6.25e-05;0.211;0.000297;0.81;0.108;0.36;0.7;0.101;0.00411;0.0137; 35120;1;37;0.865;0.888;51;0.000169;0.231;0.000735;0.753;0.217;1.43;0.848;0.0835;0.00304;0.02; 38160;0;5;0.861;0.876;47;609;609;623;  0%;  0%;  0%;76.7;79.6;979;  0%;  0%;  1%;76.4;978;80.7;  0%;  1%;  0%;80.1;79.8;997;  0%;  0%;  1%;2.66;9;0.175;88.2;0;0;0;0;0;0.0358;6.19;0.00303;93.8;0;7.28;0;0;0;0.0367;13.8;0.000384;86.1;0;0;0;0;0;0.0976;4.4;0.00195;95.5;0;27.8;0;0;0;172;156;164;157;41.4 ;43.3 ;43.6 ;40.1 ;
2018-01-19;20:19:37.754;0.574;0.786;0.731;0.809;2.43e+03;2.58e+03;0.0576;0.943;0.00234;0.00248;185;68.2;1.04e+06;1.32e+06;1.05e+04;1.57;39.3;1.15;28.7;2.75e+05;90.3;1.27;0.0453;8.43;0;3.13;0;0;0;1.8e+03;388;0.566;0.776;0.729;0.81;612;650;0.0578;0.938;0.00245;0.0026; 52880;12833;35858;47.5;17;43;0.562;0.772;0.729;0.809;614;652;0.0584;0.939;0.00243;0.00258; 53760;11520;39065;42.3;16.8;43;0.578;0.789;0.732;0.81;597;634;0.0582;0.945;0.00227;0.00241; 50800;10411;34571;46.2;17.3;45;0.59;0.806;0.732;0.809;610;646;0.0558;0.948;0.00223;0.00236; 53760;12365;35626;49;17.1;43;2.37e+04;2.39e+04;2.29e+04; 22%; 23%; 22%;2.21e+04;2.23e+04;2.19e+04; 21%; 21%; 21%;2.2e+04;2.22e+04;2.28e+04; 21%; 21%; 22%;2.31e+04;2.34e+04;2.43e+04; 22%; 22%; 23%;90.1;1.04;0.045;8.83;0;2.51;0;0;0;90;1.07;0.0256;8.88;0;6.17;0;0;0;90.4;1.96;0.031;7.59;0;0.00594;0;0;0;90.5;1.02;0.0785;8.44;0;3.83;0;0;0;449;438;467;449;97 ;96.6 ;102 ;93 ;
2018-01-19;20:19:43.130;1.09;1.11;0.983;0.983;1.8e+03;1.88e+03;0.0425;0.985;0.000897;0.000936;145;188;2e+06;1.81e+06;1.21e+04;2.22;55.4;2.18;54.4;2.64e+05;100;0.00159;0;0;0;0;0;0;0;2.66e+03;471;1.07;1.09;0.979;0.979;548;568;0.0343;0.981;0.0011;0.00114; 51120;18793;56333;36.1;45.6;40;1.06;1.08;0.982;0.982;564;592;0.0475;0.98;0.00115;0.00121; 48240;19528;57280;35.9;45.2;40;1.13;1.15;0.984;0.984;234;249;0.0604;0.993;0.000453;0.000482; 48880;7128;22422;36.7;50.2;41;1.09;1.11;0.986;0.986;450;467;0.0363;0.985;0.000905;0.000939; 50320;14713;43315;36.3;47.2;39;2.67e+04;1.88e+04;2.38e+04; 25%; 17%; 22%;1.98e+04;2.47e+04;2.71e+04; 18%; 23%; 25%;2.04e+04;1.96e+04;1.73e+04; 19%; 18%; 16%;1.68e+04;2.47e+04;2.4e+04; 16%; 23%; 22%;100;0.00289;0;0;0;0;0;0;0;100;0.003;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.00337;0;0;0;0;0;0;0;653;650;704;652;115 ;118 ;126 ;111 ;
2018-01-19;20:19:48.602;0.943;1.14;0.824;0.824;889;938;0.0526;0.991;0.000516;0.000545;62;50.4;1.72e+06;1.5e+06;1.13e+04;2.29;57.2;1.89;47.1;9.89e+04;100;0.00948;0;0;0;0;0;0;0;1.73e+03;322;0.944;1.14;0.826;0.826;248;260;0.0468;0.989;0.000575;0.000603; 49920;6185;17847;15.5;12.6;43;0.928;1.13;0.824;0.824;313;329;0.0507;0.987;0.000738;0.000778; 46640;7976;23119;15.2;11.6;45;0.956;1.16;0.823;0.823;139;149;0.0655;0.995;0.000318;0.000341; 53440;3243;10154;15.7;13.1;46;0.942;1.15;0.822;0.822;189;200;0.0535;0.992;0.00044;0.000464; 47520;4412;12848;15.5;13.1;43;9.97e+03;6.85e+03;7.62e+03;  9%;  6%;  7%;7.95e+03;8.47e+03;9.75e+03;  7%;  8%;  9%;9.59e+03;8.15e+03;7.09e+03;  9%;  7%;  6%;6.15e+03;9.23e+03;8.06e+03;  5%;  8%;  7%;100;0.0062;0;0;0;0;0;0;0;100;0.00554;0;0;0;0;0;0;0;100;0.00994;0;0;0;0;0;0;0;100;0.0162;0;0;0;0;0;0;0;430;416;449;434;79 ;81 ;87.5 ;74.7 ;
2018-01-19;20:19:54.006;0.95;1.17;0.81;0.81;553;596;0.0722;0.994;0.000319;0.000344;38.4;30.2;1.73e+06;1.48e+06;1.14e+04;2.35;58.6;1.9;47.5;5.95e+04;100;0;0;0;0;0;0;0;0;1.68e+03;273;0.953;1.18;0.81;0.81;147;160;0.083;0.993;0.000339;0.000369; 50320;3581;10057;9.73;7.75;44;0.945;1.17;0.81;0.81;211;224;0.0588;0.991;0.00049;0.00052; 49120;5071;14874;9.42;6.64;44;0.96;1.19;0.81;0.81;48.6;52.5;0.0737;0.998;0.000111;0.00012; 47520;1025;3069;9.74;8.24;47;0.941;1.16;0.81;0.81;146;159;0.0796;0.994;0.000341;0.000371; 50400;3500;10128;9.56;7.54;43;6.3e+03;3.3e+03;5.05e+03;  6%;  3%;  4%;4.47e+03;6.12e+03;6.02e+03;  4%;  5%;  5%;5.52e+03;4.16e+03;4.27e+03;  5%;  3%;  4%;3.31e+03;6.12e+03;4.89e+03;  3%;  5%;  4%;100;0.0003;0;0;0;0;0;0;0;100;0.000323;0;0;0;0;0;0;0;100;0.000292;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;419;406;433;421;67.1 ;68.2 ;74.4 ;63.3 ;
2018-01-19;20:19:59.466;0.967;1.19;0.81;0.81;320;361;0.113;0.996;0.000181;0.000204;23;19.4;1.77e+06;1.48e+06;1.14e+04;2.39;59.7;1.93;48.3;3.65e+04;100;0.000295;0;0;0;0;0;0;0;1.7e+03;241;0.973;1.2;0.81;0.81;94.3;105;0.101;0.996;0.000212;0.000236; 49280;2404;6764;5.7;4.83;44;0.968;1.2;0.81;0.81;127;139;0.0823;0.994;0.000288;0.000314; 49840;3130;9246;5.69;4.17;44;0.957;1.18;0.81;0.81;42.2;52.7;0.199;0.998;9.64e-05;0.00012; 51600;929;2914;5.86;5.36;47;0.968;1.2;0.81;0.81;56.2;64.6;0.129;0.997;0.000127;0.000146; 51120;1378;4047;5.74;5.05;43;4.12e+03;2.34e+03;2.65e+03;  3%;  2%;  2%;3.15e+03;3.42e+03;4.15e+03;  3%;  3%;  3%;3.38e+03;2.65e+03;1.97e+03;  3%;  2%;  1%;2.02e+03;3.66e+03;2.98e+03;  1%;  3%;  2%;100;0.000298;0;0;0;0;0;0;0;100;0.000305;0;0;0;0;0;0;0;100;0.000284;0;0;0;0;0;0;0;100;0.000296;0;0;0;0;0;0;0;426;411;436;429;58.9 ;60.5 ;65.3 ;56.8 ;
2018-01-19;20:20:04.894;0.972;1.2;0.81;0.81;233;262;0.113;0.997;0.000131;0.000148;16.9;14.3;1.77e+06;1.48e+06;1.14e+04;2.4;60;1.94;48.6;2.68e+04;100;0.0003;0;0;0;0;0;0;0;1.7e+03;222;0.986;1.22;0.81;0.81;44.5;51.9;0.142;0.998;9.9e-05;0.000115; 49280;1220;3226;4.28;3.78;44;0.969;1.2;0.81;0.81;115;125;0.0795;0.995;0.000259;0.000282; 29600;2844;8384;4.19;2.9;44;0.957;1.18;0.81;0.81;43;49.1;0.123;0.998;9.85e-05;0.000112; 49680;1001;3072;4.23;3.73;47;0.975;1.2;0.81;0.81;30.4;36.8;0.175;0.999;6.83e-05;8.29e-05; 36320;728;2235;4.23;3.89;43;3.04e+03;1.68e+03;1.52e+03;  2%;  1%;  1%;2.81e+03;2.53e+03;2.76e+03;  2%;  2%;  2%;3.07e+03;1.7e+03;1.52e+03;  2%;  1%;  1%;1.62e+03;2.89e+03;1.64e+03;  1%;  2%;  1%;100;0.000296;0;0;0;0;0;0;0;100;0.000311;0;0;0;0;0;0;0;100;0.00029;0;0;0;0;0;0;0;100;0.000301;0;0;0;0;0;0;0;424;409;436;428;54.8 ;55.5 ;58.7 ;52.8 ;
2018-01-19;20:20:10.302;0.965;1.19;0.81;0.81;99.4;116;0.143;0.999;5.66e-05;6.6e-05;7.05;4.77;1.76e+06;1.47e+06;1.14e+04;2.38;59.6;1.93;48.3;1e+04;100;0.000296;0;0;0;0;0;0;0;1.69e+03;190;0.973;1.2;0.81;0.81;14.1;18.6;0.241;0.999;3.19e-05;4.2e-05; 47760;446;945;1.75;1.26;44;0.963;1.19;0.81;0.81;56.3;60.3;0.0655;0.998;0.000129;0.000138; 48800;1235;3601;1.78;0.858;44;0.96;1.19;0.81;0.81;6.64;10.1;0.343;1;1.52e-05;2.32e-05; 48160;121;482;1.76;1.31;47;0.965;1.19;0.81;0.81;22.3;26.9;0.171;0.999;5.08e-05;6.13e-05; 48400;520;1551;1.77;1.34;43;1.34e+03;473;681;  1%;  0%;  0%;788;981;890;  0%;  0%;  0%;1.32e+03;531;615;  1%;  0%;  0%;481;1.36e+03;595;  0%;  1%;  0%;100;0.000285;0;0;0;0;0;0;0;100;0.000361;0;0;0;0;0;0;0;100;0.000262;0;0;0;0;0;0;0;100;0.000276;0;0;0;0;0;0;0;424;407;435;429;47.2 ;48 ;49.1 ;45.3 ;
2018-01-19;20:20:15.686;0.962;1.19;0.81;0.81;65.8;78;0.156;0.999;3.77e-05;4.46e-05;4.78;3.18;1.75e+06;1.47e+06;1.14e+04;2.38;59.4;1.92;48.1;6.74e+03;100;0.000353;0;0;0;0;0;0;0;1.69e+03;182;0.968;1.2;0.81;0.81;16.3;19.8;0.179;0.999;3.7e-05;4.5e-05; 48720;470;1074;1.21;0.826;44;0.96;1.19;0.81;0.81;34.6;37.1;0.0666;0.999;7.93e-05;8.49e-05; 49840;740;2192;1.2;0.6;44;0.96;1.19;0.81;0.81;6.44;9.9;0.349;1;1.48e-05;2.27e-05; 49120;132;489;1.17;0.871;46;0.959;1.18;0.81;0.81;8.52;11.3;0.243;1;1.96e-05;2.59e-05; 49680;200;589;1.21;0.883;43;862;401;419;  0%;  0%;  0%;522;560;681;  0%;  0%;  0%;810;507;344;  0%;  0%;  0%;313;821;495;  0%;  0%;  0%;100;0.000617;0;0;0;0;0;0;0;100;0.000288;0;0;0;0;0;0;0;100;0.000269;0;0;0;0;0;0;0;100;0.000239;0;0;0;0;0;0;0;424;407;433;428;45.4 ;46.1 ;47.3 ;43.4 ;
2018-01-19;20:20:21.126;0.959;1.18;0.809;0.81;42.1;57.1;0.263;1;2.42e-05;3.29e-05;3.49;2.59;1.74e+06;1.47e+06;1.13e+04;2.37;59.2;1.92;48;4.79e+03;100;0.00297;0;0;0;0;0;0;0;1.71e+03;181;0.964;1.19;0.81;0.81;0.315;2.23;0.859;1;7.21e-07;5.1e-06; 48880;105;5;0.895;0.709;43;0.957;1.18;0.81;0.81;33.5;42.1;0.203;0.999;7.74e-05;9.71e-05; 51200;847;2458;0.818;0.442;44;0.958;1.18;0.81;0.81;7.96;10.6;0.249;1;1.83e-05;2.44e-05; 47120;182;531;0.879;0.727;46;0.957;1.18;0.809;0.81;0.323;2.24;0.856;1;7.43e-07;5.16e-06; 48240;3;105;0.9;0.715;43;717;255;131;  0%;  0%;  0%;566;451;438;  0%;  0%;  0%;781;167;165;  0%;  0%;  0%;243;749;128;  0%;  0%;  0%;100;0.000121;0;0;0;0;0;0;0;100;0.000281;0;0;0;0;0;0;0;100;0.000267;0;0;0;0;0;0;0;100;0.0112;0;0;0;0;0;0;0;432;410;439;433;45.3 ;45.6 ;47.1 ;43 ;
