System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-19;20:53:43.950;0.297;0.541;0.55;0.852;942;1.27e+03;0.26;0.849;0.00172;0.00233;57.5;31.4;5.47e+05;1.01e+06;1.19e+04;1.08;27.1;0.595;14.9;1.08e+05;64.5;4.14;0.0194;31.3;0;9.75;0;0;0;1.28e+03;263;0.295;0.525;0.561;0.851;250;333;0.25;0.838;0.00182;0.00243; 51840;3906;12672;14.2;7.79;45;0.295;0.532;0.553;0.852;236;319;0.26;0.846;0.00174;0.00235; 47600;4100;11753;14.4;7.88;45;0.298;0.551;0.54;0.852;232;314;0.262;0.849;0.00171;0.00231; 56240;4197;11383;14.4;7.86;47;0.303;0.558;0.543;0.854;224;308;0.271;0.86;0.00163;0.00223; 53200;4117;11297;14.5;7.86;44;9.01e+03;9.02e+03;8.97e+03;  8%;  8%;  8%;9.07e+03;8.83e+03;9.08e+03;  8%;  8%;  8%;9.09e+03;9.13e+03;8.85e+03;  8%;  8%;  8%;8.84e+03;8.86e+03;9.08e+03;  8%;  8%;  8%;66;2.88;0.0227;31.1;0;0.00796;0;0;0;65;3.45;0.0249;31.5;0;15.8;0;0;0;63.3;3.56;0.0116;33.1;0;16.1;0;0;0;63.6;6.69;0.0184;29.7;0;7.19;0;0;0;322;311;325;319;64.9 ;67.3 ;69.2 ;61.6 ;
2018-01-19;20:53:49.390;0.48;0.719;0.668;0.857;593;786;0.246;0.958;0.000677;0.000898;36.7;19.2;8.76e+05;1.22e+06;1.14e+04;1.44;35.9;0.961;24;6.25e+04;78;2.95;0.0366;19.1;0;11;0.03;0.147;0;1.36e+03;234;0.48;0.716;0.67;0.857;155;209;0.258;0.951;0.000711;0.000959; 56240;3331;9174;9.36;4.98;45;0.467;0.703;0.664;0.857;148;197;0.246;0.957;0.000698;0.000926; 48560;3091;8849;9.02;4.7;46;0.493;0.726;0.679;0.857;147;194;0.242;0.958;0.000654;0.000863; 48400;2900;8786;9.07;4.74;48;0.481;0.73;0.659;0.857;142;186;0.235;0.963;0.000646;0.000845; 50000;2793;8490;9.27;4.79;44;5.18e+03;5.23e+03;5.27e+03;  4%;  5%;  5%;5.16e+03;5.16e+03;5.24e+03;  4%;  4%;  5%;5.15e+03;5.28e+03;5.18e+03;  4%;  5%;  4%;5.2e+03;5.15e+03;5.32e+03;  4%;  4%;  5%;78.2;3.44;0.0268;18.4;0;4.73;0;0.178;0;77.5;2.29;0.0469;20.1;0;13.3;0.12;0.0557;0;79.3;2.49;0.0391;18.2;0;10.7;0;0.176;0;76.9;3.58;0.0336;19.5;0;15.2;0;0.177;0;342;330;348;339;58.4 ;59.6 ;61.4 ;54.9 ;
2018-01-19;20:53:54.914;0.643;0.755;0.851;0.857;1.51e+03;1.67e+03;0.0923;0.967;0.00127;0.0014;148;132;1.19e+06;1.57e+06;1.14e+04;1.51;37.8;1.29;32.2;2.35e+05;99.3;0.703;0;0;0;0;0;0;0;1.78e+03;408;0.655;0.77;0.851;0.857;357;392;0.0904;0.969;0.00118;0.0013; 51360;10068;30569;37.2;33;42;0.645;0.758;0.85;0.857;372;414;0.101;0.968;0.00125;0.00139; 50240;10478;30781;36.9;33;44;0.642;0.753;0.852;0.857;386;421;0.0829;0.967;0.00131;0.00142; 41760;10947;32423;36.9;32.9;44;0.63;0.74;0.852;0.857;397;439;0.0952;0.964;0.00136;0.0015; 45680;11834;32925;37.1;33.1;43;1.96e+04;1.96e+04;1.96e+04; 18%; 18%; 18%;1.96e+04;1.96e+04;1.96e+04; 18%; 18%; 18%;1.96e+04;1.96e+04;1.96e+04; 18%; 18%; 18%;1.96e+04;1.96e+04;1.96e+04; 18%; 18%; 18%;99.2;0.756;0;0;0;0;0;0;0;99.2;0.815;0;0;0;0;0;0;0;99.4;0.599;0;0;0;0;0;0;0;99.4;0.641;0;0;0;0;0;0;0;443;434;456;445;101 ;104 ;106 ;96.6 ;
2018-01-19;20:54:00.338;0.597;0.734;0.813;0.814;3.33e+03;4.64e+03;0.284;0.421;0.00303;0.00423;209;226;1.1e+06;1.5e+06;1.16e+04;1.47;36.7;1.19;29.9;3.61e+05;100;0.04;0;0;0;0;0;0;0;1.74e+03;534;0.594;0.73;0.814;0.814;812;1.14e+03;0.287;0.44;0.00296;0.00416; 53040;12117;35798;52.9;57.3;44;0.598;0.735;0.814;0.814;793;1.12e+03;0.294;0.45;0.00288;0.00407; 53920;11633;33950;52.2;57.5;45;0.598;0.735;0.813;0.813;885;1.21e+03;0.271;0.414;0.00322;0.00442; 51760;11278;34556;52;54.9;46;0.6;0.739;0.812;0.813;838;1.17e+03;0.284;0.377;0.00305;0.00426; 50240;12504;35784;51.8;56.1;44;2.84e+04;3.11e+04;2.99e+04; 27%; 29%; 28%;3.06e+04;2.96e+04;2.83e+04; 29%; 28%; 26%;3.06e+04;3.09e+04;3.15e+04; 29%; 29%; 29%;3.13e+04;2.96e+04;2.97e+04; 29%; 28%; 28%;100;0.0451;0;0;0;0;0;0;0;100;0.0421;0;0;0;0;0;0;0;100;0.0321;0;0;0;0;0;0;0;100;0.0405;0;0;0;0;0;0;0;436;429;442;432;133 ;136 ;139 ;125 ;
2018-01-19;20:54:05.782;0.768;0.95;0.809;0.81;1.95e+03;2.82e+03;0.307;0.294;0.00139;0.00201;124;115;1.41e+06;1.48e+06;1.14e+04;1.9;47.5;1.54;38.4;2.04e+05;99.9;0.0634;0;0;0;0;0;0;0;1.58e+03;422;0.77;0.952;0.809;0.81;459;677;0.323;0.314;0.0013;0.00192; 51520;4962;15235;31.2;28.8;44;0.772;0.955;0.809;0.81;423;642;0.341;0.318;0.0012;0.00182; 56960;4718;13513;30.9;29.7;45;0.765;0.946;0.809;0.81;555;768;0.278;0.258;0.00158;0.00219; 52800;5026;14440;31;27.5;46;0.765;0.945;0.809;0.81;517;733;0.294;0.287;0.00148;0.00209; 51360;5425;16069;31.1;28.5;44;1.49e+04;1.82e+04;1.69e+04; 14%; 17%; 16%;1.72e+04;1.64e+04;1.48e+04; 16%; 15%; 14%;1.71e+04;1.8e+04;1.89e+04; 16%; 17%; 18%;1.88e+04;1.64e+04;1.67e+04; 17%; 15%; 16%;99.9;0.0636;0;0;0;0;0;0;0;99.9;0.0694;0;0;0;0;0;0;0;99.9;0.0604;0;0;0;0;0;0;0;99.9;0.06;0;0;0;0;0;0;0;395;385;402;395;104 ;108 ;112 ;98.1 ;
2018-01-19;20:54:11.230;0.813;1;0.809;0.81;1.58e+03;2.26e+03;0.301;0.26;0.00106;0.00152;102;87.7;1.49e+06;1.48e+06;1.14e+04;2.01;50.2;1.63;40.7;1.65e+05;100;0.0104;0;0;0;0;0;0;0;1.57e+03;387;0.816;1.01;0.809;0.81;368;539;0.318;0.281;0.000987;0.00145; 51120;3496;10749;25.4;21.9;44;0.817;1.01;0.809;0.81;333;504;0.34;0.284;0.000891;0.00135; 55520;3307;9481;25.4;22.9;45;0.812;1;0.809;0.81;451;618;0.271;0.234;0.00121;0.00166; 51760;3633;10081;25.6;21;47;0.809;1;0.809;0.81;430;599;0.283;0.246;0.00116;0.00162; 50880;3886;11701;25.7;21.8;44;1.18e+04;1.48e+04;1.37e+04; 11%; 14%; 13%;1.38e+04;1.33e+04;1.18e+04; 13%; 12%; 11%;1.37e+04;1.47e+04;1.55e+04; 13%; 14%; 14%;1.55e+04;1.32e+04;1.36e+04; 14%; 12%; 13%;100;0.00993;0;0;0;0;0;0;0;100;0.00924;0;0;0;0;0;0;0;100;0.0126;0;0;0;0;0;0;0;100;0.00961;0;0;0;0;0;0;0;393;384;400;394;95.1 ;99.3 ;103 ;89.7 ;
2018-01-19;20:54:16.666;0.825;1.02;0.809;0.81;1.47e+03;2.09e+03;0.294;0.253;0.000979;0.00139;95.8;79.9;1.51e+06;1.48e+06;1.14e+04;2.04;50.9;1.65;41.2;1.54e+05;100;0.0034;0;0;0;0;0;0;0;1.57e+03;375;0.828;1.02;0.81;0.81;343;498;0.312;0.274;0.000908;0.00132; 50560;3156;9723;23.8;19.9;44;0.828;1.02;0.809;0.81;310;465;0.334;0.272;0.00082;0.00123; 54640;3064;8698;23.8;20.9;45;0.823;1.02;0.809;0.81;419;571;0.265;0.229;0.00112;0.00152; 52080;3337;9150;24;19.2;47;0.821;1.01;0.809;0.81;402;554;0.275;0.239;0.00107;0.00148; 50720;3504;10700;24.2;19.9;44;1.09e+04;1.37e+04;1.27e+04; 10%; 13%; 12%;1.28e+04;1.24e+04;1.1e+04; 12%; 11%; 10%;1.27e+04;1.37e+04;1.45e+04; 12%; 13%; 13%;1.45e+04;1.23e+04;1.27e+04; 13%; 11%; 12%;100;0.00283;0;0;0;0;0;0;0;100;0.00428;0;0;0;0;0;0;0;100;0.00307;0;0;0;0;0;0;0;100;0.00344;0;0;0;0;0;0;0;392;382;399;393;92.4 ;96.5 ;100 ;86.5 ;
2018-01-19;20:54:22.102;0.829;1.02;0.81;0.81;1.44e+03;2.03e+03;0.291;0.252;0.000948;0.00134;93;76.9;1.51e+06;1.48e+06;1.14e+04;2.05;51.2;1.66;41.4;1.5e+05;100;0.000577;0;0;0;0;0;0;0;1.57e+03;371;0.832;1.03;0.81;0.81;333;482;0.309;0.271;0.000878;0.00127; 52240;3064;9364;23;19.1;44;0.832;1.03;0.81;0.81;301;450;0.331;0.274;0.000792;0.00118; 54960;2955;8495;23.1;20.1;45;0.827;1.02;0.81;0.81;409;555;0.263;0.231;0.00108;0.00147; 55760;3265;8932;23.3;18.5;47;0.825;1.02;0.81;0.81;393;539;0.272;0.239;0.00104;0.00143; 52800;3482;10399;23.5;19.1;44;1.06e+04;1.34e+04;1.23e+04; 10%; 12%; 11%;1.24e+04;1.2e+04;1.06e+04; 11%; 11%; 10%;1.24e+04;1.33e+04;1.42e+04; 11%; 12%; 13%;1.41e+04;1.2e+04;1.23e+04; 13%; 11%; 11%;100;0.000544;0;0;0;0;0;0;0;100;0.000589;0;0;0;0;0;0;0;100;0.000553;0;0;0;0;0;0;0;100;0.000621;0;0;0;0;0;0;0;392;382;399;393;91.2 ;95.1 ;99 ;85.3 ;
2018-01-19;20:54:27.582;0.831;1.03;0.81;0.81;1.43e+03;2.01e+03;0.289;0.252;0.000936;0.00132;92.7;76.4;1.52e+06;1.49e+06;1.15e+04;2.05;51.3;1.66;41.5;1.49e+05;100;0.000592;0;0;0;0;0;0;0;1.58e+03;372;0.834;1.03;0.81;0.81;331;477;0.307;0.269;0.000865;0.00125; 51520;3021;9335;23;19;44;0.833;1.03;0.81;0.81;299;446;0.329;0.274;0.000781;0.00116; 57600;2905;8387;23;20;45;0.829;1.02;0.81;0.81;406;550;0.261;0.232;0.00107;0.00145; 51680;3267;8904;23.3;18.4;47;0.827;1.02;0.81;0.81;390;534;0.269;0.236;0.00103;0.00141; 49680;3476;10292;23.5;19;44;1.06e+04;1.33e+04;1.23e+04; 10%; 12%; 11%;1.24e+04;1.2e+04;1.05e+04; 11%; 11%; 10%;1.23e+04;1.32e+04;1.41e+04; 11%; 12%; 13%;1.41e+04;1.19e+04;1.22e+04; 13%; 11%; 11%;100;0.000624;0;0;0;0;0;0;0;100;0.000601;0;0;0;0;0;0;0;100;0.000518;0;0;0;0;0;0;0;100;0.000623;0;0;0;0;0;0;0;395;385;402;396;91.6 ;95.5 ;99.5 ;85.6 ;
2018-01-19;20:54:33.010;0.831;1.03;0.81;0.81;1.41e+03;1.99e+03;0.288;0.252;0.000929;0.00131;91.3;75;1.52e+06;1.48e+06;1.15e+04;2.05;51.4;1.66;41.6;1.47e+05;100;0.000606;0;0;0;0;0;0;0;1.56e+03;368;0.834;1.03;0.81;0.81;330;475;0.306;0.267;0.000863;0.00124; 52640;3064;9367;22.6;18.6;44;0.834;1.03;0.81;0.81;296;440;0.328;0.277;0.000775;0.00115; 52880;2878;8402;22.7;19.6;45;0.83;1.02;0.81;0.81;402;543;0.26;0.233;0.00106;0.00143; 52800;3224;8875;22.9;18.1;47;0.828;1.02;0.81;0.81;387;528;0.268;0.237;0.00102;0.00139; 50080;3395;10227;23.1;18.7;44;1.04e+04;1.31e+04;1.21e+04;  9%; 12%; 11%;1.22e+04;1.18e+04;1.04e+04; 11%; 11%;  9%;1.21e+04;1.3e+04;1.39e+04; 11%; 12%; 13%;1.38e+04;1.17e+04;1.2e+04; 13%; 11%; 11%;100;0.000471;0;0;0;0;0;0;0;100;0.000645;0;0;0;0;0;0;0;100;0.000554;0;0;0;0;0;0;0;100;0.000755;0;0;0;0;0;0;0;391;382;398;392;90.3 ;94.5 ;98.1 ;84.6 ;
