System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-19;13:49:55.070;0.0115;1.89;0.00609;1.25;15.7;37.7;0.583;0.603;0.00081;0.00194;1.93;2.71;1.94e+04;1.03e+04;1.05e+04;3.79;94.7;0.0231;0.577;3.75e+03;0.488;73.5;0.0333;26;0;8.93;0;0;0;1.38e+03;203;0.00441;1.66;0.00265;1.21;0.812;5.41;0.85;0.421;0.000438;0.00292; 24800;105;15;0.532;0.769;48;5.36e-05;0.415;0.000129;1.15;0.0867;0.222;0.61;0.234;0.00384;0.00985;  3680;1;7;0.453;0.698;49;8.16e-05;0.767;0.000106;1.19;0.0549;0.215;0.745;0.16;0.0016;0.00627;  4880;1;5;0.473;0.726;49;0.0416;1.94;0.0215;1.25;14.8;31.9;0.537;0.626;0.000844;0.00182; 52480;578;1407;0.466;0.517;48;338;337;769;  0%;  0%;  0%;70.9;458;114;  0%;  0%;  0%;70.6;113;481;  0%;  0%;  0%;315;289;391;  0%;  0%;  0%;0.219;47.9;0.109;51.8;0;0.299;0;0;0;0.0113;81.7;0.00796;18.3;0;17.5;0;0;0;0.00895;81.9;0;18.1;0;17.9;0;0;0;1.71;82.5;0.0163;15.8;0;0;0;0;0;314;347;366;357;51.5 ;50.7 ;50.5 ;50.1 ;
2018-01-19;13:50:00.078;0.00927;2;0.00462;1.25;13.1;29.3;0.553;0.605;0.00084;0.00188;1.46;2;1.56e+04;7.78e+03;1.05e+04;4.01;100;0.0185;0.464;2.79e+03;0.371;73.2;0.0365;26.4;0;0.612;0;0;0;1.39e+03;202;0.000636;0.678;0.000938;1.22;0.313;3.48;0.91;0.124;0.00117;0.013; 25440;16;3;0.397;0.568;48;2.87e-05;0.37;7.77e-05;1.25;0.0462;0.13;0.644;0.0928;0.00383;0.0107;  3680;0;2;0.356;0.546;48;2.58e-05;0.353;7.32e-05;1.24;0.0446;0.114;0.609;0.0956;0.00411;0.0105;  5200;0;6;0.354;0.546;48;0.0364;2.09;0.0174;1.25;12.7;25.6;0.503;0.635;0.000829;0.00167; 51360;286;922;0.356;0.339;47;302;301;627;  0%;  0%;  0%;60.2;369;89.4;  0%;  0%;  0%;60.1;88.9;368;  0%;  0%;  0%;154;152;218;  0%;  0%;  0%;0.0769;40.7;0.0147;59.2;0;0;0;0;0;0.00623;83.7;0;16.3;0;0;0;0;0;0.0059;84.9;0;15.1;0;0;0;0;0;1.4;83.5;0.131;15;0;2.45;0;0;0;307;353;374;357;50.9 ;51.5 ;51.3 ;48.7 ;
2018-01-19;13:50:05.085;0.0084;1.98;0.00425;0.811;12.5;27.9;0.551;0.593;0.000885;0.00197;1.48;1.85;1.41e+04;7.15e+03;1.05e+04;3.95;98.8;0.0168;0.42;2.65e+03;0.524;69;0.0129;30.4;0;4.11;0;0;0;751;159;0.000552;0.564;0.000979;0.801;0.383;3.77;0.898;0.107;0.00165;0.0162; 27200;17;9;0.405;0.536;50;7.33e-05;0.525;0.00014;0.831;0.105;0.228;0.539;0.453;0.00341;0.00739;  8800;3;11;0.354;0.497;50;0.000165;0.866;0.000191;0.898;0.1;0.295;0.66;0.323;0.00144;0.00425;  7600;2;8;0.357;0.496;52;0.0328;2.09;0.0157;0.81;11.9;23.6;0.494;0.628;0.000864;0.00171; 51360;267;809;0.363;0.318;49;273;272;570;  0%;  0%;  0%;56;333;111;  0%;  0%;  0%;56.3;112;335;  0%;  0%;  0%;143;145;239;  0%;  0%;  0%;0.122;29.8;0.0512;70.1;0;0;0;0;0;0.0168;82;0;18;0;7.56;0;0;0;0.0212;82.9;0;17.1;0;7.54;0;0;0;1.94;81.4;0.000291;16.7;0;1.33;0;0;0;168;188;194;202;40.3 ;39.8 ;40.7 ;38.6 ;
2018-01-19;13:50:10.101;0.0083;1.95;0.00427;0.809;12.3;27.2;0.55;0.61;0.000877;0.00195;1.46;1.83;1.4e+04;7.19e+03;1.05e+04;3.89;97.3;0.0166;0.415;2.6e+03;0.527;77.6;0.029;21.8;0;0.469;0;0;0;755;157;0.000548;0.489;0.00112;0.808;0.409;3.67;0.889;0.111;0.00177;0.0159; 25360;3;7;0.385;0.517;49;3.54e-05;0.341;0.000104;0.807;0.0549;0.139;0.606;0.118;0.00369;0.00935;  9120;0;9;0.353;0.497;50;3.1e-05;0.312;9.94e-05;0.804;0.0498;0.132;0.623;0.108;0.00381;0.0101;  7680;0;2;0.357;0.499;53;0.0326;2.07;0.0157;0.81;11.7;23.3;0.495;0.644;0.000856;0.0017; 51280;264;800;0.366;0.321;49;269;269;566;  0%;  0%;  0%;54.4;330;107;  0%;  0%;  0%;54.5;107;333;  0%;  0%;  0%;142;141;228;  0%;  0%;  0%;0.139;29.7;0.112;70.1;0;0.562;0;0;0;0.0129;94.6;0;5.43;0;0.636;0;0;0;0.0124;96.3;0;3.66;0;0.679;0;0;0;1.94;90;0.00393;8.05;0;0;0;0;0;164;191;197;203;39.5 ;39.8 ;40.9 ;36.9 ;
2018-01-19;13:50:15.113;0.00823;1.94;0.00423;0.808;12;28.3;0.577;0.581;0.000863;0.00204;1.43;1.84;1.39e+04;7.13e+03;1.05e+04;3.89;97.2;0.0165;0.412;2.57e+03;0.524;71.6;0.0251;27.9;0;5.36;0.0223;0.932;0;742;156;0.000675;0.565;0.00119;0.802;0.328;4.29;0.923;0.108;0.00116;0.0151; 26800;2;3;0.382;0.524;50;3.21e-05;0.324;9.91e-05;0.809;0.0501;0.134;0.625;0.086;0.0037;0.00986;  9120;2;4;0.348;0.492;50;8.27e-05;0.664;0.000124;0.804;0.0504;0.212;0.762;0.153;0.00145;0.00608;  7360;0;5;0.345;0.507;52;0.0321;2.07;0.0155;0.809;11.5;23.6;0.512;0.62;0.000853;0.00175; 51440;262;795;0.356;0.315;50;265;262;558;  0%;  0%;  0%;51.3;327;106;  0%;  0%;  0%;51.1;103;325;  0%;  0%;  0%;144;145;229;  0%;  0%;  0%;0.149;24.4;0.0756;75.4;0;5.36;0;0.954;0;0.0123;87.1;0;12.9;0;6.37;0;0.944;0;0.0155;88.1;0;11.9;0;6.33;0;0.953;0;1.92;86.7;0.0248;11.4;0;3.39;0.089;0.877;0;161;187;193;200;39.3 ;39.7 ;40.5 ;36.8 ;
2018-01-19;13:50:20.123;0.00958;1.98;0.00484;0.81;14.1;31.1;0.546;0.618;0.000873;0.00193;1.53;2.14;1.61e+04;8.16e+03;1.05e+04;3.96;98.9;0.0192;0.479;2.87e+03;0.598;68.2;0.302;30.9;0;0;0;0;0;747;161;0.0382;2.01;0.019;0.81;13.9;30.6;0.546;0.621;0.000863;0.0019; 51760;327;970;0.368;0.374;50;3.32e-05;0.335;9.94e-05;0.81;0.0604;0.146;0.587;0.12;0.00432;0.0105;  9680;0;2;0.375;0.578;51;7.15e-05;0.506;0.000141;0.81;0.0885;0.209;0.576;0.29;0.00294;0.00693; 11440;4;10;0.385;0.592;52;3.26e-05;0.297;0.00011;0.81;0.0772;0.16;0.517;0.109;0.00563;0.0117; 40960;0;10;0.399;0.599;50;409;417;423;  0%;  0%;  0%;60.3;61.4;406;  0%;  0%;  0%;60.4;419;62.5;  0%;  0%;  0%;62.1;61;431;  0%;  0%;  0%;2.35;14;1.14;82.5;0;0;0;0;0;0.0123;87.5;0;12.5;0;0;0;0;0;0.0174;83.6;0.000125;16.4;0;0;0;0;0;0.0136;87.8;0.0737;12.1;0;0;0;0;0;170;189;194;195;40 ;41 ;42 ;38.2 ;
2018-01-19;13:50:25.135;0.00999;1.98;0.00504;0.81;14.6;32.2;0.545;0.613;0.00087;0.00191;1.57;2.18;1.68e+04;8.49e+03;1.05e+04;3.97;99.1;0.02;0.5;2.98e+03;0.623;65.1;0.123;34.1;0;0;0;0;0;739;162;0.0398;2.01;0.0198;0.81;14.5;31.7;0.542;0.617;0.000864;0.00189; 48800;349;1033;0.379;0.368;50;3.17e-05;0.328;9.65e-05;0.81;0.0496;0.141;0.648;0.111;0.00372;0.0106; 10000;0;6;0.389;0.599;51;9e-05;0.69;0.00013;0.81;0.0553;0.23;0.76;0.185;0.00146;0.00607; 11840;2;8;0.396;0.605;52;2.91e-05;0.292;9.95e-05;0.81;0.0484;0.128;0.622;0.108;0.00396;0.0105; 41040;0;4;0.408;0.61;50;428;435;435;  0%;  0%;  0%;63.4;64.4;426;  0%;  0%;  0%;63.2;431;65.2;  0%;  0%;  0%;64.6;64;438;  0%;  0%;  0%;2.45;17.8;0.489;79.2;0;0;0;0;0;0.0119;81;0.000558;19;0;0;0;0;0;0.0161;82;0;18;0;0;0;0;0;0.0123;79.7;0.00055;20.3;0;0;0;0;0;172;186;193;190;40.1 ;41.4 ;42.3 ;38.5 ;
2018-01-19;13:50:30.150;0.00963;1.94;0.00496;0.809;14;32.6;0.571;0.611;0.000861;0.00201;1.53;2.09;1.62e+04;8.36e+03;1.05e+04;3.88;97;0.0193;0.481;2.92e+03;0.613;62;0.204;37.2;0;0.558;0;0;0;731;161;0.0383;1.97;0.0194;0.81;13.7;32;0.571;0.615;0.000849;0.00198; 49840;315;916;0.377;0.36;50;3.23e-05;0.271;0.000119;0.806;0.0511;0.151;0.662;0.102;0.00375;0.0111;  9840;0;3;0.378;0.577;51;3.23e-05;0.282;0.000114;0.809;0.05;0.141;0.645;0.153;0.00367;0.0103; 12320;0;3;0.379;0.573;53;0.000121;0.614;0.000197;0.809;0.147;0.311;0.528;0.298;0.00288;0.0061; 45600;6;8;0.398;0.581;50;414;415;425;  0%;  0%;  0%;62.1;65.5;420;  0%;  0%;  0%;61.8;426;66.8;  0%;  0%;  0%;64.7;63.9;433;  0%;  0%;  0%;2.4;14.2;0.814;82.6;0;0;0;0;0;0.0148;77.8;0;22.2;0;0.706;0;0;0;0.0141;84.6;0.000333;15.4;0;0.745;0;0;0;0.0243;71.5;0.00231;28.5;0;0.779;0;0;0;169;184;194;184;39.9 ;41 ;42 ;38 ;
2018-01-19;13:50:35.165;0.00855;1.91;0.00448;0.809;12.6;29.1;0.569;0.608;0.000871;0.00202;1.45;1.87;1.44e+04;7.55e+03;1.05e+04;3.82;95.4;0.0171;0.428;2.64e+03;0.554;62.7;0.166;36.6;0;4.53;0.0216;0.0212;0;726;158;0.034;1.95;0.0174;0.809;12.3;28.3;0.567;0.613;0.000858;0.00198; 52160;282;833;0.362;0.326;50;3.4e-05;0.299;0.000114;0.783;0.0515;0.152;0.66;0.131;0.00359;0.0106; 10400;1;1;0.353;0.511;51;8.09e-05;0.644;0.000126;0.809;0.0466;0.21;0.778;0.15;0.00137;0.00616; 12240;0;6;0.356;0.512;52;0.000125;0.485;0.000257;0.768;0.168;0.381;0.56;0.203;0.0032;0.00726; 46080;4;7;0.375;0.523;50;365;367;380;  0%;  0%;  0%;55.5;58.2;385;  0%;  0%;  0%;55.3;391;58.7;  0%;  0%;  0%;57.5;57.3;406;  0%;  0%;  0%;2.15;14.8;0.635;82.4;0;0.458;0.0425;0;0;0.0145;78.5;0;21.5;0;6.18;0;0.0422;0;0.0155;83.5;0;16.5;0;6.38;0;0.0425;0;0.0335;74;0.0294;25.9;0;5.12;0.044;0;0;167;182;192;185;39.3 ;40.1 ;41.1 ;37.3 ;
2018-01-19;13:50:40.184;0.00512;1.75;0.00292;0.81;8.25;19;0.565;0.565;0.000956;0.0022;1.45;1.29;8.63e+03;4.93e+03;1.05e+04;3.5;87.6;0.0102;0.256;1.95e+03;0.361;64.8;0.208;34.6;0;0;0;0;0;704;146;0.0198;1.86;0.0106;0.81;7.55;17.3;0.563;0.582;0.000906;0.00207; 51120;186;534;0.37;0.238;51;3.24e-05;0.294;0.00011;0.81;0.0491;0.141;0.652;0.11;0.0036;0.0104; 10320;0;6;0.35;0.347;51;3.26e-05;0.299;0.000109;0.81;0.0501;0.138;0.638;0.137;0.00365;0.0101; 12400;0;11;0.352;0.35;53;0.000637;0.76;0.000839;0.81;0.605;1.43;0.578;0.29;0.00225;0.00533; 50240;10;22;0.378;0.352;50;225;225;266;  0%;  0%;  0%;30.4;38.1;330;  0%;  0%;  0%;30.1;332;38.1;  0%;  0%;  0%;34.5;34.7;364;  0%;  0%;  0%;1.31;16.8;0.239;81.6;0;0;0;0;0;0.0136;85.6;0;14.4;0;0;0;0;0;0.0135;82.1;0;17.9;0;0;0;0;0;0.104;74.6;0.595;24.7;0;0;0;0;0;158;181;185;180;37.2 ;37 ;37.7 ;34.5 ;
2018-01-19;13:50:45.196;0.00948;1.94;0.00488;0.81;13.6;31.4;0.568;0.62;0.00085;0.00197;1.46;2.09;1.6e+04;8.22e+03;1.05e+04;3.88;97.1;0.019;0.474;2.79e+03;0.603;61.4;0.038;38;0;0;0;0;0;732;160;0.0378;1.97;0.0192;0.81;13.4;30.9;0.566;0.623;0.000844;0.00194; 51520;313;893;0.359;0.35;50;3.23e-05;0.296;0.000109;0.81;0.049;0.142;0.654;0.104;0.00361;0.0104; 10000;0;9;0.36;0.572;51;8.55e-05;0.626;0.000137;0.81;0.0536;0.225;0.762;0.173;0.00149;0.00625; 12320;1;7;0.363;0.584;53;3.73e-05;0.291;0.000129;0.81;0.0531;0.156;0.659;0.159;0.00338;0.00991; 50320;1;5;0.382;0.586;50;402;405;411;  0%;  0%;  0%;57.6;60.2;401;  0%;  0%;  0%;57.3;405;59.7;  0%;  0%;  0%;59.1;59.9;416;  0%;  0%;  0%;2.37;20.5;0.152;77;0;0;0;0;0;0.0135;75.9;0;24;0;0;0;0;0;0.0169;77;0;23;0;0;0;0;0;0.0159;72.2;0.000224;27.8;0;0;0;0;0;173;183;190;186;39.7 ;40.8 ;41.8 ;38.1 ;
