System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-20;14:40:04.201;0.0301;0.288;0.104;1.25;156;188;0.17;0.159;0.00291;0.0035;8.75;6.56;5.37e+04;1.86e+05;1.16e+04;0.576;14.4;0.0601;1.5;1.31e+04;8.35;8.38;0.299;83;0;18.5;0;0;0;1.19e+03;210;0.0296;0.275;0.108;1.24;28.7;37;0.224;0.164;0.00214;0.00275; 50800;509;1267;2.21;1.76;40;0.0288;0.258;0.112;1.24;29.8;34.4;0.135;0.165;0.0023;0.00265; 37520;462;1418;2.14;1.69;40;0.0245;0.267;0.0918;1.24;25.6;29.6;0.135;0.16;0.00236;0.00272; 40960;381;1186;2.19;1.74;41;0.0375;0.353;0.106;1.29;71.9;86.8;0.172;0.154;0.00439;0.0053; 51600;1353;4231;2.21;1.37;38;651;654;1.57e+03;  0%;  0%;  1%;653;1.58e+03;890;  0%;  1%;  0%;662;895;1.56e+03;  0%;  0%;  1%;1.24e+03;1.26e+03;1.48e+03;  1%;  1%;  1%;8.69;10.2;1.13;79.9;0;7.69;0;0;0;9.03;4.97;0.00181;86;0;52.2;0;0;0;7.42;12.4;0.00228;80.2;0;13.7;0;0;0;8.24;5.88;0.0393;85.8;0;0;0;0;0;296;283;318;298;53.3 ;49.7 ;55 ;52.4 ;
2018-01-20;14:40:09.466;0.69;0.804;0.858;1.24;1.86e+03;1.99e+03;0.0679;0.953;0.00157;0.00169;149;36.7;1.18e+06;1.47e+06;1.05e+04;1.61;40.2;1.38;34.5;2.13e+05;69.3;3.04;0.137;27.5;0;10.2;0;0;0;2.37e+03;336;0.709;0.824;0.86;1.24;451;484;0.0689;0.955;0.0015;0.00161; 50320;8546;25172;39;9.29;34;0.659;0.797;0.827;1.24;456;488;0.0673;0.953;0.00162;0.00174; 47440;8468;25420;37;9.08;34;0.685;0.797;0.859;1.24;467;500;0.0666;0.952;0.00159;0.00171; 55440;8191;26945;36.4;9.11;35;0.707;0.798;0.886;1.24;482;517;0.0686;0.95;0.00158;0.0017; 47120;8527;27176;36.9;9.17;33;1.8e+04;1.81e+04;1.87e+04; 18%; 18%; 19%;1.77e+04;1.74e+04;1.75e+04; 18%; 17%; 17%;1.75e+04;1.84e+04;1.7e+04; 17%; 18%; 17%;1.74e+04;1.69e+04;1.86e+04; 17%; 17%; 19%;69.5;2.65;0.508;27.3;0;7.07;0;0;0;66.8;2.71;0.0121;30.5;0;17.1;0;0;0;69.5;5.3;0.0136;25.2;0;2.26;0;0;0;71.5;1.48;0.0191;27;0;14.5;0;0;0;591;580;613;583;84.6 ;84.2 ;88 ;78.9 ;
2018-01-20;14:40:14.854;1.23;1.02;1.2;1.21;1.98e+03;2.08e+03;0.0481;0.985;0.000905;0.000951;159;195;2.19e+06;2.14e+06;1.11e+04;2.05;51.2;2.46;61.5;2.87e+05;99.4;0.598;0;0;0;0;0;0;0;3.04e+03;482;1.29;1.09;1.19;1.2;239;257;0.0691;0.993;0.000416;0.000447; 51840;6220;18177;41;52.6;30;1.23;1.02;1.21;1.22;554;587;0.0575;0.983;0.00101;0.00108; 52320;18463;55369;39.2;47.6;29;1.16;0.973;1.2;1.2;621;646;0.0392;0.981;0.0012;0.00125; 49120;21586;65733;39;46.5;33;1.23;1.02;1.21;1.22;569;593;0.0394;0.982;0.00103;0.00107; 28000;19670;58475;39.9;47.9;30;1.82e+04;2.01e+04;1.87e+04; 17%; 19%; 18%;2.9e+04;2.7e+04;1.89e+04; 28%; 26%; 18%;2.91e+04;2.1e+04;2.93e+04; 28%; 20%; 28%;2.93e+04;2.69e+04;1.91e+04; 28%; 26%; 18%;99.5;0.482;0;0;0;0;0;0;0;99.2;0.804;0;0;0;0;0;0;0;99.7;0.298;0;0;0;0;0;0;0;99.2;0.806;0;0;0;0;0;0;0;760;761;759;761;121 ;122 ;126 ;114 ;
2018-01-20;14:40:20.266;1.35;1.13;1.2;1.21;1.16e+03;1.22e+03;0.0448;0.992;0.000474;0.000496;80.7;72.9;2.45e+06;2.18e+06;1.14e+04;2.25;56.3;2.7;67.5;1.33e+05;99.4;0.644;0;0;0;0;0;0;0;3.03e+03;362;1.39;1.17;1.19;1.19;72;77.8;0.0749;0.998;0.000114;0.000123; 52080;1963;5238;20.7;20.4;30;1.36;1.13;1.21;1.22;397;417;0.048;0.989;0.000643;0.000676; 55600;9727;29183;20.2;16.6;29;1.3;1.09;1.19;1.2;411;423;0.0279;0.988;0.000697;0.000717; 60400;10261;30974;20;17;33;1.36;1.12;1.21;1.22;284;300;0.0563;0.991;0.00046;0.000488; 40160;6746;20419;19.9;19;29;1.08e+04;1.09e+04;8.4e+03; 10%; 10%;  8%;1.5e+04;1.27e+04;8.99e+03; 14%; 12%;  8%;1.44e+04;8.52e+03;1.23e+04; 13%;  8%; 11%;1.23e+04;1.22e+04;6.07e+03; 11%; 11%;  5%;99.8;0.15;0;0;0;0;0;0;0;99.1;0.948;0;0;0;0;0;0;0;99.5;0.55;0;0;0;0;0;0;0;99.1;0.926;0;0;0;0;0;0;0;757;757;757;757;90.1 ;91.5 ;96.6 ;84.1 ;
2018-01-20;14:40:25.626;1.38;1.16;1.2;1.2;663;719;0.0773;0.995;0.000265;0.000287;48.2;37.5;2.5e+06;2.16e+06;1.13e+04;2.31;57.8;2.77;69.2;7.48e+04;99.4;0.608;0;0;0;0;0;0;0;3e+03;306;1.39;1.17;1.19;1.19;43.8;55.9;0.216;0.999;6.96e-05;8.88e-05; 51200;1435;3554;12.5;10.5;29;1.39;1.15;1.2;1.22;257;271;0.0504;0.993;0.000409;0.000431; 60960;6079;18471;11.9;8.25;29;1.33;1.11;1.19;1.2;262;279;0.063;0.992;0.000436;0.000465; 52240;5929;18049;11.7;8.85;33;1.43;1.19;1.2;1.21;101;113;0.108;0.997;0.000156;0.000175; 49760;2721;7946;12.2;9.87;29;6.87e+03;6.74e+03;3.86e+03;  6%;  6%;  3%;9.07e+03;6.27e+03;5.38e+03;  8%;  6%;  5%;8.38e+03;4.63e+03;5.52e+03;  8%;  4%;  5%;7.23e+03;7.36e+03;3.47e+03;  6%;  7%;  3%;99.9;0.0797;0;0;0;0;0;0;0;99.1;0.947;0;0;0;0;0;0;0;99.4;0.57;0;0;0;0;0;0;0;99.2;0.836;0;0;0;0;0;0;0;750;750;750;750;75.7 ;77.1 ;81.9 ;71.8 ;
2018-01-20;14:40:31.374;1.42;1.19;1.19;1.2;386;430;0.102;0.997;0.000144;0.00016;28.9;23.1;2.69e+06;2.27e+06;1.13e+04;2.37;59.3;2.83;70.8;4.57e+04;99.5;0.482;0;0;0;0;0;0;0;3.22e+03;290;1.4;1.18;1.19;1.19;29.6;35.2;0.157;0.999;4.51e-05;5.35e-05; 49680;893;2003;7.44;6.41;29;1.41;1.17;1.2;1.21;199;214;0.0721;0.994;0.0003;0.000323; 48320;4400;13608;7.1;4.54;28;1.4;1.18;1.19;1.19;97.3;111;0.12;0.997;0.000146;0.000166; 33760;2383;7121;7.04;5.8;33;1.45;1.21;1.2;1.2;59.9;69.7;0.14;0.998;8.59e-05;9.99e-05; 53200;1525;4490;7.35;6.34;28;5.21e+03;2.93e+03;2.19e+03;  4%;  2%;  2%;5.13e+03;4.46e+03;3.86e+03;  4%;  4%;  3%;5.85e+03;2.41e+03;2.93e+03;  5%;  2%;  2%;3.23e+03;5.57e+03;1.98e+03;  2%;  5%;  1%;99.9;0.0639;0;0;0;0;0;0;0;99;0.957;0;0;0;0;0;0;0;99.9;0.124;0;0;0;0;0;0;0;99.2;0.779;0;0;0;0;0;0;0;804;804;804;804;72.2 ;72.7 ;76.9 ;68.5 ;
2018-01-20;14:40:36.786;1.42;1.19;1.19;1.2;196;222;0.115;0.999;7.51e-05;8.5e-05;12.4;10.2;2.61e+06;2.19e+06;1.21e+04;2.38;59.5;2.83;70.8;1.93e+04;99.5;0.485;0;0;0;0;0;0;0;3.03e+03;245;1.41;1.18;1.19;1.19;9.32;13.6;0.315;1;1.42e-05;2.07e-05; 51840;366;641;3.13;2.78;29;1.42;1.19;1.2;1.21;124;133;0.0721;0.997;0.000188;0.000202; 51920;2919;8923;3.02;1.8;28;1.42;1.2;1.18;1.19;56.5;65.3;0.134;0.998;8.7e-05;0.000101; 54000;1328;4102;3.04;2.63;33;1.42;1.19;1.19;1.2;6.62;9.54;0.307;1;1.02e-05;1.48e-05; 45760;146;529;3.19;2.94;28;2.42e+03;1.32e+03;589;  2%;  1%;  0%;2.54e+03;1.73e+03;1.78e+03;  2%;  1%;  1%;2.75e+03;908;922;  2%;  0%;  0%;1.36e+03;2.39e+03;607;  1%;  2%;  0%;100;0.0365;0;0;0;0;0;0;0;99.1;0.911;0;0;0;0;0;0;0;99.7;0.33;0;0;0;0;0;0;0;99.3;0.666;0;0;0;0;0;0;0;757;757;757;757;60.7 ;61.1 ;63.8 ;59 ;
2018-01-20;14:40:42.138;1.42;1.19;1.19;1.2;78.6;92.9;0.155;0.999;3.07e-05;3.63e-05;5.6;3.9;2.56e+06;2.15e+06;1.13e+04;2.38;59.5;2.83;70.8;8e+03;99.5;0.521;0;0;0;0;0;0;0;3e+03;227;1.4;1.18;1.19;1.19;6.8;9.74;0.302;1;1.07e-05;1.53e-05; 44080;287;474;1.41;1.09;29;1.43;1.19;1.2;1.21;59.2;64.6;0.0845;0.998;9.16e-05;0.0001; 51280;1272;3691;1.36;0.613;28;1.41;1.2;1.18;1.18;12.2;15.7;0.227;1;1.9e-05;2.46e-05; 49920;266;880;1.4;1.09;33;1.42;1.19;1.19;1.2;0.457;2.86;0.84;1;7.15e-07;4.47e-06; 49600;7;107;1.42;1.11;28;1.27e+03;408;239;  1%;  0%;  0%;835;626;738;  0%;  0%;  0%;1.32e+03;361;279;  1%;  0%;  0%;390;1.22e+03;309;  0%;  1%;  0%;99.9;0.061;0;0;0;0;0;0;0;99.1;0.867;0;0;0;0;0;0;0;99.5;0.484;0;0;0;0;0;0;0;99.3;0.675;0;0;0;0;0;0;0;749;749;749;749;56.4 ;57.2 ;58.3 ;55 ;
2018-01-20;14:40:47.478;1.41;1.19;1.19;1.2;51.3;70.7;0.275;1;2.02e-05;2.79e-05;4;2.86;2.53e+06;2.13e+06;1.12e+04;2.37;59.3;2.82;70.5;5.64e+03;99.5;0.523;0;0;0;0;0;0;0;2.99e+03;224;1.4;1.18;1.19;1.19;0.284;2.68;0.894;1;4.52e-07;4.25e-06; 45040;134;0;1.03;0.803;29;1.42;1.18;1.2;1.21;50.4;62.9;0.199;0.998;7.94e-05;9.9e-05; 52560;1179;3497;0.937;0.441;28;1.4;1.19;1.18;1.18;0.256;2.33;0.89;1;4.06e-07;3.7e-06; 51200;1;110;1.02;0.811;33;1.42;1.19;1.19;1.2;0.309;2.78;0.889;1;4.86e-07;4.37e-06; 50000;0;97;1.02;0.802;28;1.03e+03;146;149;  0%;  0%;  0%;568;557;557;  0%;  0%;  0%;1.04e+03;143;144;  1%;  0%;  0%;144;1.02e+03;147;  0%;  0%;  0%;100;0.0349;0;0;0;0;0;0;0;99.2;0.843;0;0;0;0;0;0;0;99.4;0.568;0;0;0;0;0;0;0;99.4;0.645;0;0;0;0;0;0;0;747;747;747;747;55.7 ;56.3 ;57.3 ;54.5 ;
2018-01-20;14:40:52.822;1.41;1.19;1.19;1.2;35.2;49.5;0.288;1;1.39e-05;1.95e-05;2.99;2.44;2.53e+06;2.13e+06;1.12e+04;2.38;59.4;2.82;70.6;3.84e+03;99.5;0.52;0;0;0;0;0;0;0;2.99e+03;222;1.4;1.18;1.19;1.19;0.328;2.71;0.879;1;5.2e-07;4.3e-06; 45520;128;0;0.791;0.667;29;1.42;1.19;1.2;1.21;34.2;41.7;0.178;0.999;5.36e-05;6.52e-05; 53360;861;2528;0.662;0.35;28;1.4;1.19;1.18;1.18;0.249;2.32;0.893;1;3.95e-07;3.68e-06; 45840;0;102;0.754;0.734;33;1.42;1.19;1.19;1.2;0.383;2.78;0.862;1;6.02e-07;4.36e-06; 50320;1;109;0.781;0.689;28;708;84.2;99.1;  0%;  0%;  0%;391;410;406;  0%;  0%;  0%;694;81;80.9;  0%;  0%;  0%;80.4;709;97;  0%;  0%;  0%;100;0.0386;0;0;0;0;0;0;0;99.2;0.829;0;0;0;0;0;0;0;99.5;0.549;0;0;0;0;0;0;0;99.3;0.663;0;0;0;0;0;0;0;748;748;748;748;55.4 ;55.8 ;57.1 ;54.2 ;
