System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-20;16:20:23.738;1.42;1.19;1.19;1.2;9.16;20.6;0.555;1;3.58e-06;8.05e-06;1.08;0.763;2.56e+06;2.14e+06;1.13e+04;2.39;59.7;2.84;71;1.04e+03;99.4;0.627;0;0;0;0;0;0;0;3.01e+03;220;1.43;1.2;1.2;1.21;0.31;2.86;0.892;1;4.82e-07;4.45e-06; 45520;299;4;0.291;0.191;28;1.42;1.19;1.19;1.2;0.205;2.91;0.93;1;3.21e-07;4.55e-06; 49360;0;84;0.268;0.219;27;1.4;1.19;1.18;1.18;0.213;2.35;0.909;1;3.37e-07;3.73e-06; 50560;2;73;0.263;0.192;32;1.43;1.2;1.19;1.2;8.43;12.5;0.324;1;1.31e-05;1.94e-05; 52080;207;681;0.254;0.162;27;40.1;40.6;174;  0%;  0%;  0%;31;179;37.1;  0%;  0%;  0%;30.6;37.7;170;  0%;  0%;  0%;92.4;107;99.1;  0%;  0%;  0%;99.2;0.836;0;0;0;0;0;0;0;99.6;0.437;0;0;0;0;0;0;0;99.4;0.581;0;0;0;0;0;0;0;99.3;0.654;0;0;0;0;0;0;0;753;753;753;753;54.9 ;55.6 ;56 ;53.8 ;
2018-01-20;16:20:29.066;0.763;1.06;0.717;1.21;134;202;0.337;0.997;9.73e-05;0.000147;10.9;8.74;1.37e+06;1.29e+06;1.12e+04;2.13;53.2;1.53;38.2;1.7e+04;59.4;5.34;0.0212;35.3;0;13.5;0;0;0;2.21e+03;228;0.776;1.07;0.726;1.21;24.1;37;0.348;0.998;6.9e-05;0.000106; 58560;706;1304;2.83;2.38;32;0.762;1.08;0.706;1.21;22.2;33.8;0.342;0.998;6.48e-05;9.85e-05; 48000;418;1320;2.65;2.21;32;0.748;1.05;0.71;1.2;38.4;57.6;0.333;0.997;0.000114;0.000172; 51600;751;2347;2.72;2.09;36;0.768;1.06;0.727;1.21;48.7;73.2;0.334;0.996;0.000142;0.000213; 55760;1061;3305;2.74;2.07;31;1.09e+03;1.44e+03;1.63e+03;  1%;  1%;  1%;1.32e+03;1.49e+03;1.1e+03;  1%;  1%;  1%;1.25e+03;1.37e+03;1.78e+03;  1%;  1%;  1%;1.69e+03;1.34e+03;1.49e+03;  1%;  1%;  1%;59.8;3.28;0.014;36.9;0;25;0;0;0;58.5;5.04;0.0227;36.4;0;17;0;0;0;59.2;5.35;0.0227;35.4;0;11.9;0;0;0;59.9;7.72;0.0256;32.3;0;0.00427;0;0;0;545;547;562;556;55.4 ;57.3 ;58.8 ;56.5 ;
2018-01-20;16:20:34.430;1.38;1.14;1.21;1.22;198;338;0.415;0.997;8.02e-05;0.000137;21.2;20.4;2.46e+06;2.17e+06;1.12e+04;2.27;56.8;2.75;68.8;3.44e+04;99.6;0.442;0.000203;0.0019;0;0;0;0;0;3.03e+03;252;1.37;1.13;1.22;1.22;49.4;84.3;0.415;0.997;8.05e-05;0.000138; 52960;1912;5536;5.31;5.06;29;1.38;1.14;1.21;1.22;49.1;83.3;0.411;0.997;7.94e-05;0.000135; 51920;1803;5574;5.16;4.89;28;1.36;1.13;1.2;1.21;48.2;82.5;0.417;0.997;7.89e-05;0.000135; 46800;1663;5418;5.37;5.32;33;1.39;1.14;1.21;1.22;50.9;87.3;0.417;0.997;8.18e-05;0.00014; 49760;1737;5655;5.36;5.16;28;2.8e+03;2.87e+03;2.91e+03;  2%;  2%;  2%;2.82e+03;2.84e+03;2.82e+03;  2%;  2%;  2%;2.81e+03;2.86e+03;2.99e+03;  2%;  2%;  2%;2.94e+03;2.83e+03;2.89e+03;  2%;  2%;  2%;99.5;0.461;8.05e-05;0.000905;0;0;0;0;0;99.5;0.475;0.000183;0.00116;0;0;0;0;0;99.5;0.525;0.000464;0.00532;0;0;0;0;0;99.7;0.307;8.55e-05;0.00021;0;0;0;0;0;755;756;763;754;62.6 ;63.6 ;64.9 ;60.7 ;
2018-01-20;16:20:39.998;1.38;1.16;1.19;1.2;73.7;110;0.331;0.999;2.89e-05;4.31e-05;16.2;15.9;2.55e+06;2.2e+06;1.13e+04;2.32;58;2.77;69.1;2.54e+04;99.4;0.583;0;0;0;0;0;0;0;3.1e+03;253;1.4;1.17;1.2;1.2;10.6;16.7;0.361;1;1.66e-05;2.6e-05; 53920;638;1477;4.1;3.96;29;1.39;1.17;1.2;1.2;14.3;21.1;0.323;1;2.23e-05;3.3e-05; 47280;560;1869;4.04;3.97;29;1.35;1.15;1.18;1.19;19;27.3;0.304;0.999;3.04e-05;4.37e-05; 47920;721;2179;4.03;3.99;33;1.39;1.16;1.19;1.2;29.8;45;0.339;0.999;4.61e-05;6.97e-05; 49360;964;3083;4.04;3.99;28;2.15e+03;2.12e+03;2.16e+03;  2%;  2%;  2%;2.12e+03;2.14e+03;2.14e+03;  2%;  2%;  2%;2.11e+03;2.11e+03;2.12e+03;  2%;  2%;  2%;2.07e+03;2.08e+03;2.1e+03;  1%;  1%;  1%;99.2;0.752;0;0;0;0;0;0;0;99.3;0.693;0;0;0;0;0;0;0;99.4;0.602;0;0;0;0;0;0;0;99.7;0.289;0;0;0;0;0;0;0;775;776;778;775;62.7 ;63.9 ;64.8 ;61.2 ;
2018-01-20;16:20:45.438;1.22;0.989;1.23;1.24;1.79e+03;2.45e+03;0.27;0.562;0.000793;0.00109;131;95;2.25e+06;2.28e+06;1.18e+04;1.98;49.4;2.44;61;2e+05;99.7;0.316;0;0;0;0;0;0;0;3.05e+03;413;1.21;0.977;1.24;1.24;460;626;0.265;0.463;0.000821;0.00112; 51040;11167;32729;32.8;23.4;29;1.21;0.984;1.23;1.24;460;625;0.264;0.469;0.000818;0.00111; 52080;10836;32200;32.8;23.7;29;1.21;0.989;1.23;1.24;449;616;0.271;0.468;0.000803;0.0011; 50160;8629;27662;32.7;23.8;33;1.25;1.01;1.24;1.24;417;581;0.281;0.721;0.000733;0.00102; 50880;7435;27659;32.7;24.1;28;1.73e+04;1.69e+04;1.64e+04; 16%; 16%; 15%;1.7e+04;1.63e+04;1.72e+04; 16%; 15%; 16%;1.69e+04;1.68e+04;1.6e+04; 16%; 15%; 15%;1.61e+04;1.63e+04;1.64e+04; 15%; 15%; 15%;100;0.00812;0;0;0;0;0;0;0;99.6;0.45;0;0;0;0;0;0;0;99.2;0.801;0;0;0;0;0;0;0;100;0.00134;0;0;0;0;0;0;0;762;762;761;761;101 ;105 ;111 ;96.5 ;
2018-01-20;16:20:50.834;1.18;0.965;1.23;1.23;1.44e+03;1.99e+03;0.277;0.942;0.000671;0.000928;101;61.1;2.15e+06;2.23e+06;1.14e+04;1.93;48.3;2.37;59.2;1.46e+05;99.7;0.331;0;0;0;0;0;0;0;3.01e+03;363;1.18;0.963;1.23;1.23;365;502;0.274;0.942;0.00068;0.000936; 52160;7915;23130;25.4;15.1;29;1.18;0.966;1.23;1.23;366;503;0.273;0.941;0.000682;0.000938; 51280;7671;22718;25.3;15.2;29;1.17;0.961;1.22;1.23;363;504;0.279;0.937;0.000683;0.000947; 53760;6638;20870;25.3;15.2;32;1.19;0.971;1.23;1.23;346;484;0.285;0.946;0.000638;0.000892; 51280;5831;20798;25.2;15.6;28;1.24e+04;1.23e+04;1.2e+04; 11%; 11%; 11%;1.24e+04;1.19e+04;1.24e+04; 11%; 11%; 11%;1.23e+04;1.22e+04;1.18e+04; 11%; 11%; 11%;1.19e+04;1.2e+04;1.2e+04; 11%; 11%; 11%;99.8;0.161;0;0;0;0;0;0;0;99.5;0.518;0;0;0;0;0;0;0;99.4;0.592;0;0;0;0;0;0;0;99.9;0.0512;0;0;0;0;0;0;0;751;754;755;750;88.7 ;92.3 ;97.4 ;84.4 ;
2018-01-20;16:20:56.238;0.97;0.784;1.24;1.24;1.74e+03;2.33e+03;0.254;0.553;0.000984;0.00132;117;54.6;1.77e+06;2.25e+06;1.14e+04;1.57;39.2;1.94;48.5;1.57e+05;99.9;0.0793;0;0;0;0;0;0;0;3e+03;375;0.973;0.786;1.24;1.24;439;588;0.253;0.535;0.000991;0.00133; 52240;7582;22061;29.3;13.7;31;0.974;0.787;1.24;1.24;438;585;0.251;0.557;0.000988;0.00132; 48320;7485;22112;29.2;13.5;31;0.968;0.785;1.23;1.24;432;580;0.255;0.55;0.000981;0.00132; 47760;7494;22755;29.3;13.9;34;0.967;0.781;1.24;1.24;428;576;0.257;0.57;0.000975;0.00131; 48720;6985;23145;29.2;13.6;30;1.31e+04;1.3e+04;1.31e+04; 12%; 12%; 12%;1.31e+04;1.31e+04;1.31e+04; 12%; 12%; 12%;1.31e+04;1.31e+04;1.31e+04; 12%; 12%; 12%;1.31e+04;1.31e+04;1.3e+04; 12%; 12%; 12%;100;0;0;0;0;0;0;0;0;100;0.0122;0;0;0;0;0;0;0;99.7;0.306;0;0;0;0;0;0;0;100;0.00288;0;0;0;0;0;0;0;745;754;755;743;92 ;95.7 ;102 ;86.1 ;
2018-01-20;16:21:01.690;0.342;0.276;1.24;1.24;2.56e+03;4.81e+03;0.467;0.533;0.00411;0.00772;207;247;6.24e+05;2.26e+06;1.14e+04;0.552;13.8;0.684;17.1;3.59e+05;100;0.00586;0;0;0;0;0;0;0;2.77e+03;545;0.345;0.279;1.24;1.24;631;1.18e+03;0.467;0.543;0.00401;0.00753; 55600;19203;59584;51.6;61.2;32;0.343;0.277;1.24;1.24;641;1.2e+03;0.466;0.533;0.0041;0.00768; 47440;19353;59687;51.5;61.4;32;0.341;0.276;1.24;1.24;645;1.21e+03;0.467;0.527;0.00415;0.00779; 52160;21408;58294;52.3;62.4;34;0.338;0.273;1.24;1.24;647;1.22e+03;0.468;0.528;0.00419;0.00788; 52000;19639;60247;51.7;61.7;31;2.99e+04;2.99e+04;2.99e+04; 28%; 28%; 28%;2.99e+04;2.99e+04;2.98e+04; 28%; 28%; 28%;3.02e+04;3.01e+04;3e+04; 28%; 28%; 28%;2.99e+04;2.99e+04;2.99e+04; 28%; 28%; 28%;100;0.00323;0;0;0;0;0;0;0;100;0.00333;0;0;0;0;0;0;0;100;0.00661;0;0;0;0;0;0;0;100;0.0103;0;0;0;0;0;0;0;682;690;718;678;134 ;137 ;144 ;130 ;
2018-01-20;16:21:07.122;0.525;0.424;1.24;1.24;3.05e+03;4.73e+03;0.356;0.746;0.00318;0.00494;231;213;9.58e+05;2.26e+06;1.14e+04;0.849;21.2;1.05;26.3;3.66e+05;100;0.0185;0;0;0;0;0;0;0;2.89e+03;534;0.52;0.42;1.24;1.24;757;1.18e+03;0.359;0.741;0.0032;0.00499; 53200;19686;58235;57.8;53.4;32;0.526;0.425;1.24;1.24;763;1.18e+03;0.356;0.748;0.00318;0.00494; 54800;19236;58759;57.4;53.3;31;0.529;0.427;1.24;1.24;763;1.18e+03;0.355;0.752;0.00316;0.0049; 53200;20045;57896;58.1;53.3;34;0.526;0.425;1.24;1.24;764;1.18e+03;0.354;0.744;0.00318;0.00492; 52960;19571;58940;57.7;53.4;31;3.05e+04;3.06e+04;3.06e+04; 29%; 29%; 29%;3.05e+04;3.04e+04;3.04e+04; 29%; 29%; 29%;3.07e+04;3.06e+04;3.06e+04; 29%; 29%; 29%;3.05e+04;3.05e+04;3.05e+04; 29%; 29%; 29%;100;0.0147;0;0;0;0;0;0;0;100;0.0182;0;0;0;0;0;0;0;100;0.0295;0;0;0;0;0;0;0;100;0.0116;0;0;0;0;0;0;0;712;720;747;706;132 ;135 ;140 ;127 ;
2018-01-20;16:21:12.486;0.567;0.458;1.24;1.24;3.47e+03;4.98e+03;0.304;0.451;0.00337;0.00484;235;174;1.03e+06;2.25e+06;1.14e+04;0.917;22.9;1.13;28.4;3.63e+05;100;0.000424;0;0;0;0;0;0;0;2.87e+03;516;0.565;0.457;1.24;1.24;867;1.25e+03;0.305;0.449;0.00337;0.00485; 49840;18147;53879;58.9;43.6;31;0.569;0.459;1.24;1.24;870;1.25e+03;0.303;0.452;0.00337;0.00483; 50240;17695;54184;58.6;43.5;31;0.569;0.459;1.24;1.24;869;1.25e+03;0.304;0.452;0.00336;0.00483; 50960;18552;53403;59.1;43.3;34;0.567;0.458;1.24;1.24;863;1.24e+03;0.304;0.452;0.00336;0.00483; 51680;17917;53612;58.9;43.6;31;3.02e+04;3.03e+04;3.03e+04; 29%; 29%; 29%;3.02e+04;3.01e+04;3.01e+04; 29%; 29%; 28%;3.03e+04;3.03e+04;3.02e+04; 29%; 29%; 29%;3.02e+04;3.03e+04;3.02e+04; 29%; 29%; 29%;100;0.000375;0;0;0;0;0;0;0;100;0.000426;0;0;0;0;0;0;0;100;0.000438;0;0;0;0;0;0;0;100;0.000459;0;0;0;0;0;0;0;707;715;744;701;128 ;130 ;136 ;122 ;
