System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2018-01-20;17:11:40.396;1.12;1.1;1.02;1.2;120;202;0.405;0.998;6.08e-05;0.000102;9.19;6.67;1.98e+06;1.8e+06;1.12e+04;2.19;54.8;2.24;55.9;1.39e+04;84.9;2.22;0.00279;12.9;0;5.62;0;0;0;2.52e+03;216;1.13;1.1;1.03;1.21;43.6;87.3;0.5;0.997;8.63e-05;0.000173; 51600;1033;2625;2.32;1.59;36;1.13;1.1;1.03;1.21;26.6;40.6;0.343;0.999;5.32e-05;8.1e-05; 30320;495;1446;2.28;1.67;37;1.1;1.1;1;1.19;20.2;29.8;0.321;0.999;4.17e-05;6.15e-05; 46320;315;1113;2.3;1.75;39;1.11;1.09;1.02;1.2;29.8;44.5;0.33;0.999;6.12e-05;9.14e-05; 35520;555;1637;2.3;1.66;36;1.25e+03;1.13e+03;1.31e+03;  1%;  1%;  1%;934;1.12e+03;1.39e+03;  0%;  1%;  1%;968;1.28e+03;1.02e+03;  0%;  1%;  1%;974;1.11e+03;1.43e+03;  0%;  1%;  1%;85.2;2.34;0.00319;12.4;0;0;0;0;0;84.9;1.94;0.00278;13.2;0;11;0;0;0;84.3;2.06;0.0036;13.6;0;9.23;0;0;0;85;2.56;0.00159;12.5;0;2.28;0;0;0;631;627;630;629;54.2 ;54.1 ;55.2 ;52.7 ;
2018-01-20;17:11:45.762;1.01;1.11;0.907;1.23;209;356;0.413;0.993;0.000121;0.000206;22.8;22;1.73e+06;1.56e+06;1.05e+04;2.22;55.5;2.01;50.3;3.71e+04;73.8;1.75;0.0116;24.4;0;12.2;0;0;0;2.56e+03;248;1.01;1.1;0.911;1.23;57.9;98;0.409;0.992;0.000136;0.00023; 53760;2168;6265;5.83;5.59;29;1.01;1.11;0.902;1.23;50;85.2;0.413;0.993;0.000116;0.000198; 52160;1850;5596;5.63;5.44;28;1;1.12;0.9;1.22;51.4;88.7;0.421;0.993;0.000119;0.000205; 51760;1864;5875;5.54;5.22;33;1.01;1.11;0.913;1.23;49.8;84.5;0.41;0.993;0.000113;0.000192; 50320;1744;5704;5.8;5.73;30;3.15e+03;3.13e+03;3.26e+03;  3%;  3%;  3%;2.94e+03;2.98e+03;3.21e+03;  2%;  3%;  3%;2.92e+03;3.15e+03;3.01e+03;  2%;  3%;  3%;2.99e+03;3.01e+03;3.31e+03;  3%;  3%;  3%;74;2.57;0.0139;23.4;0;1.73;0;0;0;73.3;2;0.00838;24.7;0;10.1;0;0;0;73.8;1.56;0.0134;24.6;0;15.9;0;0;0;74.3;0.904;0.0107;24.8;0;20.8;0;0;0;642;635;649;631;63 ;63.2 ;63.1 ;58.7 ;
2018-01-20;17:11:51.118;1.42;1.19;1.19;1.2;6.22;20.3;0.693;1;2.44e-06;7.95e-06;0.837;0.584;2.55e+06;2.14e+06;1.13e+04;2.38;59.5;2.83;70.9;661;99.3;0.657;0;0;0;0;0;0;0;3e+03;219;1.42;1.19;1.19;1.2;0.335;2.84;0.882;1;5.26e-07;4.46e-06; 54160;124;4;0.233;0.154;29;1.42;1.19;1.2;1.21;0.304;2.66;0.886;1;4.76e-07;4.16e-06; 52160;1;122;0.195;0.149;28;1.41;1.2;1.18;1.18;5.24;12.2;0.57;1;8.22e-06;1.91e-05; 50400;141;432;0.192;0.122;33;1.42;1.19;1.19;1.2;0.345;2.58;0.867;1;5.41e-07;4.06e-06; 48800;4;102;0.217;0.159;29;29.8;117;32.9;  0%;  0%;  0%;108;24.5;27;  0%;  0%;  0%;47.4;52.2;53;  0%;  0%;  0%;115;25.2;29.9;  0%;  0%;  0%;99.3;0.736;0;0;0;0;0;0;0;99.1;0.863;0;0;0;0;0;0;0;99.6;0.421;0;0;0;0;0;0;0;99.4;0.609;0;0;0;0;0;0;0;750;749;750;749;54.5 ;55.4 ;55.7 ;53.6 ;
2018-01-20;17:11:56.514;1.25;1.02;1.22;1.23;1.21e+03;1.67e+03;0.279;0.967;0.000536;0.000743;99;71.6;2.25e+06;2.21e+06;1.12e+04;2.04;51;2.5;62.4;1.5e+05;99.7;0.296;0;0;0;0;0;0;0;3.01e+03;366;1.25;1.02;1.23;1.23;301;416;0.276;0.969;0.000535;0.000739; 54000;6625;19221;24.9;18.3;29;1.25;1.02;1.23;1.23;305;422;0.276;0.967;0.000542;0.000749; 55360;7016;22037;24.8;17.7;29;1.26;1.04;1.22;1.22;286;403;0.29;0.968;0.000505;0.000711; 58080;7698;19542;24.5;17.9;33;1.24;1.01;1.23;1.23;314;432;0.274;0.965;0.000561;0.000773; 46800;6259;21142;24.8;17.8;30;1.26e+04;1.21e+04;1.27e+04; 12%; 11%; 12%;1.22e+04;1.28e+04;1.26e+04; 11%; 12%; 12%;1.22e+04;1.22e+04;1.23e+04; 11%; 11%; 11%;1.23e+04;1.28e+04;1.28e+04; 11%; 12%; 12%;99.8;0.197;0;0;0;0;0;0;0;99.8;0.246;0;0;0;0;0;0;0;99.4;0.608;0;0;0;0;0;0;0;99.9;0.134;0;0;0;0;0;0;0;751;752;754;748;89.9 ;92.7 ;97.2 ;85.8 ;
2018-01-20;17:12:01.898;1.24;1;1.23;1.24;1.56e+03;2.19e+03;0.29;0.88;0.000693;0.000977;114;74.6;2.24e+06;2.23e+06;1.13e+04;2.01;50.2;2.47;61.9;1.68e+05;99.8;0.231;0;0;0;0;0;0;0;3.01e+03;383;1.24;1;1.23;1.24;396;555;0.287;0.881;0.000706;0.00099; 55920;8129;23743;28.6;19.1;29;1.24;1;1.23;1.24;395;555;0.288;0.873;0.000703;0.000988; 48960;8484;27020;28.5;18.3;29;1.25;1.02;1.23;1.23;368;526;0.301;0.899;0.000651;0.00093; 49920;9270;23386;28.2;18.6;33;1.23;0.994;1.24;1.24;397;556;0.286;0.864;0.000714;0.001; 50960;7400;24839;28.5;18.5;29;1.41e+04;1.36e+04;1.42e+04; 13%; 13%; 13%;1.37e+04;1.43e+04;1.42e+04; 13%; 13%; 13%;1.36e+04;1.37e+04;1.38e+04; 13%; 13%; 13%;1.38e+04;1.43e+04;1.43e+04; 13%; 13%; 13%;99.9;0.0976;0;0;0;0;0;0;0;99.9;0.0937;0;0;0;0;0;0;0;99.3;0.658;0;0;0;0;0;0;0;99.9;0.0751;0;0;0;0;0;0;0;752;752;753;750;94.5 ;97.3 ;102 ;89.2 ;
2018-01-20;17:12:07.274;0.971;0.785;1.24;1.24;1.75e+03;2.34e+03;0.254;0.426;0.000995;0.00133;115;44.9;1.75e+06;2.24e+06;1.13e+04;1.57;39.2;1.94;48.5;1.5e+05;99.9;0.0889;0;0;0;0;0;0;0;2.98e+03;368;0.97;0.783;1.24;1.24;436;585;0.255;0.427;0.000995;0.00133; 53520;6876;20485;28.8;11.4;29;0.973;0.786;1.24;1.24;436;586;0.255;0.429;0.000993;0.00133; 54560;6613;21220;28.8;11.1;29;0.97;0.786;1.23;1.24;437;585;0.253;0.422;0.000997;0.00133; 56400;7456;21020;28.7;11.1;33;0.97;0.783;1.24;1.24;436;584;0.253;0.424;0.000996;0.00133; 48320;6937;20712;28.8;11.2;29;1.25e+04;1.25e+04;1.26e+04; 12%; 12%; 12%;1.26e+04;1.25e+04;1.25e+04; 12%; 12%; 12%;1.25e+04;1.25e+04;1.25e+04; 12%; 12%; 12%;1.26e+04;1.26e+04;1.25e+04; 12%; 12%; 12%;100;0.000362;0;0;0;0;0;0;0;100;0.000415;0;0;0;0;0;0;0;99.6;0.354;0;0;0;0;0;0;0;100;0.000408;0;0;0;0;0;0;0;745;748;752;738;91 ;93.9 ;99.3 ;84.2 ;
2018-01-20;17:12:12.666;0.488;0.395;1.24;1.24;2.25e+03;4.01e+03;0.438;0.489;0.00255;0.00454;190;218;8.83e+05;2.24e+06;1.13e+04;0.789;19.7;0.977;24.4;3.24e+05;100;0.0307;0;0;0;0;0;0;0;2.79e+03;513;0.496;0.4;1.24;1.24;559;990;0.435;0.487;0.0025;0.00442; 52560;17053;50881;47.6;54.6;32;0.492;0.397;1.24;1.24;563;1e+03;0.438;0.489;0.00253;0.0045; 49120;16630;51275;47.6;54.8;32;0.486;0.393;1.24;1.24;566;1.01e+03;0.438;0.488;0.00258;0.00459; 52560;17188;51362;47.3;54;35;0.48;0.388;1.24;1.24;565;1.01e+03;0.44;0.493;0.00261;0.00465; 52720;17196;51560;47;54.9;32;2.7e+04;2.71e+04;2.69e+04; 26%; 26%; 26%;2.72e+04;2.7e+04;2.7e+04; 26%; 26%; 26%;2.72e+04;2.71e+04;2.69e+04; 26%; 26%; 26%;2.69e+04;2.69e+04;2.69e+04; 26%; 26%; 26%;100;0.000622;0;0;0;0;0;0;0;100;0.000867;0;0;0;0;0;0;0;99.9;0.115;0;0;0;0;0;0;0;100;0.00657;0;0;0;0;0;0;0;690;695;721;683;127 ;130 ;135 ;121 ;
2018-01-20;17:12:18.046;0.457;0.369;1.24;1.24;2.92e+03;4.83e+03;0.395;0.637;0.00353;0.00584;219;217;8.28e+05;2.24e+06;1.13e+04;0.738;18.5;0.914;22.8;3.53e+05;100;0.0124;0;0;0;0;0;0;0;2.81e+03;529;0.449;0.363;1.24;1.24;729;1.21e+03;0.397;0.624;0.00358;0.00594; 49120;19445;57095;55;54.3;31;0.456;0.368;1.24;1.24;731;1.21e+03;0.397;0.638;0.00354;0.00587; 52880;18750;57399;54.7;54;31;0.464;0.375;1.24;1.24;730;1.2e+03;0.394;0.66;0.00347;0.00573; 49760;18903;57287;54.7;54.1;34;0.457;0.369;1.24;1.24;731;1.21e+03;0.393;0.623;0.00353;0.00582; 49280;19251;57385;54.5;54.2;31;2.95e+04;2.95e+04;2.94e+04; 28%; 28%; 28%;2.94e+04;2.94e+04;2.94e+04; 28%; 28%; 28%;2.94e+04;2.95e+04;2.94e+04; 28%; 28%; 28%;2.93e+04;2.94e+04;2.94e+04; 28%; 28%; 28%;100;0.0311;0;0;0;0;0;0;0;100;0.00418;0;0;0;0;0;0;0;100;0.0168;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;694;699;732;688;131 ;134 ;139 ;125 ;
2018-01-20;17:12:23.462;0.573;0.463;1.24;1.24;3.43e+03;4.94e+03;0.306;0.46;0.0033;0.00475;236;179;1.04e+06;2.24e+06;1.13e+04;0.926;23.2;1.15;28.7;3.65e+05;100;0.000435;0;0;0;0;0;0;0;2.9e+03;522;0.572;0.462;1.24;1.24;853;1.23e+03;0.305;0.461;0.0033;0.00475; 50160;18094;53076;59.5;45;31;0.574;0.464;1.24;1.24;859;1.24e+03;0.307;0.457;0.0033;0.00476; 51520;17780;53765;58.9;44.5;31;0.575;0.465;1.24;1.24;861;1.24e+03;0.305;0.461;0.0033;0.00475; 50960;17920;54176;59;44.7;33;0.572;0.462;1.24;1.24;857;1.23e+03;0.306;0.459;0.0033;0.00476; 51920;17990;53564;58.9;44.8;31;3.05e+04;3.05e+04;3.05e+04; 29%; 29%; 29%;3.04e+04;3.03e+04;3.03e+04; 29%; 29%; 29%;3.04e+04;3.04e+04;3.04e+04; 29%; 29%; 29%;3.04e+04;3.04e+04;3.04e+04; 29%; 29%; 29%;100;0.000399;0;0;0;0;0;0;0;100;0.000476;0;0;0;0;0;0;0;100;0.000432;0;0;0;0;0;0;0;100;0.000434;0;0;0;0;0;0;0;715;720;754;709;130 ;132 ;138 ;123 ;
2018-01-20;17:12:28.826;0.561;0.453;1.24;1.24;3.39e+03;4.79e+03;0.293;0.462;0.00333;0.00471;232;173;1.02e+06;2.24e+06;1.14e+04;0.907;22.7;1.12;28.1;3.6e+05;100;0.000464;0;0;0;0;0;0;0;2.86e+03;513;0.561;0.453;1.24;1.24;847;1.2e+03;0.292;0.465;0.00332;0.0047; 50480;17733;52255;58.6;43.4;31;0.562;0.454;1.24;1.24;848;1.2e+03;0.294;0.46;0.00333;0.00472; 52560;17448;52716;58;43;32;0.563;0.455;1.24;1.24;849;1.2e+03;0.292;0.463;0.00333;0.0047; 52240;17494;53094;58;43;34;0.559;0.451;1.24;1.24;844;1.19e+03;0.293;0.461;0.00334;0.00472; 53600;17749;52580;57.8;43.2;31;3.02e+04;3.02e+04;3.01e+04; 29%; 29%; 29%;3e+04;2.99e+04;3e+04; 28%; 28%; 28%;3e+04;3e+04;3e+04; 28%; 28%; 28%;2.99e+04;3e+04;3e+04; 28%; 28%; 28%;100;0.000392;0;0;0;0;0;0;0;100;0.000483;0;0;0;0;0;0;0;100;0.000481;0;0;0;0;0;0;0;100;0.000498;0;0;0;0;0;0;0;705;710;744;700;127 ;129 ;135 ;121 ;
